"citation_key","authors","title","year","publication_venue","doi_or_stable_identifier","publication_status","source_url","existing_in_references_bib","topic_family","problem_class","exact_proposition_supported","recommended_citation_location","role","subsumption_risk","recommendation"
"CrowderJohnsonPadberg1983","Harlan Crowder; Ellis L. Johnson; Manfred Padberg","Solving Large-Scale Zero-One Linear Programming Problems","1983","Operations Research","10.1287/opre.31.5.803","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/opre.31.5.803","no","integer programming","general zero-one linear programming","Documents a practical combination of preprocessing, cutting planes, and branch-and-bound for large zero-one programs; it does not prove this paper's semantic rules.","Section 5","methodological","moderate against novelty for generic MILP machinery","add if implementation discussion needs general MIP lineage"
"Savelsbergh1994","Martin W. P. Savelsbergh","Preprocessing and Probing Techniques for Mixed Integer Programming Problems","1994","ORSA Journal on Computing","10.1287/ijoc.6.4.445","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/ijoc.6.4.445","no","preprocessing and dominance","general mixed-integer programming","Provides a framework for detecting infeasibility/redundancy, strengthening bounds and coefficients, fixing binary variables, and deriving logical consequences.","Section 5","methodological","high for any claim that generic preprocessing itself is new","required for preprocessing context, not as proof of a domain rule"
"CapraraFischettiToth1999","Alberto Caprara; Matteo Fischetti; Paolo Toth","A Heuristic Method for the Set Covering Problem","1999","Operations Research","10.1287/opre.47.5.730","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/opre.47.5.730","no","set-cover heuristics and preprocessing","large-scale set cover","Combines Lagrangian relaxation, subgradient optimization, greedy construction, dynamic pricing, and column fixing for large set-cover instances.","Section 5","methodological","moderate against novelty for generic set-cover heuristics","add for comparative algorithm context"
"CyganEtAl2015","Marek Cygan; Fedor V. Fomin; Lukasz Kowalik; Daniel Lokshtanov; Daniel Marx; Marcin Pilipczuk; Michal Pilipczuk; Saket Saurabh","Parameterized Algorithms","2015","Springer","10.1007/978-3-319-21275-3","Published graduate textbook; official publisher metadata and stated theorem text inspected","https://link.springer.com/chapter/10.1007/978-3-319-21275-3_6","no","parameterized dynamic programming","ordinary cardinality set cover parameterized by universe size","Chapter 6.1.1, Theorem 6.1 gives a subset-indexed DP for minimum-cardinality set cover in time 2^|U| (|U|+|F|)^O(1); weighted costs and stable reconstruction need a direct project proof.","Section 5 and Online Resource","methodological","decisive against novelty for generic subset-mask DP","required for the standard mask-DP antecedent"
"DolanMore2002","Elizabeth D. Dolan; Jorge J. More","Benchmarking Optimization Software with Performance Profiles","2002","Mathematical Programming","10.1007/s101070100263","Published peer-reviewed journal article; primary source","https://link.springer.com/article/10.1007/s101070100263","no","algorithm benchmarking","performance profiles","Defines performance profiles as distribution functions of per-problem performance ratios for optimization-software comparison.","Section 7","methodological","high if profiles are presented without failure and metric conventions","required if performance profiles are used"
"MoreWild2009","Jorge J. More; Stefan M. Wild","Benchmarking Derivative-Free Optimization Algorithms","2009","SIAM Journal on Optimization","10.1137/080724083","Published peer-reviewed journal article; primary source","https://epubs.siam.org/doi/10.1137/080724083","no","algorithm benchmarking","data profiles under computational budgets","Introduces data-profile methodology for comparing progress under computational budgets in derivative-free optimization.","Section 7 only if budget-based data profiles are predeclared","methodological","low","conditional addition"
"DeyEtAl2012","Debadeepta Dey; Tian Yu Liu; Boris Sofman; J. Andrew Bagnell","Efficient Optimization of Control Libraries","2012","Proceedings of the AAAI Conference on Artificial Intelligence","10.1609/aaai.v26i1.8383","Published peer-reviewed conference article; primary source","https://ojs.aaai.org/index.php/AAAI/article/view/8383","yes","control-library optimization","static selection and ordering of controls","Optimizes compact maneuver or trajectory libraries using submodular-sequence methods with performance guarantees.","Section 2 and, if compared, Section 5","comparative","high for broad first-control-library-optimization or generic greedy-library claims","required closest comparator; narrow novelty explicitly"
"MuttiDelColRestelli2022","Mirco Mutti; Stefano Del Col; Marcello Restelli","Reward-Free Policy Space Compression for Reinforcement Learning","2022","Proceedings of the 25th International Conference on Artificial Intelligence and Statistics, PMLR 151","https://proceedings.mlr.press/v151/mutti22a.html","Published peer-reviewed conference paper; official proceedings source","https://proceedings.mlr.press/v151/mutti22a.html","yes","policy-space compression","reward-free policy representative set via set cover","Constructs finite representatives using Renyi-divergence state-action distribution coverage; formulates the selection as set cover and states NP-hardness.","Section 2","comparative","high for broad first-policy-compression, first-covering, or generic-hardness claims","required closest comparator; state the different preserved object"
"SmallwoodSondik1973","Richard D. Smallwood; Edward J. Sondik","The Optimal Control of Partially Observable Markov Processes over a Finite Horizon","1973","Operations Research","10.1287/opre.21.5.1071","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/opre.21.5.1071","yes","partial-information stochastic control","finite-horizon finite-state POMDP","Establishes belief-state control structure and piecewise-linear convex finite-horizon payoff representations.","Sections 2 and 3","foundational","high for any broad belief-state/POMDP sufficiency novelty claim","reuse"
"Sondik1978","Edward J. Sondik","The Optimal Control of Partially Observable Markov Processes over the Infinite Horizon: Discounted Costs","1978","Operations Research","10.1287/opre.26.2.282","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/opre.26.2.282","no","partial-information stochastic control","infinite-horizon discounted POMDP","Develops discounted infinite-horizon partially observable control over the belief simplex, including finitely transient policies and piecewise-linear approximations.","Sections 2 or 3 if infinite-horizon antecedents are retained","foundational","high for broad POMDP novelty; low for the narrow library-state claim","conditional addition"
"White1976","Chelsea C. White","Procedures for the Solution of a Finite-Horizon, Partially Observed, Semi-Markov Optimization Problem","1976","Operations Research","10.1287/opre.24.2.348","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/opre.24.2.348","yes","partial-information stochastic control","finite-horizon partially observed semi-Markov control","Gives a sufficient-statistic dynamic program for a finite-state, finite-horizon, partially observed semi-Markov problem.","Sections 2 and 3","foundational","high for broad semi-Markov sufficiency novelty; low for the narrow library-state claim","reuse"
"CassandraLittmanZhang1997","Anthony R. Cassandra; Michael L. Littman; Nevin Lianwen Zhang","Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes","1997","Proceedings of the 13th Conference on Uncertainty in Artificial Intelligence","https://arxiv.org/abs/1302.1525","Published peer-reviewed conference paper; primary author-hosted version","https://arxiv.org/abs/1302.1525","yes","POMDP representation reduction","exact alpha-vector pruning","Incremental pruning removes redundant alpha vectors during exact finite POMDP dynamic-programming backups.","Section 2","comparative","moderate if value-representation pruning is conflated with carrier retention","reuse and explain the different object"
"GivanDeanGreig2003","Robert Givan; Thomas Dean; Matthew Greig","Equivalence Notions and Model Minimization in Markov Decision Processes","2003","Artificial Intelligence","10.1016/S0004-3702(02)00376-4","Published peer-reviewed journal article; primary source","https://doi.org/10.1016/S0004-3702(02)00376-4","yes","state/model compression","MDP equivalence and minimization","Behavioral equivalence notions support state aggregation and model minimization for MDPs.","Section 2","comparative","moderate if model-state aggregation is conflated with source strategy retention","reuse and explain the different object"
"RussellWefald1991","Stuart J. Russell; Eric Wefald","Principles of Metareasoning","1991","Artificial Intelligence","10.1016/0004-3702(91)90015-C","Published peer-reviewed journal article; primary source","https://www.sciencedirect.com/science/article/pii/000437029190015C","yes","research/computation resource allocation","metareasoning","Formalizes the value of computational actions in resource-bounded decision making.","Section 2","contextual","low; it does not solve exact library retention","reuse as context only"
"Weitzman1979","Martin L. Weitzman","Optimal Search for the Best Alternative","1979","Econometrica","10.2307/1910412","Published peer-reviewed journal article; primary source","https://www.jstor.org/stable/1910412","no","search-resource allocation","costly sequential search","Derives an optimal reservation-value rule for costly sequential search among alternatives.","Section 2 only if research-option allocation is discussed","contextual","low; objective differs from preservation","optional contextual addition"
"BakerEtAl1976","Norman R. Baker; William E. Souder; Charles R. Shumway; Patricia M. Maher; Albert H. Rubenstein","A Budget Allocation Model for Large Hierarchical R&D Organizations","1976","Management Science","10.1287/mnsc.23.1.59","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/mnsc.23.1.59","no","research-resource allocation","organizational R&D budget allocation","Models allocation of an R&D budget across alternatives under organizational and technical constraints.","Section 2 only if organizational research allocation is discussed","contextual","low; it does not preserve library semantics","optional contextual addition"
"FederalReserveOCC2011","Board of Governors of the Federal Reserve System; Office of the Comptroller of the Currency","Supervisory Guidance on Model Risk Management","2011","Federal Reserve SR Letter 11-7 attachment","SR 11-7","Official supervisory guidance; current regulator scope requires qualification after the OCC's 2026 revision","https://www.federalreserve.gov/boarddocs/srletters/2011/sr1107a1.pdf","no","quantitative-finance model governance","model-risk governance","Documents expectations for model development, implementation, validation, monitoring, inventories, governance, and controls; it does not prescribe strategy-library compression.","Sections 2 or 8","contextual","low for novelty; high reputational risk if current scope is overstated","conditional addition with regulator/date qualification"
"Cont2006","Rama Cont","Model Uncertainty and Its Impact on the Pricing of Derivative Instruments","2006","Mathematical Finance","10.1111/j.1467-9965.2006.00281.x","Published peer-reviewed journal article; primary source","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9965.2006.00281.x","no","quantitative-finance model governance","derivative model uncertainty","Analyzes derivative-pricing model uncertainty and its quantitative impact; it does not formulate library retention or research-resource allocation.","Sections 2 or 8","contextual","low","optional model-risk context"
"GlassermanXu2014","Paul Glasserman; Xingbo Xu","Robust Risk Measurement and Model Risk","2014","Quantitative Finance","10.1080/14697688.2013.822989","Published peer-reviewed journal article; primary source","https://www.tandfonline.com/doi/abs/10.1080/14697688.2013.822989","no","quantitative-finance model governance","robust risk measurement under model error","Develops robust risk-measurement methods for model error and model risk; it does not establish resource savings from library compression.","Sections 2 or 8","contextual","low","optional model-risk context"
"LiNystromOlofsson2015","Kai Li; Kaj Nystrom; Marcus Olofsson","Optimal Switching Problems under Partial Information","2015","Monte Carlo Methods and Applications","10.1515/mcma-2014-0013","Published peer-reviewed journal article; primary source","https://doi.org/10.1515/mcma-2014-0013","yes","partial-information stochastic control","optimal switching under partial information","Studies optimal switching under partial information using filtered beliefs and finite/infinite-horizon control structure.","Section 2","comparative","moderate for broad partial-information switching novelty; low for library compression","reuse"
"DaiZhangZhu2010","Min Dai; Qing Zhang; Qiji J. Zhu","Trend Following Trading under a Regime Switching Model","2010","SIAM Journal on Financial Mathematics","10.1137/090770552","Published peer-reviewed journal article; primary source","https://doi.org/10.1137/090770552","yes","quantitative-finance stochastic control","regime-switching trend-following control","Provides a regime-switching trend-following control model in quantitative finance.","Section 2","comparative","moderate for broad regime-dependent financial control novelty; low for retention","reuse"
