instance_id,phase,analysis_included,family,generator_id,replicate_id,strategy_count,tagged_requirement_count,frontier_row_count,module_row_count,coverage_density_level,module_overlap_level,bundle_prevalence_level,unique_carrier_frequency_level,weight_dispersion_level,frontier_module_correlation_level,mechanism,mechanism_parameter,seed_id,exact_enumeration_required,exact_dp_required,mip_required
V2-A-N011-R006-X02,final,true,small_exact,small-exact-tagged-v1,2,11,6,2,4,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N011-R006-X02,true,true,true
V2-A-N011-R006-X03,final,true,small_exact,small-exact-tagged-v1,3,11,6,2,4,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N011-R006-X03,true,true,true
V2-A-N011-R006-X04,final,true,small_exact,small-exact-tagged-v1,4,11,6,2,4,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N011-R006-X04,true,true,true
V2-A-N011-R010-X01,final,true,small_exact,small-exact-tagged-v1,1,11,10,4,6,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N011-R010-X01,true,true,true
V2-A-N011-R010-X02,final,true,small_exact,small-exact-tagged-v1,2,11,10,4,6,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N011-R010-X02,true,true,true
V2-A-N011-R010-X03,final,true,small_exact,small-exact-tagged-v1,3,11,10,4,6,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N011-R010-X03,true,true,true
V2-A-N011-R010-X04,final,true,small_exact,small-exact-tagged-v1,4,11,10,4,6,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N011-R010-X04,true,true,true
V2-A-N015-R006-X01,final,true,small_exact,small-exact-tagged-v1,1,15,6,2,4,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N015-R006-X01,true,true,true
V2-A-N015-R006-X02,final,true,small_exact,small-exact-tagged-v1,2,15,6,2,4,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N015-R006-X02,true,true,true
V2-A-N015-R006-X03,final,true,small_exact,small-exact-tagged-v1,3,15,6,2,4,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N015-R006-X03,true,true,true
V2-A-N015-R006-X04,final,true,small_exact,small-exact-tagged-v1,4,15,6,2,4,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N015-R006-X04,true,true,true
V2-A-N015-R010-X01,final,true,small_exact,small-exact-tagged-v1,1,15,10,4,6,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N015-R010-X01,true,true,true
V2-A-N015-R010-X02,final,true,small_exact,small-exact-tagged-v1,2,15,10,4,6,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N015-R010-X02,true,true,true
V2-A-N015-R010-X03,final,true,small_exact,small-exact-tagged-v1,3,15,10,4,6,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N015-R010-X03,true,true,true
V2-A-N015-R010-X04,final,true,small_exact,small-exact-tagged-v1,4,15,10,4,6,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N015-R010-X04,true,true,true
V2-B-N064-R032-C01-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C01-X01,false,false,true
V2-B-N064-R032-C01-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C01-X02,false,false,true
V2-B-N064-R032-C02-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C02-X01,false,false,true
V2-B-N064-R032-C02-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C02-X02,false,false,true
V2-B-N064-R032-C03-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C03-X01,false,false,true
V2-B-N064-R032-C03-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C03-X02,false,false,true
V2-B-N064-R032-C04-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C04-X01,false,false,true
V2-B-N064-R032-C04-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C04-X02,false,false,true
V2-B-N064-R032-C05-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C05-X01,false,false,true
V2-B-N064-R032-C05-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C05-X02,false,false,true
V2-B-N064-R032-C06-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C06-X01,false,false,true
V2-B-N064-R032-C06-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C06-X02,false,false,true
V2-B-N064-R032-C07-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C07-X01,false,false,true
V2-B-N064-R032-C07-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C07-X02,false,false,true
V2-B-N064-R032-C08-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C08-X01,false,false,true
V2-B-N064-R032-C08-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C08-X02,false,false,true
V2-B-N064-R032-C09-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C09-X01,false,false,true
V2-B-N064-R032-C09-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C09-X02,false,false,true
V2-B-N064-R032-C10-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C10-X01,false,false,true
V2-B-N064-R032-C10-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C10-X02,false,false,true
V2-B-N064-R032-C11-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,three_eighths,low_clustered,one_eighth,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C11-X01,false,false,true
V2-B-N064-R032-C11-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,three_eighths,low_clustered,one_eighth,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R032-C11-X02,false,false,true
V2-B-N064-R032-C12-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,three_eighths,low_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C12-X01,false,false,true
V2-B-N064-R032-C12-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,three_eighths,low_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R032-C12-X02,false,false,true
V2-B-N064-R032-C13-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C13-X01,false,false,true
V2-B-N064-R032-C13-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C13-X02,false,false,true
V2-B-N064-R032-C14-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,one_eighth,high_clustered,one_eighth,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C14-X01,false,false,true
V2-B-N064-R032-C14-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,one_eighth,high_clustered,one_eighth,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C14-X02,false,false,true
V2-B-N064-R032-C15-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,8,24,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C15-X01,false,false,true
V2-B-N064-R032-C15-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,8,24,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R032-C15-X02,false,false,true
V2-B-N064-R032-C16-X01,final,true,structured,structured-tagged-incidence-v1,1,64,32,16,16,three_eighths,high_clustered,one_eighth,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C16-X01,false,false,true
V2-B-N064-R032-C16-X02,final,true,structured,structured-tagged-incidence-v1,2,64,32,16,16,three_eighths,high_clustered,one_eighth,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R032-C16-X02,false,false,true
V2-B-N064-R064-C01-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C01-X01,false,false,true
V2-B-N064-R064-C01-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C01-X02,false,false,true
V2-B-N064-R064-C02-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C02-X01,false,false,true
V2-B-N064-R064-C02-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C02-X02,false,false,true
V2-B-N064-R064-C03-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C03-X01,false,false,true
V2-B-N064-R064-C03-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C03-X02,false,false,true
V2-B-N064-R064-C04-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C04-X01,false,false,true
V2-B-N064-R064-C04-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C04-X02,false,false,true
V2-B-N064-R064-C05-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C05-X01,false,false,true
V2-B-N064-R064-C05-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C05-X02,false,false,true
V2-B-N064-R064-C06-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C06-X01,false,false,true
V2-B-N064-R064-C06-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C06-X02,false,false,true
V2-B-N064-R064-C07-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C07-X01,false,false,true
V2-B-N064-R064-C07-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C07-X02,false,false,true
V2-B-N064-R064-C08-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C08-X01,false,false,true
V2-B-N064-R064-C08-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C08-X02,false,false,true
V2-B-N064-R064-C09-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C09-X01,false,false,true
V2-B-N064-R064-C09-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C09-X02,false,false,true
V2-B-N064-R064-C10-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C10-X01,false,false,true
V2-B-N064-R064-C10-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C10-X02,false,false,true
V2-B-N064-R064-C11-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,three_eighths,low_clustered,one_eighth,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C11-X01,false,false,true
V2-B-N064-R064-C11-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,three_eighths,low_clustered,one_eighth,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N064-R064-C11-X02,false,false,true
V2-B-N064-R064-C12-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,three_eighths,low_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C12-X01,false,false,true
V2-B-N064-R064-C12-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,three_eighths,low_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N064-R064-C12-X02,false,false,true
V2-B-N064-R064-C13-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C13-X01,false,false,true
V2-B-N064-R064-C13-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C13-X02,false,false,true
V2-B-N064-R064-C14-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,one_eighth,high_clustered,one_eighth,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C14-X01,false,false,true
V2-B-N064-R064-C14-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,one_eighth,high_clustered,one_eighth,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C14-X02,false,false,true
V2-B-N064-R064-C15-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,16,48,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C15-X01,false,false,true
V2-B-N064-R064-C15-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,16,48,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N064-R064-C15-X02,false,false,true
V2-B-N064-R064-C16-X01,final,true,structured,structured-tagged-incidence-v1,1,64,64,32,32,three_eighths,high_clustered,one_eighth,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C16-X01,false,false,true
V2-B-N064-R064-C16-X02,final,true,structured,structured-tagged-incidence-v1,2,64,64,32,32,three_eighths,high_clustered,one_eighth,zero,low_1_to_3,independent,none,none,SEED-V2-B-N064-R064-C16-X02,false,false,true
V2-B-N192-R032-C01-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N192-R032-C01-X01,false,false,true
V2-B-N192-R032-C01-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,8,24,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-B-N192-R032-C01-X02,false,false,true
V2-B-N192-R032-C02-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,16,16,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N192-R032-C02-X01,false,false,true
V2-B-N192-R032-C02-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,16,16,one_eighth,low_clustered,zero,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N192-R032-C02-X02,false,false,true
V2-B-N192-R032-C03-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N192-R032-C03-X01,false,false,true
V2-B-N192-R032-C03-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,8,24,three_eighths,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-B-N192-R032-C03-X02,false,false,true
V2-B-N192-R032-C04-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,16,16,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N192-R032-C04-X01,false,false,true
V2-B-N192-R032-C04-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,16,16,three_eighths,low_clustered,zero,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-B-N192-R032-C04-X02,false,false,true
V2-B-N192-R032-C05-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C05-X01,false,false,true
V2-B-N192-R032-C05-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,8,24,one_eighth,high_clustered,zero,zero,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C05-X02,false,false,true
V2-B-N192-R032-C06-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,16,16,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C06-X01,false,false,true
V2-B-N192-R032-C06-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,16,16,one_eighth,high_clustered,zero,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C06-X02,false,false,true
V2-B-N192-R032-C07-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C07-X01,false,false,true
V2-B-N192-R032-C07-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,8,24,three_eighths,high_clustered,zero,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C07-X02,false,false,true
V2-B-N192-R032-C08-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,16,16,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C08-X01,false,false,true
V2-B-N192-R032-C08-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,16,16,three_eighths,high_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C08-X02,false,false,true
V2-B-N192-R032-C09-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C09-X01,false,false,true
V2-B-N192-R032-C09-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,8,24,one_eighth,low_clustered,one_eighth,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C09-X02,false,false,true
V2-B-N192-R032-C10-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,16,16,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C10-X01,false,false,true
V2-B-N192-R032-C10-X02,final,true,structured,structured-tagged-incidence-v1,2,192,32,16,16,one_eighth,low_clustered,one_eighth,one_eighth,high_powers_of_two,independent,none,none,SEED-V2-B-N192-R032-C10-X02,false,false,true
V2-B-N192-R032-C11-X01,final,true,structured,structured-tagged-incidence-v1,1,192,32,8,24,three_eighths,low_clustered,one_eighth,one_eighth,low_1_to_3,positive_aligned,none,none,SEED-V2-B-N192-R032-C11-X01,false,false,true
