instance_id,phase,family,mechanism,strategy_count,tagged_requirement_count,algorithm_id,registry_position,instance_execution_position,algorithm_execution_position,applicable,status,solved,evidence_class,exact_burden,wall_clock_ns,julia_allocated_bytes,gc_time_seconds,compile_time_seconds,time_limit_seconds,time_limit_enforced,memory_limit_bytes,memory_limit_enforced,peak_memory_bytes,peak_memory_status,mip_node_count,mip_best_bound,mip_reported_gap,dp_state_count,dp_transition_count,frontier_check_count,closure_check_count,preprocessing_variables_removed,preprocessing_requirements_removed,record_path,record_sha256,log_path,log_sha256,failure_code
P-C-006,pilot,adversarial,symmetric_hard,8,8,heaviest_safe_first,13,1,11,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,4924584,348880,0.0,0.004048458,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/heaviest_safe_first.toml,51e21af85d3e441c4e9879a33dba187188118b0b20ee12f272f7d22738ba715f,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,lightest_safe_first,13,1,12,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,713959,306384,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/lightest_safe_first.toml,9d0402fb3db5fefc9015fcba5fb382afed7813acd065e09b97e985d704075e4b,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,maximum_immediate_burden_release,13,1,13,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,5039000,348928,0.0,0.004242833,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/maximum_immediate_burden_release.toml,90742169a62f9c395a42096c9f31e63b2cd2e75e3486a92c8b40e2a0359f4561,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,lightest_safe_first,11,2,1,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,8//1,7365792,354528,0.0,0.006616542,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,31,31,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/lightest_safe_first.toml,349698808b888efa11ef167716e885ceb2e7e6e7ef3f5eb783a5bc5ce4a4821a,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,maximum_immediate_burden_release,11,2,2,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,714959,333232,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,36,36,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/maximum_immediate_burden_release.toml,5819c7c286e8674faec195cb567aa74d125e67a5b6391249bf571717fcb4abda,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,minimum_unique_carrier_exposure,11,2,3,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,755375,333728,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,36,36,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/minimum_unique_carrier_exposure.toml,5c044fecec1967c38d38da273f61d5b5ff9376bbf97ca25fb331674122f9559b,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,declared_source_order,11,2,4,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,724709,327808,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,36,36,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/declared_source_order.toml,3fc88b111434540c8ba51bd05b2d6fe69be5548f8e8f95093943e51b56496cd5,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,random_order_rechecked_deletion,11,2,5,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,7404291,366160,0.0,0.006655375,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,34,34,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/random_order_rechecked_deletion.toml,6e098c501792af5e1cf1ee75eac6d867b854c600880be0121dd46c5921e61516,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,multistart_random_rechecked_deletion_32,11,2,6,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,16315583,10428496,0.0,0.0,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,1118,1118,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/multistart_random_rechecked_deletion_32.toml,61ea6a093d166fb7818386b3df3f57a5ffa07136b940f1c19845d4c336373198,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,complete_enumeration,11,2,7,true,SOLVED,true,exact finite computation,2//1,52354709,6816464,0.0,0.05120529,300.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-004/complete_enumeration.toml,ecc3f52a1a783b3ec2458f6b0d90642a3ea3cf088a532e13c3db79378d1541ed,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,requirement_mask_dp,11,2,8,true,SOLVED,true,exact finite computation,2//1,716334,280592,0.0,0.0,300.0,false,17179869184,false,,UNAVAILABLE,,,,62,124,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-004/requirement_mask_dp.toml,ff78c5129ea6c1674155343c8bdeb5a836f306834dfc669f303dd5105352cf48,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,jump_highs_tagged_cover,11,2,9,true,SOLVED,true,mixed-integer solver evidence plus exact post-check,2//1,27965792,2008928,0.0,0.015310166,300.0,true,17179869184,false,,UNAVAILABLE,1,2.0,0.0,,,,,5,1,experiments/algorithmic_compression_v1/pilot/records/P-C-004/jump_highs_tagged_cover.toml,75d2c31da7b0fbed69ed683ad3f0eda142b0996f44e37a6e99838b2a42ed2b86,experiments/algorithmic_compression_v1/pilot/solver_logs/P-C-004.log,0a8ae72863b4ad24ea5dd10b69bec70fec210098381cd9ae48548920dea9e220,
P-C-004,pilot,adversarial,dominance_heavy,9,5,weighted_greedy,11,2,10,true,SOLVED,true,exact finite greedy heuristic computation,2//1,635708,194296,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/weighted_greedy.toml,735032edcdad5c5befa9af98999aa6ce38a117beaf1db3e018a7b1807cab895a,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,cardinality_greedy,11,2,11,true,SOLVED,true,exact finite greedy heuristic computation,2//1,659958,195544,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/cardinality_greedy.toml,97f18a1788955f10e1a4b04cc71308f84d0f7a1bd48275e72e647c4f833ab19f,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,weighted_greedy_reverse_delete,11,2,12,true,SOLVED,true,exact finite greedy heuristic computation,2//1,677334,201944,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/weighted_greedy_reverse_delete.toml,7acf8cf697fdae823c2d340d6b1a8aff8c1646bce2df63208a5f3fb119bb2c0f,,,
P-C-004,pilot,adversarial,dominance_heavy,9,5,heaviest_safe_first,11,2,13,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,676291,333184,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,36,36,,,experiments/algorithmic_compression_v1/pilot/records/P-C-004/heaviest_safe_first.toml,de2e5adbd509e1a2c0130c2eaf12273cee69c529a210f0fdcf5fb79e4fcb5c18,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,weighted_greedy_reverse_delete,9,3,1,true,SOLVED,true,exact finite greedy heuristic computation,1//1,15300916,1488072,0.0,0.014731583,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/weighted_greedy_reverse_delete.toml,813f49fd198804213a49335e81bc22a93f96d3b16bc0e6d015dfb20d00961e26,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,heaviest_safe_first,9,3,2,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,6831916,186624,0.0,0.0063175,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/heaviest_safe_first.toml,a13f3b536876538b2d161487809ed26c5ae3f3ec1c014309a1fa62fdbec0eebf,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,lightest_safe_first,9,3,3,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,502083,141952,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/lightest_safe_first.toml,accd1ec07edb6852894e0e73c2b3af2d0868ab37a636862bcb4b345960c30752,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,maximum_immediate_burden_release,9,3,4,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,447584,142576,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/maximum_immediate_burden_release.toml,aedf01437f72902d34595706a99cb9c8980705e5df3a934d04101bce406c3ecb,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,minimum_unique_carrier_exposure,9,3,5,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,456500,142592,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/minimum_unique_carrier_exposure.toml,689ade30af0ed86df7a7849187d137058ec40d341018465c1df63a0ac789f96f,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,declared_source_order,9,3,6,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,439791,142048,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/declared_source_order.toml,900dc58f617176a6f3262740bc88335b58624de20f686a49bf833ab2a2d5bad0,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,random_order_rechecked_deletion,9,3,7,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,6974333,186208,0.0,0.006491083,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,11,11,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/random_order_rechecked_deletion.toml,046b1585ce20002644d55c9af6028c90096fe968dca05a288df31437069052c7,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,multistart_random_rechecked_deletion_32,9,3,8,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,1//1,9786333,4575136,0.0,0.0,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,352,352,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/multistart_random_rechecked_deletion_32.toml,96b4ea8f038ed59d23399fd9a459b7dee1eb30211ac80fc48c78610d30d07ea1,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,complete_enumeration,9,3,9,true,SOLVED,true,exact finite computation,1//1,70799833,6612256,0.0,0.069970665,300.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-002/complete_enumeration.toml,461fdb33eb3c04a8436f0119e4718dd7e85d16a4c53584c435c69364dda1716a,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,requirement_mask_dp,9,3,10,true,SOLVED,true,exact finite computation,1//1,519583,195520,0.0,0.0,300.0,false,17179869184,false,,UNAVAILABLE,,,,7,14,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-002/requirement_mask_dp.toml,2f1e41a73ff0bb2ed9746ff087b97726e56690aa5ffb4b8fbaa7efbd2c15da96,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,jump_highs_tagged_cover,9,3,11,true,SOLVED_BY_EXACT_PREPROCESSING,true,exact finite preprocessing computation,1//1,33949792,2719824,0.0,0.032008125,300.0,true,17179869184,false,,UNAVAILABLE,,1.0,0.0,,,,,5,5,experiments/algorithmic_compression_v1/pilot/records/P-C-002/jump_highs_tagged_cover.toml,58f6d87753b1c08b542fee00686a8fb581f8f55c37b6bb7a601d64c44e39ac32,experiments/algorithmic_compression_v1/pilot/solver_logs/P-C-002.log,9b21f4e9bc270d144d14557011a1917453fe643d3fbb11425eb70300e4f17c7d,
P-C-002,pilot,adversarial,many_tied_optima,5,5,weighted_greedy,9,3,12,true,SOLVED,true,exact finite greedy heuristic computation,1//1,492875,150256,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/weighted_greedy.toml,4b670f884af105a6e82e3acb1ebf14d86c014682d93e9c1d645946c13db0b3c2,,,
P-C-002,pilot,adversarial,many_tied_optima,5,5,cardinality_greedy,9,3,13,true,SOLVED,true,exact finite greedy heuristic computation,1//1,533542,150640,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-002/cardinality_greedy.toml,027a11bee494a1de6a72330371bb265f86d19bdaaea6fab6c7b2373d9eac675e,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,declared_source_order,14,4,1,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,15//4,573084,210832,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,21,21,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/declared_source_order.toml,bd58db9f80b3cb146b6e52ffd57b47c1ce354a32ae5dbe73d38298d0d6fc62c7,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,random_order_rechecked_deletion,14,4,2,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,6//1,552542,211216,0.0,0.0,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,21,21,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/random_order_rechecked_deletion.toml,b32d559e41ba53e8acf95e1b8f573f3d81b9e0786101780b35b1f08a2a0402ae,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,multistart_random_rechecked_deletion_32,14,4,3,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,15//4,19042250,6803264,0.0,0.006521334,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,667,667,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/multistart_random_rechecked_deletion_32.toml,f08d7ce7a69ffc00724a2da2775ba5ec0297c9e10f34cc9b7d8734d8f39d90af,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,complete_enumeration,14,4,4,true,SOLVED,true,exact finite computation,15//4,38999458,3773976,0.0,0.038198625,300.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-007/complete_enumeration.toml,bcc36c2b4c76b816c28ea675159c0674e0dbb8c1a87752e875e6bfd3648d4886,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,requirement_mask_dp,14,4,5,true,SOLVED,true,exact finite computation,15//4,579792,215728,0.0,0.0,300.0,false,17179869184,false,,UNAVAILABLE,,,,30,60,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-007/requirement_mask_dp.toml,08e07072e1f46b63885e8a9e73dd432e216b39e92974fd971978b5b7b712a2ed,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,jump_highs_tagged_cover,14,4,6,true,SOLVED,true,mixed-integer solver evidence plus exact post-check,15//4,24069583,853984,0.0,0.014278375,300.0,true,17179869184,false,,UNAVAILABLE,1,3.75,0.0,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-007/jump_highs_tagged_cover.toml,5f58f60ac86856e096e4dbf4585ea66f30f7ca1d17cab4d661cbcd3b164f7e92,experiments/algorithmic_compression_v1/pilot/solver_logs/P-C-007.log,b50d00983b08a0b340de95ad060180ffa7c71ecad622e21e5b93c36044c48dd3,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,weighted_greedy,14,4,7,true,SOLVED,true,exact finite greedy heuristic computation,15//4,621917,170296,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/weighted_greedy.toml,026a6270dfd3b69c0093b0c9e7e6fa037c59a14117194c7501966b2f7e6bd232,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,cardinality_greedy,14,4,8,true,SOLVED,true,exact finite greedy heuristic computation,17//4,559416,170920,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/cardinality_greedy.toml,bcb934fb000d4ae5d76c91c7faff5cfd9129db6560487f444c179d8adc0d6b84,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,weighted_greedy_reverse_delete,14,4,9,true,SOLVED,true,exact finite greedy heuristic computation,15//4,569834,177928,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/weighted_greedy_reverse_delete.toml,8a138ea3f23f4db2146b9b8437d4924c22f8c0371e36319c89de137f26e1e162,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,heaviest_safe_first,14,4,10,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,530667,194368,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,16,16,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/heaviest_safe_first.toml,bf20e732949da585ee8f38005f4031830baed831c1fd8cf18b8d10e433c2b2a8,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,lightest_safe_first,14,4,11,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,6//1,536542,212784,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,21,21,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/lightest_safe_first.toml,5a12e5f0909a4f5231b284dceb0f94b0c6f1517b633d0fdc90dd7163db99cbc4,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,maximum_immediate_burden_release,14,4,12,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,518333,194416,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,16,16,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/maximum_immediate_burden_release.toml,17a6362e564fb986b74d22290204e7be7db59e33bb9bbdfea858d642fa000401,,,
P-C-007,pilot,adversarial,bundle_versus_singleton,7,5,minimum_unique_carrier_exposure,14,4,13,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,6//1,530875,214256,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,21,21,,,experiments/algorithmic_compression_v1/pilot/records/P-C-007/minimum_unique_carrier_exposure.toml,1ad2e885f8c56aa9475789f2c56bbd415409b910cb6b0e33ffbaf380255a092d,,,
P-A-002,pilot,small_exact,none,7,6,requirement_mask_dp,5,5,1,true,SOLVED,true,exact finite computation,4//1,7852208,688544,0.0,0.007045583,300.0,false,17179869184,false,,UNAVAILABLE,,,,21,42,,,1,0,experiments/algorithmic_compression_v1/pilot/records/P-A-002/requirement_mask_dp.toml,7eb032fcb06ecf10266c1647dd1d6413900b0df5d134e693790d820386ec56d1,,,
P-A-002,pilot,small_exact,none,7,6,jump_highs_tagged_cover,5,5,2,true,SOLVED_BY_EXACT_PREPROCESSING,true,exact finite preprocessing computation,4//1,16754000,882480,0.0,0.014823667,300.0,true,17179869184,false,,UNAVAILABLE,,4.0,0.0,,,,,7,6,experiments/algorithmic_compression_v1/pilot/records/P-A-002/jump_highs_tagged_cover.toml,2d0a7babd6127f711c5bdd26a2437cd618bcf218384139baa7afeb2e386a2977,experiments/algorithmic_compression_v1/pilot/solver_logs/P-A-002.log,9b21f4e9bc270d144d14557011a1917453fe643d3fbb11425eb70300e4f17c7d,
P-A-002,pilot,small_exact,none,7,6,weighted_greedy,5,5,3,true,SOLVED,true,exact finite greedy heuristic computation,7//1,7122542,224632,0.0,0.006501958,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/weighted_greedy.toml,b6863125d0514c10c7e6cd345f59f78f7b6abc182753f23a2aabc92edba53058,,,
P-A-002,pilot,small_exact,none,7,6,cardinality_greedy,5,5,4,true,SOLVED,true,exact finite greedy heuristic computation,4//1,643166,175048,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/cardinality_greedy.toml,f53de1357fe8b3dc161bb5b85ff0d9abded248416fec10d37e4ed4e0ff39bbd4,,,
P-A-002,pilot,small_exact,none,7,6,weighted_greedy_reverse_delete,5,5,5,true,SOLVED,true,exact finite greedy heuristic computation,4//1,586875,194512,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/weighted_greedy_reverse_delete.toml,34ecb0ea75e7e92f078514c95137b6c874dae02952046dcaca4cb5647ac4ffa2,,,
P-A-002,pilot,small_exact,none,7,6,heaviest_safe_first,5,5,6,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,596625,221872,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,22,22,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/heaviest_safe_first.toml,c860db49ba682b04b808f0944eba9906d9a1dfe35e581b74238d2335cf69cf5a,,,
P-A-002,pilot,small_exact,none,7,6,lightest_safe_first,5,5,7,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,571709,219632,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,22,22,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/lightest_safe_first.toml,2c23489303170de99163c0232d0aa5a5c9ac352ac9610728f10ebf1695928b35,,,
P-A-002,pilot,small_exact,none,7,6,maximum_immediate_burden_release,5,5,8,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,563583,221920,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,22,22,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/maximum_immediate_burden_release.toml,25489f673f35c79d2bfd30ffa68a191081dc788deff01fefa6df5de426342261,,,
P-A-002,pilot,small_exact,none,7,6,minimum_unique_carrier_exposure,5,5,9,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,4//1,557500,222704,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,22,22,,,experiments/algorithmic_compression_v1/pilot/records/P-A-002/minimum_unique_carrier_exposure.toml,7e661826c11b86e8ec49d36a36977fd01187b017ae8e8c768d3341ed0839c6a2,,,
