trial_id,batch_id,within_batch_order,principal_cell_id,canonical_index,replicate_id,theorem_regime,boundary_mechanism,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,schedule_key,trial_seed,catalog_seed,project_seed,deletion_seed
14,1,14,C114,114,1,primitive_eligible,none,dense,low,weak,low,long,high,high,2170244346255636480,3374181177311942880,6021550313584662971,9110259663259965689,4992299852772686322
15,1,15,C037,37,1,primitive_eligible,none,sparse,low,strong,low,short,high,low,2215718639724648660,8963626601325602525,3221382660405455013,3619378598339318376,1337732095258754908
16,1,16,C094,94,1,primitive_eligible,none,dense,low,strong,high,long,low,high,2358047869190110700,3036598480169122800,5542535201437211432,1853231796075445708,2777864647457478190
17,1,17,C056,56,1,primitive_eligible,none,dense,high,strong,low,long,high,low,2511603156092366173,259401466869099779,1647628898531516954,8108058858325921422,5277641608924179291
18,1,18,C065,65,1,primitive_eligible,none,sparse,low,weak,low,short,low,high,2885965392228876883,3811646147980857349,2247650960542003337,1348931710852450724,3088104017297047973
19,1,19,C010,10,1,primitive_eligible,none,dense,low,weak,high,short,low,low,2911694203224301668,4528788848904976856,6592895312049642059,3602180062694203050,4529015495849714811
20,1,20,C048,48,1,primitive_eligible,none,dense,high,strong,high,short,high,low,2940290729086804435,6164641493921727511,1961444984253720194,5675293338290549499,7195291328993327028
21,1,21,C028,28,1,primitive_eligible,none,dense,high,weak,high,long,low,low,2977163215100043523,9149389865092202183,2349080680958730785,8404672839288084667,232417743232444253
22,1,22,C012,12,1,primitive_eligible,none,dense,high,weak,high,short,low,low,2992894296352361440,5559373839164511257,7294798960674866331,5551403007052551705,5305657239765276986
23,1,23,C017,17,1,primitive_eligible,none,sparse,low,weak,low,long,low,low,3033258842742416202,5527696781431923638,6470179226751695389,4906859151112426364,6073735168999123900
24,1,24,C008,8,1,primitive_eligible,none,dense,high,strong,low,short,low,low,3094383952722786347,4809976411124802580,9923655761225285,2710797303956066452,1157711724990361415
25,1,25,C001,1,1,primitive_eligible,none,sparse,low,weak,low,short,low,low,3311125286989114850,8621962170231847053,521932693366387849,7775374871489289234,3251023567007600306
26,1,26,C004,4,1,primitive_eligible,none,dense,high,weak,low,short,low,low,3382541707633179209,6700896650759181964,8655272808633621954,6895343555738574035,5403014592654907560
27,1,27,C120,120,1,primitive_eligible,none,dense,high,strong,low,long,high,high,3709445307642336733,6372142848102685342,3130046957544558145,496916860777384996,63974571040518999
28,1,28,C021,21,1,primitive_eligible,none,sparse,low,strong,low,long,low,low,3810039329218097693,4060528705741653288,1546902009435990255,1910593483806166332,5389893363965200727
29,1,29,C091,91,1,primitive_eligible,none,sparse,high,weak,high,long,low,high,3856770704173196276,6092348615542071361,1018313165067016930,5653783993791580979,8602526448957321835
30,1,30,C097,97,1,primitive_eligible,none,sparse,low,weak,low,short,high,high,3882815109318615011,7307216771767145280,9189614026910025515,4785713898345809181,1414010123496250341
31,1,31,C102,102,1,primitive_eligible,none,dense,low,strong,low,short,high,high,3926671871417141016,252916123593208081,7131977821385849928,6460101468450316219,7877554142712987274
32,1,32,C073,73,1,primitive_eligible,none,sparse,low,weak,high,short,low,high,4116081414574734425,1008205912164823304,3973954463899668315,206345954478334528,8540920991735540091
33,1,33,C078,78,1,primitive_eligible,none,dense,low,strong,high,short,low,high,4186526550538263922,8940200008680159518,4398462308678019518,8564853797208427,2267309062866518060
34,1,34,C111,111,1,primitive_eligible,none,sparse,high,strong,high,short,high,high,4212137950799638826,5369993137505038736,6439106496831290,3320462048179982048,6032976810440281892
35,1,35,C020,20,1,primitive_eligible,none,dense,high,weak,low,long,low,low,4231646394313759900,1256927211335662527,8212051826436332088,6266303151395557412,5260512239575630787
36,1,36,C081,81,1,primitive_eligible,none,sparse,low,weak,low,long,low,high,4283830869852748615,2393631440062538954,1759565865555612150,3298224963431045948,7452896611437851220
37,1,37,C064,64,1,primitive_eligible,none,dense,high,strong,high,long,high,low,4371703867414428603,8420364577908041937,2906545045978631304,1759716519873817775,1480119451899355055
38,1,38,C124,124,1,primitive_eligible,none,dense,high,weak,high,long,high,high,4704216727194585881,615038714049757643,7462812689550090882,8976779315255600680,7938806933188880955
39,1,39,C014,14,1,primitive_eligible,none,dense,low,strong,high,short,low,low,4751952114723909940,2401824033828700682,7210632932353923771,5265284849957931559,2012453687982672272
40,1,40,C101,101,1,primitive_eligible,none,sparse,low,strong,low,short,high,high,4892645903372945753,4639937259827260999,6559677946376090353,4917612077250794548,7493938256290987375
41,1,41,C090,90,1,primitive_eligible,none,dense,low,weak,high,long,low,high,4922497998045181422,2935288125106720823,1371949145971156087,4912707721027608513,2617563021130068234
42,1,42,C071,71,1,primitive_eligible,none,sparse,high,strong,low,short,low,high,5119324976514340020,4806755622672273989,6203818215020296958,867271045854181709,7699677220964880747
43,1,43,C003,3,1,primitive_eligible,none,sparse,high,weak,low,short,low,low,5127526408142960940,5365600471074840789,132594940381767565,5144649121082454821,3553580891120796981
44,1,44,C045,45,1,primitive_eligible,none,sparse,low,strong,high,short,high,low,5146346793621893184,2241092606233305340,758684037851180767,8461750977763787419,6073804220340466018
45,1,45,C104,104,1,primitive_eligible,none,dense,high,strong,low,short,high,high,5331978702852379218,5674755566064149382,5091223298900683322,5798571096367329057,9196795065676460134
46,1,46,C007,7,1,primitive_eligible,none,sparse,high,strong,low,short,low,low,5353286560034398883,6858665786574071051,6117098987385844712,783418883151304658,4071478672879777049
47,1,47,C002,2,1,primitive_eligible,none,dense,low,weak,low,short,low,low,5413212754253163035,5113746311770259721,251442478167623051,6411024942687391457,6729199853995970996
48,1,48,C025,25,1,primitive_eligible,none,sparse,low,weak,high,long,low,low,5419778331708903765,2429322325608547428,5271105185269658636,541377752684612289,6890842846594737636
49,1,49,C026,26,1,primitive_eligible,none,dense,low,weak,high,long,low,low,5449134902118879732,2534070460337384691,8033311716995829208,4102159806380701136,8367382118357322624
50,1,50,C070,70,1,primitive_eligible,none,dense,low,strong,low,short,low,high,5893913516680773096,3154462454563755163,239619925757988047,8901373623729989479,2786654828121476905
51,1,51,C027,27,1,primitive_eligible,none,sparse,high,weak,high,long,low,low,6371939701602184662,8968497603924265295,3728636697323553231,7339473585514164012,2495868241196608612
52,1,52,C019,19,1,primitive_eligible,none,sparse,high,weak,low,long,low,low,6390767217201554664,334216582422376895,4781017699188466239,8240799737256156580,6330840078700463742
53,1,53,C096,96,1,primitive_eligible,none,dense,high,strong,high,long,low,high,6477834576212567199,3954086254696776333,1764377995307826383,211461450192740771,4387430804911840034
54,1,54,C044,44,1,primitive_eligible,none,dense,high,weak,high,short,high,low,6620071164004900504,4582915721116994119,6800552165151066488,2213161976685214207,15714262582358314
55,1,55,C110,110,1,primitive_eligible,none,dense,low,strong,high,short,high,high,6677643954462214266,2969164323265003305,6837193168654643614,3752383788763627658,2337266233174547546
56,1,56,C103,103,1,primitive_eligible,none,sparse,high,strong,low,short,high,high,6753384929843896474,6310568785700699891,4812267623329804727,3743348851853297843,7248355615349156748
57,1,57,C034,34,1,primitive_eligible,none,dense,low,weak,low,short,high,low,6823227326429612153,4330707489874739652,7650881264919517528,5356132138283104526,5682819427944507214
58,1,58,C039,39,1,primitive_eligible,none,sparse,high,strong,low,short,high,low,7221569523830845592,6750413870748005066,1074530641342899055,4471899695835163318,9219615100530953539
59,1,59,C011,11,1,primitive_eligible,none,sparse,high,weak,high,short,low,low,7556086156982548350,4321322543005843982,3975518204729203235,5680441248428090333,2094894729014080556
60,1,60,C087,87,1,primitive_eligible,none,sparse,high,strong,low,long,low,high,7907914326688209325,2775667502888471273,5869839499344066794,7860609890253010868,3249246907906345664
61,1,61,C058,58,1,primitive_eligible,none,dense,low,weak,high,long,high,low,7928931022746180598,6608774007768920530,3298497501720112230,3348813943529846798,2132328502408370987
62,1,62,C112,112,1,primitive_eligible,none,dense,high,strong,high,short,high,high,8064564805190561330,9190499088476902628,8219098494589945635,5816077112457941366,1397831786993990661
63,1,63,C035,35,1,primitive_eligible,none,sparse,high,weak,low,short,high,low,8084398875522728057,8522459951278829163,2933153027917927809,2243141876853650294,8474752340692564042
64,1,64,C054,54,1,primitive_eligible,none,dense,low,strong,low,long,high,low,8394793712495232316,8650307701140324545,3126712305590181302,3249327746231443964,3043883329424702722
65,1,65,C085,85,1,primitive_eligible,none,sparse,low,strong,low,long,low,high,8453637228541569437,1279997477542473512,2771803445777025621,789803093376174109,6971739743908529781
66,1,66,C074,74,1,primitive_eligible,none,dense,low,weak,high,short,low,high,8493483561653896023,1325932128033164468,976929180167302766,5536984268257470264,3544778499381614929
67,1,67,C022,22,1,primitive_eligible,none,dense,low,strong,low,long,low,low,8619729464682414335,4123843512518247297,743194331311936734,98434793611328812,7096984567192507308
68,1,68,C121,121,1,primitive_eligible,none,sparse,low,weak,high,long,high,high,9022930553402270107,2160414484220754275,1886582185696974240,1112792745765079385,516769310403948841
69,1,69,C061,61,1,primitive_eligible,none,sparse,low,strong,high,long,high,low,9449684894075329192,5880119545936709551,1188193865514564391,6985711459415180099,6539986473668136688
70,1,70,C029,29,1,primitive_eligible,none,sparse,low,strong,high,long,low,low,9487717477991206341,5357350996900175255,3283597164314013290,4606900387572566204,1814278185808548053
71,1,71,C100,100,1,primitive_eligible,none,dense,high,weak,low,short,high,high,10161794673279394663,7349468993111010690,7713840456132361144,2862399157925352930,4046620251323664482
72,1,72,C083,83,1,primitive_eligible,none,sparse,high,weak,low,long,low,high,10324606113217913020,428534995202247107,8910839779808489905,8308722262048463155,6377610640383301539
73,1,73,C128,128,1,primitive_eligible,none,dense,high,strong,high,long,high,high,10351474575117163716,3473474570515136596,5524161405455957781,6833606163229727190,7592715979001554349
74,1,74,C116,116,1,primitive_eligible,none,dense,high,weak,low,long,high,high,10594526030321679268,7921106991875967774,5028484681697087721,655191986407204574,4021588502764018461
75,1,75,C095,95,1,primitive_eligible,none,sparse,high,strong,high,long,low,high,10794401614384136106,5797159400805448258,2215499114055261856,548787375496164555,5794088846858119988
76,1,76,C018,18,1,primitive_eligible,none,dense,low,weak,low,long,low,low,11082083392840511724,7977018689229461820,2700324606287319662,124653857286326258,8818320010389463490
77,1,77,C069,69,1,primitive_eligible,none,sparse,low,strong,low,short,low,high,11167108109092113003,2251743250848351581,3520285889158367163,5920788990896459754,746097368166245065
78,1,78,C089,89,1,primitive_eligible,none,sparse,low,weak,high,long,low,high,11603721856875497882,3752164311347850941,1461769876476829452,3449736101623334409,5338100555486480360
79,1,79,C125,125,1,primitive_eligible,none,sparse,low,strong,high,long,high,high,11661914151749259067,2155755288145440098,1090144096913329127,1853121316220391608,4030090380586180850
80,1,80,C047,47,1,primitive_eligible,none,sparse,high,strong,high,short,high,low,11663019935532547800,3926040487907071919,5327841854353690354,9499647874443806,5931793645253150396
81,1,81,C049,49,1,primitive_eligible,none,sparse,low,weak,low,long,high,low,11755389654733709866,2855382009656685082,4776502333494846378,3453496365253838985,6836469800317091705
82,1,82,C051,51,1,primitive_eligible,none,sparse,high,weak,low,long,high,low,11800868328637724766,4715844221261004361,8621354225944170958,9183972179192781281,6456334291917049862
83,1,83,C036,36,1,primitive_eligible,none,dense,high,weak,low,short,high,low,11805910269561353120,9082989424267760371,5879905948572305533,40670030581941842,1881700535895022527
84,1,84,C053,53,1,primitive_eligible,none,sparse,low,strong,low,long,high,low,11903596183273515268,927586599074388468,3155962738448872672,2048059103773082171,4518594221023435595
85,1,85,C063,63,1,primitive_eligible,none,sparse,high,strong,high,long,high,low,12023530070151571029,3089599211042740149,389032663235805160,2219053964564678264,1220719202860072722
86,1,86,C068,68,1,primitive_eligible,none,dense,high,weak,low,short,low,high,12111881827311092212,1744332901742569817,5118637518947225611,7210749226799747343,6777487015124298404
87,1,87,C031,31,1,primitive_eligible,none,sparse,high,strong,high,long,low,low,12274872965587617332,65452491593833169,3495288663312529510,6410438540136300223,1692401927011271361
88,1,88,C080,80,1,primitive_eligible,none,dense,high,strong,high,short,low,high,12299249810332373114,5636731575655560580,1928616856614740741,8056373153952608648,1612574857098086309
89,1,89,C077,77,1,primitive_eligible,none,sparse,low,strong,high,short,low,high,12412656237081564603,2404450664889779392,8247961130734707437,8244898819318609520,6420903996889396290
90,1,90,C076,76,1,primitive_eligible,none,dense,high,weak,high,short,low,high,12514332598460411914,7046086087070195584,2375308250731257290,2231125129351283434,176719491007493627
91,1,91,C032,32,1,primitive_eligible,none,dense,high,strong,high,long,low,low,12629146936110068914,6138675925539029429,8701601046117216348,3354678838565801067,5477363444231416163
92,1,92,C075,75,1,primitive_eligible,none,sparse,high,weak,high,short,low,high,12835399874587424866,2548002168448705046,836380400501424421,276820630463275305,8436089249596653982
93,1,93,C006,6,1,primitive_eligible,none,dense,low,strong,low,short,low,low,12933864503253785250,5939077949110835882,7639730540473212167,181749050179514372,1731155344385772439
94,1,94,C024,24,1,primitive_eligible,none,dense,high,strong,low,long,low,low,13285569932009181688,1009289242348838341,4299190200733894772,8626100021425934105,4538772984131873073
95,1,95,C033,33,1,primitive_eligible,none,sparse,low,weak,low,short,high,low,13327739988650925960,5328825617236537710,4209879716459259524,4070315805479664496,3747801867021454578
96,1,96,C060,60,1,primitive_eligible,none,dense,high,weak,high,long,high,low,13894412353465110693,6300427447397956564,9161969402005299295,9045026535148023761,6491414606629480617
97,1,97,C046,46,1,primitive_eligible,none,dense,low,strong,high,short,high,low,13904910214993089799,3739161274423299814,2235291779059766022,5506039225243893701,7049686209187887071
98,1,98,C092,92,1,primitive_eligible,none,dense,high,weak,high,long,low,high,14215819368636799381,6456372525518018538,3836542488429201696,8742755954515942248,3509765987826375347
99,1,99,C123,123,1,primitive_eligible,none,sparse,high,weak,high,long,high,high,14255550552056991612,718945325759256588,4109861598516219457,4519254665670100813,7966129088237764680
100,1,100,C088,88,1,primitive_eligible,none,dense,high,strong,low,long,low,high,14534096659084165559,5334290281573637799,4239807387949013765,348764385516141897,7186344293170481584
101,1,101,C099,99,1,primitive_eligible,none,sparse,high,weak,low,short,high,high,14554179497461257449,5306007368956618434,4710001951855412155,4966083921422889717,2622180978550404999
102,1,102,C050,50,1,primitive_eligible,none,dense,low,weak,low,long,high,low,14575573339250124812,1631623357419330578,2611555045635550158,220507600629597724,5155038811110886208
103,1,103,C086,86,1,primitive_eligible,none,dense,low,strong,low,long,low,high,14656690864055605001,6144482099494164269,3068469680188340149,2780826516071948894,7875468030219924532
104,1,104,C043,43,1,primitive_eligible,none,sparse,high,weak,high,short,high,low,14783282360538130035,2280861064638971987,152122352948960884,7203394425725486532,3490577234159490182
105,1,105,C117,117,1,primitive_eligible,none,sparse,low,strong,low,long,high,high,14806987468984870172,4041962640827710946,4012575920652403941,5866004806964696504,6294273935967940035
106,1,106,C079,79,1,primitive_eligible,none,sparse,high,strong,high,short,low,high,14828859821026666912,3715630728309618352,7518941700231426018,3636147366237272321,7978633040912325081
107,1,107,C015,15,1,primitive_eligible,none,sparse,high,strong,high,short,low,low,14943914993084501644,4997443010555453224,6954150759082835783,3690091779568667990,6298444561124937759
108,1,108,C093,93,1,primitive_eligible,none,sparse,low,strong,high,long,low,high,14974079780171393136,4550071702759519554,8799555792118081880,2756495449582296320,842625684059074464
109,1,109,C041,41,1,primitive_eligible,none,sparse,low,weak,high,short,high,low,15035950988953643615,2556901172963674324,3864232826859545257,6031500207256805093,1824030325983132550
110,1,110,C119,119,1,primitive_eligible,none,sparse,high,strong,low,long,high,high,15217165707433061130,3099646504523139806,3938630575330788637,958217227436474418,2624343387739753587
111,1,111,C055,55,1,primitive_eligible,none,sparse,high,strong,low,long,high,low,15302173254600023288,7700167907919434683,4896432473862391655,8445343472897052884,6338996768714995198
112,1,112,C066,66,1,primitive_eligible,none,dense,low,weak,low,short,low,high,15478099202138040506,7336111288135505996,2018561848982512033,6515784323847488885,4833820710636876058
113,1,113,C040,40,1,primitive_eligible,none,dense,high,strong,low,short,high,low,15535518440886346019,8417850497155543359,2379082749340806362,9106899802712463283,2434857108968147028
114,1,114,C107,107,1,primitive_eligible,none,sparse,high,weak,high,short,high,high,15539824363091282642,8231720804202460732,7114377620861583560,3673401755818143263,2143083881751350793
115,1,115,C057,57,1,primitive_eligible,none,sparse,low,weak,high,long,high,low,15751573119820503368,637764870571668137,5303502386391465313,8184253920854226989,6824616473446299770
116,1,116,C030,30,1,primitive_eligible,none,dense,low,strong,high,long,low,low,16061482758001578767,922741189432913515,8124333388366883142,2772249188489946621,6350512805986011278
117,1,117,C052,52,1,primitive_eligible,none,dense,high,weak,low,long,high,low,16081693469264183623,3934732343915008524,4715241265275489918,3115843956645674905,6128454376793147482
118,1,118,C108,108,1,primitive_eligible,none,dense,high,weak,high,short,high,high,16243764337973181905,4992475808740961802,2115159203926355776,5497499716469372330,3159863154115491924
119,1,119,C059,59,1,primitive_eligible,none,sparse,high,weak,high,long,high,low,16270787939771751725,6099447738642850376,2034569291550490212,6284859013672693111,4977780929612027787
120,1,120,C127,127,1,primitive_eligible,none,sparse,high,strong,high,long,high,high,16307625391856953315,4317262201636841139,2644799917434757208,6670446474707919379,1065615253088867883
121,1,121,C016,16,1,primitive_eligible,none,dense,high,strong,high,short,low,low,16841249836094225671,2535545637637000360,9008613103986662845,8923148025383780188,5546632409194873434
122,1,122,C084,84,1,primitive_eligible,none,dense,high,weak,low,long,low,high,16895038770125507866,7916692536889995065,46631827852061043,300672538574939283,5800023374736089957
123,1,123,C005,5,1,primitive_eligible,none,sparse,low,strong,low,short,low,low,17058065855412533115,462534755762833469,3646097457094170051,459333536981036302,7703371343576687354
124,1,124,C072,72,1,primitive_eligible,none,dense,high,strong,low,short,low,high,17072275199508205487,355997236152892986,1612149588989338898,6608243645610163105,4928662955314294494
125,1,125,C098,98,1,primitive_eligible,none,dense,low,weak,low,short,high,high,17189237788100887341,4165942887046690072,3805287604127391050,6668056735809461098,7735657864019615809
126,1,126,C106,106,1,primitive_eligible,none,dense,low,weak,high,short,high,high,17248009712275189046,4224601432605966713,4762211982253407079,4762556926899064149,265922909323267575
127,1,127,C118,118,1,primitive_eligible,none,dense,low,strong,low,long,high,high,17678973517700406393,1413773221519371889,1407347144968589000,8271557178599532042,7078029692277075285
128,1,128,C082,82,1,primitive_eligible,none,dense,low,weak,low,long,low,high,18296138969990420158,906518015987703783,6169628763702731597,1308994837363447258,8154449261028170061
129,2,1,C038,166,2,boundary,frontier_dependent_generator,dense,low,strong,low,short,high,low,128516295333416037,7136563481755628293,6379212301729681215,7650490541786227670,3161885503394861598
130,2,2,C021,149,2,boundary,frontier_dependent_generator,sparse,low,strong,low,long,low,low,240717896550571261,4441163572082259795,5436623722988626814,3180299174766170160,6885110479740618726
131,2,3,C127,255,2,boundary,frontier_dependent_generator,sparse,high,strong,high,long,high,high,279167858244501475,3843316273690174455,7596321898796215131,1721240867427939368,5876044808217089513
132,2,4,C112,240,2,boundary,frontier_dependent_generator,dense,high,strong,high,short,high,high,638682490565084002,3790804820043946405,9066143389353067344,8055640685155476245,7183383533048867756
133,2,5,C125,253,2,boundary,frontier_dependent_generator,sparse,low,strong,high,long,high,high,681850497903551191,5839423167399257498,5211053242721916394,8775689318386931627,6890569388140597765
134,2,6,C068,196,2,boundary,frontier_dependent_generator,dense,high,weak,low,short,low,high,765510435878937984,5652717328011961428,5726237944571421051,5931943543536393700,1426546680240367734
135,2,7,C109,237,2,boundary,frontier_dependent_generator,sparse,low,strong,high,short,high,high,802563581835314999,3918035887410623934,3384210196565325293,105491002740839590,7168578213286213060
136,2,8,C104,232,2,boundary,frontier_dependent_generator,dense,high,strong,low,short,high,high,807137438696831017,9097839839673590033,656468160837714491,4920494582215900115,9212720092219317978
137,2,9,C042,170,2,boundary,frontier_dependent_generator,dense,low,weak,high,short,high,low,1112922599581665232,1090705177479001042,2634752012305141618,5941299681621042041,3790223662422870914
138,2,10,C049,177,2,boundary,frontier_dependent_generator,sparse,low,weak,low,long,high,low,1337826049514729153,8762956636264231272,8844336612762228441,6305593977263577532,7407273228831039396
139,2,11,C024,152,2,boundary,frontier_dependent_generator,dense,high,strong,low,long,low,low,1350825068294078641,8716413514229055722,4117983946743770045,1624945068780142412,5102149946646804778
140,2,12,C118,246,2,boundary,frontier_dependent_generator,dense,low,strong,low,long,high,high,1497204561663611968,6898986007368181897,7156967756577994380,813737414384699980,1440072474029252674
141,2,13,C033,161,2,boundary,frontier_dependent_generator,sparse,low,weak,low,short,high,low,1520710243324451883,5969370038209156377,8595189829824432429,2886992492703543378,6754789841992845950
142,2,14,C123,251,2,boundary,frontier_dependent_generator,sparse,high,weak,high,long,high,high,1644308551829446240,4745087567649808591,4457032526269232533,1473366077775993099,2709300473301502188
143,2,15,C004,132,2,boundary,frontier_dependent_generator,dense,high,weak,low,short,low,low,1682333519562621940,5768584121162417483,3682176848767857631,4762417909060780060,1861725976933279236
144,2,16,C095,223,2,boundary,frontier_dependent_generator,sparse,high,strong,high,long,low,high,1890298613411962970,6714969009824533417,6021677016268159894,7647980846839384232,2541604655520248219
145,2,17,C087,215,2,boundary,frontier_dependent_generator,sparse,high,strong,low,long,low,high,1900220021926644829,8317490731327629937,5270753157100980175,4442719091244540202,4891956029250153452
146,2,18,C069,197,2,boundary,frontier_dependent_generator,sparse,low,strong,low,short,low,high,1960810097603290668,6370639119397115183,2807227927727105031,4971633322411834736,1076084584755045429
147,2,19,C108,236,2,boundary,frontier_dependent_generator,dense,high,weak,high,short,high,high,2028245936680809145,578958321267683573,8755393484570658510,3171604322813887668,5631494484903971810
148,2,20,C088,216,2,boundary,frontier_dependent_generator,dense,high,strong,low,long,low,high,2175249809876701198,6892498829873503318,405252652612961450,6652708643442710022,7386527992857256281
149,2,21,C098,226,2,boundary,frontier_dependent_generator,dense,low,weak,low,short,high,high,2314663231479040095,2518250731514879405,3664083198815449893,1358130752413670066,5271640761657204642
150,2,22,C074,202,2,boundary,frontier_dependent_generator,dense,low,weak,high,short,low,high,2504734762459185317,7152527832654510097,8144135037948385684,2107319326779251875,7535945965055933361
151,2,23,C003,131,2,boundary,frontier_dependent_generator,sparse,high,weak,low,short,low,low,2523376065387657289,5545169348188289791,8158296799489787027,5436830659486430648,2564027084676636250
152,2,24,C100,228,2,boundary,frontier_dependent_generator,dense,high,weak,low,short,high,high,2542086442978553437,7530850900559022520,3314046507903943835,4963821895800831127,3574706074912620453
153,2,25,C031,159,2,boundary,frontier_dependent_generator,sparse,high,strong,high,long,low,low,2811209057011131870,8208937591540946109,8744782453982236830,7744463791361405140,4312234807948751638
154,2,26,C097,225,2,boundary,frontier_dependent_generator,sparse,low,weak,low,short,high,high,2936155063974721477,613652917178404044,1312761657767854253,7666615613198322283,6020663663756639132
155,2,27,C054,182,2,boundary,frontier_dependent_generator,dense,low,strong,low,long,high,low,3047922940959826460,5913545161763161051,5683113356474355062,6568410970641793630,5920879201691286262
156,2,28,C036,164,2,boundary,frontier_dependent_generator,dense,high,weak,low,short,high,low,3310864118658127978,3243053350623549278,4892079980625525249,8160911224907355727,4941940658157266091
157,2,29,C020,148,2,boundary,frontier_dependent_generator,dense,high,weak,low,long,low,low,3388361030041719397,3017944140398903967,8139548800165778043,2986066744585724743,4973140667374329047
158,2,30,C050,178,2,boundary,frontier_dependent_generator,dense,low,weak,low,long,high,low,3579853227618958180,105347817453185697,2237851362133415168,6500473958619426154,2047813738805767278
159,2,31,C093,221,2,boundary,frontier_dependent_generator,sparse,low,strong,high,long,low,high,3790923680422305629,498478729919906616,6063087700941489018,4944087888421880133,20640165491050441
160,2,32,C055,183,2,boundary,frontier_dependent_generator,sparse,high,strong,low,long,high,low,3945989803024476573,7830041557288410132,7537842142887192548,133864698067758529,4375449627880898686
161,2,33,C005,133,2,boundary,frontier_dependent_generator,sparse,low,strong,low,short,low,low,4043021001355625957,5147131704828302682,7034013332714266917,161560757401351312,7731378206094338376
162,2,34,C051,179,2,boundary,frontier_dependent_generator,sparse,high,weak,low,long,high,low,4190483479295148687,7694514062697394160,763848363959907382,1451598813542694371,8940431076325783246
163,2,35,C014,142,2,boundary,frontier_dependent_generator,dense,low,strong,high,short,low,low,4247816827262113474,1207412537725815012,3166142506204107667,3656870800556348904,4096441281835695647
164,2,36,C075,203,2,boundary,frontier_dependent_generator,sparse,high,weak,high,short,low,high,4380461862582609522,6813245823653089675,5209026813515689316,4964921448698842494,9059336081470191778
165,2,37,C047,175,2,boundary,frontier_dependent_generator,sparse,high,strong,high,short,high,low,4479187548232358072,8820876107473061379,5069882716134846997,5953534748787722857,1391643583472804801
166,2,38,C057,185,2,boundary,frontier_dependent_generator,sparse,low,weak,high,long,high,low,4579298576860659426,765381927439452248,6184418784865061895,6382206759266423205,3978602867625704903
167,2,39,C085,213,2,boundary,frontier_dependent_generator,sparse,low,strong,low,long,low,high,4909869527856413965,6811202307656498757,7199657816675843983,3661887507049207872,5510146373374262474
168,2,40,C081,209,2,boundary,frontier_dependent_generator,sparse,low,weak,low,long,low,high,4983928133625818325,6531865275807518444,5376653026974170468,2787519190512621693,2981649814394695474
169,2,41,C022,150,2,boundary,frontier_dependent_generator,dense,low,strong,low,long,low,low,5164989152565190175,128521977758371952,1278480571111237700,6244021550398271065,2462080239209882012
170,2,42,C117,245,2,boundary,frontier_dependent_generator,sparse,low,strong,low,long,high,high,5206685670056516906,1177285401329416723,6291200004378400226,1127636454817326655,387832688687863288
171,2,43,C079,207,2,boundary,frontier_dependent_generator,sparse,high,strong,high,short,low,high,5330142715578677630,1786684292939507398,3870105169940733052,1722969523543277227,3422814920259242945
