relative_path,bytes,sha256
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/cardinality_greedy__mandatory_only.worker.toml,2864,4af22e58aaf7ec2adc938cd6b339940085709c91e7a98d02ada9b9517ff36ed4
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.handshake.toml,252,4fe3663204138e459620a60a47bf2a842196af50a74f05bc9e8e8fa32cfaf2ef
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.job.toml,1215,da666b45ebe296ad0228f9236a9a6b49056c208238c367c8b3a92a4161f0ddee
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.worker.toml,3063,6a13fd6614a4b25616dc0f9df3c1bbc5d6f4909c8c08c1f5998da983f62bc459
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.handshake.toml,272,b9535308cf5264a748403b4b19d6cd754fb1db702f49f7df0a7bbc58976e4986
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.job.toml,1273,dd4aad0691575256fa897731d3db6a7e4625da7d42020d22c296ffe5ce951044
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.worker.toml,8902,e7da1daa42577a6a530e1ff0744a734875914b3ea4c43737cff060017eacd3a7
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__mandatory_only.handshake.toml,253,25d6bb76bacda41c6b2894ca539be3baedeb4f5dc325e0bf2cc4aa2cec663a78
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__mandatory_only.job.toml,1216,b79fa0f093a61c12ab23eea1cf421163b6b65f712da6b71ff34117df77dae7d8
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/declared_source_order__mandatory_only.worker.toml,5052,20a18cdf7005fed6cda50f6278f62253abe048a896e88d0eef0e1d5286750ef7
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.handshake.toml,270,ffe8d1bdd09a00a215450dc8ee6d3e2900203fdaacff9f480d54708cbb0502eb
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.job.toml,1268,96cf5b5d1cf50d5a92f1b0fdb589728584d650564edb0e0983c6df8f345bd390
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.worker.toml,8697,c32b7167093f14ca09da2ded53760a62ec4d4557d28ae66a0cd3cca91d4c6f63
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.handshake.toml,251,c72c7a78e83b7a95cd2a68c5b1d83e19d3f1f9a719d2c2cf1ea9734f5b7fe76d
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.job.toml,1211,6bf989d95744282a3c373b0df43ab61371968ee89332f81fabb4da1b27dae952
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.worker.toml,4840,a4afba89de61a5d3b7b462484494a61a7cf1ac1932240bc293806f0a8731c6cd
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.handshake.toml,256,80f41b539c6ccd68d0ead522ecb08ebeb1125c05edbd276072c888464ead08ac
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.job.toml,1230,6384b3ef108e38acceb8a12ffda7d037cc2875bc77d8ddccbc363ddfb16ca056
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.worker.toml,13601,8a30c1fc515bf67c5f0010768da7a1711da0f7c87c01d35537aeeb8bc1b8ac54
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.handshake.toml,255,74a95e1b49d8aff9ea8b98b8c8a4964e42725f96f81a67be78c443c9a556133b
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.job.toml,1224,6d7a538efb6630b46a0bbd7d5f1a7798231313479cd00d7f5f82a2a888d7083d
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.worker.toml,6659,7543b1350051f70187e95e2c6db381ff5ccdf07fa5f3009b77eb7165edd3ac75
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.handshake.toml,269,c16538ed9207d20c36e4bca163867c2768c162a8cfb7b123db7abf6dda16f5b7
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.job.toml,1267,8f71c926d48250ebfa54fa95855caf77e4e91b854e92593d0a618ac09529040e
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.worker.toml,8875,2cae8dbb16ddbee69b38fc6993b2b916231cb3d9eab32f7e5716f98a2a74c9e0
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.handshake.toml,251,2c4deb775e757875b2e6c061955e88b4889248dddae97da7b87e14a310698709
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.job.toml,1211,900ff81a949332336e6ed925feaa271aa9bd73d6fee2c4cb9d59886b494f5630
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.worker.toml,5019,49f82988187bf2f51429f07f6993b6a1bf7ecbeaad85798844a5f029092e745e
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.handshake.toml,283,5b48724f781b849bd742cc9cf7ad9187f1cd640cef7dcddfff7827f98861bf85
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.job.toml,1306,bec1ff3274e6469b3e63988694a68c81648ab124879972dac8ba29cd6cf7a0fe
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.worker.toml,8788,8886a8dd95548efa8a9a8fa291a3e9c43bbd014a9b22a5225824487631a6797f
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.handshake.toml,264,398acfbd20b2ce9270485e206428fd4fb82e0351d412ac64fe9ba04373f7cc34
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.job.toml,1249,fa0efb1ba00c9318fba38e1b9e89f4e0d4c3e18f4bffa05f4a92a157b8985795
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.worker.toml,4969,99f5fbfc7a7c5a20327bdfcdb0fdf6c737650d31b3e2cba5cd1a4181156e2c9f
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.handshake.toml,282,323eb2333f5e92c6a5c57486097ea9527a53ecd509c538cd8cb58080aeedf075
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.job.toml,1303,0353242c8c1d361ed89aae1a9bdf56e1dff1897d2cb20f9aef8fe1974fb4c1c8
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.worker.toml,9108,87cf23a02d87e462891e119fdc37e2d32624f46081b49a638caeb9fcc0e6e76a
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.handshake.toml,263,16540c45070711a4a5e01e1f197cb06ebf2ec5b6cd140a5707f8e7ab3a3264c5
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.job.toml,1246,c91330cbdcbb231f909b537b86eb5e08050d4166662e8932800addb9dc36d0d6
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.worker.toml,5378,949f31cef74e1e1820fc13aefa0ee0b04eabb470589c91b5bd1d6c3007b16fd0
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.handshake.toml,290,7f82204d0d7867f04e9b41c50486c4d092314305e28a6ba9283d3292ef01d20e
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.job.toml,1329,d977b6ff7ed03c5b25cc35227d6b32915754734720c6033737e325bc8c24548d
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.worker.toml,21725,54e5d90dade5fbd98af9b3b6409c7f3098de8935b6c39ce1f4ebbcc6c3d88fae
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.handshake.toml,271,7c4d22c646f83abaed19f85a9394f800bb95bc7b25c8cb410e07ddc88a814fd9
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.job.toml,1272,286f1ac92cff6fd210b1aaf80b5d03747208aa31805e440a3220a5a5dee79324
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.worker.toml,18215,0307856356f5872bbb1fd2b801610f86bfc2fba0a59ff3be7054048f0fb92318
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.handshake.toml,282,6f382b8bae1fe15c18ae3319cf7445b8deb985a41da80248523ccbbc24ac559a
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.job.toml,1304,5cb126995df7540bb025495da01bf64bfd992939d12ca71ac6881fb4026ce92c
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.worker.toml,8938,90f84f666237331ac7453bd383297d861bc5798315f514e1487ed88542f174f6
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.handshake.toml,263,a80226cd3e9876c9e8406a4298dc049d393c569c5fd564a113b91c69b92b0534
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.job.toml,1247,c8e9d9bcd4363831a3a333cf3c13f7fc43ef9989a3fb6e1a0fc9222c3e66b940
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.worker.toml,4902,e9631d996ef0d61124cd53961e3abd5aa16026c11d7341b1d0e928295e902e55
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.handshake.toml,253,a58532e4a0c6a48c017a0fc63ca25612dc5f8c7745d352eccc249e4854ff2255
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.job.toml,1218,a404e4a758d617f27cf42a145d5133e02335f6b87d784403a541c0f008681885
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.worker.toml,7976,2deb0b30aa8a54fd53c29a7cfc0cb697380fa6e65c9429cc26f8374cb79b670d
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__mandatory_only.handshake.toml,251,05e44fc42bf0ad48d26fcd18021c9d8d52730d1631eea5ca3d705805c6181b1c
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__mandatory_only.job.toml,1212,bf3c216ea45bc1e6a6cd23b0910884e8ab71b292aae80e4537c9d2f92328fc72
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/requirement_mask_dp__mandatory_only.worker.toml,3063,3cb2aa8140191273624bd405c7b15350351cb4432fc83128f7590159409879dc
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__full_fixed_point_then_reconstruct.handshake.toml,266,f7b2ae4d2aade69d0e39d7217718149deaa02d4564c717debc7e555eecae98b7
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__full_fixed_point_then_reconstruct.job.toml,1256,b66e3bca7bf95d805c6ece2b8f2099e27273080fff45497e1cbd9ce2e2fd7cd5
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__full_fixed_point_then_reconstruct.worker.toml,8024,74898cbf91fad3a727378c30a0f4ba22d2910d23358d58b3c264098931c65e61
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.handshake.toml,247,ab813aca659ade4fa3c57a80eb6d5be4f9005edb90a968361edc8b8a4382f078
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.job.toml,1199,5e5cfece4e9f3dd5bee8a1e1ab228e66adbe49787f6ddc7ed56eaffbd2a2134a
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.worker.toml,3135,47a013916463c362a49012a1935a6116e35c7ba0ecd94ebcf5770da96cc1d9b0
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__full_fixed_point_then_reconstruct.handshake.toml,281,8ae20db8e51d25905fc4061b7f288146af9cc4ac33f00d409fee6cd0db9dbbc4
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__full_fixed_point_then_reconstruct.job.toml,1301,01c8f96f339d2ebdc3c15f75818b56d158dd58679626a663b4fd6f03eff384a6
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__full_fixed_point_then_reconstruct.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__full_fixed_point_then_reconstruct.worker.toml,8497,867d76b7b5c446c1d14c82c9642c654444f5ed7c3a7627582d3cb70cabdf9a2c
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.handshake.toml,262,ab9b7771b47defc9ebd623539b7c438148e614e585947d968ae141ec381a023e
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.job.toml,1244,f32f96582f9c89ba614a376c09ed5520738ac469f9f176d82947fb385081778c
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.stdout.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.worker.toml,3843,ee0f7f24dceca885c3c23c54c3f66adebd3ed2b3b065a8ce7a01546cbbcdc46e
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X02/cardinality_greedy__full_fixed_point_then_reconstruct.handshake.toml,268,d48698cd8413ea605b546ebc8b3256ac6984f531c64db94d2a27adfe47fd00d2
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X02/cardinality_greedy__full_fixed_point_then_reconstruct.job.toml,1266,717a0cd2de4799f1d598bd6094d1f1b8aec5620bf0bfaff52a0bef21b9af5f27
experiments/algorithmic_compression_v2/results/control/V2-A-N007-R006-X02/cardinality_greedy__full_fixed_point_then_reconstruct.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
