field,value,source_path,source_sha256
jump_version,1.31.1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
kernel_version,25.6.0,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
logical_core_count,10,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
machine_id,sha256:ac84fa6899d5165f3ac008ba4cb47d1a91b5498f0330a18ee2a0319d4dacc395,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
operating_system,macOS 26.6.2,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
physical_core_count,10,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
pilot_seed_used,false,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
prior_environment_path,experiments/algorithmic_compression_v2/results/environment.toml,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
prior_environment_sha256,385ef75080ebf606778a468edbe51226d2da3f84c976698f6155e2fc3c89c665,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
process_concurrency,8,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
project_sha256,595faaffbf7a74ab56c6e3fcef6f1f10185469117d3c92bad823a504cf154fab,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
ram_bytes,17179869184,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
schema_version,algorithmic-compression-final-environment-v2,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
start_time_utc,2026-08-27T15:02:35.694Z,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
supervisor_julia_threads,8,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
terminal_record_count,3907,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
worker_julia_threads,1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
