instance_id,algorithm_id,relative_gap,record_path,record_sha256
V2-A-N007-R010-X02,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,f3efefcf580cc631f279ef18750c74584f9c1abae268f1914db81f53c0448a4b
V2-A-N007-R010-X02,random_order_rechecked_deletion,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/random_order_rechecked_deletion__mandatory_only.toml,2301f312d1e7b2abcb40af4ae707f9699356cc36ed09414fb4f5b289e4f18eae
V2-A-N007-R010-X02,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/weighted_greedy__mandatory_only.toml,c101de3cd8f617d39d03f6e11ab458fb4507b0c986a948b3938055d7920ffe21
V2-A-N007-R010-X02,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/weighted_greedy_reverse_delete__mandatory_only.toml,175c35de73ce19c5bce69834e47ba389eed8ab5edfd12ac8494179bf14f8c78b
V2-A-N007-R010-X03,cardinality_greedy,2//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/cardinality_greedy__mandatory_only.toml,e0644fd25990a5b280ee7eba74181ce88e2bb074aa1d6ebfb7f6b349a0698259
V2-A-N007-R010-X03,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/declared_source_order__mandatory_only.toml,fd5fbdb73cd49b1063108af70d2940dce3ef053db830823162dd2d6bbc3e1fa6
V2-A-N007-R010-X03,heaviest_safe_first,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/heaviest_safe_first__mandatory_only.toml,6ea762f512370ab189f2ef08203337612554e83cd531555b3a8f3a2f4b65e308
V2-A-N007-R010-X03,lightest_safe_first,2//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/lightest_safe_first__mandatory_only.toml,30c70dd9924379978e69cb522d2d375d5ada34884aeacf87c2c6c858884fc0b5
V2-A-N007-R010-X03,maximum_immediate_burden_release,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/maximum_immediate_burden_release__mandatory_only.toml,30b65d72f98e8bc78e0fb79c2cd225f62c1d1ece8fe48816f68c7be12bf645c6
V2-A-N007-R010-X03,minimum_unique_carrier_exposure,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/minimum_unique_carrier_exposure__mandatory_only.toml,2b1dd69d374c663acf100a0611a2243182cb5de2b16069bc84f8eba7788d4127
V2-A-N007-R010-X03,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,eb1a9cadb1df8ac208fb7d688dcc9da91d34b55ccb3e62a4b7ce8e76a356979f
V2-A-N007-R010-X03,random_order_rechecked_deletion,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/random_order_rechecked_deletion__mandatory_only.toml,9f0f16fc80e07c2ffdc1a929a2162d8b5723b857a3a907b946576df682d7ce14
V2-A-N007-R010-X03,weighted_greedy,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/weighted_greedy__mandatory_only.toml,9d654bc629b07173f1e4f83be970b46abcc0631c6dd0d43f89cce647775b90ec
V2-A-N007-R010-X03,weighted_greedy_reverse_delete,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/weighted_greedy_reverse_delete__mandatory_only.toml,36ca620a5d60875c8c75ca99da0a8eeacfd90c6767b3163ec688a83b3b0c8f1f
V2-A-N007-R010-X04,cardinality_greedy,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/cardinality_greedy__mandatory_only.toml,d4788c7666a9514e575c0759d82b3a0008149efca46462adc25e656bcc0f13af
V2-A-N007-R010-X04,declared_source_order,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/declared_source_order__mandatory_only.toml,9369de6b5392645b11d7c45e2f3ff3a5e767290070a3ad0b7d291d1291c18175
V2-A-N007-R010-X04,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/heaviest_safe_first__mandatory_only.toml,698a8d1ad39cd0ec5699569f603ed3bced4607e0ea98b3c0c3ea823a3dd6f200
V2-A-N007-R010-X04,lightest_safe_first,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/lightest_safe_first__mandatory_only.toml,8faa7a82da35f020e61c7130d35424218c6acc72cfea8eaa877d6fdc6771527f
V2-A-N007-R010-X04,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/maximum_immediate_burden_release__mandatory_only.toml,2005d106f3b3ba5ee84547629d51037050ac8b28e43da7d59103bc16131c632a
V2-A-N007-R010-X04,minimum_unique_carrier_exposure,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/minimum_unique_carrier_exposure__mandatory_only.toml,8a958ca18756900f123c02d4f1aef4cf2cb5f9e3a656bee9c95c320e691fa304
V2-A-N007-R010-X04,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,cde4e192355dc3657e86896f48c0238015fdc3df3745455f0e997ceb498434a2
V2-A-N007-R010-X04,random_order_rechecked_deletion,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/random_order_rechecked_deletion__mandatory_only.toml,ea2e596fe9c9e5f8733fbb2de1c7a93a40ff95226742e1ad87b180616ee8578c
V2-A-N007-R010-X04,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/weighted_greedy__mandatory_only.toml,ef54a1b9b201857e98005d40810d55638fa1e2c9efda241429d31bdf2ccbba9c
V2-A-N007-R010-X04,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/weighted_greedy_reverse_delete__mandatory_only.toml,97d969a8b39b7a523c87e7e3c400eea2b95628dcb0a097ab508f107eb689f6df
V2-A-N011-R006-X01,cardinality_greedy,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/cardinality_greedy__mandatory_only.toml,f2afb19e68a52f7940e515e45c84ab50c4a15339d8ce895c592ddc94a6f914ca
V2-A-N011-R006-X01,declared_source_order,2//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/declared_source_order__mandatory_only.toml,78d6566ff6c079c9171cb76c3a17c728669087355bcd4b769aa650e1642e7caa
V2-A-N011-R006-X01,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/heaviest_safe_first__mandatory_only.toml,7637516783a692b5f8f61e91b0cb22812e0a74786ba0d6bdcbae88da883e8500
V2-A-N011-R006-X01,lightest_safe_first,2//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/lightest_safe_first__mandatory_only.toml,a13f701b163cdb003dbe74294370b31548b970cc74377edfc559f4e1d3c94f7b
V2-A-N011-R006-X01,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/maximum_immediate_burden_release__mandatory_only.toml,32de50b9602f52293a08c0df01571ed67f896af981d35bc9305519e49ec79ebf
V2-A-N011-R006-X01,minimum_unique_carrier_exposure,1//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/minimum_unique_carrier_exposure__mandatory_only.toml,64a3484763c19003c596f574d3609e86fbab1d80864607f41a62e801fb04ca88
V2-A-N011-R006-X01,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,4e0a4cca68a58194aef13b4a61b5682312ec02a1e7e450146216490071a4848f
V2-A-N011-R006-X01,random_order_rechecked_deletion,2//5,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/random_order_rechecked_deletion__mandatory_only.toml,dcb0a09f0656bd46e8cacf6802703e2cb4cd2d886424b3f7efb492c25eec1555
V2-A-N011-R006-X01,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/weighted_greedy__mandatory_only.toml,a9a7b93e11e882921a9dd710099267469396bd362f4bf98643bffafd3b86bcb1
V2-A-N011-R006-X01,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/weighted_greedy_reverse_delete__mandatory_only.toml,fec2dc9bdd4a081bec52df3c483200253206775a9814fd303f5f9394262f0baf
V2-A-N011-R006-X02,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/cardinality_greedy__mandatory_only.toml,8529be010375b6d776fba9ddbed873745d5600e731edd69244e7a5063555beeb
V2-A-N011-R006-X02,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/declared_source_order__mandatory_only.toml,e96bc3ec9e62411ebe7cafdb8301c9a62ecc0ca325a0519f299833b5fff019f2
V2-A-N011-R006-X02,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/heaviest_safe_first__mandatory_only.toml,0c69aeeca73083a02a4dc7f4e7c6eecf7758ac968285d48be3570b139515b063
V2-A-N011-R006-X02,lightest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/lightest_safe_first__mandatory_only.toml,e0876f2929fc1160ade9c1a84bbec68a6ed64d19e0ef3dd8a5969c81f4ffda39
V2-A-N011-R006-X02,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/maximum_immediate_burden_release__mandatory_only.toml,cbae57f6b4dc9d123f55c9a03a6d0f101664febebf323e80288f60ffae0d18e0
V2-A-N011-R006-X02,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/minimum_unique_carrier_exposure__mandatory_only.toml,00694a76fcdb496e68648390e26bcebf3fb3f64368aef64408cdc5a28f4a58d9
V2-A-N011-R006-X02,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,8102460da4fec8a8ec6415b002f684a0bd0d3e0a3e50579e0824f1e8bba51fdf
V2-A-N011-R006-X02,random_order_rechecked_deletion,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/random_order_rechecked_deletion__mandatory_only.toml,d970dc3fcee10284fa03b3e2db3465dd736fc3c7a0efdedae7859d7784157046
V2-A-N011-R006-X02,weighted_greedy,1//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/weighted_greedy__mandatory_only.toml,e603aabd76bd2a28a73e409368515bb2cfdd4efd808afefc69e4c3cfabafb3f8
V2-A-N011-R006-X02,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/weighted_greedy_reverse_delete__mandatory_only.toml,dc65561dd8b046832bf5bf5abaed9ddf6794a13d1d98c4dab1afef135f70b2b2
V2-A-N011-R006-X03,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/cardinality_greedy__mandatory_only.toml,658550dda84845992bf412a244d9549f0ab6867a6375bfbe0fa82a15503e735f
V2-A-N011-R006-X03,declared_source_order,2//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/declared_source_order__mandatory_only.toml,b9120a32e1d545cdb4dd9f2b62a5a4a118f1d536b27240318974713da87ff2e0
V2-A-N011-R006-X03,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/heaviest_safe_first__mandatory_only.toml,ad025b9615996286b0e41eea48dae2cb85509b9801d9ba3b134bab4c1b4645b5
V2-A-N011-R006-X03,lightest_safe_first,2//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/lightest_safe_first__mandatory_only.toml,7888a50c2d4802a13e5904595169355454be62a41526b14088a42efc81fb78aa
V2-A-N011-R006-X03,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/maximum_immediate_burden_release__mandatory_only.toml,d5b36984518b7a6f009584f8024e2f7584148c814b723fffe7f9158b2c3eddad
V2-A-N011-R006-X03,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/minimum_unique_carrier_exposure__mandatory_only.toml,1300507daf9b5643d10eaf983ded05e9fd28893c90a9c1ebf5dd68d034540ca6
V2-A-N011-R006-X03,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,c77658248bf81ab72cf8de944033a6917d9bb2b5dd3b244dc219a77201b43331
V2-A-N011-R006-X03,random_order_rechecked_deletion,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/random_order_rechecked_deletion__mandatory_only.toml,67f9ef2cb095ab06f732904ed09b92e5517f4be070cdd82539bb381ec6180d38
V2-A-N011-R006-X03,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/weighted_greedy__mandatory_only.toml,b531840973f9c2bb3b0a968a4f40ac182a8972300c5e32c341fb64169d49d903
V2-A-N011-R006-X03,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/weighted_greedy_reverse_delete__mandatory_only.toml,abe452e6bc6fb9088c6dddf37d9f86df100d6b782cc7ae1cc548f16e72b6dd17
V2-A-N011-R006-X04,cardinality_greedy,2//7,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/cardinality_greedy__mandatory_only.toml,6c9c6f68ab7aff3a5e9065e6f58014c09decba78e6e29df53968a6830a994a3a
V2-A-N011-R006-X04,declared_source_order,2//7,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/declared_source_order__mandatory_only.toml,fc2760c332007e400c6e590e0e200e5be200aec098e920f9b17fac3968bbcd93
V2-A-N011-R006-X04,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/heaviest_safe_first__mandatory_only.toml,95ed02df8560d14ce92559a8d3321c89f25812b7751239ac08469dd06169a925
V2-A-N011-R006-X04,lightest_safe_first,2//7,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/lightest_safe_first__mandatory_only.toml,abe6dfdbb66332e3e8cf819f1ef5b32e986cfcec991d3ca9b045f5646dcc8903
V2-A-N011-R006-X04,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/maximum_immediate_burden_release__mandatory_only.toml,dfb0a4f6ca7f4dedfa7ff72e18bcae519481ccef6bf68aaa7e3cb3fc2e2379fc
