instance_id,family,size,full_status,mandatory_status,variable_reduction_fraction,requirement_reduction_fraction,log_par2_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-B-N064-R032-C06-X01,structured,N64-R32,SOLVED,SOLVED,0.953125,0.90625,1.1850839303685567,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X01/jump_highs_tagged_cover__full_fixed_point.toml,c9198460a278274c4829912c39a56c9a0f88db011e956d19d962d52fd9078de9,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X01/jump_highs_tagged_cover__mandatory_only.toml,990190d908aff51c103cc331003dd2a8eff659d0d02e14060862e1e53332c38c
V2-B-N064-R032-C06-X02,structured,N64-R32,SOLVED,SOLVED,0.953125,0.90625,1.4847421132017151,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X02/jump_highs_tagged_cover__full_fixed_point.toml,cf1fb978dd9eb0ea74f6ec574f38a638166c6018412eb6e499862f9f58af4284,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X02/jump_highs_tagged_cover__mandatory_only.toml,d9cfd70766808c595f92323c22e8e9c43ee92ebbf62335a47b92502f5792a474
V2-B-N064-R032-C07-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.8121301872001012,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X01/jump_highs_tagged_cover__full_fixed_point.toml,62c047c8d6b9ce1f3c5d5b34539f99da7a7a9f2f95c48c7b0d25c609fb2acb18,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X01/jump_highs_tagged_cover__mandatory_only.toml,a8822e0c8024197ec5011497e3e400b8aa278193a8c4dbfd7d0917fd95fb07a2
V2-B-N064-R032-C07-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.445203533203385,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X02/jump_highs_tagged_cover__full_fixed_point.toml,c6c73ea32d4cb317c461c6be36e3379e5af62ea56399f64b54ea0fd392191711,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X02/jump_highs_tagged_cover__mandatory_only.toml,6b5b2e6109dce0ef0d2d93660165adb8ba539e04652b2d3413e089fdbce1679c
V2-B-N064-R032-C08-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.7734302455422232,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X01/jump_highs_tagged_cover__full_fixed_point.toml,e128f39be6d2693bdcf2099c57f4527cb7cf9550732a259c009a2c95e1757c70,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X01/jump_highs_tagged_cover__mandatory_only.toml,a74471ef25cd3728ca4cac02af0093b779f80e180b5abcc1d3e1a409280fd110
V2-B-N064-R032-C08-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.1443980136154934,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X02/jump_highs_tagged_cover__full_fixed_point.toml,33ec6f0cc4a26c3322b881496bc18bd8a7c175d1aa0a1ce1e377c14eb17fb4fe,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X02/jump_highs_tagged_cover__mandatory_only.toml,089e4bdb4422a36a4b746381dd08ae5ca540f4da3cbcb41fddd6b30acb7a9684
V2-B-N064-R032-C10-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9527670255569936,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X01/jump_highs_tagged_cover__full_fixed_point.toml,be7af52c6f0e6d2186c9a9c5c5bda8b36447596b9708b58a8adf580cb41e252d,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X01/jump_highs_tagged_cover__mandatory_only.toml,710e62b8a875a0680a4783d7d8e25eb969e15ca0b6eb1b539644bad2f4f5ac56
V2-B-N064-R032-C10-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.7277682503404213,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X02/jump_highs_tagged_cover__full_fixed_point.toml,3ba8152b9f7bec1f0871af798f9c8a822e48996b6ea2f63963fb36a61dd9d89f,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X02/jump_highs_tagged_cover__mandatory_only.toml,3cc5949d8fc310a3bedc9ee0f73c7d61c5f217154baf2812af9435df85e8ae99
V2-B-N064-R032-C11-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.1881615558823446,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X01/jump_highs_tagged_cover__full_fixed_point.toml,0e48c393b60f5a0c710c1056b55e7c584e556e428e3a7ce6168f9854dcc0034a,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X01/jump_highs_tagged_cover__mandatory_only.toml,c0c01afbbddff22f9596b1c45886e2d666d6e17e65ae1abae79203582556bf98
V2-B-N064-R032-C11-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,2.0454269965372744,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X02/jump_highs_tagged_cover__full_fixed_point.toml,b64b32ca0833cee5d4af98cb0a06f1436c3552da28a70ed42abd5fb33afbd4aa,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X02/jump_highs_tagged_cover__mandatory_only.toml,dbf9c73a7883c468c341fd99cd98d1e1217452949f46c66062374a0134643f33
V2-B-N064-R032-C12-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.6802786063674597,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X01/jump_highs_tagged_cover__full_fixed_point.toml,3215a391590cdd7369f3ce63077ada1983e423e70b867ce7ed6e33eca5e573d2,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X01/jump_highs_tagged_cover__mandatory_only.toml,ff6aee362432121617c3140fc82fac8afb681345568857bda8d6cc53d91486fb
V2-B-N064-R032-C12-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.0684298743452632,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X02/jump_highs_tagged_cover__full_fixed_point.toml,67cdea36683525483ab40c6df5e13649a5bcbd40160a597e62f207740b84055b,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X02/jump_highs_tagged_cover__mandatory_only.toml,5cffb8ad63b0b33b03334abc8c43ef59916f63e074d670f56d6dc3c3af0a8312
V2-B-N064-R032-C14-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9056022312614217,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X01/jump_highs_tagged_cover__full_fixed_point.toml,64dffaf294ae62fbd0aa5ef8d007a2d144dbf3fd1dd11c5408abe84dabc8f062,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X01/jump_highs_tagged_cover__mandatory_only.toml,47f862a4796fe9628501ee718f7b0182475682cd3aa0b853a0458514f355af5a
V2-B-N064-R032-C14-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,2.5538410007960626,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X02/jump_highs_tagged_cover__full_fixed_point.toml,74694379789bd038080dda90f28d4be81f2688e6b22769f64cd13c1720843310,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X02/jump_highs_tagged_cover__mandatory_only.toml,5e735e6d6a1c5fe1a07be19bfcb597e23d02b28aae80e959d1e9f8ebdf8d2b36
V2-B-N064-R032-C15-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.315894876583403,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X01/jump_highs_tagged_cover__full_fixed_point.toml,cf7a7120b314670ed9714b9eac99771426079454d390e88c2e4619a131ab24ae,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X01/jump_highs_tagged_cover__mandatory_only.toml,2798a95c97518ef6fb36a1eb1e28170a229b00c6223a285595ca05b88810e40b
V2-B-N064-R032-C15-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.5142452811020943,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X02/jump_highs_tagged_cover__full_fixed_point.toml,39a0b31f30895c8d235056dac5d672f6021a782cb7a56e0d69291e5ecb40a98c,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X02/jump_highs_tagged_cover__mandatory_only.toml,bcc764253197b46cec3d8c608c5c1b240759efbbddeed0be1a965254e7a0d82a
V2-B-N064-R032-C16-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.2838657054667437,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X01/jump_highs_tagged_cover__full_fixed_point.toml,87a44f8c74865bc65026220adf1b341540606432ad9a1ed978f81be60df98409,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X01/jump_highs_tagged_cover__mandatory_only.toml,b89b39028aed696e8b41ffc7107873f36e97c60150aa3284a5978cf8050d15cb
V2-B-N064-R032-C16-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9060997572428862,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X02/jump_highs_tagged_cover__full_fixed_point.toml,41c4ec51772a6142d81a879b3aee007cd59586194c9f29dd7d1ec4d67ba0e2c3,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X02/jump_highs_tagged_cover__mandatory_only.toml,f5e5e4b9f62376195e0356bcf37955a1f7bd82541a54dd9fbe3a5952e4e3f27b
V2-B-N064-R064-C01-X01,structured,N64-R64,SOLVED,SOLVED,0.375,0.125,0.8298329736715477,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X01/jump_highs_tagged_cover__full_fixed_point.toml,306713d28b7f3a0da3bf497271472d9c4ae7ea66440598dfdae3248950766f62,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X01/jump_highs_tagged_cover__mandatory_only.toml,d3c03e8b35c9b99b5a73072a239a9e3ea48a8d008db69ef76e25bc0914d19375
V2-B-N064-R064-C01-X02,structured,N64-R64,SOLVED,SOLVED,0.3125,0.015625,0.9636556967368025,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X02/jump_highs_tagged_cover__full_fixed_point.toml,4c543c9d084b45e850e084472102343a4f162fff7fdfc97b6a6fdb433117b82d,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X02/jump_highs_tagged_cover__mandatory_only.toml,157c099ef42baf1712f8e205c92d00ebc3cadb6b34b0ae113cb7e9510f16d282
V2-B-N064-R064-C02-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.4192435046994012,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X01/jump_highs_tagged_cover__full_fixed_point.toml,a7d797a5bb0931aab7710f812bdfb1ba23694c39e7305c6043b434e318eb96d6,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X01/jump_highs_tagged_cover__mandatory_only.toml,02830a9ab618ecf55b1fd575f8c5c988f474c544cbcab2211c768e6bf2333b60
V2-B-N064-R064-C02-X02,structured,N64-R64,SOLVED,SOLVED,0.6875,0.59375,1.3466482316425923,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X02/jump_highs_tagged_cover__full_fixed_point.toml,953beabd445e8fdcadb4d5d6cf32851c2cce96d3dd21f9221e9c4aa0a56da902,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X02/jump_highs_tagged_cover__mandatory_only.toml,d93e086476fde87623dc47f791847092fa4062104d029b27dcb9ebbbbf43b90a
V2-B-N064-R064-C03-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.44134241375675376,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X01/jump_highs_tagged_cover__full_fixed_point.toml,92efab193935338bd8f223aea973b36318cdb33557e22ef310525953e07fe541,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X01/jump_highs_tagged_cover__mandatory_only.toml,14094abd2aa90bc71c167b15e05e9217b447660360a260ea470d4029810b6774
V2-B-N064-R064-C03-X02,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.13781050336424883,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X02/jump_highs_tagged_cover__full_fixed_point.toml,11a927aa19925d7b79badc6edb1423897e328b7c6af6432bcaef0d73c031a9ed,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X02/jump_highs_tagged_cover__mandatory_only.toml,6404ad033f32490c9c8641e670998547e73610a4aa819ffce032ee9e0b0f4933
V2-B-N064-R064-C04-X01,structured,N64-R64,SOLVED,SOLVED,0.78125,0.640625,1.6330987853871317,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X01/jump_highs_tagged_cover__full_fixed_point.toml,cd091228c2b6fadaa9c6992e584104a077ab31f20a85621bb723644d9970aed8,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X01/jump_highs_tagged_cover__mandatory_only.toml,6a7c1db7e9c7fccb0f5e29266d5a07bf56200d5b6ad001e68521474688ffe95b
V2-B-N064-R064-C04-X02,structured,N64-R64,SOLVED,SOLVED,0.796875,0.65625,1.5545945733838615,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X02/jump_highs_tagged_cover__full_fixed_point.toml,4bb7016edcf16f727121e06cf509822fdba4edca63f8c4f0aabf8c9eb4da3ba8,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X02/jump_highs_tagged_cover__mandatory_only.toml,c691555a0c1b22988abc80004a2fea70cbd33eb965b942c58368dd28c481f614
V2-B-N064-R064-C05-X01,structured,N64-R64,SOLVED,SOLVED,0.703125,0.53125,1.3743939094929702,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X01/jump_highs_tagged_cover__full_fixed_point.toml,b694431d143394db4cb5a61731a145438e3f7c053d2000104b15cfccdcec0ce0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X01/jump_highs_tagged_cover__mandatory_only.toml,8098595f462700e40af0c6a33f3a6c7e2ca9fb82d4a32b0b046cd82c686de205
V2-B-N064-R064-C05-X02,structured,N64-R64,SOLVED,SOLVED,0.75,0.640625,1.4517903898197677,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X02/jump_highs_tagged_cover__full_fixed_point.toml,10bb1dd57df2aee87a052934ab14ec053e99d9e730c0ad370aace2bfe45df922,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X02/jump_highs_tagged_cover__mandatory_only.toml,ebf66af11d596f4138a654c1e10dd29686a0f847ab3b4f8f49d9074605ccc3c3
V2-B-N064-R064-C06-X01,structured,N64-R64,SOLVED,SOLVED,0.75,0.671875,1.9341661113544517,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X01/jump_highs_tagged_cover__full_fixed_point.toml,aff5cb4a6663697001a62560c6259837755b849cb836d8c6325135917c81945a,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X01/jump_highs_tagged_cover__mandatory_only.toml,61c6a54b861607cadf8787d0e7a881a589d4e0bbd132d8eca63ef340f3f3492b
V2-B-N064-R064-C06-X02,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.2341628340079138,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X02/jump_highs_tagged_cover__full_fixed_point.toml,166ca3ebeaf4ae2b3a6c6f0a1069ab2504ac7cc330ad8f2bdb852a0cdd881c4f,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X02/jump_highs_tagged_cover__mandatory_only.toml,fedeb6fd9158a11a3c4b6e7362cf38474a2861cc39c2572bcd408e12214d76de
V2-B-N064-R064-C07-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9216832014375603,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X01/jump_highs_tagged_cover__full_fixed_point.toml,5de4def67067e86414f369a2efb0a12521dc6f751cbcf8e904ac3ae2afe84234,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X01/jump_highs_tagged_cover__mandatory_only.toml,d051d48f10bc1869f497cf5e9687693921a9f03634dd376ef09bc4a4f4f8a643
V2-B-N064-R064-C07-X02,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9043323908580166,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X02/jump_highs_tagged_cover__full_fixed_point.toml,f090ec2ed64ee4622098d0431e625706ae440ba67f4d1c815cb79512d61653b4,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X02/jump_highs_tagged_cover__mandatory_only.toml,10b8fe663a7853509f3369c344e54e1e25788bf14c4e5939e71de6d55ed9b3ca
V2-B-N064-R064-C08-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.8856420257667919,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X01/jump_highs_tagged_cover__full_fixed_point.toml,9ff4cfe981f6f853ef07804a39c5ad804538deae6e4dd8717fe6ed0546e52ac2,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X01/jump_highs_tagged_cover__mandatory_only.toml,01b4a3d7741477be1de11e66540c033586e2a89ffeb5920a3f3fd6f7fb2359fa
V2-B-N064-R064-C08-X02,structured,N64-R64,SOLVED,SOLVED,0.953125,0.953125,1.123687401895786,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b7e4709a8f30eacb87a98a17b738428cd74c83e257554654ea873fb66a89873,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X02/jump_highs_tagged_cover__mandatory_only.toml,df01299884eb704508b91151d9624cf0065cdd213d720333fd5e2a38cc91371a
V2-B-N064-R064-C10-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.0811365719117947,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X01/jump_highs_tagged_cover__full_fixed_point.toml,5dbbc6b533136531f5642d547acb2f5eeaa3c6eebe153e782a8cfde5ab4af471,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X01/jump_highs_tagged_cover__mandatory_only.toml,a5c01110056bc658dd0cca752b1181d08698e94dbd210815d598080cdcbea234
V2-B-N064-R064-C10-X02,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9517132412916617,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X02/jump_highs_tagged_cover__full_fixed_point.toml,25c5531d6c39d215bf1f7a1fac2c34580a5a009fbb67124e17b5d4d0932df913,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X02/jump_highs_tagged_cover__mandatory_only.toml,1d71be05927aa03bedc2fd6cb3b7ee4b30c297aeec195d22cbcdc019a7a1add9
V2-B-N064-R064-C11-X01,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.9856076884267371,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X01/jump_highs_tagged_cover__full_fixed_point.toml,8540b92ad82894a2e39ad74919b3e746f558ac84e29efe41fecc857268718827,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X01/jump_highs_tagged_cover__mandatory_only.toml,88dfa257418ad6be75df7fac153dd483ebdafd9120043058b339c9ae5bcd9bfc
V2-B-N064-R064-C11-X02,structured,N64-R64,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.5626673203969887,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X02/jump_highs_tagged_cover__full_fixed_point.toml,48d10439393db435a24e290f77c3057d87586dae7bf444a9e37bc5470c9910f0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X02/jump_highs_tagged_cover__mandatory_only.toml,c0c8806ffdba1b9e14776f44eb022329a643d14dbd97353c541dda775170d3b2
