family,reference_class,algorithm,algorithm_id,registered_n,solved_n,solved_fraction,reference_available_n,reference_unavailable_n,attained_n,attainment_denominator,attainment_fraction,gap_available_n,gap_unavailable_n,relative_gap_mean,relative_gap_median,relative_gap_q10,relative_gap_q25,relative_gap_q75,relative_gap_q90,relative_gap_minimum,relative_gap_worst,absolute_gap_mean,absolute_gap_median,absolute_gap_q10,absolute_gap_q25,absolute_gap_q75,absolute_gap_q90,absolute_gap_minimum,absolute_gap_worst
small_exact,EXACT_FINITE,Cardinality greedy,cardinality_greedy,23,23,1.0,23,0,13,23,0.5652173913043478,23,0,0.6375,0,0,0,0.45,1.4,0,7,42//23,0//1,0,0,2,3.8,0//1,14//1
small_exact,EXACT_FINITE,Declared source order,declared_source_order,23,23,1.0,23,0,11,23,0.4782608695652174,23,0,0.6965,0.2857,0,0,1.167,2,0,3,48//23,2//1,0,0,3,5.6,0//1,12//1
small_exact,EXACT_FINITE,Heaviest safe first,heaviest_safe_first,23,23,1.0,23,0,22,23,0.9565217391304348,23,0,0.008696,0,0,0,0,0,0,0.2,1//23,0//1,0,0,0,0,0//1,1//1
small_exact,EXACT_FINITE,Lightest safe first,lightest_safe_first,23,23,1.0,23,0,5,23,0.21739130434782608,23,0,1.586,1,0,0.3095,2,3.32,0,7,118//23,3//1,0,2,6,13.6,0//1,22//1
small_exact,EXACT_FINITE,Maximum immediate release,maximum_immediate_burden_release,23,23,1.0,23,0,22,23,0.9565217391304348,23,0,0.008696,0,0,0,0,0,0,0.2,1//23,0//1,0,0,0,0,0//1,1//1
small_exact,EXACT_FINITE,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,23,23,1.0,23,0,17,23,0.7391304347826086,23,0,0.2303,0,0,0,0.05556,0.2686,0,3,20//23,0//1,0,0,0.5,1.8,0//1,12//1
small_exact,EXACT_FINITE,32-start random deletion,multistart_random_rechecked_deletion_32,23,23,1.0,23,0,23,23,1.0,23,0,0,0,0,0,0,0,0,0,0//1,0//1,0,0,0,0,0//1,0//1
small_exact,EXACT_FINITE,Random-order deletion,random_order_rechecked_deletion,23,23,1.0,23,0,8,23,0.34782608695652173,23,0,1.384,0.6667,0,0,2,3.3,0,7,128//23,3//1,0,0,9,14,0//1,27//1
small_exact,EXACT_FINITE,Weighted greedy,weighted_greedy,23,23,1.0,23,0,16,23,0.6956521739130435,23,0,0.08684,0,0,0,0.2,0.25,0,0.5,11//23,0//1,0,0,1,1.8,0//1,3//1
small_exact,EXACT_FINITE,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,23,23,1.0,23,0,20,23,0.8695652173913043,23,0,0.02923,0,0,0,0,0.16,0,0.25,4//23,0//1,0,0,0,0.8,0//1,2//1
small_exact,UNAVAILABLE,Cardinality greedy,cardinality_greedy,1,0,0.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Declared source order,declared_source_order,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Heaviest safe first,heaviest_safe_first,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Lightest safe first,lightest_safe_first,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Maximum immediate release,maximum_immediate_burden_release,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,32-start random deletion,multistart_random_rechecked_deletion_32,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Random-order deletion,random_order_rechecked_deletion,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Weighted greedy,weighted_greedy,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
small_exact,UNAVAILABLE,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,1,1,1.0,0,1,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Cardinality greedy,cardinality_greedy,111,111,1.0,111,0,24,111,0.21621621621621623,111,0,0.8904,0.25,0,0.05115,1,2,0,7.5,497//111,2//1,0//1,1,6,15//1,0//1,23//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Declared source order,declared_source_order,111,111,1.0,111,0,36,111,0.32432432432432434,111,0,1.533,0.1818,0,0,1,5,0,20,514//111,1//1,0//1,0,6,15//1,0//1,28//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Heaviest safe first,heaviest_safe_first,111,111,1.0,111,0,94,111,0.8468468468468469,111,0,0.09983,0,0,0,0,0.2,0,3,20//111,0//1,0//1,0,0,1//1,0//1,3//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Lightest safe first,lightest_safe_first,111,111,1.0,111,0,11,111,0.0990990990990991,111,0,4.128,0.7143,0.1053,0.246,2.875,15,0,63,495//37,9//1,2//1,2,15,30//1,0//1,77//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Maximum immediate release,maximum_immediate_burden_release,111,111,1.0,111,0,94,111,0.8468468468468469,111,0,0.09983,0,0,0,0,0.2,0,3,20//111,0//1,0//1,0,0,1//1,0//1,3//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,111,111,1.0,111,0,98,111,0.8828828828828829,111,0,0.04435,0,0,0,0,0.05556,0,1,5//37,0//1,0//1,0,0,1//1,0//1,2//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,32-start random deletion,multistart_random_rechecked_deletion_32,111,97,0.8738738738738738,111,0,76,111,0.6846846846846847,97,14,0.1324,0,0,0,0,0.5,0,2.667,50//97,0//1,0,0//1,0//1,2,0//1,8//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Random-order deletion,random_order_rechecked_deletion,111,111,1.0,111,0,28,111,0.25225225225225223,111,0,1.753,0.2222,0,0.007692,1.5,6.8,0,17,559//111,2//1,0//1,0.5,7,15//1,0//1,34//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Weighted greedy,weighted_greedy,111,111,1.0,111,0,82,111,0.7387387387387387,111,0,0.02982,0,0,0,0.0192,0.06452,0,0.5,35//111,0//1,0//1,0,1,1//1,0//1,2//1
structured,MIP_OPTIMAL_EXACTLY_RECHECKED,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,111,111,1.0,111,0,103,111,0.9279279279279279,111,0,0.01038,0,0,0,0,0,0,0.5,8//111,0//1,0//1,0,0,0//1,0//1,1//1
structured,UNAVAILABLE,Cardinality greedy,cardinality_greedy,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Declared source order,declared_source_order,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Heaviest safe first,heaviest_safe_first,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Lightest safe first,lightest_safe_first,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Maximum immediate release,maximum_immediate_burden_release,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,32-start random deletion,multistart_random_rechecked_deletion_32,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Random-order deletion,random_order_rechecked_deletion,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Weighted greedy,weighted_greedy,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
structured,UNAVAILABLE,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,17,1,0.058823529411764705,0,17,0,0,,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
