family,size,algorithm,algorithm_id,preprocessing_variant,registered_n,solved_n,solved_fraction,time_limit_seconds,wall_solved_n,wall_seconds_mean_solved,wall_seconds_median_solved,wall_seconds_q90_solved,wall_seconds_worst_solved,par2_mean_seconds,par2_median_seconds,par2_q25_seconds,par2_q75_seconds,par2_q90_seconds,par2_worst_seconds,peak_memory_available_n,peak_memory_mean_mib,peak_memory_median_mib,peak_memory_q90_mib,peak_memory_worst_mib,mip_nodes_available_n,mip_nodes_mean,mip_nodes_median,mip_nodes_q10,mip_nodes_q25,mip_nodes_q75,mip_nodes_q90,mip_nodes_minimum,mip_nodes_worst,dp_states_available_n,dp_states_mean,dp_states_median,dp_states_q10,dp_states_q25,dp_states_q75,dp_states_q90,dp_states_minimum,dp_states_worst,dp_transitions_available_n,dp_transitions_mean,dp_transitions_median,dp_transitions_q90,dp_transitions_worst,frontier_checks_available_n,frontier_checks_mean,frontier_checks_median,frontier_checks_q10,frontier_checks_q25,frontier_checks_q75,frontier_checks_q90,frontier_checks_minimum,frontier_checks_worst,closure_checks_available_n,closure_checks_mean,closure_checks_median,closure_checks_q10,closure_checks_q25,closure_checks_q75,closure_checks_q90,closure_checks_minimum,closure_checks_worst
adversarial,large,Mask DP,requirement_mask_dp,mandatory_only,1,1,1.0,300.0,1,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,0.6007,1,961.3,961.3,961.3,961.3,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1,31,31,31,31,31,31,31,31,1,62,62,62,62,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,large,Weighted greedy,weighted_greedy,mandatory_only,7,7,1.0,600.0,7,0.7618,0.7873,0.9742,1.032,0.7618,0.7873,0.6144,0.8709,0.9742,1.032,7,897.4,892.2,944.7,975.1,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,large,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,mandatory_only,7,7,1.0,600.0,7,0.7488,0.8394,0.9438,0.9679,0.7488,0.8394,0.6033,0.9248,0.9438,0.9679,7,903.6,905.2,926,940.8,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Cardinality greedy,cardinality_greedy,mandatory_only,7,7,1.0,300.0,7,0.6209,0.5735,0.7713,0.8951,0.6209,0.5735,0.5425,0.6827,0.7713,0.8951,7,900.4,883.4,950.2,986.8,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Enumeration,complete_enumeration,mandatory_only,6,1,0.16666666666666666,300.0,1,0.8939,0.8939,0.8939,0.8939,500.1,600,600,600,600,600,6,919.9,921.7,951.9,958.9,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1,256,256,256,256,256,256,256,256,1,0,0,0,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Declared source order,declared_source_order,mandatory_only,7,7,1.0,300.0,7,0.6931,0.6742,1.083,1.098,0.6931,0.6742,0.5128,0.8808,1.083,1.098,7,915.5,919.7,948.2,970.9,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,197.6,154,75.4,109.5,222,375.4,37,529,7,197.6,154,75.4,109.5,222,375.4,37,529
adversarial,medium,Heaviest safe first,heaviest_safe_first,mandatory_only,7,7,1.0,300.0,7,0.7296,0.7366,0.9278,1.05,0.7296,0.7366,0.646,0.7923,0.9278,1.05,7,924,934.3,959.9,964.8,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,164.4,101,35.8,44.5,199,379.6,34,529,7,164.4,101,35.8,44.5,199,379.6,34,529
adversarial,medium,HiGHS MIP,jump_highs_tagged_cover,full_fixed_point,7,7,1.0,900.0,7,4.799,5.228,6.448,6.532,4.799,5.228,3.543,5.846,6.448,6.532,7,980.1,987.2,1064,1090,5,1,1,1,1,1,1,1,1,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Lightest safe first,lightest_safe_first,mandatory_only,7,7,1.0,300.0,7,0.8168,0.7419,1.244,1.401,0.8168,0.7419,0.5737,1.009,1.244,1.401,7,931.7,947.6,976.6,994.4,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,192.1,154,75.4,109.5,203,352.6,37,529,7,192.1,154,75.4,109.5,203,352.6,37,529
adversarial,medium,Maximum immediate release,maximum_immediate_burden_release,mandatory_only,7,7,1.0,300.0,7,0.7462,0.8289,0.8463,0.8519,0.7462,0.8289,0.6797,0.8389,0.8463,0.8519,7,900.9,890.7,964.1,1006,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,164.4,101,35.8,44.5,199,379.6,34,529,7,164.4,101,35.8,44.5,199,379.6,34,529
adversarial,medium,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,mandatory_only,7,7,1.0,300.0,7,0.7722,0.7318,1.114,1.156,0.7722,0.7318,0.5761,0.9224,1.114,1.156,7,924.2,938,961.8,966.5,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,198.6,154,75.4,109.5,225.5,379.6,37,529,7,198.6,154,75.4,109.5,225.5,379.6,37,529
adversarial,medium,32-start random deletion,multistart_random_rechecked_deletion_32,mandatory_only,7,7,1.0,600.0,7,1.103,1.148,1.51,1.864,1.103,1.148,0.8203,1.224,1.51,1.864,7,922.4,932,972.2,986.4,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,6314,4808,2475,3580,7060,1.201e+04,1184,1.693e+04,7,6314,4808,2475,3580,7060,1.201e+04,1184,1.693e+04
adversarial,medium,Random-order deletion,random_order_rechecked_deletion,mandatory_only,7,7,1.0,600.0,7,1.036,0.9961,1.207,1.484,1.036,0.9961,0.9296,1.014,1.207,1.484,7,916.4,915,965.7,987.3,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,197.6,154,75.4,109.5,222,375.4,37,529,7,197.6,154,75.4,109.5,222,375.4,37,529
adversarial,medium,Mask DP,requirement_mask_dp,mandatory_only,7,7,1.0,300.0,7,1.382,1.351,2.122,2.362,1.382,1.351,0.8944,1.817,2.122,2.362,7,985.4,956.4,1102,1164,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,3.359e+04,1.207e+04,43.8,296,6.174e+04,9.857e+04,15,9.896e+04,7,6.717e+04,2.414e+04,1.971e+05,1.979e+05,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Weighted greedy,weighted_greedy,mandatory_only,7,7,1.0,300.0,7,0.6507,0.6361,0.8242,1.001,0.6507,0.6361,0.5816,0.7049,0.8242,1.001,7,933.6,921.7,970.3,999.9,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,medium,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,mandatory_only,7,7,1.0,300.0,7,0.7819,0.8367,0.9705,1.02,0.7819,0.8367,0.6482,0.9062,0.9705,1.02,7,940.9,949.8,985.2,985.8,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,small,Cardinality greedy,cardinality_greedy,mandatory_only,7,7,1.0,60.0,7,0.7684,0.7603,0.9167,1.062,0.7684,0.7603,0.6814,0.8163,0.9167,1.062,7,913.5,919.2,924.4,931.3,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,small,Enumeration,complete_enumeration,mandatory_only,7,7,1.0,300.0,7,0.711,0.7613,0.8595,0.912,0.711,0.7613,0.6345,0.8059,0.8595,0.912,7,884,885.5,905.4,910.7,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,109.7,64,16,24,192,256,16,256,7,0,0,0,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,small,Declared source order,declared_source_order,mandatory_only,7,7,1.0,60.0,7,0.7633,0.7432,1.074,1.263,0.7633,0.7432,0.6347,0.8773,1.074,1.263,7,899.5,881.6,956.6,966.3,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,22.71,21,10.6,13.5,32,36.4,10,37,7,22.71,21,10.6,13.5,32,36.4,10,37
adversarial,small,Heaviest safe first,heaviest_safe_first,mandatory_only,7,7,1.0,60.0,7,0.8329,0.8954,1.047,1.06,0.8329,0.8954,0.6598,1.017,1.047,1.06,7,899.3,890.4,927.4,972.7,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,21.14,16,10,10.5,32,36.4,10,37,7,21.14,16,10,10.5,32,36.4,10,37
adversarial,small,HiGHS MIP,jump_highs_tagged_cover,full_fixed_point,7,7,1.0,300.0,7,4.085,4,4.925,5.264,4.085,4,3.512,4.637,4.925,5.264,7,909.5,893.1,964.7,988.9,5,1,1,1,1,1,1,1,1,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
