instance_id,family,size,replicate_id,generation_status,strategy_count_requested,requirement_count_requested,frontier_rows_requested,module_rows_requested,coverage_density_level,coverage_density_realized,module_overlap_level,module_overlap_realized,bundle_prevalence_level,bundle_prevalence_realized,unique_carrier_frequency_level,unique_carrier_frequency_realized,weight_dispersion_level,frontier_module_correlation_level,frontier_module_association_realized,mechanism,mechanism_parameter,generation_path,instance_path,instance_sha256
V2-A-N011-R006-X03,small_exact,N11-R6,3,GENERATED,11,6,2,4,three_eighths,23//60,low_clustered,37//176,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,2//5,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R006-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R006-X03.toml,a1cf6d967916f051ace78fe1a02559d136a55b292d4be438c537f34486fc4b1a
V2-A-N011-R006-X04,small_exact,N11-R6,4,GENERATED,11,6,2,4,three_eighths,23//60,high_clustered,31//117,one_eighth,1//10,one_eighth,1//6,high_powers_of_two,positive_aligned,1//45,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R006-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R006-X04.toml,4c62f542f0719e23ea2b55c563c3faaea571a331abc4b2167b358d2b2750e079
V2-A-N011-R010-X01,small_exact,N11-R10,1,GENERATED,11,10,4,6,one_eighth,19//100,low_clustered,1//18,zero,0//1,one_eighth,1//10,low_1_to_3,independent,-2//45,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R010-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R010-X01.toml,695fca41daf2d114d46ad4bdb1fcb05943c28e596009c41939d5ba5fc1af0842
V2-A-N011-R010-X02,small_exact,N11-R10,2,GENERATED,11,10,4,6,one_eighth,1//5,high_clustered,1//17,one_eighth,1//10,zero,0//1,high_powers_of_two,independent,13//45,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R010-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R010-X02.toml,7f0b633d8aa6d657deb0c272f041cef80911b07ed7f4d5e277c7f4445d3d29ce
V2-A-N011-R010-X03,small_exact,N11-R10,3,GENERATED,11,10,4,6,three_eighths,19//50,low_clustered,263//1350,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,8//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R010-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R010-X03.toml,16d0a2a90f72e809a25384a9c07477bad089747cfe92bbe9a1e7f07ff86e78da
V2-A-N011-R010-X04,small_exact,N11-R10,4,GENERATED,11,10,4,6,three_eighths,19//50,high_clustered,22//105,one_eighth,1//10,one_eighth,1//10,high_powers_of_two,positive_aligned,1//9,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R010-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R010-X04.toml,0a623cf6ec72a7bd80dfe59270e3a24364c6e048649e4e47946cc76df67b5d0a
V2-A-N015-R006-X01,small_exact,N15-R6,1,GENERATED,15,6,2,4,one_eighth,11//84,low_clustered,1//33,zero,0//1,one_eighth,1//6,low_1_to_3,independent,-10//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R006-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R006-X01.toml,4a19f0922970396423e349011e7daf6af2b18acc26fbbde99800c7ce5fa78f1e
V2-A-N015-R006-X02,small_exact,N15-R6,2,GENERATED,15,6,2,4,one_eighth,1//7,high_clustered,1//25,one_eighth,1//7,zero,0//1,high_powers_of_two,independent,24//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R006-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R006-X02.toml,dfb961ccddcd447fad3c8acc8b2334332e6fcc60d7986e4c71ee66010740b2f4
V2-A-N015-R006-X03,small_exact,N15-R6,3,GENERATED,15,6,2,4,three_eighths,8//21,low_clustered,21//85,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,37//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R006-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R006-X03.toml,f0c277ed564008208e33ab4a736d3722fea8fd6d322f775f73cca43fdaf8edae
V2-A-N015-R006-X04,small_exact,N15-R6,4,GENERATED,15,6,2,4,three_eighths,8//21,high_clustered,16//57,one_eighth,1//7,one_eighth,1//6,high_powers_of_two,positive_aligned,9//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R006-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R006-X04.toml,7dbf916f5faf5c430796ce67da2e7eed7707c651d0880206f30a2e76ba48c27d
V2-A-N015-R010-X01,small_exact,N15-R10,1,GENERATED,15,10,4,6,one_eighth,19//140,low_clustered,1//30,zero,0//1,one_eighth,1//10,low_1_to_3,independent,6//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R010-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R010-X01.toml,38af0a3b32a4f4d12a2c8ce804ff43ee78c3197a675f0b1f03660ece9fc50868
V2-A-N015-R010-X02,small_exact,N15-R10,2,GENERATED,15,10,4,6,one_eighth,1//7,high_clustered,1//25,one_eighth,1//7,zero,0//1,high_powers_of_two,independent,24//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R010-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R010-X02.toml,58fc9bd1f41874231441d04a87a9aa12ecea27a2b009e2df30636c0eb46499a9
V2-A-N015-R010-X03,small_exact,N15-R10,3,GENERATED,15,10,4,6,three_eighths,53//140,low_clustered,259//1320,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,8//13,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R010-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R010-X03.toml,f6d4d2ce187c5ed97d92dba51f81b44e83cb2132c67dd7fc168a6e77475907ab
V2-A-N015-R010-X04,small_exact,N15-R10,4,GENERATED,15,10,4,6,three_eighths,53//140,high_clustered,17//70,one_eighth,1//7,one_eighth,1//10,high_powers_of_two,positive_aligned,17//91,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N015-R010-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N015-R010-X04.toml,34b071a4cf427b15c8a75cf8694f9ecd6eed61419db5e76f28b46e716c185897
V2-B-N064-R032-C01-X01,structured,N64-R32,1,GENERATED,64,32,8,24,one_eighth,1//8,low_clustered,27175439//525044520,zero,0//1,zero,0//1,low_1_to_3,independent,10//279,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C01-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C01-X01.toml,25c9547e4f83206a8b11d523891337fdce9a73298bdeb28e06282a9cbeb16dae
V2-B-N064-R032-C01-X02,structured,N64-R32,2,GENERATED,64,32,8,24,one_eighth,1//8,low_clustered,3014597//58338280,zero,0//1,zero,0//1,low_1_to_3,independent,-89//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C01-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C01-X02.toml,b924ca78c60357029d4494545597ca1ff3b2cecec922b8345b94fbcf44e3f4b7
V2-B-N064-R032-C02-X01,structured,N64-R32,1,GENERATED,64,32,16,16,one_eighth,1//8,low_clustered,247257//4621760,zero,0//1,one_eighth,1//8,high_powers_of_two,positive_aligned,968//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C02-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C02-X01.toml,8c28cf7b5afc72415efa0a3ae3cdf8b322d9a15a217812cddff62570b126bea4
V2-B-N064-R032-C02-X02,structured,N64-R32,2,GENERATED,64,32,16,16,one_eighth,1//8,low_clustered,3881023//72792720,zero,0//1,one_eighth,1//8,high_powers_of_two,positive_aligned,967//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C02-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C02-X02.toml,868b73316c1729c75ae0a73e6f849624ed150cfe3281cc4e36bbf47326e53c68
V2-B-N064-R032-C03-X01,structured,N64-R32,1,GENERATED,64,32,8,24,three_eighths,3//8,low_clustered,3300620641//14060475000,zero,0//1,one_eighth,1//8,low_1_to_3,independent,-52//279,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C03-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C03-X01.toml,f2b808fe9ba0c6b7a50067b1afa3ab6f82735fb6e811cadbf8f942f1dd148abd
V2-B-N064-R032-C03-X02,structured,N64-R32,2,GENERATED,64,32,8,24,three_eighths,3//8,low_clustered,10654934753//45426150000,zero,0//1,one_eighth,1//8,low_1_to_3,independent,-85//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C03-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C03-X02.toml,f5b605c2e966c6d96770f20ccd240c87205a3ebb4064e229d4b928b27fe10b4c
V2-B-N064-R032-C04-X01,structured,N64-R32,1,GENERATED,64,32,16,16,three_eighths,3//8,low_clustered,31543221//141181040,zero,0//1,zero,0//1,high_powers_of_two,positive_aligned,1363//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C04-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C04-X01.toml,f776f0a82f0636073a30a57f9aba0408f4bce02a9a91fe074b6842cccb98870f
V2-B-N064-R032-C04-X02,structured,N64-R32,2,GENERATED,64,32,16,16,three_eighths,3//8,low_clustered,280920907//1270629360,zero,0//1,zero,0//1,high_powers_of_two,positive_aligned,457//651,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C04-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C04-X02.toml,976b23e1c2bd1c6b208b703bafb807f1b1cdbbb7b05d0471a6516efd954612a3
V2-B-N064-R032-C05-X01,structured,N64-R32,1,GENERATED,64,32,8,24,one_eighth,1//8,high_clustered,19621//352176,zero,0//1,zero,0//1,high_powers_of_two,independent,37//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C05-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C05-X01.toml,ffd1458129d2ba810755ee79f826101a65742b8eeee6199badd49249551da29c
V2-B-N064-R032-C05-X02,structured,N64-R32,2,GENERATED,64,32,8,24,one_eighth,1//8,high_clustered,55031//1056528,zero,0//1,zero,0//1,high_powers_of_two,independent,-26//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C05-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C05-X02.toml,1e950a6382982c982b209a926e1946eb3f2cc72d876f5535d33db80b8e1fe8bd
V2-B-N064-R032-C06-X01,structured,N64-R32,1,GENERATED,64,32,16,16,one_eighth,1//8,high_clustered,23//348,zero,0//1,one_eighth,1//8,low_1_to_3,positive_aligned,11//217,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C06-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C06-X01.toml,82ed1cc7c147923dfd901b4f4603c6ffef5911717917d70e709ec6bd649dd46b
V2-B-N064-R032-C06-X02,structured,N64-R32,2,GENERATED,64,32,16,16,one_eighth,1//8,high_clustered,35//522,zero,0//1,one_eighth,1//8,low_1_to_3,positive_aligned,32//651,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C06-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C06-X02.toml,e2f33674bd64ba104b12cb2e1ef9c6fa1d85ed12b6223d3d7252bf2407409443
V2-B-N064-R032-C07-X01,structured,N64-R32,1,GENERATED,64,32,8,24,three_eighths,3//8,high_clustered,4415516591//17649573480,zero,0//1,one_eighth,1//8,high_powers_of_two,independent,-376//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C07-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C07-X01.toml,8b2b549592120693f2535af6b0bcf16b7eb97df44208ddd580f7eebad2fa77af
V2-B-N064-R032-C07-X02,structured,N64-R32,2,GENERATED,64,32,8,24,three_eighths,3//8,high_clustered,4293805819//17649573480,zero,0//1,one_eighth,1//8,high_powers_of_two,independent,-19//93,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C07-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C07-X02.toml,0f9458f9a530c3c8f4fbf09ba5270d0d6480f4f7e7900788f5ab36d4222e1659
V2-B-N064-R032-C08-X01,structured,N64-R32,1,GENERATED,64,32,16,16,three_eighths,3//8,high_clustered,133//464,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,449//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C08-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C08-X01.toml,12d04ad11f0cc3437e523d68aa1de57c40d5493d4ab662d22a0bd7c774a1c6b9
V2-B-N064-R032-C08-X02,structured,N64-R32,2,GENERATED,64,32,16,16,three_eighths,3//8,high_clustered,791//2784,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,470//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C08-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C08-X02.toml,1ab2ca1343a64a80dd55b4a3f5ce83de8e7894d00bbb3802bb1f4c992146f61d
V2-B-N064-R032-C09-X01,structured,N64-R32,1,GENERATION_FAILED,64,32,8,24,one_eighth,UNAVAILABLE,low_clustered,UNAVAILABLE,one_eighth,UNAVAILABLE,zero,UNAVAILABLE,low_1_to_3,positive_aligned,UNAVAILABLE,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C09-X01.toml,,
V2-B-N064-R032-C09-X02,structured,N64-R32,2,GENERATION_FAILED,64,32,8,24,one_eighth,UNAVAILABLE,low_clustered,UNAVAILABLE,one_eighth,UNAVAILABLE,zero,UNAVAILABLE,low_1_to_3,positive_aligned,UNAVAILABLE,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C09-X02.toml,,
V2-B-N064-R032-C10-X01,structured,N64-R32,1,GENERATED,64,32,16,16,one_eighth,1//8,low_clustered,35//1133,one_eighth,8//63,one_eighth,1//8,high_powers_of_two,independent,299//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C10-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C10-X01.toml,23bc52b7b82283d2b5dcff92d6b9f7271ec7ed0d1f1e09af1abacd26a9589ea0
V2-B-N064-R032-C10-X02,structured,N64-R32,2,GENERATED,64,32,16,16,one_eighth,1//8,low_clustered,23//728,one_eighth,8//63,one_eighth,1//8,high_powers_of_two,independent,520//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C10-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C10-X02.toml,91dd37d943a632ba895252809403d8bcd927063ba8db5580debad4db7ccd7225
V2-B-N064-R032-C11-X01,structured,N64-R32,1,GENERATED,64,32,8,24,three_eighths,3//8,low_clustered,24136351697//104942886048,one_eighth,8//63,one_eighth,1//8,low_1_to_3,positive_aligned,302//651,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C11-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C11-X01.toml,fa7e567d355e227dfd439d86d659788dffaa2c170d9ac258815564affc3e68be
V2-B-N064-R032-C11-X02,structured,N64-R32,2,GENERATED,64,32,8,24,three_eighths,3//8,low_clustered,7594956797//33023615625,one_eighth,8//63,one_eighth,1//8,low_1_to_3,positive_aligned,925//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C11-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C11-X02.toml,6bb1df76852233944e43a4c2f34aa9bd6c07122a9a2f4da7239a2254e6688611
V2-B-N064-R032-C12-X01,structured,N64-R32,1,GENERATED,64,32,16,16,three_eighths,3//8,low_clustered,7971167//37608480,one_eighth,8//63,zero,0//1,high_powers_of_two,independent,5//31,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C12-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C12-X01.toml,a6370c22f78c4563b94fb55402fee2d56b6566c570e0e28f2c864f637ade3254
V2-B-N064-R032-C12-X02,structured,N64-R32,2,GENERATED,64,32,16,16,three_eighths,3//8,low_clustered,5617457//25328160,one_eighth,8//63,zero,0//1,high_powers_of_two,independent,92//651,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C12-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C12-X02.toml,323230f9630b8c2cb5bb17305ff171f929928d8daeb841d9925284a4b5e437ad
V2-B-N064-R032-C13-X01,structured,N64-R32,1,GENERATION_FAILED,64,32,8,24,one_eighth,UNAVAILABLE,high_clustered,UNAVAILABLE,one_eighth,UNAVAILABLE,zero,UNAVAILABLE,high_powers_of_two,positive_aligned,UNAVAILABLE,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C13-X01.toml,,
V2-B-N064-R032-C13-X02,structured,N64-R32,2,GENERATION_FAILED,64,32,8,24,one_eighth,UNAVAILABLE,high_clustered,UNAVAILABLE,one_eighth,UNAVAILABLE,zero,UNAVAILABLE,high_powers_of_two,positive_aligned,UNAVAILABLE,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C13-X02.toml,,
V2-B-N064-R032-C14-X01,structured,N64-R32,1,GENERATED,64,32,16,16,one_eighth,1//8,high_clustered,35//522,one_eighth,8//63,one_eighth,1//8,low_1_to_3,independent,142//651,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C14-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C14-X01.toml,acdcf179f682067ffe28a5aa7f13c6c71305aab507da08eb4c59477dd20fce5a
V2-B-N064-R032-C14-X02,structured,N64-R32,2,GENERATED,64,32,16,16,one_eighth,1//8,high_clustered,71//1044,one_eighth,8//63,one_eighth,1//8,low_1_to_3,independent,482//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C14-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C14-X02.toml,f9cf80679727f6399d551ea3dfc4bb9bf39b69a66f98fa64a1e22034338eae99
V2-B-N064-R032-C15-X01,structured,N64-R32,1,GENERATED,64,32,8,24,three_eighths,3//8,high_clustered,1244579//4423452,one_eighth,8//63,one_eighth,1//8,high_powers_of_two,positive_aligned,283//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C15-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C15-X01.toml,3ce910f8670818ae4ea83f3ce03cedf27ac2cd6c2f90ef2fa1fa7f6be7fa5881
V2-B-N064-R032-C15-X02,structured,N64-R32,2,GENERATED,64,32,8,24,three_eighths,3//8,high_clustered,207149//737242,one_eighth,8//63,one_eighth,1//8,high_powers_of_two,positive_aligned,283//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C15-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C15-X02.toml,dce25010423319f3b58a8b95a52af48a5e5e24dffc0c468bf244e81cb9bee4cb
V2-B-N064-R032-C16-X01,structured,N64-R32,1,GENERATED,64,32,16,16,three_eighths,3//8,high_clustered,75403//308880,one_eighth,8//63,zero,0//1,low_1_to_3,independent,104//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C16-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C16-X01.toml,4cd4bbec6da171bf2364ced1074098bae8b43e85cd58fe16c50ae6d81471887a
V2-B-N064-R032-C16-X02,structured,N64-R32,2,GENERATED,64,32,16,16,three_eighths,3//8,high_clustered,923//3528,one_eighth,8//63,zero,0//1,low_1_to_3,independent,131//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R032-C16-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R032-C16-X02.toml,8d3277047ee4c3af8237f70840212c4682455229a12c0eacae0dbf0f9eb8c0c6
V2-B-N064-R064-C01-X01,structured,N64-R64,1,GENERATED,64,64,16,48,one_eighth,1//8,low_clustered,16323869//231231000,zero,0//1,zero,0//1,low_1_to_3,independent,106//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R064-C01-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R064-C01-X01.toml,99b5996705164d51bc71f69c0d9c0724c26e2175d222d0134f433b57f9d1b734
V2-B-N064-R064-C01-X02,structured,N64-R64,2,GENERATED,64,64,16,48,one_eighth,1//8,low_clustered,48917243//690810120,zero,0//1,zero,0//1,low_1_to_3,independent,5//217,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R064-C01-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R064-C01-X02.toml,70e614e5ce4e44b913e339e3dda00fe1ee6e4197f4e85d2c8de9d7f2269240dc
V2-B-N064-R064-C02-X01,structured,N64-R64,1,GENERATED,64,64,32,32,one_eighth,1//8,low_clustered,228965173//3471468000,zero,0//1,one_eighth,1//8,high_powers_of_two,positive_aligned,1228//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R064-C02-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R064-C02-X01.toml,7b81dd5e52bf821a6f9614c7c5a0c03767fba6d118a31a3f0a1af06eacf2265e
V2-B-N064-R064-C02-X02,structured,N64-R64,2,GENERATED,64,64,32,32,one_eighth,1//8,low_clustered,5202167//79026948,zero,0//1,one_eighth,1//8,high_powers_of_two,positive_aligned,1241//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R064-C02-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R064-C02-X02.toml,e8a6ae2c984697232043e75257a9e430f285d445b1cea4d8b8989f91449a2023
V2-B-N064-R064-C03-X01,structured,N64-R64,1,GENERATED,64,64,16,48,three_eighths,3//8,low_clustered,115228443349923394033//369501460121638068840,zero,0//1,one_eighth,1//8,low_1_to_3,independent,-79//1953,none,none,experiments/algorithmic_compression_v2/results/generation/V2-B-N064-R064-C03-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-B-N064-R064-C03-X01.toml,1d254b9b97cb215ef360ad54e055f3a0585262bb6187b29cf044c8f67ca729f6
