instance_id,family,size,start_index,exact_burden,relative_to_first,selected_best,record_path,record_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,27,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,28,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,29,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,30,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,31,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,32,4//1,1//1,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X02,small_exact,N7-R6,1,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,2,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,3,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,4,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,5,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,6,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,7,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,8,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,9,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,10,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,11,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,12,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,13,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,14,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,15,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,16,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,17,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,18,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,19,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,20,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,21,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,22,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,23,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,24,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,25,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,26,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,27,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,28,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,29,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,30,4//1,1//4,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,31,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,small_exact,N7-R6,32,16//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X03,small_exact,N7-R6,1,5//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,2,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,3,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,4,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,5,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,6,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,7,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,8,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,9,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,10,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,11,8//1,8//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,12,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,13,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,14,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,15,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,16,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,17,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,18,8//1,8//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,19,5//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,20,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,21,5//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,22,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,23,5//1,1//1,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,24,6//1,6//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,25,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,26,8//1,8//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,27,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,28,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,29,8//1,8//5,false,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,small_exact,N7-R6,30,4//1,4//5,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
