instance_id,family,size,status,first_start_burden,selected_best_burden,absolute_improvement,relative_improvement,start_count_available,record_path,record_sha256
V2-B-N064-R032-C05-X02,structured,N64-R32,SOLVED,21//1,7//1,14//1,2//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3c28d003ff4e9a9c19e4549bfef8d616a63f26aeac73a5c36733d4b54a94fdd4
V2-B-N064-R032-C06-X01,structured,N64-R32,SOLVED,9//1,9//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,a3e764284fc1df326b47e79d7b069d140a9eaaee36c39ac06c9460d8cf1dee16
V2-B-N064-R032-C06-X02,structured,N64-R32,SOLVED,12//1,11//1,1//1,1//12,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,04b4319dd1e27a5adefe4d5cf19b00f62a059bffcbef1632bd87c673219a2cc0
V2-B-N064-R032-C07-X01,structured,N64-R32,SOLVED,42//1,42//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,68738378ce90ecd65f7205d73dd91ccdb2b005a8eb2a7a009a6e27ba1fd7eb05
V2-B-N064-R032-C07-X02,structured,N64-R32,SOLVED,29//1,29//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,b0f3d5a3aea53bd94919f9d26f701251c719721c6d4cf94379e5ee3e34a5c482
V2-B-N064-R032-C08-X01,structured,N64-R32,SOLVED,2//1,2//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,74c7d25e201aea806a74397195e92ab8cfd96eea67480841660db6587ffb2ff9
V2-B-N064-R032-C08-X02,structured,N64-R32,SOLVED,4//1,2//1,2//1,1//2,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,8d88fcff2d4901b7c1982d4c689b8210a79a9e3f176718ec0e39d21bb6aec0b6
V2-B-N064-R032-C09-X01,structured,N64-R32,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,4090fe2571227926c025fd1c230b3c0bb499e07f44ae1d989a53eabacd935cd2
V2-B-N064-R032-C09-X02,structured,N64-R32,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,57e5525dd62c43680e94308418551f90924f5f2ecdb89467b178a8bdff0bda13
V2-B-N064-R032-C10-X01,structured,N64-R32,SOLVED,35//1,28//1,7//1,1//5,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,3146faa96461253249eb4ff9a3c464b169d765dfdd85e9ea2aa9b81d4f4ed6ab
V2-B-N064-R032-C10-X02,structured,N64-R32,SOLVED,20//1,13//1,7//1,7//20,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C10-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3f6725d49de5e07a228a8970142c464aa08a3096277d514cff1f63d251d8b70e
V2-B-N064-R032-C11-X01,structured,N64-R32,SOLVED,12//1,11//1,1//1,1//12,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,c01de06cd10b1724e73f622272e65e73bcd40d04754be6d5419d38d54af71f3f
V2-B-N064-R032-C11-X02,structured,N64-R32,SOLVED,9//1,8//1,1//1,1//9,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C11-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,ee87c3d0a4d55b47d9ad615c176befb747d8654baef91e5d958f4d44dcfd853d
V2-B-N064-R032-C12-X01,structured,N64-R32,SOLVED,1//1,1//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,6f7c3a84bfb1c07bb7e20171236ef9a21f381a7b87b04552f2e2264afe1c7b5f
V2-B-N064-R032-C12-X02,structured,N64-R32,SOLVED,2//1,1//1,1//1,1//2,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C12-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,a0435575825adc9205970fed06d082b2b437067502f3ee9e28017ce21e71eeda
V2-B-N064-R032-C13-X01,structured,N64-R32,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C13-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,1fa7ba3db34924135ed9ebb0ab2ee0612ab3980bb07f9f0bb934e0cec5ac263a
V2-B-N064-R032-C13-X02,structured,N64-R32,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C13-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,75230b618af8ca3005949c5819d90063da2a3201f5df77e66b4ad96dc3eb45a2
V2-B-N064-R032-C14-X01,structured,N64-R32,SOLVED,7//1,6//1,1//1,1//7,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,c8757301b998e4ae89b4bbc2cb5e77f66b2b1b080b2873b8b08340a89de79312
V2-B-N064-R032-C14-X02,structured,N64-R32,SOLVED,10//1,9//1,1//1,1//10,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C14-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,4b2e10a96f0cfc79c53ff27062ab64ee0759e7ad7d7e77ee50742bfab5e2aee8
V2-B-N064-R032-C15-X01,structured,N64-R32,SOLVED,43//1,28//1,15//1,15//43,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,5209b2da8c31f279369b8b04a8f3114e031cd755ac55314b632c63f57e653330
V2-B-N064-R032-C15-X02,structured,N64-R32,SOLVED,60//1,46//1,14//1,7//30,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C15-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9494f623f770e1fd9df1587f59167b6aaa8dc5ac37a686e7f4487310e81c95f8
V2-B-N064-R032-C16-X01,structured,N64-R32,SOLVED,1//1,1//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,cb912087ae4cc0e960f2452c99f32ffab46a5a1a924b3a6e30e3fa46d1d3f766
V2-B-N064-R032-C16-X02,structured,N64-R32,SOLVED,3//1,1//1,2//1,2//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C16-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,7aae65197c0a15df01f7d247ad217263f227f0dc3a8a02e5a21c4f10b2b4459c
V2-B-N064-R064-C01-X01,structured,N64-R64,SOLVED,18//1,12//1,6//1,1//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,18f333aa4319b3256a19b1a5f6b1eda5db21c8043496419c7a5bc928b4ccdc56
V2-B-N064-R064-C01-X02,structured,N64-R64,SOLVED,16//1,14//1,2//1,1//8,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C01-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,912e13c857e4dcfa912462dc14a049a7b7d07b382f47e37cbbf690d3bbb1b8f7
V2-B-N064-R064-C02-X01,structured,N64-R64,SOLVED,37//1,28//1,9//1,9//37,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,f08513e06d7335cf2c9b5927f03e6845e4f962ab35cbbc7888a74889e465fb11
V2-B-N064-R064-C02-X02,structured,N64-R64,SOLVED,69//1,46//1,23//1,1//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C02-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,1798494d58be06e23c407d7b881833f04af4ed5edb1c43bbe50b47bc7f1dac9c
V2-B-N064-R064-C03-X01,structured,N64-R64,SOLVED,17//1,17//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,247e2a484180a28923275e5e652512c46edbb007ecf5183fd728b40dcc720dfa
V2-B-N064-R064-C03-X02,structured,N64-R64,SOLVED,12//1,12//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C03-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,1a8dfaa75fc86e062b5560650863f46228c1e52b4ac5f5adfef9359ee20bf85b
V2-B-N064-R064-C04-X01,structured,N64-R64,SOLVED,3//1,3//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,8398683411941d6b9da1aa8c92362bb6d83c5ebc164741877ad59fd9fe584286
V2-B-N064-R064-C04-X02,structured,N64-R64,SOLVED,16//1,4//1,12//1,3//4,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C04-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,d2ede106f62cb6a4650aa9b8d24e031ed23063a60f25b98e707a0c3a147fbb46
V2-B-N064-R064-C05-X01,structured,N64-R64,SOLVED,30//1,14//1,16//1,8//15,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,8e368c0442e27227ef95785b16ced0ade51d9ee3925f02cdd308f4864e42bedb
V2-B-N064-R064-C05-X02,structured,N64-R64,SOLVED,35//1,9//1,26//1,26//35,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C05-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,c7c513afe578308bc6ac2731bfa2d3e639de319c615e9bb89c9577e4eef916b4
V2-B-N064-R064-C06-X01,structured,N64-R64,SOLVED,27//1,21//1,6//1,2//9,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,491fcaa667f7d8b487b756676086728fcecaf11345e058ee6038da5d38a939f5
V2-B-N064-R064-C06-X02,structured,N64-R64,SOLVED,24//1,18//1,6//1,1//4,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C06-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,78ff6bfc2e0d5badac8e158f86df8d5fbe6fd5a96effe4b612637802be9de650
V2-B-N064-R064-C07-X01,structured,N64-R64,SOLVED,79//1,79//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,9254578c21956dac8e57bd24caa5ad1f99259453c2d710c4f6c5397bdec4a636
V2-B-N064-R064-C07-X02,structured,N64-R64,SOLVED,31//1,31//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C07-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3cb882e2e722af563fdee77b2d7054ecc249d091603c4d497811d5d254b43f19
V2-B-N064-R064-C08-X01,structured,N64-R64,SOLVED,3//1,2//1,1//1,1//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,33a81a51527c624d22e4066cb07e510b75d99d13b476faf51230dd8504954178
V2-B-N064-R064-C08-X02,structured,N64-R64,SOLVED,7//1,3//1,4//1,4//7,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C08-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,0984a77e42fd987edccf6ba7a1a4a15e034ceb233085f711fdf9b04ca6c032fa
V2-B-N064-R064-C09-X01,structured,N64-R64,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C09-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,15d0d6173640ad861663c3ee6a82e67ea1ec81b3fbfeb9ec28824d0c80b57801
V2-B-N064-R064-C09-X02,structured,N64-R64,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C09-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3b97b37408843b1ef677af4e0788f6bcf75bceb162b2b87bb610b89c63c70657
V2-B-N064-R064-C10-X01,structured,N64-R64,SOLVED,46//1,32//1,14//1,7//23,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,a0f2a778448e2b7f0e9927e3e99ef484c6e18fd55feae88d7b45bb01f2a259ba
V2-B-N064-R064-C10-X02,structured,N64-R64,SOLVED,48//1,48//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C10-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,a22a8f55753ba7b281173f79b340de11f06720f083f0e858d78b6dcd5ef98703
V2-B-N064-R064-C11-X01,structured,N64-R64,SOLVED,24//1,20//1,4//1,1//6,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,fb9534107b4ce90f245b509bf6ef59990063bf833383bd208a0b91b83a593e72
V2-B-N064-R064-C11-X02,structured,N64-R64,SOLVED,20//1,18//1,2//1,1//10,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C11-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,85ae139eb46b8e099e40be68ea61fe0962713be7df288f4e6748b56954dcc0c7
V2-B-N064-R064-C12-X01,structured,N64-R64,SOLVED,16//1,1//1,15//1,15//16,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C12-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,82077c7639ccb308ab1f8a508e4a7f9779cd75baa139cf5ea9f979cbbc97a387
V2-B-N064-R064-C12-X02,structured,N64-R64,SOLVED,16//1,1//1,15//1,15//16,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C12-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,d1cfe534b5ff45972d81e057d2d223f17a4511a5056c425f71e74ade1cbd601b
V2-B-N064-R064-C13-X01,structured,N64-R64,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C13-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,3bbe58d534041b019e7edd376d8080bea923781a279b62fcb9cbdd400a855cdf
V2-B-N064-R064-C13-X02,structured,N64-R64,GENERATION_FAILED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C13-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3c94d770d6c9e3d46a711632ebdaa4419fd7749e6512da33d83d86cf4f206cc3
V2-B-N064-R064-C14-X01,structured,N64-R64,SOLVED,18//1,17//1,1//1,1//18,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C14-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,0a7049934d3efbe045bf2bf208df5ee207da862e9f7ec088a2ec9763f445f735
V2-B-N064-R064-C14-X02,structured,N64-R64,SOLVED,16//1,16//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C14-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,bdf9d2d0b390087d469a75c2e01c04eb450cfe34b4da066dd2273371abfe8d54
V2-B-N064-R064-C15-X01,structured,N64-R64,SOLVED,68//1,65//1,3//1,3//68,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R064-C15-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,aec46bdb3fc7e8c84a1fd200d48308e50573d6f6ab2bd6098b86f15319fd30b7
