instance_id,family,size,rule,applications,variables_removed,requirements_removed,record_path,record_sha256
V2-A-N007-R006-X03,small_exact,N7-R6,coverage_dominance,3,3,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,forced_selection_propagation,2,0,4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,mandatory_requirement_carrier,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,redundant_requirement,2,0,2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R010-X01,small_exact,N7-R10,empty_contribution,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,coverage_dominance,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,forced_selection_propagation,3,0,8,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,mandatory_requirement_carrier,3,3,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X01,small_exact,N7-R10,redundant_requirement,2,0,2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc
V2-A-N007-R010-X02,small_exact,N7-R10,empty_contribution,4,4,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,coverage_dominance,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,forced_selection_propagation,1,0,4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,mandatory_requirement_carrier,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X02,small_exact,N7-R10,redundant_requirement,1,0,6,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444
V2-A-N007-R010-X03,small_exact,N7-R10,empty_contribution,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,coverage_dominance,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,forced_selection_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,mandatory_requirement_carrier,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X03,small_exact,N7-R10,redundant_requirement,1,0,1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849
V2-A-N007-R010-X04,small_exact,N7-R10,empty_contribution,3,3,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,duplicate_coverage,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,coverage_dominance,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,forced_selection_propagation,2,0,6,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,mandatory_requirement_carrier,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N007-R010-X04,small_exact,N7-R10,redundant_requirement,1,0,4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45
V2-A-N011-R006-X01,small_exact,N11-R6,empty_contribution,5,5,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,duplicate_coverage,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,coverage_dominance,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,forced_selection_propagation,3,0,6,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,mandatory_requirement_carrier,3,3,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X01,small_exact,N11-R6,redundant_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672
V2-A-N011-R006-X02,small_exact,N11-R6,empty_contribution,8,8,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,coverage_dominance,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,forced_selection_propagation,1,0,3,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,mandatory_requirement_carrier,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X02,small_exact,N11-R6,redundant_requirement,1,0,3,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910
V2-A-N011-R006-X03,small_exact,N11-R6,empty_contribution,3,3,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,duplicate_coverage,3,4,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,coverage_dominance,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,forced_selection_propagation,2,0,4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,mandatory_requirement_carrier,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X03,small_exact,N11-R6,redundant_requirement,2,0,2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7
V2-A-N011-R006-X04,small_exact,N11-R6,empty_contribution,4,4,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,1fcf0e93eac1fb17f62ce39c385f204cd42cd2cf5299469719689aa58be0430e
V2-A-N011-R006-X04,small_exact,N11-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,1fcf0e93eac1fb17f62ce39c385f204cd42cd2cf5299469719689aa58be0430e
V2-A-N011-R006-X04,small_exact,N11-R6,duplicate_coverage,1,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,1fcf0e93eac1fb17f62ce39c385f204cd42cd2cf5299469719689aa58be0430e
V2-A-N011-R006-X04,small_exact,N11-R6,coverage_dominance,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,1fcf0e93eac1fb17f62ce39c385f204cd42cd2cf5299469719689aa58be0430e
