trial_id,corner,raw_library_ids,raw_library_valid,frontier,closure,passive_value,research_option_premium,total_value,shared_catalog,shared_closure,raw_compressed_value_gate
5,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,6//1;8//1;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,4725//256,0//1,4725//256,true,true,true
6,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;25//4,core_a;core_b;core_c,12425//768,0//1,12425//768,true,true,true
6,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;25//4,core_a;core_b;core_c;expansion,12425//768,0//1,12425//768,true,true,true
6,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;23//4;8//1,core_a;core_b;core_c,2275//128,0//1,2275//128,true,true,true
6,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;23//4;8//1,core_a;core_b;core_c;expansion,2275//128,0//1,2275//128,true,true,true
7,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;6//1,core_a;core_b;core_c,6125//384,0//1,6125//384,true,true,true
7,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,6125//384,0//1,6125//384,true,true,true
7,L10,base_1;base_2;base_3;frontier_addition;inactive,true,31//4;23//4;6//1,core_a;core_b;core_c,2275//128,0//1,2275//128,true,true,true
7,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,31//4;23//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2275//128,0//1,2275//128,true,true,true
8,L00,base_1;base_2;base_3;inactive,true,15//4;17//4;15//4,core_a;core_b;core_c,8225//768,0//1,8225//768,true,true,true
8,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;17//4;15//4,core_a;core_b;core_c;expansion,8225//768,95//512,16735//1536,true,true,true
8,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;19//4;15//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
8,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;19//4;15//4,core_a;core_b;core_c;expansion,8575//768,17//128,8677//768,true,true,true
9,L00,base_1;base_2;base_3;inactive,true,17//4;17//4;17//4,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
9,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;17//4;17//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2975//256,0//1,2975//256,true,true,true
9,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;17//4;21//4,core_a;core_b;core_c,9625//768,0//1,9625//768,true,true,true
9,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,9625//768,0//1,9625//768,true,true,true
10,L00,base_1;base_2;base_3;inactive,true,25//4;6//1;6//1,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
10,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;6//1;6//1,core_a;core_b;core_c;expansion,12775//768,3163//8192,418289//24576,true,true,true
10,L10,base_1;base_2;base_3;frontier_addition;inactive,true,31//4;6//1;6//1,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
10,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,31//4;6//1;6//1,core_a;core_b;core_c;expansion,13825//768,0//1,13825//768,true,true,true
11,L00,base_1;base_2;base_3;inactive,true,15//4;15//4;15//4,core_a;core_b;core_c,2625//256,0//1,2625//256,true,true,true
11,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;15//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2625//256,2228071//1572864,18356071//1572864,true,true,true
11,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;21//4;15//4,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
11,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;21//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2975//256,135707//196608,2420507//196608,true,true,true
12,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;4//1,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
12,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;4//1,core_a;core_b;core_c;expansion,175//16,1283//2048,23683//2048,true,true,true
12,L10,base_1;base_2;base_3;frontier_addition;inactive,true,5//1;15//4;4//1,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
12,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,5//1;15//4;4//1,core_a;core_b;core_c;expansion,2975//256,953//2048,24753//2048,true,true,true
13,L00,base_1;base_2;base_3;inactive,true,15//4;17//4;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
13,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;17//4;17//4,core_a;core_b;core_c;expansion,8575//768,0//1,8575//768,true,true,true
13,L10,base_1;base_2;base_3;frontier_addition;inactive,true,5//1;17//4;17//4,core_a;core_b;core_c,1575//128,0//1,1575//128,true,true,true
13,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,5//1;17//4;17//4,core_a;core_b;core_c;expansion,1575//128,0//1,1575//128,true,true,true
14,L00,base_1;base_2;base_3;inactive,true,6//1;6//1;25//4,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
14,L01,base_1;base_2;base_3;closure_carrier;inactive,true,6//1;6//1;25//4,core_a;core_b;core_c;expansion,12775//768,24941//196608,1098447//65536,true,true,true
14,L10,base_1;base_2;base_3;frontier_addition;inactive,true,6//1;31//4;25//4,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
14,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,6//1;31//4;25//4,core_a;core_b;core_c;expansion,875//48,0//1,875//48,true,true,true
15,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;15//4,core_a;core_b;core_c,8225//768,0//1,8225//768,true,true,true
15,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,8225//768,15991//4096,179573//12288,true,true,true
15,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;15//4;19//4,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
15,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;15//4;19//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2975//256,871//256,1923//128,true,true,true
16,L00,base_1;base_2;base_3;inactive,true,25//4;25//4;25//4,core_a;core_b;core_c,4375//256,0//1,4375//256,true,true,true
16,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;25//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,4375//256,0//1,4375//256,true,true,true
16,L10,base_1;base_2;base_3;frontier_addition;inactive,true,33//4;25//4;25//4,core_a;core_b;core_c,14525//768,0//1,14525//768,true,true,true
16,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,33//4;25//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,14525//768,0//1,14525//768,true,true,true
17,L00,base_1;base_2;base_3;inactive,true,23//4;6//1;25//4,core_a;core_b;core_c,525//32,0//1,525//32,true,true,true
17,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;6//1;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,525//32,325//1024,17125//1024,true,true,true
17,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;31//4;25//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
17,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;31//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,13825//768,17//128,13927//768,true,true,true
18,L00,base_1;base_2;base_3;inactive,true,15//4;4//1;17//4,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
18,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;4//1;17//4,core_a;core_b;core_c;expansion,175//16,20683//16384,199883//16384,true,true,true
18,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;19//4;17//4,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
18,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;19//4;17//4,core_a;core_b;core_c;expansion,2975//256,4477//4096,52077//4096,true,true,true
19,L00,base_1;base_2;base_3;inactive,true,6//1;6//1;23//4,core_a;core_b;core_c,12425//768,0//1,12425//768,true,true,true
19,L01,base_1;base_2;base_3;closure_carrier;inactive,true,6//1;6//1;23//4,core_a;core_b;core_c;expansion,12425//768,0//1,12425//768,true,true,true
19,L10,base_1;base_2;base_3;frontier_addition;inactive,true,6//1;6//1;8//1,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
19,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,6//1;6//1;8//1,core_a;core_b;core_c;expansion,875//48,0//1,875//48,true,true,true
20,L00,base_1;base_2;base_3;inactive,true,25//4;25//4;23//4,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
20,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;25//4;23//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,12775//768,144661//65536,3704383//196608,true,true,true
20,L10,base_1;base_2;base_3;frontier_addition;inactive,true,25//4;25//4;8//1,core_a;core_b;core_c,7175//384,0//1,7175//384,true,true,true
20,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,25//4;25//4;8//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,7175//384,1117//1024,60751//3072,true,true,true
21,L00,base_1;base_2;base_3;inactive,true,23//4;6//1;25//4,core_a;core_b;core_c,525//32,0//1,525//32,true,true,true
21,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;6//1;25//4,core_a;core_b;core_c;expansion,525//32,0//1,525//32,true,true,true
21,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;6//1;33//4,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
21,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;6//1;33//4,core_a;core_b;core_c;expansion,875//48,0//1,875//48,true,true,true
22,L00,base_1;base_2;base_3;inactive,true,23//4;6//1;23//4,core_a;core_b;core_c,6125//384,0//1,6125//384,true,true,true
22,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;6//1;23//4,core_a;core_b;core_c;expansion,6125//384,0//1,6125//384,true,true,true
22,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;6//1;33//4,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
22,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;6//1;33//4,core_a;core_b;core_c;expansion,875//48,0//1,875//48,true,true,true
23,L00,base_1;base_2;base_3;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
23,L01,base_1;base_2;base_3;closure_carrier;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c;expansion,8575//768,0//1,8575//768,true,true,true
23,L10,base_1;base_2;base_3;frontier_addition;inactive,true,4//1;5//1;17//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
23,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,4//1;5//1;17//4,core_a;core_b;core_c;expansion,9275//768,0//1,9275//768,true,true,true
24,L00,base_1;base_2;base_3;inactive,true,25//4;6//1;6//1,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
24,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;6//1;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,12775//768,13661//16384,858583//49152,true,true,true
24,L10,base_1;base_2;base_3;frontier_addition;inactive,true,8//1;6//1;6//1,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
24,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,8//1;6//1;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,875//48,7483//16384,918449//49152,true,true,true
25,L00,base_1;base_2;base_3;inactive,true,15//4;17//4;4//1,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
25,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;17//4;4//1,core_a;core_b;core_c;expansion,175//16,2075//4096,46875//4096,true,true,true
25,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;17//4;21//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
25,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;17//4;21//4,core_a;core_b;core_c;expansion,9275//768,1077//4096,151631//12288,true,true,true
26,L00,base_1;base_2;base_3;inactive,true,23//4;6//1;23//4,core_a;core_b;core_c,6125//384,0//1,6125//384,true,true,true
26,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;6//1;23//4,core_a;core_b;core_c;expansion,6125//384,11021//16384,817063//49152,true,true,true
26,L10,base_1;base_2;base_3;frontier_addition;inactive,true,31//4;6//1;23//4,core_a;core_b;core_c,2275//128,0//1,2275//128,true,true,true
26,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,31//4;6//1;23//4,core_a;core_b;core_c;expansion,2275//128,2097//8192,147697//8192,true,true,true
27,L00,base_1;base_2;base_3;inactive,true,25//4;6//1;23//4,core_a;core_b;core_c,525//32,0//1,525//32,true,true,true
27,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;6//1;23//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,525//32,61//256,4261//256,true,true,true
27,L10,base_1;base_2;base_3;frontier_addition;inactive,true,25//4;6//1;31//4,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
27,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,25//4;6//1;31//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,875//48,1447//49152,299149//16384,true,true,true
28,L00,base_1;base_2;base_3;inactive,true,17//4;4//1;15//4,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
28,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;4//1;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,175//16,0//1,175//16,true,true,true
28,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;4//1;21//4,core_a;core_b;core_c,1575//128,0//1,1575//128,true,true,true
28,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;4//1;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,1575//128,0//1,1575//128,true,true,true
29,L00,base_1;base_2;base_3;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
29,L01,base_1;base_2;base_3;closure_carrier;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c;expansion,8575//768,0//1,8575//768,true,true,true
29,L10,base_1;base_2;base_3;frontier_addition;inactive,true,4//1;21//4;17//4,core_a;core_b;core_c,1575//128,0//1,1575//128,true,true,true
29,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,4//1;21//4;17//4,core_a;core_b;core_c;expansion,1575//128,0//1,1575//128,true,true,true
30,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
30,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;17//4,core_a;core_b;core_c;expansion,8575//768,53689//16384,709867//49152,true,true,true
30,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;15//4;5//1,core_a;core_b;core_c,2275//192,0//1,2275//192,true,true,true
30,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;15//4;5//1,core_a;core_b;core_c;expansion,2275//192,11881//4096,181243//12288,true,true,true
31,L00,base_1;base_2;base_3;inactive,true,25//4;6//1;6//1,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
31,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;6//1;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,12775//768,15991//4096,252373//12288,true,true,true
31,L10,base_1;base_2;base_3;frontier_addition;inactive,true,25//4;8//1;6//1,core_a;core_b;core_c,4725//256,0//1,4725//256,true,true,true
31,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,25//4;8//1;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,4725//256,11881//4096,87481//4096,true,true,true
32,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
32,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;17//4,core_a;core_b;core_c;expansion,8575//768,0//1,8575//768,true,true,true
32,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;21//4;17//4,core_a;core_b;core_c,9625//768,0//1,9625//768,true,true,true
32,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;21//4;17//4,core_a;core_b;core_c;expansion,9625//768,0//1,9625//768,true,true,true
33,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;23//4,core_a;core_b;core_c,4025//256,0//1,4025//256,true,true,true
33,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;23//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,4025//256,0//1,4025//256,true,true,true
33,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;23//4;33//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
33,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;23//4;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,13825//768,0//1,13825//768,true,true,true
34,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;4//1,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
34,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;4//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,175//16,144661//65536,861461//65536,true,true,true
34,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;15//4;21//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
34,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;15//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,9275//768,203//128,10493//768,true,true,true
35,L00,base_1;base_2;base_3;inactive,true,25//4;6//1;25//4,core_a;core_b;core_c,6475//384,0//1,6475//384,true,true,true
35,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;6//1;25//4,core_a;core_b;core_c;expansion,6475//384,0//1,6475//384,true,true,true
35,L10,base_1;base_2;base_3;frontier_addition;inactive,true,31//4;6//1;25//4,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
35,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,31//4;6//1;25//4,core_a;core_b;core_c;expansion,875//48,0//1,875//48,true,true,true
36,L00,base_1;base_2;base_3;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
36,L01,base_1;base_2;base_3;closure_carrier;inactive,true,4//1;4//1;17//4,core_a;core_b;core_c;expansion,8575//768,0//1,8575//768,true,true,true
36,L10,base_1;base_2;base_3;frontier_addition;inactive,true,5//1;4//1;17//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
36,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,5//1;4//1;17//4,core_a;core_b;core_c;expansion,9275//768,0//1,9275//768,true,true,true
37,L00,base_1;base_2;base_3;inactive,true,25//4;23//4;25//4,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
37,L01,base_1;base_2;base_3;closure_carrier;inactive,true,25//4;23//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,12775//768,0//1,12775//768,true,true,true
37,L10,base_1;base_2;base_3;frontier_addition;inactive,true,25//4;23//4;31//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
37,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,25//4;23//4;31//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,13825//768,0//1,13825//768,true,true,true
38,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;23//4,core_a;core_b;core_c,4025//256,0//1,4025//256,true,true,true
38,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;23//4,core_a;core_b;core_c;expansion,4025//256,0//1,4025//256,true,true,true
38,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;23//4;33//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
38,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;23//4;33//4,core_a;core_b;core_c;expansion,13825//768,0//1,13825//768,true,true,true
39,L00,base_1;base_2;base_3;inactive,true,6//1;25//4;6//1,core_a;core_b;core_c,12775//768,0//1,12775//768,true,true,true
39,L01,base_1;base_2;base_3;closure_carrier;inactive,true,6//1;25//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,12775//768,0//1,12775//768,true,true,true
39,L10,base_1;base_2;base_3;frontier_addition;inactive,true,6//1;8//1;6//1,core_a;core_b;core_c,875//48,0//1,875//48,true,true,true
39,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,6//1;8//1;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,875//48,0//1,875//48,true,true,true
40,L00,base_1;base_2;base_3;inactive,true,17//4;17//4;17//4,core_a;core_b;core_c,2975//256,0//1,2975//256,true,true,true
40,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;17//4;17//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2975//256,53689//16384,244089//16384,true,true,true
40,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;17//4;5//1,core_a;core_b;core_c,1575//128,0//1,1575//128,true,true,true
40,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;17//4;5//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,1575//128,11881//4096,62281//4096,true,true,true
41,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;23//4,core_a;core_b;core_c,4025//256,0//1,4025//256,true,true,true
41,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;23//4,core_a;core_b;core_c;expansion,4025//256,0//1,4025//256,true,true,true
41,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;33//4;23//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
41,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;33//4;23//4,core_a;core_b;core_c;expansion,13825//768,0//1,13825//768,true,true,true
42,L00,base_1;base_2;base_3;inactive,true,17//4;15//4;17//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
42,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;15//4;17//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,8575//768,13713//32768,1138739//98304,true,true,true
42,L10,base_1;base_2;base_3;frontier_addition;inactive,true,17//4;15//4;5//1,core_a;core_b;core_c,2275//192,0//1,2275//192,true,true,true
42,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,17//4;15//4;5//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,2275//192,13997//49152,198799//16384,true,true,true
43,L00,base_1;base_2;base_3;inactive,true,17//4;17//4;15//4,core_a;core_b;core_c,8575//768,0//1,8575//768,true,true,true
43,L01,base_1;base_2;base_3;closure_carrier;inactive,true,17//4;17//4;15//4,core_a;core_b;core_c;expansion,8575//768,14343//16384,591829//49152,true,true,true
43,L10,base_1;base_2;base_3;frontier_addition;inactive,true,21//4;17//4;15//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
43,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,21//4;17//4;15//4,core_a;core_b;core_c;expansion,9275//768,2735//4096,156605//12288,true,true,true
44,L00,base_1;base_2;base_3;inactive,true,4//1;17//4;15//4,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
44,L01,base_1;base_2;base_3;closure_carrier;inactive,true,4//1;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,175//16,80205//65536,797005//65536,true,true,true
44,L10,base_1;base_2;base_3;frontier_addition;inactive,true,4//1;17//4;5//1,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
