slice_factor,slice_level,n,metric,parameter,defined_n,exact_value
overall,all,1024,operational_elasticity_contribution,E050_100,1024,-35101548501726943982224895225661557201376341579834900519327441081560589804906387050219912168143783888203511266219068781603851304994597761273076123810687945384101665628657407237661207608257357766650436285244042448713245147492683879553574674643017254678500460618768480932345927142071782302726340810378775466489825390709801154032233028084195794161425309881403273713621967545791731986865692122029091338253595236228730290586076050634896678450146235910705801309651157644919364493610319503422630635545955950334946443794886601593761253987214773898995672857742466297572059397513701//381808789732528457693446122695415763235830955980372242578063478427047625360954802686144047147605453780617357833785215201680931466824120298864672641058242838214304172484036769017315984572785905305930565503495446679680236641504236028056499296021586972996234407634569921888466796917625339638655774939352895568537964636010301647441519704666301171996445475367062540753307207973350148477191991142887223170714317145555087499843990090985110240544887020765567281227776329682469186737896836162671130669732566042346935983408074310464868058006809784576261283862227133520984316898918400
overall,all,1024,generative_elasticity_contribution,E050_100,1024,382783001726593775594369714821616388783280446197803992210822475345680757244718411432258258476005550153986988517506279632682434146075260656607927333416092435077409668253014946252446524706431682725157732882831866741391197951004695988161000861086052906299644987007122321335244751826799240762316970458009928328313559949896376607091583048996164596045336422445932707003739424596643783647272619228101992994935538313194286876857940690312327527321885804624779666598381534221953458402556209835823482017778863366839767475477653835430470633256784248981625775167173162944710563722733629576234367072037098490972924506575811167519695482037908610093226518002818982304346538530287079282320263//222656449361995498792837491630120569510642864501732937815035034760482180579925265859557539896089396239909293202392608458192853328224965288577036136558421970782381134693145251129640732332218236428375025553521824046655689898825046216377539319576276589675929727810262005671349796837408149808722381006359055463066281965006123620429435563860511994773314731785318580193011817410195540021326384743985797107764301630603008399197044419223688924491761937151327156001629729452193311111917718676783901045490485257905585483655836312752261913838510765814770517052510791311277409680103581587685565807513683017458427442407286642908309528396290172527374266893064371612185193121526536000005734400
overall,all,1024,productive_value_elasticity,E050_100,1024,-30025392698559135132864933569775764279033589212675319117031869174347040701586745734080961111361363851930285335446170285967716436199430431123137354657656189428712809014915402606006567507557541527637459225149333835513891761461454368099675141339646069865045403651775751146486306069181765606770251101933772801101527704969981330263676583178367409382323980344884398416797272908553721023905710662464428725856397058431462877748340411549378241644020256536286122332160237800077422913156161200839275669909416534105468777025846965902845295722961585128803648893048360868126047212215611050126636367216018719704525630725230657144008771492223651519475262223294901161388830749508629054947291142767727//332817731591887029780082976151547392361159017499745824395463953523543583761468510470966368777538689834170575197915173026359891248044220889788121958445930266624701242512791102433290651420174198865441424821356728190155012377477827257346274295790515618907403044011939425335301150970887368599936057510684255384917492563730588336749482674000575048795365155168691015610726151180246475206737805533535466099004659741058522231775374919034382033084381581414380628377840052766231021524339017251590827142856312253621695051963914231013258266067338513798520563298893977909653709616021949510427288660873345313493141545385273375066981842356110301996845431806810007046658327085139883424832571546009600
overall,all,1024,resource_demand_elasticity,E100_200,1024,-455797//1290240
overall,all,1024,operational_elasticity_contribution,E100_200,1024,-2565306792476415373841187505442304008860850965546227868812316451665620715724466733043674191228169933645939866222979866235895291107293694566805869386986057110066261831526225486810155884774019192722743835698168476122920781822185571974401990638038987221871569403636099979308928886901428150672643671039608250547166351300508263207360757361878639998558805719264904916022770088467993939589//18405215568246849054958923400633509108997115839705805727373033092073543304141841758985647218681849482986459934274981365224078777332623044466486743837787962704804715069713840248639352933029712716236183910335654424773870937634383163909602449133917947509435800527427890113808578277809220529973197600564342046531224864505211131588942232789780995687277798373284358001591970725898013491200
overall,all,1024,generative_elasticity_contribution,E100_200,1024,-316952393213358787382586395833335606065284553930272016753058331142979069113023755307962250284253718228138319666051936484480544687056662334450208449101478684484078609649437388095443748109924393262138443721567284827419870545899638138599468445699699102698234803657062039473585420678757019886336188253561124772883020246238621742898312518968599593208635010372075046825513221212922842925314724377292826354577396339007655590617911897861471540765835315166896298182820127427548910637155058515206581955780717877025975159281//25913426277711093964243308910584697935443885749680122867186371555500849233841270244861081905049657976907288878081822152927654189648227620417924643967562251202863316725574271788575303546732384951372668841307397629905689484887193667455664979153268520684758666124037116421953696920811980051794714827148423362494265886255002111729415505066957738788398843472880777348208704578457393787159670135193331870908259742545231018219447508442659567000084164277402074980561098933866460510664797972605843251224804534553325469696000
overall,all,1024,productive_value_elasticity,E100_200,1024,-9167080151868111624516893039981765925899631479505681657297552980605435441014361281781386039824026539202689374956013761477263434607034316040730187212248642957567008362996338676283855019825467477506105622489061333784029237377538287079335441463716987866740477012755039212456762511206072954701152349785427699125813721160910253975247774476173651030525024699230687025814830001718813934719769083517986180235466228291605329473204921165953259953117525263082325954169437957822753881852676844538856328879757781053032441450269//60464661314659219249901054124697628516035733415920286690101533629501981545629630571342524445115868612783674048857585023497859775845864447641824169257645252806681072359673300840009041609042231553202893963050594469779942131403451890729884951357626548264436887622753271651225292815227953454187667930012987845819953734595004927368636178489568057172930634770055147145820310683067252170039230315451107698785939399272205709178710853032872323000196383313938174954642564179021741191551195269413634252857877247291092762624000
overall,all,1024,resource_demand_elasticity,E200_400,1024,-19//96
overall,all,1024,operational_elasticity_contribution,E200_400,1024,-2783751927994253341121646974782744465157084237322027494790493295485015464357155416638362567248481836418695059696372715039849501298961224304642497937571433747564011898150515098629502540914114852036967441778197847824921981996104662635822360157692580557788383789473608369769335527144775435050376787330303859698999609896735526061359423457//28794707574826044198304736024464914287770952061362145606865943889617820982031619595586799897805561826557890571769952456844579241812681006508939390660639517713824188640542643811388106056101079060109589155561223563385629821273597255544058112984391575840012627608126523898018540346894613707652959133342540042343069042146665686798414970880
overall,all,1024,generative_elasticity_contribution,E200_400,1024,-1549434834666895923663945872171467609312134262703185723205901545666808470251197803212374461876506832858269488172697860538818263448166060880317291599460805701004864614624775098009795073367364010377102969767465751807276461595154088659324017197492493456359401540920809849662176680526711326739172827474610413672768296265482440354381458220272133359560887395605401083026153114314962524979854320843936278068381145603647701760831//94554081367579674395564381177370059065168056319197528808467431376640628945544022339055598597847644559688650647246227596486210399914538987595470767017809898000897974996829236536773112249834130865875483915215521694618714972083262595786619832482048076440643197225172183848708099200432753677395000719874714803045715965467955297774550729601163494929665041463014097442816955938543001685122773225200477029864074197531887478898688
overall,all,1024,productive_value_elasticity,E200_400,1024,-9781833173916043513353031880119533777222770841464662225108458757360205007036847240215828726201921668706191884070865590657461965649734572738698856325804545726983494442128105002849291353788318268650918872682430094854333846681685728624544623025250801400976085721025492258695953266949573840830685628944484008944669165498872005235216936757403679059846220624777594836936514484392852061566529810172443593121805991777036328973475343//86516984451335402071941408777293604044628771532065738859747699709626175485172780440235872717030594772115115342230298250784882515921803173649855751821296056670821647122098751431147397708598229742276067782422202350576124199456185275144757146721073989943188525461032548221567910768395969614816425658685364044786830108403179097463713917585064597860643512938657899160177514683766846541887337501058436482325627890741677043192299520
frontier_density,sparse,512,greedy_positive_frequency,all,512,0//1
frontier_density,sparse,512,greedy_optimality_gap_mean,all,512,0//1
frontier_density,sparse,512,greedy_optimality_gap_max,all,512,0//1
frontier_density,sparse,512,safe_weight_compression_ratio,all,512,31//120
frontier_density,sparse,512,safe_cardinality_compression_ratio,all,512,1//6
frontier_density,sparse,512,frontier_only_positive_loss_frequency,all,512,49//128
frontier_density,sparse,512,frontier_only_normalized_value_loss,all,512,5288502685820686714544433206246966526316582974212800053901609517243529728034500740268404444177492280945641798387653932626770529071558449090101941370973345191336804208385336930870121848140664463226134559020614411860221286577637531855188800583647991483468782730176843288456311798525175711035888568308787878685428567128166939549452083666275808391413697782920276168935692316415640302549875951992063271011288267135087421351843976782108817029617665195405587556391296894049321405883261152915325482631678026343000986271168594484312529639922369415944810100320703//128650663170061564567265074252438063253273241201752694317442208978645807726400345563409594152009341788888627271864321103324220170384709728492257722260291025930702982312207165628612768709906052568232086820003182441166801098205054498329979313099105291857239514636425391280736286642278467850882194201695623721881912963864759062093258467760674681146932615829283936219686806494390327505395509445760183445667710587324995482782985047777477036335296772152037846415100175393114770953829548022074239018146602847478946711474210111685310243910372741610974608611774464
frontier_density,sparse,512,registered_capacity_nonconcavity_frequency,all,512,19//512
frontier_density,sparse,512,attainable_capacity_nonconcavity_frequency,all,512,409//512
frontier_density,sparse,512,lambda_breakpoint_count,all,512,933//256
frontier_density,sparse,512,positive_lambda_breakpoint_count,all,512,677//256
frontier_density,sparse,512,normalized_value_capacity,B0,512,0//1
frontier_density,sparse,512,normalized_value_capacity,B25,512,14633363618665357574652501262002309226311886099783639336603399744091249669791120413023135898998681318265049115882996533393498943126752421070129075336414641080598018174868905793213956972132301060475420859795399786387022935845785365112879233127976999968987101030002684258168439503117295058859808831758633498131134086009480112829724405845288268809727255827214940205661678123284277375806797788197593652890793508595684025383260776175371392043083447263273518433937297816791817578501598496037356732572015433895527732279268483564923912246877824515927118485252532379521955245204918236670302577529551488103256401588427888660532601270187628979105311//16462697208155644477660490692361525782654893230701215319193500697728973655468799842601128167213139333451390843705722569160122044532667734089343863917845188577738560362558897611537963260033796413016824997340821197746702790737873378778619901722118356676728707783628450468644384128059036734806319673567249456758190406993858314909919247110095983893615270511705661495588600893678168148813652188977258304265170953873731316572617029060237999998428618104589733529199806791373968016366320786386641784036701957144687403545247261987813684993894279999337724712464358717283355823983509042641272821328221239881092253684365503683716837519940091412480000
frontier_density,sparse,512,normalized_value_capacity,B50,512,424713564623080924849890458646720074436799142752079558128651490856581834842184382959058100498934338299981845098951628903185583358552568182102875670716185315808917639015245250056044608110879392848843366417478668154502215087231486218078348992734353953455025546791387281263613272625680704185969250659111832390272116898655208998560465100547384779//429532185223980014418711859775767916293682378807151495411205408473943988218261692528523228121368562182951263586433819612100589565445641883063232822026019963640013054248706995259904552219676623448270508068290905239526687150028643582629782799836664945624621706519006866717204933288304506190714141876729066862182426714115326797126362900889927680
frontier_density,sparse,512,normalized_value_capacity,B75,512,1//1
frontier_density,sparse,512,normalized_value_capacity,B100,512,1//1
frontier_density,sparse,512,registered_capacity_shadow,B0_B25,512,68579999057//18119393280
frontier_density,sparse,512,registered_capacity_shadow,B25_B50,512,961894243//2264924160
frontier_density,sparse,512,registered_capacity_shadow,B50_B75,512,625088203//9059696640
frontier_density,sparse,512,registered_capacity_shadow,B75_B100,512,0//1
frontier_density,sparse,512,resource_demand_elasticity,E025_050,512,-8381//35840
frontier_density,sparse,512,operational_elasticity_contribution,E025_050,512,-5967037057899064800856799572380670929621031232541377597046059737098440628968656498498559501530430036167393806676262726415847447677060590377732509065343127405614186812560791273274207757092969173246347441//147449732720682259327154746250591626182224717647750186178068484325177840617946751710532715229688079377207723784744401510231664040590498495855331952402600745021410696936390506248108652329891388534778521600
frontier_density,sparse,512,generative_elasticity_contribution,E025_050,512,206880585808483741673788115710931704725239827889694381977707640216418914193662840268206239736773307016634611404713930066995747584335163368611694445739723980985167842875279787883631115458993643221741645345796944683855493282450791//161998722910316544086655702559668611415444922790173202820111691565863744552082047730760933628028259565495589120180064592187018913286430953357657603762508830619760778409406415966484971030419681649330511449338235143987790804746240000
frontier_density,sparse,512,productive_value_elasticity,E025_050,512,-23279406625350067180709741234521159855152848585936931287471054501188261677878023200039743741204305490402933160270764903021541216529071554856087360830209138382471747223553636171157654662945950551189284052335730395338749942494589233//593995317337827328317737576052118241856631383563968410340409535741500396690967508346123423302770285073483826773993570171352402682050246828978077880462532378939122854167823525210444893778205499380878541980906862194621899617402880000
frontier_density,sparse,512,resource_demand_elasticity,E050_100,512,-80033//215040
frontier_density,sparse,512,operational_elasticity_contribution,E050_100,512,-236160025264454088012632097105266300039124847776379335148234954221647804818537150980788864932033233838133766077370698209746263157976242199245250025878827574886512341557080676154353673934037379112976582551782139654884901929836955918113455437601557116751039452046372233//3459363104570624833158095536989035819425879790311373949824051150182838008799988212949854369418943443131509531316513944398648058363517636053446422882130763147998232904933403665018668849724319473850746156743589021371308203850672269212538054404431103555299582604997529600
frontier_density,sparse,512,generative_elasticity_contribution,E050_100,512,-202872991009399146373217918999323333094602305149686752228590997735005035742894511090263758927486527995561778146864210065563838429653344092055925894571726130138106515565510144572101267579971739680390988704378846497312520280279059069440195939203375809818425240265349122233961673954426917941390999313811952862688812207793122645695756685029//13506518983130815553912183611552343360427884165743251078619475838703959576887464239661834381832670887360781376711533853664148744890670100340015659032183503905103168292480296188864461323647853016329658745157737478126841533138962961178221120403064132817399165257145800242466490611315094271305191856324366730506129953882799762905942461235200
frontier_density,sparse,512,productive_value_elasticity,E050_100,512,-4504684808014069175247102406679480135093611501215074532345224530137756784000675484459686152915751269026589700970053393986527265537350280872082674468251242337148583820255612759435611162330920508925672967193004793841582428732368936866158972132378938583939486983788954535146878962253792389330812145314512888404386643912133978088336750913541//54086104905781621395888344151149606078868993925931863208160656580765633683447134577490279013472162086720284535187075565117324529539972268472684927946654831193324242806776652738519465122696513634280100130609428745743485428258691680095898797702936816304340657318614960082054702403532888615315457166881130774160102615326233717236685144768512
frontier_density,sparse,512,resource_demand_elasticity,E100_200,512,-11729//61440
frontier_density,sparse,512,operational_elasticity_contribution,E100_200,512,-54594522644422052071943315878637923399934869404757641966365949073542665852549290647760389430735151598186844467539105446153471179313702472101490980841//1780270055046019829540590103080343182506890323258730554970801970549591996600524218552919455502647109613145446230954199452632318265494448024241064550400
frontier_density,sparse,512,generative_elasticity_contribution,E100_200,512,-691178506349322656779186038910289526360959913845564820571653676286381935328528168022256074371544313876583511410742292321365371013763341619908588208131362465051563825720201917798336229800794825518109440512103570375948770377007312308504025483135038377825847784343894349694281//25033339184353477976249499491984719586084744163614897955082398712219305346894660890280686957284445892817984166466242919550544010196290371901765600894364467185143218679360953153351563728458891285373718027753648581852431433999816794168026168950330440860894570105874439401304064
frontier_density,sparse,512,productive_value_elasticity,E100_200,512,-170200518661439557752121555961357172887534410047027718721819074251678979146687832704403172192893306888459227216113400479484970970958046625571867822785202818179896729905202901152210833373957749966694689544542671913030295931526650284740651267261403539844684042201221502543155857//2920556238174572430562441607398217285043220152421738094759613183092252290471043770532746811683185354162098152754395007280896801189567210055205986771009187838266708845925444534557682434986870649960267103237925667882783667299978625986269719710871884767104366512352017930152140800
frontier_density,sparse,512,resource_demand_elasticity,E200_400,512,-49//2560
frontier_density,sparse,512,operational_elasticity_contribution,E200_400,512,-437697723006403618513082647//308961656302628014598971174656
frontier_density,sparse,512,generative_elasticity_contribution,E200_400,512,-286682921390868639417860595486061706406003879606615066046609696992595//36928651358532829375548349145185345995428366185653841606998703631131776
frontier_density,sparse,512,productive_value_elasticity,E200_400,512,-11525957671166183435712158881874635494997512011412391268007942458267063//1255574146190116198768643870936301763844564450312230614637955923458480384
frontier_density,dense,512,greedy_positive_frequency,all,512,0//1
frontier_density,dense,512,greedy_optimality_gap_mean,all,512,0//1
frontier_density,dense,512,greedy_optimality_gap_max,all,512,0//1
frontier_density,dense,512,safe_weight_compression_ratio,all,512,31//240
frontier_density,dense,512,safe_cardinality_compression_ratio,all,512,1//12
frontier_density,dense,512,frontier_only_positive_loss_frequency,all,512,101//256
frontier_density,dense,512,frontier_only_normalized_value_loss,all,512,4288803258980725441336487969442349492038845687205976482648917349388461063441367268376582790825118293846573342840498950866025098949630188958132134708827216420385868721133348511355819010190599908712193463415190773514960488311588135447453196220473942844518654271729872476916525118119030393033629425408333216334398568628611800856615498240956144772501263285970466286503984930726922067258235642967100094300111152686407338282627353903506047416293977313054813398079124341313591848133392142892874359685626808549195859403108543098075116987683446796023909671127021353307867791228448331//147036065244066944111558001836628303460326148610806311387472971934452374305112358235784429838732619580035443745018512817116427507205413258653920651899574161654308707765127646350133815435933576594967830239488139893664829294289292728669758789931013706841579655650890121372546768384388287273911739120279331036349952470048772648631008143078298332432914709937931302865017394342516409626298191803223376105962406400486667506482083614325306341039591630887333192583210849924056771827116054196478853676556193907240507007023949495805353556864272300600597950618248665381801382831341649920
frontier_density,dense,512,registered_capacity_nonconcavity_frequency,all,512,39//256
frontier_density,dense,512,attainable_capacity_nonconcavity_frequency,all,512,1//1
frontier_density,dense,512,lambda_breakpoint_count,all,512,1153//256
frontier_density,dense,512,positive_lambda_breakpoint_count,all,512,897//256
frontier_density,dense,512,normalized_value_capacity,B0,512,0//1
frontier_density,dense,512,normalized_value_capacity,B25,512,2340789218076120971004499886710614607745667505595017370653486660263592524871274295583727809649967043430889049070423302925631609990641265972630602513152736186585757696685167583887321118522359910825935664437879335217900463619591902959787697317281422411845497361519726979006530132396483271247430340061278311121839845543611357584275471449602667172547299932637114420767684608454691986228469705483292615061138358300714983488056678989302101739607059321421391057011311264307238589315860354162236637731608230223566359530403085635906491547444101293025407653592585744105779149758350640703417104190323346350211105260337026664740979342489209727085391235072643814337841//4088982587810989111830596631896162474451122663774337472086687713639807136498731158282722403729993757658520170874272356902655348951938945675040658283941412831631813824798692215075068050601536413347323340366305199789972314164945686422921840424279510536763211627789429228238166214487998994454871160701880831568299185814369538342028016895121868322637648624993160829672750581415319857900203003329988034821573180122794183119618806475639611674835426767054906336795579327000868458408838481075062830574133341658386060894684283215892431577699906853884932341373844150004940452166346995307481905328919611539328446228370149527741561380367675560904447969121786396672000
frontier_density,dense,512,normalized_value_capacity,B50,512,15547880971233459822055696312369632920410618139236589339492220389898437032403893820111174321485933106812439691657318409137648946888965791215094451381895949899734541074408497201654310802990033329070730824933251643576966462453918314206343809334255948611585704957109078950882740943762533531510034256537878583674838388957674476591227805212355089227049785527536523260222390489279956395701772942685643219520078645961305390653157452459247956648578157088225220426624333544221318215416050418612556937193441129684417435160950479546260287150725899691186797972763782623657390544926377359129075543356061091121942802999935627185476492351260285574652399053//18045611889037674432013918798374252766107401232149523304346144262073473420571865810552345190627660906254919956273943278917748246696514630388992552803655949341788071014191454378217140106393681537480138559533820251784735077540454480802609975062141781288347176549461865038395458894953600586234443912481593742249877003865740186250895044350418996086071989516583395712977810737654865057430114577540321109372939500985800221951692919041944388428181692702621460450008522909107558460597046187879483540100536209990876090594219175091516446023506229194928325657456777681613752773090377088738750670310050999039643174916322096739465868646151520410354319360
frontier_density,dense,512,normalized_value_capacity,B75,512,118593968466418901552706832250802669327482146908045388274631669753746561582101338247919087859236797655186159004554298065144328100347758541184993882477394765984464207586238301274079173835357171161145553469102757113228134183266291318450486706599367419529425562273752272321743115018007336402240088712106826330087628989944664650380236026949//120010785182162038885095037163506377219911979780305078393475869572208097311552931683128975148193024613561337456273726871970839210149495068034621104285467229143756526453972898727313356367771872172189634856247486031382884906583981409982330134178529525533783655233308154632531584790853733366673952705335908340520725705887686696425417605120
frontier_density,dense,512,normalized_value_capacity,B100,512,1//1
frontier_density,dense,512,registered_capacity_shadow,B0_B25,512,53004455437//14495514624
frontier_density,dense,512,registered_capacity_shadow,B25_B50,512,276875254153//144955146240
frontier_density,dense,512,registered_capacity_shadow,B50_B75,512,111728950661//144955146240
frontier_density,dense,512,registered_capacity_shadow,B75_B100,512,23893109//226492416
frontier_density,dense,512,resource_demand_elasticity,E025_050,512,-127219//2838528
frontier_density,dense,512,operational_elasticity_contribution,E025_050,512,-2695042157243206719405630316498690949784634832366111133603901822608148756334006346706335844049319840336396414875937724570104891182521//214830036287523416396926929976478975798557859731393640214190813778444053058419956133849397909562900825629743485171369161097852569167872
frontier_density,dense,512,generative_elasticity_contribution,E025_050,512,824231965903778287676731888094590888173880657881676692490377490540966660070878363200856458586996793830270611583567129356890442306492453525612215818397675726484640913184346603736884011422584795233318458973048662699006051176330082569//203412239299976426334997196715986032277484181443817921940838663104178343174762070215555488628651568645067099822921859004845234435896285930856266584558996294261808391879871055576832845909135853072409536994018957426511288405216259276800
frontier_density,dense,512,productive_value_elasticity,E025_050,512,-30956621338851418285053242863011099604349036994245649625241056332987330056857678576699621197469770268175762738950060939903421737481882595977745812203250978276131884474752308280551655450729707344953023104812332934639913661580602819//3644970232319682655970022007013165603246034211067569480317120241382687263944043100775973198993568778610358951700729437088417279037075768157758412388663879557557500970921791126294687453667787591409158604546169515757918762116174643200
frontier_density,dense,512,resource_demand_elasticity,E050_100,512,-897397//3548160
