research_duration,belief_index,belief_coordinate,total_value,operational_value,generative_value,total_discount_derivative,operational_discount_derivative,generative_discount_derivative,total_scaled_sensitivity,operational_scaled_sensitivity,generative_scaled_sensitivity,innovation_duration,operational_elasticity,generative_elasticity,operational_contribution,generative_contribution,action,alternate_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,policy_iterations,policy_equation_residual,bellman_residual,derivative_residual,value_reconstruction_exact,channel_identity_exact,sensitivity_identity_exact,belief_second_difference,scaled_belief_curvature,local_convexity
3,1,0//1,16207212230810117194420283265179782834490//3459841261582283745498537663627139137199,40885//14116,87325397870323943381729006193882230867279725//48839119248495517351457357659760696060701084,445964535782100134010242332634883325017337334557898541777262813850760595158170675//11970501555347288777909981607831235593387341858821411589573355149280706145565601,1653895525//99630728,24633812407758264989669965622807198363413886971633075465228599250648694586330873410665875//1192629784484382673769401786054836503308692855379250458656830582925385429636774799387528,356771628625680107208193866107906660013869867646318833421810251080608476126536540//11970501555347288777909981607831235593387341858821411589573355149280706145565601,330779105//24907682,4926762481551652997933993124561439672682777394326615093045719850129738917266174682133175//298157446121095668442350446513709125827173213844812614664207645731346357409193699846882,35677162862568010720819386610790666001386986764631883342181025108060847612653654//5607438161137789516734668015949002239509148953997310155811418792331024921919351,132311642//28856633,394140998524132239834719449964915173814622191546129207443657588010379113381293974570654//42648955200110675610775262194675762508202224416328646816604029774273455746707394387219,228888639189651740238410813436675227502631485379//80736817670305800292270517983803940734107110436,985352496310330599586798624912287934536555478865323018609143970025947783453234936426635//279336573104569638931521578633657351997963436473595260432642542496410414978484048708764,research:research,continue,16207212230810117194420283265179782834490//3459841261582283745498537663627139137199,29792971782344366899713518568025469464383//6919682523164567490997075327254278274398,2621452679275867489127047962334096204597//6919682523164567490997075327254278274398,2621452679275867489127047962334096204597//13839365046329134981994150654508556548796,2,0//1,0//1,0//1,true,true,true,,,boundary
3,2,1//4,17545848735696436004895375532215375474490//3459841261582283745498537663627139137199,48345//14116,80411174961895382968976317664698198610015185//48839119248495517351457357659760696060701084,456536302016613749672459604481319875101388775775839362408161801475813346500970675//11970501555347288777909981607831235593387341858821411589573355149280706145565601,1869498175//99630728,23106213316786678113176221014941900907387759868407903870149756942619625402161785644623225//1192629784484382673769401786054836503308692855379250458656830582925385429636774799387528,365229041613290999737967683585055900081111020620671489926529441180650677200776540//11970501555347288777909981607831235593387341858821411589573355149280706145565601,373899635//24907682,4621242663357335622635244202988380181477551973681580774029951388523925080432357128924645//298157446121095668442350446513709125827173213844812614664207645731346357409193699846882,36522904161329099973796768358505590008111102062067148992652944118065067720077654//6070585142524387538015512062958120272416611685558462801830840672098348383455351,149559854//34121901,1848497065342934249054097681195352072591020789472632309611980555409570032172942851569858//196360548143782279868357762791061110627186207965636552567651732371571260732198749298027,258726676972711082981667225092788019898584204473//87405284145765775308656891405400265565839206436,924248532671467124527048840597676036295510394736316154805990277704785016086471425784929//302408408567844244083306571062649678126212670762748367753663194506583868520639887812764,research:research,continue,17545848735696436004895375532215375474490//3459841261582283745498537663627139137199,130785755416372496456783397058494252770731//27678730092658269963988301309017113097592,9581034469198991582379607199228751025189//27678730092658269963988301309017113097592,9581034469198991582379607199228751025189//55357460185316539927976602618034226195184,2,0//1,0//1,0//1,true,true,true,189027568147387042463740178828259985818732150906153349066620550488760305593906613978839375359082333656900903090000000//5399127907743686765510759950593379637989081654238331927476904176949185897541477942628336538770569967897709765805887849,3024441090358192679419842861252159773099714414498453585065928807820164889502505823661430005745317338510414449440000000//5399127907743686765510759950593379637989081654238331927476904176949185897541477942628336538770569967897709765805887849,convex
3,3,1//2,18986325237328448356687327399710701394490//3459841261582283745498537663627139137199,56475//14116,72616431802268902475968399020973578111307315//48839119248495517351457357659760696060701084,468472920909447319205468540194660136621237007680040754984331898708299790882370675//11970501555347288777909981607831235593387341858821411589573355149280706145565601,1054724125//49815364,10711572300472521017641181440259732453172331739730738874301691697825746735165375213226575//596314892242191336884700893027418251654346427689625229328415291462692714818387399693764,374778336727557855364374832155728109296989606144032603987465518966639832705896540//11970501555347288777909981607831235593387341858821411589573355149280706145565601,210944825//12453841,2142314460094504203528236288051946490634466347946147774860338339565149347033075042645315//149078723060547834221175223256854562913586606922406307332103822865673178704596849923441,37477833672755785536437483215572810929698960614403260398746551896663983270589654//6568967146193001160601948154218862957532825181020831942162168715161758473263351,33751172//7972011,1713851568075603362822589030441557192507573078356918219888270671652119477626460034116252//177326128609562659347242360885940106320851373885413568425239400365528477050313333881473,145967121890450813558906713041947146109418809035//47290535135995152122179052430188104233091347218,428462892018900840705647257610389298126893269589229554972067667913029869406615008529063//163617744745822783533904253205770396947807114170459317390817690787597658612849048962382,research:research,continue,18986325237328448356687327399710701394490//3459841261582283745498537663627139137199,71674465588151347225742802662105990961965//13839365046329134981994150654508556548796,4270835361162446201006506936736814615995//13839365046329134981994150654508556548796,4270835361162446201006506936736814615995//27678730092658269963988301309017113097592,2,0//1,0//1,0//1,true,true,true,301228113521099263790102892416681246160139145688072713910152852376217900539122143712160947084990377977038419222240000//6783989883593052169489165369304507591118150232763972171146652154295537424968569117572138865816673048667714444124255849,4819649816337588220641646278666899938562226331009163422562445638019486408625954299394575153359846047632614707555840000//6783989883593052169489165369304507591118150232763972171146652154295537424968569117572138865816673048667714444124255849,convex
3,4,3//4,20364319144461554553697548009126358514490//3459841261582283745498537663627139137199,63905//14116,66361573221803461323910538302735350227838745//48839119248495517351457357659760696060701084,478986512262909606559342600217092801401775928105805195610767288154985838429770675//11970501555347288777909981607831235593387341858821411589573355149280706145565601,2303050075//99630728,20153110414104421428688636975877566126524969038047741291910364762914449427850610922831325//1192629784484382673769401786054836503308692855379250458656830582925385429636774799387528,383189209810327685247474080173674241121420742484644156488613830523988670743816540//11970501555347288777909981607831235593387341858821411589573355149280706145565601,460610015//24907682,4030622082820884285737727395175513225304993807609548258382072952582889885570122184566265//298157446121095668442350446513709125827173213844812614664207645731346357409193699846882,38318920981032768524747408017367424112142074248464415648861383052398867074381654//7045731164003811809904986679818987594163263934145218118420938089341600593951351,184244006//45104149,1612248833128353714295090958070205290121997523043819303352829181033155954228048873826506//162052039404871305610951714713789025171208454700814226130624815200958495045798939934979,318727507079006927949667523144272302478463689597//101445597079352092409830089998210487139381862436,268708138854725619049181826345034215020332920507303217225471530172192659038008145637751//116995220860331194232638572290111440371575756102505356476178045380672117976767582785588,research:research,continue,20364319144461554553697548009126358514490//3459841261582283745498537663627139137199,155299372308005535957330024262735176677129//27678730092658269963988301309017113097592,7615180847686900472250359810275691438791//27678730092658269963988301309017113097592,7615180847686900472250359810275691438791//55357460185316539927976602618034226195184,2,0//1,0//1,0//1,true,true,true,167702423577786561594235594640802027856601968584012872345649021670536993215071016906938493491247173912690125039280000//2764203228677214694610379400937635197264374502118999156182385085931066020878356847632814079891892366615089083827605283,2683238777244584985507769514252832445705631497344205957530384346728591891441136270511015895859954782603042000628480000//2764203228677214694610379400937635197264374502118999156182385085931066020878356847632814079891892366615089083827605283,convex
3,5,1//1,21447684573818923782014249344712001074490//3459841261582283745498537663627139137199,69245//14116,63178807285762690149866903232093357612156085//48839119248495517351457357659760696060701084,485358863605059997404144083004028820774549642624215223170110365352819792566970675//11970501555347288777909981607831235593387341858821411589573355149280706145565601,2406112425//99630728,19554284396421895306460712928459605082398373682557598831409113266825375916637025886208975//1192629784484382673769401786054836503308692855379250458656830582925385429636774799387528,388287090884047997923315266403223056619639714099372178536088292282255834053576540//11970501555347288777909981607831235593387341858821411589573355149280706145565601,481222485//24907682,3910856879284379061292142585691921016479674736511519766281822653365075183327405177241795//298157446121095668442350446513709125827173213844812614664207645731346357409193699846882,12942903029468266597443842213440768553987990469979072617869609742741861135119218//2473519468463351698318052000736037795906704788337040729238202300128880650965117,192488994//48873121,82333829037565874974571422856672021399572099716031995079617319018212109122682214257722//8119992902650214295034475310434390504735520836566950823733579849082926569717594570253,110996893973610774398927590557116400602910581301//35614140466732485276309882809786326956470348812,260723791952291937419476172379461401098644982434101317752121510224338345555160345149453//123219272682588385511731948187593990720850209071552638609826490286557436540384254657588,research:research,continue,21447684573818923782014249344712001074490//3459841261582283745498537663627139137199,20563820649169554309694102072617457868791//3459841261582283745498537663627139137199,883863924649369472320147272094543205699//3459841261582283745498537663627139137199,883863924649369472320147272094543205699//6919682523164567490997075327254278274398,2,0//1,0//1,0//1,true,true,true,,,boundary
4,1,0//1,349001672683789294960335504750623967059542793138240//87132684180608394939585961907120125767882902010699,40885//14116,1364087818880195460555123932487201576992613619231967225//1229964969893468102967195438280907695339435044783027084,245338323092012028554265181549457047683936371716118206360476222277145323736954600906289670244865539425//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,1653895525//99630728,11886687825825757265676674059436189968604101555425136552804590882137755319185733161992730170390346505178540875//756406913582519948467677970772017521761663918641887357783646610018000492065072780102439181017297403138771528,196270658473609622843412145239565638147149097372894565088380977821716258989563680725031736195892431540//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,330779105//24907682,2377337565165151453135334811887237993720820311085027310560918176427551063837146632398546034078069301035708175//189101728395629987116919492693004380440415979660471839445911652504500123016268195025609795254324350784692882,9813532923680481142170607261978281907357454868644728254419048891085812949478184036251586809794621577//1520472626223033824750581640119358059187742831307864004822448833667516245240523184587373335813301488,132311642//28856633,190187005213212116250826784950979039497665624886802184844873454114204085106971730591883682726245544082856654//16777802330810261801711712497794595103160444685844472570884628967359068484270026431620261480303265157753219,5764334257901860646720554710040257665797548814380343128879//1738564536135182062775247873127606214619513391375812791936,475467513033030290627066962377447598744164062217005462112183635285510212767429326479709206815613860207141635//151485794654672750328524867228525650329541906959983682925456088041045553465139859981318385054867699332923264,research:research,continue,349001672683789294960335504750623967059542793138240//87132684180608394939585961907120125767882902010699,656930754831878845636446443347377117326528621911883//174265368361216789879171923814240251535765804021398,41072590535699744284224566153870816792556964364597//174265368361216789879171923814240251535765804021398,41072590535699744284224566153870816792556964364597//348530736722433579758343847628480503071531608042796,2,0//1,0//1,0//1,true,true,true,,,boundary
4,2,1//4,386986320541147890828081084214819447937466962738240//87132684180608394939585961907120125767882902010699,48345//14116,1250269284047330773574909256376668846836984748305752685//1229964969893468102967195438280907695339435044783027084,254535577429728674837941894900949228652677638769848864805199351913736244105242257296964083966357539425//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,1869498175//99630728,11166139088933491279474747668564618336924481363077850520588748348270594417110943909226773785234573338237148225//756406913582519948467677970772017521761663918641887357783646610018000492065072780102439181017297403138771528,203628461943782939870353515920759382922142111015879091844159481530988995284193805837571267173086031540//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,373899635//24907682,2233227817786698255894949533712923667384896272615570104117749669654118883422188781845354757046914667647429645//189101728395629987116919492693004380440415979660471839445911652504500123016268195025609795254324350784692882,10181423097189146993517675796037969146107105550793954592207974076549449764209690291878563358654301577//1685957842496376319265126657338293330128451232080045436149205233216901693969850511502427830340821488,149559854//34121901,893291127114679302357979813485169466953958509046228041647099867861647553368875512738141902818765867058971858//76889371115600155743436576764131162102714787931487874422653465113929442183487388181215497695221030268036027,6515775762339950589169407641639223785153102356908224438973//1927786442077795915943312063167588499328396598677986231936,23507661239859981640999468775925512288262066027532316885449996522674935614970408229951102705756996501551891//8840695117117016318439210204358984566223259461296414793506464947726826193402600869061013605490343840393856,research:research,continue,386986320541147890828081084214819447937466962738240//87132684180608394939585961907120125767882902010699,2946562669043983847384743052046942584577605518298231//697061473444867159516687695256961006143063216085592,149327895285199279239905621671612998922130183607689//697061473444867159516687695256961006143063216085592,149327895285199279239905621671612998922130183607689//1394122946889734319033375390513922012286126432171184,2,0//1,0//1,0//1,true,true,true,202488061193750580190281508014436706740374449398801569684626184728330701442504784149497503545330201969096351170733375457565126999793554469140625//3529277516442567358319582860685395090873584531832387421731087053174118461183272389653615057094349247260457015050833619475922547283085764182199386,1619904489550004641522252064115493653922995595190412557477009477826645611540038273195980028362641615752770809365867003660521015998348435753125000//1764638758221283679159791430342697545436792265916193710865543526587059230591636194826807528547174623630228507525416809737961273641542882091099693,convex
4,3,1//2,428136867058263565606574863649965849012110391538240//87132684180608394939585961907120125767882902010699,56475//14116,1122761676294589387889293576578308821913763395899569815//1229964969893468102967195438280907695339435044783027084,264910965456524480489866948680034653808964336630314385158831337298176090416494126830140548735003539425//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,1054724125//49815364,5189060235273091590781946227318853001199454015579158032591335526987111044330971004882442832802146834215026575//378203456791259974233838985386008760880831959320943678891823305009000246032536390051219590508648701569385764,211928772365219584391893558944027723047171469304251508127065069838540872333195301464112438988002831540//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,210944825//12453841,1037812047054618318156389245463770600239890803115831606518267105397422208866194200976488566560429366843005315//94550864197814993558459746346502190220207989830235919722955826252250061508134097512804897627162175392346441,10596438618260979219594677947201386152358573465212575406353253491927043616659765073205621949400141577//1865235721173140061228341649625603343542641804769438568966639726395751817055567814866027212577381488,33751172//7972011,830249637643694654525111396371016480191912642492665285214613684317937767092955360781190853248343493474404252//69047876569060720817308954710178982457844642775125106348618937499151390702397743759529788804638728454693473,3676037763251741252812369261390824236816809877027809736535//1066389693716350436431470381298670867805365978132997275968,207562409410923663631277849092754120047978160623166321303653421079484441773238840195297713312085873368601063//92917396396042479173072126392459894278193751026206518388712261827264784820284518924235756828447636991581632,research:research,continue,428136867058263565606574863649965849012110391538240//87132684180608394939585961907120125767882902010699,1646518814375160697527437434999418588295553311274465//348530736722433579758343847628480503071531608042796,66028653857893564898862019600444807752888254878495//348530736722433579758343847628480503071531608042796,66028653857893564898862019600444807752888254878495//697061473444867159516687695256961006143063216085592,2,0//1,0//1,0//1,true,true,true,143309639267333429188092739566680971328319619486357632183937474643510774038996346079060351878219828048379552278595868854350447250047615934809375//2361225485814712290345340727888058324581337725697476155668537067951216164968541614654063443355002247194866166585553518732009156026186203522989693,2292954228277334867009483833066895541253113911781722114942999594296172384623941537264965630051517248774072836457533901669607156000761854956950000//2361225485814712290345340727888058324581337725697476155668537067951216164968541614654063443355002247194866166585553518732009156026186203522989693,convex
4,4,3//4,466991694642122295145472766125293806292243788338240//87132684180608394939585961907120125767882902010699,63905//14116,1023840579006418839659252670950135732424756463188876245//1229964969893468102967195438280907695339435044783027084,273833877619854623295417103905039803545444943172790748217961013934052701558700006063584098437389539425//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,2303050075//99630728,9797271388940413405212773452748750616527057028196200768796248194071031222569179913284247581851342237679256325//756406913582519948467677970772017521761663918641887357783646610018000492065072780102439181017297403138771528,219067102095883698636333683124031842836355954538232598574368811147242161246960004850867278749911631540//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,460610015//24907682,1959454277788082681042554690549750123305411405639240153759249638814206244513835982656849516370268447535851265//189101728395629987116919492693004380440415979660471839445911652504500123016268195025609795254324350784692882,10953355104794184931816684156201592141817797726911629928718440557362108062348000242543363937495581577//2034511992210957772584808282608677741577480744316281803235283568709555597979317489708110253195541488,184244006//45104149,783781711115233072417021876219900049322164562255696061503699855525682497805534393062739806548107379014340506//62964402346667044939410435300881863960461236232092432204375194289751657110808780717988358315653444367960979,8026837393484059100449722801565605947349286002678319310097//2326336125357417186518715879661838056739361469280838071936,391890855557616536208510938109950024661082281127848030751849927762841248902767196531369903274053689507170253//202699910908708052459882890936732302510760274962213018309484057236971044783154730442751532030136124803643264,research:research,continue,466991694642122295145472766125293806292243788338240//87132684180608394939585961907120125767882902010699,3618632709214730329900453422929765904844930670799629//697061473444867159516687695256961006143063216085592,117300847922248031263328706072584545493019635906291//697061473444867159516687695256961006143063216085592,117300847922248031263328706072584545493019635906291//1394122946889734319033375390513922012286126432171184,2,0//1,0//1,0//1,true,true,true,440165023650531583205650697624414543598999850784976833430674701811448227681671273655200597030716732272874151416498254145818319011431881332103125//6059767966607792058683243706711815244157660962748481494977007852163159418372970442002594024220353506098363994120034590091985311184461108031079386,3521320189204252665645205580995316348791998806279814667445397614491585821453370189241604776245733858182993211331986033166546552091455050656825000//3029883983303896029341621853355907622078830481374240747488503926081579709186485221001297012110176753049181997060017295045992655592230554015539693,convex
4,5,1//1,496574199037482601985377055598773678885113346738240//87132684180608394939585961907120125767882902010699,69245//14116,976138677526876102033952584573756142345208452826143585//1229964969893468102967195438280907695339435044783027084,279032646466025508653693023294406471873649652140564141078594099496643838220051755813297550817097539425//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,2406112425//99630728,9532768366853736873343934437444183307711166194354003041889624937283790768228714841258322208880885601482983975//756406913582519948467677970772017521761663918641887357783646610018000492065072780102439181017297403138771528,223226117172820406922954418635525177498919721712451312862875279597315070576041404650638040653678031540//7592104652517644440655677742031730629948462472761288643636595830334598097738207635122762337110468601,481222485//24907682,1906553673370747374668786887488836661542233238870800608377924987456758153645742968251664441776177120296596795//189101728395629987116919492693004380440415979660471839445911652504500123016268195025609795254324350784692882,11161305858641020346147720931776258874945986085622565643143763979865753528802070232531902032683901577//2163392142848577238542992830737467736856760970470140179236457404427627744118442598134189663461621488,192488994//48873121,762621469348298949867514754995534664616893295548320243351169994982703261458297187300665776710470848118638718//60030818955809696697393812426985818082225624224631472642380242644191667601907060482162902165669975516392807,8386041361222512124937796292011937223106628658920013873403//2473702447806064546156868070190114876728103554902363831936,381310734674149474933757377497767332308446647774160121675584997491351630729148593650332888355235424059319359//215540334141483744040268035025154687499551527209926568319378735344114975459518154278320757860756348909883264,research:research,continue,496574199037482601985377055598773678885113346738240//87132684180608394939585961907120125767882902010699,482912918190826461185892391912465075246330101481291//87132684180608394939585961907120125767882902010699,13661280846656140799484663686308603638783245256949//87132684180608394939585961907120125767882902010699,13661280846656140799484663686308603638783245256949//174265368361216789879171923814240251535765804021398,2,0//1,0//1,0//1,true,true,true,,,boundary
5,1,0//1,7318307364941612300604417028308215199686359080345616435120115//2056856253918013167337017424430909788160653383879581162285449,40885//14116,19210658822077830888757993373741019069824331178242045778114960975//29034582880306673870129337963266722569675783166844167686821398084,479894742818217946839948171729948629561818558397832891909845309239947156810374323322934313553046278527336427141077372804575//16922630597126569027958829884101945135599506565632067402140202562752897212970309325668579666446983232381421481219828526404,1653895525//99630728,4955999893634028833096156800542831415570690468994902392606285521457628383307796308395573303006902282395907014014037853940072259625//421503501516698695099447643845308105018959388893675663855074284848634208359350740125387419723527528211488548962192461030199435528,95978948563643589367989634345989725912363711679566578381969061847989431362074864664586862710609255705467285428215474560915//4230657649281642256989707471025486283899876641408016850535050640688224303242577331417144916611745808095355370304957131601,330779105//24907682,991199978726805766619231360108566283114138093798980478521257104291525676661559261679114660601380456479181402802807570788014451925//105375875379174673774861910961327026254739847223418915963768571212158552089837685031346854930881882052872137240548115257549858882,19195789712728717873597926869197945182472742335913315676393812369597886272414972932917372542121851141093457085643094912183//3010541254334882152807156444317165539873687700395272952303101393285628679044569002736143614936597332966773845412446341327,132311642//28856633,11327999756877780189934072686955043235590149643416919754528652620474579161846391562047024692587205216904930317746372237577308022//796819236792733374055669908853278327886620509460849156703652121733594070716931801931259124796048022562084002555185674180856817,136073014156930627773990771404532294812704104506981856927128114948629//36456414524844725550148645427297204436270866342212212851989091244686,198239995745361153323846272021713256622827618759796095704251420858305135332311852335822932120276091295836280560561514157602890385//74985604210854366169596060039302666408532133408756732999166817117715374307722188547208995067171216531584519507450372311836374014,research:research,continue,7318307364941612300604417028308215199686359080345616435120115//2056856253918013167337017424430909788160653383879581162285449,14054614954690194894340967720366624921306373356525854981677633//4113712507836026334674034848861819576321306767759162324570898,581999775193029706867866336249805478066344804165377888562597//4113712507836026334674034848861819576321306767759162324570898,581999775193029706867866336249805478066344804165377888562597//8227425015672052669348069697723639152642613535518324649141796,2,0//1,0//1,0//1,true,true,true,,,boundary
5,2,1//4,8279863754493619120727360530450117911844843893989908179120115//2056856253918013167337017424430909788160653383879581162285449,48345//14116,17439841162765580933279313863721530734975028563903192565769511435//29034582880306673870129337963266722569675783166844167686821398084,504700590547883377244676046114810084126628199246008558416532912424447961083394845963660033794197993905298588023732892804575//16922630597126569027958829884101945135599506565632067402140202562752897212970309325668579666446983232381421481219828526404,1869498175//99630728,4661715060197064673051288038779013079580951655214804009872900378902782761310929400321105092538951105432948254782580795935137916975//421503501516698695099447643845308105018959388893675663855074284848634208359350740125387419723527528211488548962192461030199435528,100940118109576675448935209222962016825325639849201711683306582484889592216678969192732006758839598781059717604746578560915//4230657649281642256989707471025486283899876641408016850535050640688224303242577331417144916611745808095355370304957131601,373899635//24907682,932343012039412934610257607755802615916190331042960801974580075780556552262185880064221018507790221086589650956516159187027583395//105375875379174673774861910961327026254739847223418915963768571212158552089837685031346854930881882052872137240548115257549858882,20188023621915335089787041844592403365065127969840342336661316496977918443335793838546401351767919756211943520949315712183//3406097909003856257490017908546136758525456050823272578476874325342750490515121585231640792364616707051669037819057541327,149559854//34121901,372937204815765173844103043102321046366476132417184320789832030312222620904874352025688407403116088434635860382606463674811033358//25317925682985058660123612135452501963636211767426971587755265107653378905152126585111201841612556081265545421122030504416254527,153811560517482488638500947396671450502239124318818056106281029382223//41246442680050627217639340958360570762147081010228468826944572844686,186468602407882586922051521551160523183238066208592160394916015156111310452437176012844203701558044217317930191303231837405516679//84838003578332988435271484240372256709862848218881911584022030049601770223094664636285605194445900991130129963243058779074774014,research:research,continue,8279863754493619120727360530450117911844843893989908179120115//2056856253918013167337017424430909788160653383879581162285449,64145146111946096068879116500971139537438951705120162298595981//16454850031344105338696139395447278305285227071036649298283592,2093763924002856896939767742629803757319799446799103134364939//16454850031344105338696139395447278305285227071036649298283592,2093763924002856896939767742629803757319799446799103134364939//32909700062688210677392278790894556610570454142073298596567184,2,0//1,0//1,0//1,true,true,true,343834136544646035052468692953026939218149093124629095817300502822944562553506201257848156334619666246972348959520064138707482713209804807044151129631545971552676566014060000000000//4520435383339638181230094737046012905137194745363364715290375463224395690897864831959907947182308789905589085324754429218571848024989113553360882440442309037446185683553873867100167,5501346184714336560839499087248431027490385489994065533076808045167113000856099220125570501353914659951557583352321026219319723411356876912706418074104735544842825056224960000000000//4520435383339638181230094737046012905137194745363364715290375463224395690897864831959907947182308789905589085324754429218571848024989113553360882440442309037446185683553873867100167,convex
5,3,1//2,9325163229008344610384110017777282116588242052027042211120115//2056856253918013167337017424430909788160653383879581162285449,56475//14116,15473047200661998894824037966208484071386724951814381712100811065//29034582880306673870129337963266722569675783166844167686821398084,532635156432380775648899258142359430356669750215758239725820654196109994969277531976467038552634377399135499641984652804575//16922630597126569027958829884101945135599506565632067402140202562752897212970309325668579666446983232381421481219828526404,1054724125//49815364,1085588430952930211660784419769790418513369690239879735659708476521879959908460114741776528851928552548517720243943448339003274225//105375875379174673774861910961327026254739847223418915963768571212158552089837685031346854930881882052872137240548115257549858882,106527031286476155129779851628471886071333950043151647945164130839221998993855506395293407710526875479827099928396930560915//4230657649281642256989707471025486283899876641408016850535050640688224303242577331417144916611745808095355370304957131601,210944825//12453841,434235372381172084664313767907916167405347876095951894263883390608751983963384045896710611540771421019407088097577379335601309690//52687937689587336887430955480663513127369923611709457981884285606079276044918842515673427465440941026436068620274057628774929441,21305406257295231025955970325694377214266790008630329589032826167844399798771101279058681542105375095965419985679386112183//3836104061278421446568808924189892058683437282095218779504982983459083805570809165360119831688614808617638449079131141327,33751172//7972011,347388297904937667731451014326332933924278300876761515411106712487001587170707236717368489232617136815525670478061903468481047752//22462673567925898852297893375981088346030091559005177057422569169202380301429275574909936180072479790377685856371424570681849973,86776636506578170386320571323705797970867219989627213870320127870285//23226820030623302290186131017581088978426685797091702279515668822343,86847074476234416932862753581583233481069575219190378852776678121750396792676809179342122308154284203881417619515475867120261938//47774230038615717426557941901241969506006197244686001540169116783705059720253771586737640124796770336769499040318095652234987007,research:research,continue,9325163229008344610384110017777282116588242052027042211120115//2056856253918013167337017424430909788160653383879581162285449,36388681158453559779229736023696122408529434071051661487240715//8227425015672052669348069697723639152642613535518324649141796,911971757579818662306704047413006057823534137056507357239745//8227425015672052669348069697723639152642613535518324649141796,911971757579818662306704047413006057823534137056507357239745//16454850031344105338696139395447278305285227071036649298283592,2,0//1,0//1,0//1,true,true,true,48828911369024790167411600843527240173159699421487570768820895054522785912753400901998915948514992900259948678662797611062170002528901985193540998701451942453514217410950848000000//707110278052861826516856784872456680164652468466611686815506634364089197690678729451824616371602081456816759980738029287582806301449091873446092939076774760190855524930547329944463,781262581904396642678585613496435842770555190743801132301134320872364574604054414431982655176239886404159178858604761776994720040462431763096655979223231079256227478575213568000000//707110278052861826516856784872456680164652468466611686815506634364089197690678729451824616371602081456816759980738029287582806301449091873446092939076774760190855524930547329944463,convex
5,4,3//4,10302913160301282313585579336079820636444540359583391763120115//2056856253918013167337017424430909788160653383879581162285449,63905//14116,13992523264182269679901939399845458091644577219054523952351924995//29034582880306673870129337963266722569675783166844167686821398084,556265568245693763929347485939486410988173557154930348131260678962796551917752011635824955615925223821619240644030812804575//16922630597126569027958829884101945135599506565632067402140202562752897212970309325668579666446983232381421481219828526404,2303050075//99630728,4111869464935628245251942581906892255167650530938348530176723082543613312664216794371872345657029681512772978310510388732414325075//421503501516698695099447643845308105018959388893675663855074284848634208359350740125387419723527528211488548962192461030199435528,111253113649138752785869497187897282197634711430986069626252135792559310383550402327164991123185044764323848128806162560915//4230657649281642256989707471025486283899876641408016850535050640688224303242577331417144916611745808095355370304957131601,460610015//24907682,822373892987125649050388516381378451033530106187669706035344616508722662532843358874374469131405936302554595662102077746482865015//105375875379174673774861910961327026254739847223418915963768571212158552089837685031346854930881882052872137240548115257549858882,2472291414425305617463766604175495159947438031799690436138936350945762452967786718381444247181889883651641069529025834687//470924697051997640748960573695982572257737591685840210989025066217699690558450737101289342431909250535737424281433415703,184244006//45104149,328949557194850259620155406552551380413412042475067882414137846603489065013137343549749787652562374521021838264840831098593146006//20313353820925969285496275163281058425603162401134771985252099288682188431834889602660015689647082695186278360833434502730235479,189481717994003970755460221184476544797665075511714927470803619634347//51324336934079872811802777977769459805919644382533754903443030444686,164474778597425129810077703276275690206706021237533941207068923301744532506568671774874893826281187260510919132420415549296573003//105566783401057452304728166201413887286039749758410766903147876554414659975354640351460650581547920386822296595509198202537174014,research:research,continue,10302913160301282313585579336079820636444540359583391763120115//2056856253918013167337017424430909788160653383879581162285449,80821117650594724860197136496095391069002018863793167810366879//16454850031344105338696139395447278305285227071036649298283592,1602187631815533648487498192543174022554304012873966294594041//16454850031344105338696139395447278305285227071036649298283592,1602187631815533648487498192543174022554304012873966294594041//32909700062688210677392278790894556610570454142073298596567184,2,0//1,0//1,0//1,true,true,true,70723508566640982523746265736833351034501366646899074668772987142786511101173187436617836615108301766608229746112386014376646399759007805485165139677247774495304835727660768000000//942194076034336676068925971330127109852835338041551751198586857770136415275404889678953935175291409602682491014630646892236199490541732984620272658460537443467707134088372641944463,1131576137066255720379940251789333616552021866350385194700367794284584177618770998985885385841732828265731675937798176230026342396144124887762642234835964391924877371642572288000000//942194076034336676068925971330127109852835338041551751198586857770136415275404889678953935175291409602682491014630646892236199490541732984620272658460537443467707134088372641944463,convex
