belief_index,coordinate,gap,potential,cost,net_value,research_region,component
28,0.225,0.0,0.34945793222652594,0.72,-0.37054206777347404,false,0
29,0.23333333333333334,0.0,0.3631850432731594,0.72,-0.35681495672684055,false,0
30,0.24166666666666667,0.0,0.3776567144914795,0.72,-0.3423432855085205,false,0
31,0.25,0.0,0.3929072851057997,0.72,-0.3270927148942003,false,0
32,0.25833333333333336,0.0,0.4089703365938369,0.72,-0.31102966340616306,false,0
33,0.26666666666666666,0.0,0.42587811096618133,0.72,-0.29412188903381864,false,0
34,0.275,0.0,0.44366091048946243,0.72,-0.27633908951053754,false,0
35,0.2833333333333333,0.0,0.4623464946114584,0.72,-0.2576535053885416,false,0
36,0.2916666666666667,0.0,0.48195949034261537,0.72,-0.2380405096573846,false,0
37,0.3,0.0,0.5025208321010372,0.72,-0.21747916789896282,false,0
38,0.30833333333333335,0.0,0.5240472460105137,0.72,-0.1959527539894863,false,0
39,0.31666666666666665,0.0,0.5465507918845004,0.72,-0.17344920811549958,false,0
40,0.325,0.0,0.5700384737223813,0.72,-0.14996152627761872,false,0
41,0.3333333333333333,0.0025247294785240015,0.5945119266297754,0.72,-0.1254880733702246,false,0
42,0.3416666666666667,0.013166945806836361,0.6199671848353944,0.72,-0.1000328151646056,false,0
43,0.35,0.024614041830876454,0.6463945321220197,0.72,-0.07360546787798028,false,0
44,0.35833333333333334,0.036889707060393906,0.6737784327351388,0.72,-0.04622156726486115,false,0
45,0.36666666666666664,0.050013737022722105,0.7020975378845451,0.72,-0.017902462115454876,false,0
46,0.375,0.06400145086360315,0.7313247604881243,0.72,0.011324760488124364,true,1
47,0.38333333333333336,0.07886310863224505,0.7614274089561177,0.72,0.04142740895611774,true,1
48,0.39166666666666666,0.09460333699492995,0.7923673696591,0.72,0.07236736965910007,true,1
49,0.4,0.11122057279919645,0.8241013272875645,0.72,0.1041013272875645,true,1
50,0.4083333333333333,0.12870653446262909,0.8565810125639312,0.72,0.13658101256393118,true,1
51,0.4166666666666667,0.14704573156263162,0.8897534676286251,0.72,0.1697534676286251,true,1
52,0.425,0.16621502323384668,0.9235613207716579,0.72,0.2035613207716579,true,1
53,0.43333333333333335,0.18618323601806813,0.9579430638757237,0.72,0.23794306387572373,true,1
54,0.44166666666666665,0.2069108516405605,0.9928333278204571,0.72,0.2728333278204571,true,1
55,0.45,0.22834977479351587,1.0281631530176534,0.72,0.3081631530176534,true,1
56,0.4583333333333333,0.2504431903832056,1.0638602540653002,0.72,0.3438602540653002,true,1
57,0.4666666666666667,0.27312551883861125,1.0998492791106211,0.72,0.37984927911062116,true,1
58,0.475,0.29632247698783526,1.1360520658145854,0.72,0.4160520658145854,true,1
59,0.48333333333333334,0.3199512506922394,1.1723878967617363,0.72,0.4523878967617363,true,1
60,0.49166666666666664,0.34392078390093517,1.2087737577406217,0.72,0.4887737577406217,true,1
61,0.5,0.3681321870700751,1.2451246025415514,0.72,0.5251246025415515,true,1
62,0.5083333333333333,0.39247926600840155,1.2813536278134727,0.72,0.5613536278134728,true,1
63,0.5166666666666667,0.41684917019454093,1.3173725611410458,0.72,0.5973725611410459,true,1
64,0.525,0.44112315749945297,1.353091964907769,0.72,0.6330919649077691,true,1
65,0.5333333333333333,0.4651774700807313,1.3884215577661925,0.72,0.6684215577661925,true,1
66,0.5416666666666666,0.4888843140390443,1.423270554705541,0.72,0.7032705547055411,true,1
67,0.55,0.5121129332885409,1.4575480258480455,0.72,0.7375480258480456,true,1
68,0.5583333333333333,0.5347307660414704,1.49116327326701,0.72,0.77116327326701,true,1
69,0.5666666666666667,0.5566046703917823,1.524026224340703,0.72,0.804026224340703,true,1
70,0.575,0.5776022037510701,1.5560478394646706,0.72,0.8360478394646707,true,1
71,0.5833333333333334,0.5975929393884589,1.5871405313590718,0.72,0.8671405313590719,true,1
72,0.5916666666666667,0.6164498020956255,1.6172185927365037,0.72,0.8972185927365037,true,1
73,0.6,0.6340504040757076,1.6461986287420733,0.72,0.9261986287420734,true,1
74,0.6083333333333333,0.650278361570866,1.673999990338651,0.72,0.9539999903386511,true,1
75,0.6166666666666667,0.6650245725208187,1.7005452046808076,0.72,0.9805452046808076,true,1
76,0.625,0.6781884356988616,1.7257603984937555,0.72,1.0057603984937555,true,1
77,0.6333333333333333,0.6896789923090555,1.7495757105419185,0.72,1.0295757105419185,true,1
78,0.6416666666666667,0.6994159719455914,1.7719256894294482,0.72,1.0519256894294482,true,1
79,0.65,0.707330726100816,1.7927496732183321,0.72,1.0727496732183321,true,1
80,0.6583333333333333,0.7133670340408426,1.8119921476764793,0.72,1.0919921476764793,true,1
81,0.6666666666666666,0.7174817678171277,1.829603080378753,0.72,1.109603080378753,true,1
82,0.675,0.7196454054109324,1.845538228379598,0.72,1.125538228379598,true,1
83,0.6833333333333333,0.7198423834699713,1.859759417758389,0.72,1.139759417758389,true,1
84,0.6916666666666667,0.7180712837415548,1.8722347940079673,0.72,1.1522347940079674,true,1
85,0.7,0.7143448500781346,1.882939042987912,0.72,1.162939042987912,true,1
86,0.7083333333333334,0.7086898357300114,1.8918535829851495,0.72,1.1718535829851495,true,1
87,0.7166666666666667,0.7011466834849684,1.8989667292899237,0.72,1.1789667292899237,true,1
88,0.725,0.6917690440044714,1.9042738335641025,0.72,1.1842738335641025,true,1
89,0.7333333333333333,0.6806231403810031,1.9077774010878745,0.72,1.1877774010878746,true,1
90,0.7416666666666667,0.6677869894442932,1.9094871896324597,0.72,1.1894871896324597,true,1
91,0.75,0.6533494926233236,1.9094202941063394,0.72,1.1894202941063394,true,1
92,0.7583333333333333,0.6374094111795562,1.90760122112267,0.72,1.18760122112267,true,1
93,0.7666666666666667,0.6200742423253329,1.9040619570819293,0.72,1.1840619570819293,true,1
94,0.775,0.6014590140982458,1.898842032101235,0.72,1.178842032101235,true,1
95,0.7833333333333333,0.5816850178544895,1.8919885800166127,0.72,1.1719885800166128,true,1
96,0.7916666666666666,0.5608784978579368,1.8835563916558251,0.72,1.1635563916558251,true,1
97,0.8,0.5391693176722321,1.8736079546358628,0.72,1.1536079546358629,true,1
98,0.8083333333333333,0.5166896229151676,1.8622134682177451,0.72,1.1422134682177452,true,1
99,0.8166666666666667,0.4935725194212952,1.8494508165510533,0.72,1.1294508165510533,true,1
100,0.825,0.46995078500179255,1.8354054784425073,0.72,1.1154054784425074,true,1
101,0.8333333333333334,0.4459556318190252,1.8201703472438244,0.72,1.1001703472438245,true,1
102,0.8416666666666667,0.42171553494255754,1.803845431366689,0.72,1.083845431366689,true,1
103,0.85,0.39735514096435964,1.7865374051433127,0.72,1.0665374051433127,true,1
104,0.8583333333333333,0.3729942686685037,1.768358982038106,0.72,1.048358982038106,true,1
105,0.8666666666666667,0.3487470117223762,1.7494280881385904,0.72,1.0294280881385904,true,1
106,0.875,0.3247209512313902,1.7298668235952988,0.72,1.0098668235952988,true,1
107,0.8833333333333333,0.30101648382651236,1.709800212918941,0.72,0.9898002129189409,true,1
108,0.8916666666666667,0.27772626878154694,1.6893547608846962,0.72,0.9693547608846962,true,1
109,0.9,0.25493479553069887,1.6686568478024453,0.72,0.9486568478024453,true,1
110,0.9083333333333333,0.2327180709186074,1.6478310142512513,0.72,0.9278310142512514,true,1
111,0.9166666666666666,0.2111434236027685,1.6269981990521998,0.72,0.9069981990521998,true,1
112,0.925,0.19026942127482727,1.6062740034232983,0.72,0.8862740034232983,true,1
113,0.9333333333333333,0.17014589479994202,1.5857670575483382,0.72,0.8657670575483383,true,1
114,0.9416666666666667,0.1508140620135492,1.5655775625443453,0.72,0.8455775625443454,true,1
115,0.95,0.1323067427775959,1.545796071228586,0.72,0.8257960712285861,true,1
116,0.9583333333333334,0.11464865599264151,1.5265025561962633,0.72,0.8065025561962633,true,1
117,0.9666666666666667,0.09785678859126712,1.5077657952132975,0.72,0.7877657952132975,true,1
118,0.975,0.08194082609937958,1.4896430838692698,0.72,0.7696430838692698,true,1
119,0.9833333333333333,0.06690363413754907,1.4721802659330507,0.72,0.7521802659330508,true,1
120,0.9916666666666667,0.05274178023211484,1.45541205475267,0.72,0.7354120547526701,true,1
121,1.0,0.039446085499181716,1.439362605694012,0.72,0.7193626056940121,true,1
