trial_id,lambda_id,lambda,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,operational_values,generative_values,total_values,optimizer_count,enumeration_certificate
4,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1;9//1;12//1;13//1;16//1,9275//768,0//1,9275//768,8,complete-enumeration:32
4,L025,1//4,8315//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
4,L050,1//2,7355//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
4,L100,1//1,1733//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
4,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
4,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
5,L0,0//1,4725//256,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4725//256,0//1,4725//256,4,complete-enumeration:32
5,L025,1//4,4405//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
5,L050,1//2,4085//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
5,L100,1//1,3445//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
5,L200,2//1,1157//128,20,base_3;frontier_addition;inactive,3//1,1925//128,0//1,1925//128,1,complete-enumeration:32
5,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
6,L0,0//1,2275//128,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,2275//128,0//1,2275//128,4,complete-enumeration:32
6,L025,1//4,2115//128,19,base_1;base_2;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
6,L050,1//2,1955//128,19,base_1;base_2;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
6,L100,1//1,1635//128,19,base_1;base_2;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
6,L200,2//1,2139//256,17,base_1;frontier_addition;inactive,3//1,3675//256,0//1,3675//256,1,complete-enumeration:32
6,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
7,L0,0//1,2275//128,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,2275//128,0//1,2275//128,4,complete-enumeration:32
7,L025,1//4,2115//128,22,base_2;base_3;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
7,L050,1//2,1955//128,22,base_2;base_3;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
7,L100,1//1,1635//128,22,base_2;base_3;frontier_addition;inactive,5//1,2275//128,0//1,2275//128,1,complete-enumeration:32
7,L200,2//1,2139//256,18;20,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,3//1,3675//256,0//1,3675//256,2,complete-enumeration:32
7,L400,4//1,3403//768,16,frontier_addition;inactive,1//1,6475//768,0//1,6475//768,1,complete-enumeration:32
8,L0,0//1,8677//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,8575//768,17//128,8677//768,4,complete-enumeration:32
8,L025,1//4,7999//768,17,base_1;frontier_addition;inactive,3//1,8575//768,0//1,8575//768,1,complete-enumeration:32
8,L050,1//2,7457//768,1,base_1;inactive,2//1,8225//768,0//1,8225//768,1,complete-enumeration:32
8,L100,1//1,6689//768,1,base_1;inactive,2//1,8225//768,0//1,8225//768,1,complete-enumeration:32
8,L200,2//1,969//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
8,L400,4//1,713//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
9,L0,0//1,9625//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,9625//768,0//1,9625//768,8,complete-enumeration:32
9,L025,1//4,9049//768,17,base_1;frontier_addition;inactive,3//1,9625//768,0//1,9625//768,1,complete-enumeration:32
9,L050,1//2,8473//768,17,base_1;frontier_addition;inactive,3//1,9625//768,0//1,9625//768,1,complete-enumeration:32
9,L100,1//1,2463//256,1,base_1;inactive,2//1,2975//256,0//1,2975//256,1,complete-enumeration:32
9,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
9,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
10,L0,0//1,13825//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,13825//768,0//1,13825//768,4,complete-enumeration:32
10,L025,1//4,12865//768,22,base_2;base_3;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
10,L050,1//2,11905//768,22,base_2;base_3;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
10,L100,1//1,9985//768,22,base_2;base_3;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
10,L200,2//1,103//12,18,base_2;frontier_addition;inactive,3//1,175//12,0//1,175//12,1,complete-enumeration:32
10,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
11,L0,0//1,2420507//196608,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,2975//256,135707//196608,2420507//196608,4,complete-enumeration:32
11,L025,1//4,2783//256,17,base_1;frontier_addition;inactive,3//1,2975//256,0//1,2975//256,1,complete-enumeration:32
11,L050,1//2,2591//256,17,base_1;frontier_addition;inactive,3//1,2975//256,0//1,2975//256,1,complete-enumeration:32
11,L100,1//1,3641//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
11,L200,2//1,3257//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
11,L400,4//1,2489//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
12,L0,0//1,24753//2048,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,2975//256,953//2048,24753//2048,4,complete-enumeration:32
12,L025,1//4,2655//256,17,base_1;frontier_addition;inactive,5//1,2975//256,0//1,2975//256,1,complete-enumeration:32
12,L050,1//2,2335//256,17,base_1;frontier_addition;inactive,5//1,2975//256,0//1,2975//256,1,complete-enumeration:32
12,L100,1//1,1097//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
12,L200,2//1,969//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
12,L400,4//1,713//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
13,L0,0//1,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,1575//128,0//1,1575//128,8,complete-enumeration:32
13,L025,1//4,1479//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
13,L050,1//2,1383//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
13,L100,1//1,1191//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
13,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
13,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
14,L0,0//1,875//48,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,875//48,0//1,875//48,4,complete-enumeration:32
14,L025,1//4,815//48,21,base_1;base_3;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
14,L050,1//2,755//48,21,base_1;base_3;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
14,L100,1//1,635//48,21,base_1;base_3;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
14,L200,2//1,103//12,20,base_3;frontier_addition;inactive,3//1,175//12,0//1,175//12,1,complete-enumeration:32
14,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
15,L0,0//1,1923//128,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,2975//256,871//256,1923//128,4,complete-enumeration:32
15,L025,1//4,1731//128,25,base_1;closure_carrier;frontier_addition;inactive,6//1,2975//256,871//256,1923//128,1,complete-enumeration:32
15,L050,1//2,74981//6144,24,closure_carrier;frontier_addition;inactive,4//1,7525//768,9023//2048,87269//6144,1,complete-enumeration:32
15,L100,1//1,62693//6144,24,closure_carrier;frontier_addition;inactive,4//1,7525//768,9023//2048,87269//6144,1,complete-enumeration:32
15,L200,2//1,5989//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
15,L400,4//1,4453//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
16,L0,0//1,14525//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,14525//768,0//1,14525//768,4,complete-enumeration:32
16,L025,1//4,13565//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
16,L050,1//2,12605//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
16,L100,1//1,10685//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
16,L200,2//1,6845//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
16,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
17,L0,0//1,13927//768,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,13825//768,17//128,13927//768,2,complete-enumeration:32
17,L025,1//4,12097//768,21,base_1;base_3;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
17,L050,1//2,10369//768,21,base_1;base_3;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
17,L100,1//1,115//12,20,base_3;frontier_addition;inactive,5//1,175//12,0//1,175//12,1,complete-enumeration:32
17,L200,2//1,2557//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
17,L400,4//1,1789//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
18,L0,0//1,52077//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,2975//256,4477//4096,52077//4096,4,complete-enumeration:32
18,L025,1//4,46957//4096,25,base_1;closure_carrier;frontier_addition;inactive,5//1,2975//256,4477//4096,52077//4096,1,complete-enumeration:32
18,L050,1//2,41837//4096,25,base_1;closure_carrier;frontier_addition;inactive,5//1,2975//256,4477//4096,52077//4096,1,complete-enumeration:32
18,L100,1//1,1733//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
18,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
18,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
19,L0,0//1,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,875//48,0//1,875//48,4,complete-enumeration:32
19,L025,1//4,815//48,19,base_1;base_2;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
19,L050,1//2,755//48,19,base_1;base_2;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
19,L100,1//1,635//48,19,base_1;base_2;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
19,L200,2//1,6767//768,17,base_1;frontier_addition;inactive,3//1,11375//768,0//1,11375//768,1,complete-enumeration:32
19,L400,4//1,1789//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
20,L0,0//1,60751//3072,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,7175//384,1117//1024,60751//3072,2,complete-enumeration:32
20,L025,1//4,51535//3072,27,base_1;base_2;closure_carrier;frontier_addition;inactive,12//1,7175//384,1117//1024,60751//3072,1,complete-enumeration:32
20,L050,1//2,5447//384,19,base_1;base_2;frontier_addition;inactive,9//1,7175//384,0//1,7175//384,1,complete-enumeration:32
20,L100,1//1,95473//8192,24,closure_carrier;frontier_addition;inactive,4//1,1225//128,49841//8192,128241//8192,1,complete-enumeration:32
20,L200,2//1,62705//8192,24,closure_carrier;frontier_addition;inactive,4//1,1225//128,49841//8192,128241//8192,1,complete-enumeration:32
20,L400,4//1,713//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
21,L0,0//1,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,875//48,0//1,875//48,4,complete-enumeration:32
21,L025,1//4,767//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
21,L050,1//2,659//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
21,L100,1//1,1285//128,18,base_2;frontier_addition;inactive,5//1,1925//128,0//1,1925//128,1,complete-enumeration:32
21,L200,2//1,5639//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
21,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
22,L0,0//1,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,875//48,0//1,875//48,4,complete-enumeration:32
22,L025,1//4,767//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
22,L050,1//2,659//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
22,L100,1//1,1285//128,18,base_2;frontier_addition;inactive,5//1,1925//128,0//1,1925//128,1,complete-enumeration:32
22,L200,2//1,5639//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
22,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
23,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,9275//768,0//1,9275//768,8,complete-enumeration:32
23,L025,1//4,8699//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
23,L050,1//2,8123//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
23,L100,1//1,7039//768,1,base_1;inactive,2//1,8575//768,0//1,8575//768,1,complete-enumeration:32
23,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
23,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
24,L0,0//1,918449//49152,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,875//48,7483//16384,918449//49152,2,complete-enumeration:32
24,L025,1//4,767//48,22,base_2;base_3;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
24,L050,1//2,659//48,22,base_2;base_3;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
24,L100,1//1,7535//768,18,base_2;frontier_addition;inactive,5//1,11375//768,0//1,11375//768,1,complete-enumeration:32
24,L200,2//1,683//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
24,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
25,L0,0//1,151631//12288,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,9275//768,1077//4096,151631//12288,4,complete-enumeration:32
25,L025,1//4,8699//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
25,L050,1//2,8123//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
25,L100,1//1,3641//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
25,L200,2//1,3257//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
25,L400,4//1,2489//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
26,L0,0//1,147697//8192,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,11//1;15//1,2275//128,2097//8192,147697//8192,2,complete-enumeration:32
26,L025,1//4,1987//128,22,base_2;base_3;frontier_addition;inactive,9//1,2275//128,0//1,2275//128,1,complete-enumeration:32
26,L050,1//2,1699//128,22,base_2;base_3;frontier_addition;inactive,9//1,2275//128,0//1,2275//128,1,complete-enumeration:32
26,L100,1//1,3505//384,18;20,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,5//1,5425//384,0//1,5425//384,2,complete-enumeration:32
26,L200,2//1,683//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
26,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
27,L0,0//1,299149//16384,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,875//48,1447//49152,299149//16384,2,complete-enumeration:32
27,L025,1//4,767//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
27,L050,1//2,659//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
27,L100,1//1,7535//768,17,base_1;frontier_addition;inactive,5//1,11375//768,0//1,11375//768,1,complete-enumeration:32
27,L200,2//1,2557//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
27,L400,4//1,1789//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
28,L0,0//1,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,1575//128,0//1,1575//128,8,complete-enumeration:32
28,L025,1//4,1479//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
28,L050,1//2,1383//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
28,L100,1//1,3641//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
28,L200,2//1,3257//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
28,L400,4//1,2489//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
29,L0,0//1,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,1575//128,0//1,1575//128,8,complete-enumeration:32
29,L025,1//4,1415//128,17,base_1;frontier_addition;inactive,5//1,1575//128,0//1,1575//128,1,complete-enumeration:32
29,L050,1//2,1255//128,17,base_1;frontier_addition;inactive,5//1,1575//128,0//1,1575//128,1,complete-enumeration:32
29,L100,1//1,2369//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
29,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
29,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
