iteration,increment,bellman_residual,apriori_error_bound,posterior_error_bound
45,1.227329896735796e-5,9.204974226406648e-6,4.772949598199046e-5,3.681989690562659e-5
46,9.204974226406648e-6,6.903730671581343e-6,3.579712198649285e-5,2.761492268632537e-5
47,6.903730671581343e-6,5.177798003686007e-6,2.6847841489869636e-5,2.071119201474403e-5
48,5.177798003686007e-6,3.883348501432238e-6,2.013588111740223e-5,1.553339400572895e-5
49,3.883348501432238e-6,2.9125113769623567e-6,1.510191083805167e-5,1.1650045507849427e-5
50,2.9125113769623567e-6,2.1843835327217676e-6,1.1326433128538751e-5,8.73753413088707e-6
51,2.1843835327217676e-6,1.6382876495413257e-6,8.494824846404064e-6,6.553150598165303e-6
52,1.6382876495413257e-6,1.228715738932351e-6,6.371118634803048e-6,4.914862955729404e-6
53,1.228715738932351e-6,9.215368024229065e-7,4.778338976102286e-6,3.686147209691626e-6
54,9.215368024229065e-7,6.911526035935367e-7,3.583754232076715e-6,2.7646104143741468e-6
55,6.911526035935367e-7,5.183644535833309e-7,2.687815674057536e-6,2.0734578143333238e-6
56,5.183644535833309e-7,3.887733406315874e-7,2.015861755543152e-6,1.5550933625263497e-6
57,3.887733406315874e-7,2.9158000458551214e-7,1.5118963166573641e-6,1.1663200183420486e-6
58,2.9158000458551214e-7,2.1868500432731253e-7,1.133922237493023e-6,8.747400173092501e-7
59,2.1868500432731253e-7,1.6401375546593044e-7,8.504416781197673e-7,6.560550218637218e-7
60,1.6401375546593044e-7,1.2301031659944783e-7,6.378312585898254e-7,4.920412663977913e-7
61,1.2301031659944783e-7,9.225773744958587e-8,4.78373443942369e-7,3.690309497983435e-7
62,9.225773744958587e-8,6.919330175492178e-8,3.5878008295677683e-7,2.767732070196871e-7
63,6.919330175492178e-8,5.189497898072659e-8,2.690850622175826e-7,2.0757991592290637e-7
64,5.189497898072659e-8,3.8921232459188104e-8,2.0181379666318695e-7,1.5568492983675242e-7
65,3.8921232459188104e-8,2.9190925232569498e-8,1.5136034749739023e-7,1.1676370093027799e-7
66,2.9190925232569498e-8,2.1893194812605543e-8,1.1352026062304266e-7,8.757277925042217e-8
67,2.1893194812605543e-8,1.6419896553543367e-8,8.514019546728199e-8,6.567958621417347e-8
68,1.6419896553543367e-8,1.2314922415157525e-8,6.38551466004615e-8,4.92596896606301e-8
69,1.2314922415157525e-8,9.236192255457354e-9,4.789135995034612e-8,3.6944769021829416e-8
70,9.236192255457354e-9,6.927145079771435e-9,3.591851996275959e-8,2.770858031908574e-8
71,6.927145079771435e-9,5.195360586185416e-9,2.6938889972069696e-8,2.0781442344741663e-8
72,5.195360586185416e-9,3.896518663282222e-9,2.020416747905227e-8,1.558607465312889e-8
73,3.896518663282222e-9,2.922391217907716e-9,1.5153125609289202e-8,1.1689564871630864e-8
74,2.922391217907716e-9,2.191793413430787e-9,1.1364844206966902e-8,8.767173653723148e-9
75,2.191793413430787e-9,1.6438441718946706e-9,8.523633155225176e-9,6.575376687578682e-9
76,1.6438441718946706e-9,1.2328840170994226e-9,6.392724866418883e-9,4.9315360683976905e-9
77,1.2328840170994226e-9,9.246647891814064e-10,4.794543649814162e-9,3.6986591567256255e-9
78,9.246647891814064e-10,6.934985918860548e-10,3.595907737360621e-9,2.773994367544219e-9
79,6.934985918860548e-10,5.201243880037509e-10,2.696930803020466e-9,2.0804975520150037e-9
80,5.201243880037509e-10,3.900932910028132e-10,2.0226981022653498e-9,1.5603731640112528e-9
81,3.900932910028132e-10,2.9256952416290005e-10,1.5170235766990123e-9,1.1702780966516002e-9
82,2.9256952416290005e-10,2.1942803130059474e-10,1.1377676825242592e-9,8.77712125202379e-10
83,2.1942803130059474e-10,1.645705793862362e-10,8.533257618931942e-10,6.582823175449448e-10
84,1.645705793862362e-10,1.23428378628887e-10,6.399943214198958e-10,4.93713514515548e-10
85,1.23428378628887e-10,9.257128397166525e-11,4.799957410649219e-10,3.70285135886661e-10
86,9.257128397166525e-11,6.942890706795879e-11,3.599968057986913e-10,2.7771562827183516e-10
