parameter,registered_value,actual_parameter_value,belief_index,belief_coordinate,total_value,operational_value,generative_value,total_discount_derivative,operational_discount_derivative,generative_discount_derivative,total_scaled_sensitivity,operational_scaled_sensitivity,generative_scaled_sensitivity,innovation_duration,operational_elasticity,generative_elasticity,operational_contribution,generative_contribution,action,alternate_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,policy_iterations,policy_equation_residual,bellman_residual,derivative_residual,value_reconstruction_exact,channel_identity_exact,sensitivity_identity_exact
admission_probability,1//1,1//1,1,0//1,63231750528705230//8128783749229093,40885//14116,560234066875971559375//114745911404117876788,3254440847795542738542888201670075//66077125241730989911871797602649,1653895525//99630728,214957649156643690727076700326273478818875//6583312091980834505080443037820574598472,2603552678236434190834310561336060//66077125241730989911871797602649,330779105//24907682,42991529831328738145415340065254695763775//1645828022995208626270110759455143649618,260355267823643419083431056133606//51399722613304718305917993725639,132311642//28856633,3439322386506299051633227205220375661102//642845686033188822007989923342984762875,537766362661708764500353//314991266894464348115372,8598305966265747629083068013050939152755//2560495891480805785326768211592422917596,research:research,continue,63231750528705230//8128783749229093,109681674230403141//16257567498458186,16781826827007319//16257567498458186,16781826827007319//32515134996916372,2,0//1,0//1,0//1,true,true,true
admission_probability,1//1,1//1,2,1//4,64505382646190830//8128783749229093,48345//14116,517571931077149255195//114745911404117876788,3257733155903488173765267702169075//66077125241730989911871797602649,1869498175//99630728,201039260903739505010436385829870440671025//6583312091980834505080443037820574598472,2606186524722790539012214161735260//66077125241730989911871797602649,373899635//24907682,40207852180747901002087277165974088134205//1645828022995208626270110759455143649618,260618652472279053901221416173526//52435030619216036728338546581719,149559854//34121901,16083140872299160400834910866389635253682//2969463147431838622114219423908948945683,607869855366137880816211//321335911647927940991212,8041570436149580200417455433194817626841//2612070136647392264259553813199287730716,research:research,continue,64505382646190830//8128783749229093,454521613473281497//65030269993832744,61521447696245143//65030269993832744,61521447696245143//130060539987665488,2,0//1,0//1,0//1,true,true,true
admission_probability,1//1,1//1,3,1//2,65799298178281630//8128783749229093,56475//14116,469749830846910461905//114745911404117876788,3261320732230141710168216259513575//66077125241730989911871797602649,1054724125//49815364,92770741293690909243429385359756137359175//3291656045990417252540221518910287299236,2609056585784113368134573007610860//66077125241730989911871797602649,210944825//12453841,18554148258738181848685877071951227471835//822914011497604313135055379727571824809,260905658578411336813457300761086//53486826574229517730678794346159,33751172//7972011,14843318606990545478948701657560981977468//2695093623622947337504781209479647888057,342944973088794981558745//163890799484781814648166,3710829651747636369737175414390245494367//1332232867500058222649109053717526293438,research:research,continue,65799298178281630//8128783749229093,235460157694971215//32515134996916372,27737035018155305//32515134996916372,27737035018155305//65030269993832744,2,0//1,0//1,0//1,true,true,true
admission_probability,1//1,1//1,4,3//4,67090690483616430//8128783749229093,63905//14116,427582261372244337715//114745911404117876788,3264841740233418398953313915443075//66077125241730989911871797602649,2303050075//99630728,173099631140489415569952516548958405159925//6583312091980834505080443037820574598472,2611873392186734719162651132354460//66077125241730989911871797602649,460610015//24907682,34619926228097883113990503309791681031985//1645828022995208626270110759455143649618,261187339218673471916265113235446//54536571452778019448835920879799,184244006//45104149,13847970491239153245596201323916672412794//2453165814069596113183119121837051572971,748839840932833753033279//334214716745268849683052,6923985245619576622798100661958336206397//2716759158232145850042840774902387431836,research:research,continue,67090690483616430//8128783749229093,487243907300843363//65030269993832744,49481616568088077//65030269993832744,49481616568088077//130060539987665488,2,0//1,0//1,0//1,true,true,true
admission_probability,1//1,1//1,5,1//1,68322822886306830//8128783749229093,69245//14116,401567337147738667495//114745911404117876788,3267515284246394808748090334084075//66077125241730989911871797602649,2406112425//99630728,166555934468185182836488621375740633642775//6583312091980834505080443037820574598472,2614012227397115846998472267267260//66077125241730989911871797602649,481222485//24907682,33311186893637036567297724275148126728555//1645828022995208626270110759455143649618,261401222739711584699847226726726//55538145237966851479519836060519,192488994//48873121,13324474757454814626919089710059250691422//2303910504557097733359748656428385530303,260783567722109397850407//113450876386296845071204,6662237378727407313459544855029625345711//2766652920914185326386219178575080013916,research:research,continue,68322822886306830//8128783749229093,62725435438140037//8128783749229093,5597387448166793//8128783749229093,5597387448166793//16257567498458186,2,0//1,0//1,0//1,true,true,true
candidate_survival,3//4,3//4,1,0//1,175685094707439170//25327247924378749,40885//14116,1444466265501986170855//357519431700530420884,30228806841226597823696856688316650//641469487422947649424077602805001,1653895525//99630728,1950794517489929454446382708636738332500675//63910072021735118218009632295957091670728,24183045472981278258957485350653320//641469487422947649424077602805001,330779105//24907682,390158903497985890889276541727347666500135//15977518005433779554502408073989272917682,2418304547298127825895748535065332//444961995027327265967413095819833,132311642//28856633,156063561399194356355710616690939066600054//25821237917642879304939722265600034206791,1675544880107822055047929//875181694222555576140788,78031780699597178177855308345469533300027//22165943748452497701291495506631859314212,research:research,continue,175685094707439170//25327247924378749,308034245344892109//50654495848757498,43335944069986231//50654495848757498,43335944069986231//101308991697514996,2,0//1,0//1,0//1,true,true,true
candidate_survival,3//4,3//4,2,1//4,181054581002808130//25327247924378749,48345//14116,1331320664531548942675//357519431700530420884,30348384988785587100666927141159850//641469487422947649424077602805001,1869498175//99630728,1824405654001593795028002357094390369497625//63910072021735118218009632295957091670728,24278707991028469680533541712927880//641469487422947649424077602805001,373899635//24907682,364881130800318759005600471418878073899525//15977518005433779554502408073989272917682,2427870799102846968053354171292788//458561426090263629021305469642937,149559854//34121901,29190490464025500720448037713510245911962//4759730073944918849896701694335629388247,1893969750895944370571323//901929985652237201810932,72976226160063751801120094283775614779905//22843404357045579535657295725453856684068,research:research,continue,181054581002808130//25327247924378749,1289931369334700209//202617983395029992,158505278687764831//202617983395029992,158505278687764831//405235966790059984,2,0//1,0//1,0//1,true,true,true
candidate_survival,3//4,3//4,3,1//2,186632585846959810//25327247924378749,56475//14116,1204149255286394828185//357519431700530420884,30481708171720987264194105464373450//641469487422947649424077602805001,1054724125//49815364,841884044079688522545576526811550218336675//31955036010867559109004816147978545835364,24385366537376789811355284371498760//641469487422947649424077602805001,210944825//12453841,168376808815937704509115305362310043667335//7988759002716889777251204036994636458841,2438536653737678981135528437149876//472688977251385153479088462107769,33751172//7972011,134701447052750163607292244289848034933868//21525337871630440281348864684121945790777,1068530376227937688304785//464858509911377561426042,33675361763187540901823061072462008733467//11773586730282735462378329064049359981458,research:research,continue,186632585846959810//25327247924378749,675399015292063511//101308991697514996,71131328095775729//101308991697514996,71131328095775729//202617983395029992,2,0//1,0//1,0//1,true,true,true
candidate_survival,3//4,3//4,4,3//4,192146915476103490//25327247924378749,63905//14116,1093808080253252909995//357519431700530420884,30607901410591208869081708206059050//641469487422947649424077602805001,2303050075//99630728,1572151148969797909299471650107359399063325//63910072021735118218009632295957091670728,24486321128472967095265366564847240//641469487422947649424077602805001,460610015//24907682,314430229793959581859894330021471879812665//15977518005433779554502408073989272917682,349804587549613815646648093783532//69522179516684586297161621153343,184244006//45104149,125772091917583832743957732008588751925066//19552882162079557555331896159694756016779,2333196809271362888514247//957186853591932865602036,62886045958791916371978866004294375962533//24242908750878907177077628272087169532964,research:research,continue,192146915476103490//25327247924378749,1410726513126097835//202617983395029992,126448810682730085//202617983395029992,126448810682730085//405235966790059984,2,0//1,0//1,0//1,true,true,true
candidate_survival,3//4,3//4,5,1//1,197064624192804930//25327247924378749,69245//14116,1027978952582027917375//357519431700530420884,30695241575349716395254955826719850//641469487422947649424077602805001,2406112425//99630728,1514741560341223529648969780350612749313375//63910072021735118218009632295957091670728,24556193260279773116203964661375880//641469487422947649424077602805001,481222485//24907682,302948312068244705929793956070122549862675//15977518005433779554502408073989272917682,2455619326027977311620396466137588//499110459405569686842786599443257,192488994//48873121,24235864965459576474383516485609803989014//3675224509272331301582065091179467264595,812536078958708911664751//327228199522926125631484,60589662413648941185958791214024509972535//24863369211495677577439425225588044800548,research:research,continue,197064624192804930//25327247924378749,182733061842787621//25327247924378749,14331562350017309//25327247924378749,14331562350017309//50654495848757498,2,0//1,0//1,0//1,true,true,true
candidate_survival,9//10,9//10,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true
candidate_survival,9//10,9//10,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true
candidate_survival,9//10,9//10,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true
candidate_survival,9//10,9//10,4,3//4,30195587173481415990//3842010443674795399,63905//14116,180717231137825868141745//54233819422913411852284,716012986816038973186343209592954187550//14761044249306198189148052344511569201,2303050075//99630728,37341471068493406537445567491471314089524296325//1470653584598590020497102154865794443918008328,572810389452831178549074567674363350040//14761044249306198189148052344511569201,460610015//24907682,7468294213698681307489113498294262817904859265//367663396149647505124275538716448610979502082,57281038945283117854907456767436335004//11601176127340829619477585789205703001,184244006//45104149,2987317685479472522995645399317705127161943706//490049284006887649365650915854369582275699779,353933697618240832771064197//150420416624070788477727036,1493658842739736261497822699658852563580971853//577916811611593779556257425930509365870707364,research:research,continue,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,2,0//1,0//1,0//1,true,true,true
candidate_survival,9//10,9//10,5,1//1,30877392967417681590//3842010443674795399,69245//14116,169825265955806785920685//54233819422913411852284,717400674243550143225087501815468119550//14761044249306198189148052344511569201,2406112425//99630728,35958419468345308981598106758896743200784109975//1470653584598590020497102154865794443918008328,573920539394840114580070001452374495640//14761044249306198189148052344511569201,481222485//24907682,7191683893669061796319621351779348640156821995//367663396149647505124275538716448610979502082,57392053939484011458007000145237449564//11863126625426941411915725281817900441,192488994//48873121,2876673557467624718527848540711739456062728798//460513640364773493534297935327874976908004727,123257454206742504918223101//51272285668098398281398292,1438336778733812359263924270355869728031364399//590965971023734741841255792237761292184175524,research:research,continue,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,2,0//1,0//1,0//1,true,true,true
candidate_survival,1//1,1//1,1,0//1,120550070422//16138661891,40885//14116,1041855602663417//227813351253356,1150485643412530301600//23677855239274154171,1653895525//99630728,75463023384905470438890580025//2359041954967498171640966488,920388514730024241280//23677855239274154171,330779105//24907682,15092604676981094087778116005//589760488741874542910241622,460194257365012120640//88432583067131713091,132311642//28856633,30185209353962188175556232010//5394286735564498180653629033,5338332136202587555//3002622819148781804,15092604676981094087778116005//4405301314949402723571730124,research:research,continue,120550070422//16138661891,1049382672159//161386618910,156118032061//161386618910,156118032061//322773237820,2,0//1,0//1,0//1,true,true,true
candidate_survival,1//1,1//1,2,1//4,123409269974//16138661891,48345//14116,961821645832589//227813351253356,1152687763660013435600//23677855239274154171,1869498175//99630728,70577413892401863531255978875//2359041954967498171640966488,922150210928010748480//23677855239274154171,373899635//24907682,14115482778480372706251195775//589760488741874542910241622,461075105464005374240//90530021923887470947,149559854//34121901,28230965556960745412502391550//4979904828298649318120464061,6034239790433309785//3073838852364540268,14115482778480372706251195775//4509785995066434660264229708,research:research,continue,123409269974//16138661891,4364431160011//645546475640,571939638949//645546475640,571939638949//1291092951280,2,0//1,0//1,0//1,true,true,true
candidate_survival,1//1,1//1,3,1//2,126340332086//16138661891,56475//14116,871989197431751//227813351253356,1155112357643611795800//23677855239274154171,1054724125//49815364,32568737407794605989347595825//1179520977483749085820483244,924089886114889436640//23677855239274154171,210944825//12453841,6513747481558921197869519165//294880244370937271455120811,462044943057444718320//92680177396936942483,33751172//7972011,26054989926235684791478076660//4514790484628442823002720599,3404367208331164075//1573422407686242326,6513747481558921197869519165//2308448386306493137418854406,research:research,continue,126340332086//16138661891,453869035753//64554647564,51492292591//64554647564,51492292591//129109295128,2,0//1,0//1,0//1,true,true,true
candidate_survival,1//1,1//1,4,3//4,129257331798//16138661891,63905//14116,793255307516213//227813351253356,1157460659401422950000//23677855239274154171,2303050075//99630728,60787361842874329035324487175//2359041954967498171640966488,925968527521138360000//23677855239274154171,460610015//24907682,12157472368574865807064897435//589760488741874542910241622,66140609108652740000//13545716719615098117,184244006//45104149,24314944737149731614129794870//4107139772835908228428196837,7433629295693438365//3219500516593072236,12157472368574865807064897435//4723493663199584368158487116,research:research,continue,129257331798//16138661891,4711509565289//645546475640,458783706631//645546475640,458783706631//1291092951280,2,0//1,0//1,0//1,true,true,true
candidate_survival,1//1,1//1,5,1//1,131966628630//16138661891,69245//14116,745319287098785//227813351253356,1159178060357953897600//23677855239274154171,2406112425//99630728,58518172346521997076116778125//2359041954967498171640966488,927342448286363118080//23677855239274154171,481222485//24907682,11703634469304399415223355625//589760488741874542910241622,92734244828636311808//19361498185043004903,192488994//48873121,668779112531679966584191750//110255639316711942974503099,517752465317454609//219132188035209044,2340726893860879883044671125//964500079673256644896729692,research:research,continue,131966628630//16138661891,607882499767//80693309455,51950643383//80693309455,51950643383//161386618910,2,0//1,0//1,0//1,true,true,true
discount_factor,1//2,1//2,1,0//1,13158244585024684756//7526157759263055509,326735//312818,1657076599125437394269293//2354317617937150498214362,380005366454704753476698331724744306888//56643050617315496601285286862815249081,55262381639//24463775281,6166136010110669239407416516613248538229066411769//1385702861532314636332762513583533728537625766761,190002683227352376738349165862372153444//56643050617315496601285286862815249081,55262381639//48927550562,6166136010110669239407416516613248538229066411769//2771405723064629272665525027167067457075251533522,3653897754372161091122099343507156797//1904442780420473367495357385193348477,55262381639//51104294615,6166136010110669239407416516613248538229066411769//1950642315796197105304267812241899145884134093033,415913402367716060931599399251//643800677240957971417300632872,6166136010110669239407416516613248538229066411769//4845345462435845864021382299743998723234166091848,research:research,continue,13158244585024684756//7526157759263055509,20908362229374089385//15052315518526111018,5408126940675280127//15052315518526111018,5408126940675280127//30104631037052222036,2,0//1,0//1,0//1,true,true,true
discount_factor,1//2,1//2,2,1//4,14352697305485213396//7526157759263055509,400959//312818,1472101376710918010276797//2354317617937150498214362,384872937180407164232676550016778426568//56643050617315496601285286862815249081,65829544151//24463775281,5686658845460012333259859681886427487594560390377//1385702861532314636332762513583533728537625766761,192436468590203582116338275008389213284//56643050617315496601285286862815249081,65829544151//48927550562,5686658845460012333259859681886427487594560390377//2771405723064629272665525027167067457075251533522,48109117147550895529084568752097303321//27005166048007872038823370216464599641,65829544151//62713596231,5686658845460012333259859681886427487594560390377//1732897103290024163221967617057662116456930379257,495443534500798541852879277859//702242323115208938376149728552,5686658845460012333259859681886427487594560390377//5285186508996443514214225893013266335272458192968,research:research,continue,14352697305485213396//7526157759263055509,95653921427034676409//60209262074104444072,19167657016847030759//60209262074104444072,19167657016847030759//120418524148208888144,2,0//1,0//1,0//1,true,true,true
discount_factor,1//2,1//2,3,1//2,15567306090676783316//7526157759263055509,478695//312818,1266999468102901646463733//2354317617937150498214362,390183080102978830246716623750521566408//56643050617315496601285286862815249081,77681477743//24463775281,5145235314263080282214186114892633941342727656465//1385702861532314636332762513583533728537625766761,195091540051489415123358311875260783204//56643050617315496601285286862815249081,77681477743//48927550562,5145235314263080282214186114892633941342727656465//2771405723064629272665525027167067457075251533522,48772885012872353780839577968815195801//29290500381292523985579232558418271961,77681477743//74872206255,5145235314263080282214186114892633941342727656465//1491459584835830048928919143347121261314146366673,584643056466499798604557036187//761670155865718872493108023592,5145235314263080282214186114892633941342727656465//5732449753567880984868102639436666480465977568328,research:research,continue,15567306090676783316//7526157759263055509,54015742039952468839//30104631037052222036,8253482322754664425//30104631037052222036,8253482322754664425//60209262074104444072,2,0//1,0//1,0//1,true,true,true
discount_factor,1//2,1//2,4,3//4,16779259901233268436//7526157759263055509,555103//312818,1071061773143788663400221//2354317617937150498214362,395387999888860206445646510606305691848//56643050617315496601285286862815249081,88716874679//24463775281,4647488755032496566328686751299499989111458689289//1385702861532314636332762513583533728537625766761,197693999944430103222823255303152845924//56643050617315496601285286862815249081,88716874679//48927550562,4647488755032496566328686751299499989111458689289//2771405723064629272665525027167067457075251533522,49423499986107525805705813825788211481//31570839275089553415623350520041403481,88716874679//86823105127,4647488755032496566328686751299499989111458689289//1260809801205712599344041468660138654461928087001,667697194742923946986573556611//820968087210529867558908661032,4647488755032496566328686751299499989111458689289//6178735339666878207283645133268699052600281225288,research:research,continue,16779259901233268436//7526157759263055509,120362010503946014947//60209262074104444072,13872068705920132541//60209262074104444072,13872068705920132541//120418524148208888144,2,0//1,0//1,0//1,true,true,true
discount_factor,1//2,1//2,5,1//1,17932399950314166996//7526157759263055509,621487//312818,932168280326258512232845//2354317617937150498214362,399324746017742330088426251998264148168//56643050617315496601285286862815249081,96096022503//24463775281,4325818983960329999396853742734706873241513765465//1385702861532314636332762513583533728537625766761,199662373008871165044213125999132074084//56643050617315496601285286862815249081,96096022503//48927550562,4325818983960329999396853742734706873241513765465//2771405723064629272665525027167067457075251533522,49915593252217791261053281499783018521//33740517757066349755272147468260945241,96096022503//97206160183,865163796792065999879370748546941374648302753093//219462020525428689137337521365341221090606711989,241077941798423546296467373009//292462801755667564493900550584,4325818983960329999396853742734706873241513765465//6603363554187690641759417285294630753955763101768,research:research,continue,17932399950314166996//7526157759263055509,16456322107886360927//7526157759263055509,1476077842427806069//7526157759263055509,1476077842427806069//15052315518526111018,2,0//1,0//1,0//1,true,true,true
