source,row_kind,parameter,schedule,belief,belief_coordinate,library_mask,library,registered_value,actual_parameter_value,lower_value,upper_value,action,alternate_action,upper_endpoint_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,exact_coordinate,bellman_residual
duration_surface,q_gap,research_duration,,2,1//4,,,5//1,5//1,,,research:research,continue,,8279863754493619120727360530450117911844843893989908179120115//2056856253918013167337017424430909788160653383879581162285449,64145146111946096068879116500971139537438951705120162298595981//16454850031344105338696139395447278305285227071036649298283592,2093763924002856896939767742629803757319799446799103134364939//16454850031344105338696139395447278305285227071036649298283592,2093763924002856896939767742629803757319799446799103134364939//32909700062688210677392278790894556610570454142073298596567184,true,0//1
duration_surface,q_gap,research_duration,,3,1//2,,,5//1,5//1,,,research:research,continue,,9325163229008344610384110017777282116588242052027042211120115//2056856253918013167337017424430909788160653383879581162285449,36388681158453559779229736023696122408529434071051661487240715//8227425015672052669348069697723639152642613535518324649141796,911971757579818662306704047413006057823534137056507357239745//8227425015672052669348069697723639152642613535518324649141796,911971757579818662306704047413006057823534137056507357239745//16454850031344105338696139395447278305285227071036649298283592,true,0//1
duration_surface,q_gap,research_duration,,4,3//4,,,5//1,5//1,,,research:research,continue,,10302913160301282313585579336079820636444540359583391763120115//2056856253918013167337017424430909788160653383879581162285449,80821117650594724860197136496095391069002018863793167810366879//16454850031344105338696139395447278305285227071036649298283592,1602187631815533648487498192543174022554304012873966294594041//16454850031344105338696139395447278305285227071036649298283592,1602187631815533648487498192543174022554304012873966294594041//32909700062688210677392278790894556610570454142073298596567184,true,0//1
duration_surface,q_gap,research_duration,,5,1//1,,,5//1,5//1,,,research:research,continue,,11032562843432616449561324753987475541923628858187501939120115//2056856253918013167337017424430909788160653383879581162285449,10846424044507539620187289956725507476425602045499377204781541//2056856253918013167337017424430909788160653383879581162285449,186138798925076829374034797261968065498026812688124734338574//2056856253918013167337017424430909788160653383879581162285449,93069399462538414687017398630984032749013406344062367169287//2056856253918013167337017424430909788160653383879581162285449,true,0//1
robustness_surface,q_gap,admission_probability,,1,0//1,,,1//2,1//2,,,research:research,continue,,308398443717545530//47495752801338893,544360946332907901//94991505602677786,72435941102183159//94991505602677786,72435941102183159//189983011205355572,true,0//1
robustness_surface,q_gap,admission_probability,,2,1//4,,,1//2,1//2,,,research:research,continue,,319824055662532730//47495752801338893,2294155920806560577//379966022410711144,264436524493701263//379966022410711144,264436524493701263//759932044821422288,true,0//1
robustness_surface,q_gap,admission_probability,,3,1//2,,,1//2,1//2,,,research:research,continue,,331801926777242330//47495752801338893,1208916253447368775//189983011205355572,118291453661600545//189983011205355572,118291453661600545//379966022410711144,true,0//1
robustness_surface,q_gap,admission_probability,,4,3//4,,,1//2,1//2,,,research:research,continue,,343565932742439930//47495752801338893,2538812074348674523//379966022410711144,209715387590844917//379966022410711144,209715387590844917//759932044821422288,true,0//1
robustness_surface,q_gap,admission_probability,,5,1//1,,,1//2,1//2,,,research:research,continue,,353753797387244730//47495752801338893,329989397478894437//47495752801338893,23764399908350293//47495752801338893,23764399908350293//94991505602677786,true,0//1
robustness_surface,q_gap,admission_probability,,1,0//1,,,3//4,3//4,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
robustness_surface,q_gap,admission_probability,,2,1//4,,,3//4,3//4,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
robustness_surface,q_gap,admission_probability,,3,1//2,,,3//4,3//4,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
robustness_surface,q_gap,admission_probability,,4,3//4,,,3//4,3//4,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
robustness_surface,q_gap,admission_probability,,5,1//1,,,3//4,3//4,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
robustness_surface,q_gap,admission_probability,,1,0//1,,,1//1,1//1,,,research:research,continue,,63231750528705230//8128783749229093,109681674230403141//16257567498458186,16781826827007319//16257567498458186,16781826827007319//32515134996916372,true,0//1
robustness_surface,q_gap,admission_probability,,2,1//4,,,1//1,1//1,,,research:research,continue,,64505382646190830//8128783749229093,454521613473281497//65030269993832744,61521447696245143//65030269993832744,61521447696245143//130060539987665488,true,0//1
robustness_surface,q_gap,admission_probability,,3,1//2,,,1//1,1//1,,,research:research,continue,,65799298178281630//8128783749229093,235460157694971215//32515134996916372,27737035018155305//32515134996916372,27737035018155305//65030269993832744,true,0//1
robustness_surface,q_gap,admission_probability,,4,3//4,,,1//1,1//1,,,research:research,continue,,67090690483616430//8128783749229093,487243907300843363//65030269993832744,49481616568088077//65030269993832744,49481616568088077//130060539987665488,true,0//1
robustness_surface,q_gap,admission_probability,,5,1//1,,,1//1,1//1,,,research:research,continue,,68322822886306830//8128783749229093,62725435438140037//8128783749229093,5597387448166793//8128783749229093,5597387448166793//16257567498458186,true,0//1
robustness_surface,q_gap,candidate_survival,,1,0//1,,,3//4,3//4,,,research:research,continue,,175685094707439170//25327247924378749,308034245344892109//50654495848757498,43335944069986231//50654495848757498,43335944069986231//101308991697514996,true,0//1
robustness_surface,q_gap,candidate_survival,,2,1//4,,,3//4,3//4,,,research:research,continue,,181054581002808130//25327247924378749,1289931369334700209//202617983395029992,158505278687764831//202617983395029992,158505278687764831//405235966790059984,true,0//1
robustness_surface,q_gap,candidate_survival,,3,1//2,,,3//4,3//4,,,research:research,continue,,186632585846959810//25327247924378749,675399015292063511//101308991697514996,71131328095775729//101308991697514996,71131328095775729//202617983395029992,true,0//1
robustness_surface,q_gap,candidate_survival,,4,3//4,,,3//4,3//4,,,research:research,continue,,192146915476103490//25327247924378749,1410726513126097835//202617983395029992,126448810682730085//202617983395029992,126448810682730085//405235966790059984,true,0//1
robustness_surface,q_gap,candidate_survival,,5,1//1,,,3//4,3//4,,,research:research,continue,,197064624192804930//25327247924378749,182733061842787621//25327247924378749,14331562350017309//25327247924378749,14331562350017309//50654495848757498,true,0//1
robustness_surface,q_gap,candidate_survival,,1,0//1,,,9//10,9//10,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
robustness_surface,q_gap,candidate_survival,,2,1//4,,,9//10,9//10,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
robustness_surface,q_gap,candidate_survival,,3,1//2,,,9//10,9//10,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
robustness_surface,q_gap,candidate_survival,,4,3//4,,,9//10,9//10,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
robustness_surface,q_gap,candidate_survival,,5,1//1,,,9//10,9//10,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
robustness_surface,q_gap,candidate_survival,,1,0//1,,,1//1,1//1,,,research:research,continue,,120550070422//16138661891,1049382672159//161386618910,156118032061//161386618910,156118032061//322773237820,true,0//1
robustness_surface,q_gap,candidate_survival,,2,1//4,,,1//1,1//1,,,research:research,continue,,123409269974//16138661891,4364431160011//645546475640,571939638949//645546475640,571939638949//1291092951280,true,0//1
robustness_surface,q_gap,candidate_survival,,3,1//2,,,1//1,1//1,,,research:research,continue,,126340332086//16138661891,453869035753//64554647564,51492292591//64554647564,51492292591//129109295128,true,0//1
robustness_surface,q_gap,candidate_survival,,4,3//4,,,1//1,1//1,,,research:research,continue,,129257331798//16138661891,4711509565289//645546475640,458783706631//645546475640,458783706631//1291092951280,true,0//1
robustness_surface,q_gap,candidate_survival,,5,1//1,,,1//1,1//1,,,research:research,continue,,131966628630//16138661891,607882499767//80693309455,51950643383//80693309455,51950643383//161386618910,true,0//1
robustness_surface,q_gap,discount_factor,,1,0//1,,,1//2,1//2,,,research:research,continue,,13158244585024684756//7526157759263055509,20908362229374089385//15052315518526111018,5408126940675280127//15052315518526111018,5408126940675280127//30104631037052222036,true,0//1
robustness_surface,q_gap,discount_factor,,2,1//4,,,1//2,1//2,,,research:research,continue,,14352697305485213396//7526157759263055509,95653921427034676409//60209262074104444072,19167657016847030759//60209262074104444072,19167657016847030759//120418524148208888144,true,0//1
robustness_surface,q_gap,discount_factor,,3,1//2,,,1//2,1//2,,,research:research,continue,,15567306090676783316//7526157759263055509,54015742039952468839//30104631037052222036,8253482322754664425//30104631037052222036,8253482322754664425//60209262074104444072,true,0//1
robustness_surface,q_gap,discount_factor,,4,3//4,,,1//2,1//2,,,research:research,continue,,16779259901233268436//7526157759263055509,120362010503946014947//60209262074104444072,13872068705920132541//60209262074104444072,13872068705920132541//120418524148208888144,true,0//1
robustness_surface,q_gap,discount_factor,,5,1//1,,,1//2,1//2,,,research:research,continue,,17932399950314166996//7526157759263055509,16456322107886360927//7526157759263055509,1476077842427806069//7526157759263055509,1476077842427806069//15052315518526111018,true,0//1
robustness_surface,q_gap,discount_factor,,1,0//1,,,4//5,4//5,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
robustness_surface,q_gap,discount_factor,,2,1//4,,,4//5,4//5,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
robustness_surface,q_gap,discount_factor,,3,1//2,,,4//5,4//5,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
robustness_surface,q_gap,discount_factor,,4,3//4,,,4//5,4//5,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
robustness_surface,q_gap,discount_factor,,5,1//1,,,4//5,4//5,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
robustness_surface,q_gap,discount_factor,,1,0//1,,,9//10,9//10,,,research:research,continue,,1646221703354301015968620//96394894850115751127551,3066192550958785747083547//192789789700231502255102,226250855749816284853693//192789789700231502255102,226250855749816284853693//385579579400463004510204,true,0//1
robustness_surface,q_gap,discount_factor,,2,1//4,,,9//10,9//10,,,research:research,continue,,1665773081342236326227820//96394894850115751127551,12494072789322472261279979//771159158800926009020408,832111861415418348542581//771159158800926009020408,832111861415418348542581//1542318317601852018040816,true,0//1
robustness_surface,q_gap,discount_factor,,3,1//2,,,9//10,9//10,,,research:research,continue,,1686017710603245842093420//96394894850115751127551,6367828598335938712968885//385579579400463004510204,376242244077044655404795//385579579400463004510204,376242244077044655404795//771159158800926009020408,true,0//1
robustness_surface,q_gap,discount_factor,,4,3//4,,,9//10,9//10,,,research:research,continue,,1706069854599740018567020//96394894850115751127551,12973831484456166543235561//771159158800926009020408,674727352341753605300599//771159158800926009020408,674727352341753605300599//1542318317601852018040816,true,0//1
robustness_surface,q_gap,discount_factor,,5,1//1,,,9//10,9//10,,,research:research,continue,,1724134841403925597139820//96394894850115751127551,1647100096605913349758669//96394894850115751127551,77034744798012247381151//96394894850115751127551,77034744798012247381151//192789789700231502255102,true,0//1
robustness_surface,q_gap,research_cost,,1,0//1,,,0//1,0//1,,,research:research,continue,,29475017390493820990//3842010443674795399,51220574195240784503//7684020887349590798,7729460585746857477//7684020887349590798,7729460585746857477//15368041774699181596,true,0//1
robustness_surface,q_gap,research_cost,,2,1//4,,,0//1,0//1,,,research:research,continue,,30203470479746739390//3842010443674795399,213121515297382131171//30736083549398363192,28506248540591783949//30736083549398363192,28506248540591783949//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,3,1//2,,,0//1,0//1,,,research:research,continue,,30953998183355230590//3842010443674795399,110875906743406674165//15368041774699181596,12940085990014248195//15368041774699181596,12940085990014248195//30736083549398363192,true,0//1
robustness_surface,q_gap,research_cost,,4,3//4,,,0//1,0//1,,,research:research,continue,,31699309460633977790//3842010443674795399,230289696095593045489//30736083549398363192,23304779589478776831//30736083549398363192,23304779589478776831//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,5,1//1,,,0//1,0//1,,,research:research,continue,,32381115254570243390//3842010443674795399,29712812357634176831//3842010443674795399,2668302896936066559//3842010443674795399,2668302896936066559//7684020887349590798,true,0//1
robustness_surface,q_gap,research_cost,,1,0//1,,,1//4,1//4,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
robustness_surface,q_gap,research_cost,,2,1//4,,,1//4,1//4,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,3,1//2,,,1//4,1//4,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
robustness_surface,q_gap,research_cost,,4,3//4,,,1//4,1//4,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,5,1//1,,,1//4,1//4,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
robustness_surface,q_gap,research_cost,,1,0//1,,,1//2,1//2,,,research:research,continue,,26467572816188697390//3842010443674795399,46408662876352586743//7684020887349590798,6526482756024808037//7684020887349590798,6526482756024808037//15368041774699181596,true,0//1
robustness_surface,q_gap,research_cost,,2,1//4,,,1//2,1//2,,,research:research,continue,,27196025905441615790//3842010443674795399,193873870021829340131//30736083549398363192,23694337221703586189//30736083549398363192,23694337221703586189//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,3,1//2,,,1//2,1//2,,,research:research,continue,,27946553609050106990//3842010443674795399,101252084105630278645//15368041774699181596,10534130330570149315//15368041774699181596,10534130330570149315//30736083549398363192,true,0//1
robustness_surface,q_gap,research_cost,,4,3//4,,,1//2,1//2,,,research:research,continue,,28691864886328854190//3842010443674795399,211042050820040254449//30736083549398363192,18492868270590579071//30736083549398363192,18492868270590579071//61472167098796726384,true,0//1
robustness_surface,q_gap,research_cost,,5,1//1,,,1//2,1//2,,,research:research,continue,,29373670680265119790//3842010443674795399,27306856698190077951//3842010443674795399,2066813982075041839//3842010443674795399,2066813982075041839//7684020887349590798,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,1,0//1,,,1//2,1//1,,,research:research,continue,,220018469491165//57206347867808,12890875794981//3575396741738,13764456771469//57206347867808,13764456771469//114412695735616,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,2,1//4,,,1//2,1//1,,,research:research,continue,,230925557443565//57206347867808,55430810945353//14301586966952,9202313662153//57206347867808,9202313662153//114412695735616,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,3,1//2,,,1//2,1//1,,,research:research,continue,,242753456155565//57206347867808,29903955067391//7150793483476,3521815616437//57206347867808,3521815616437//114412695735616,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,4,3//4,,,1//2,1//1,,,continue,research:research,,260856853818365//57206347867808,164121827089961169//36612062635397120,2826559353792431//36612062635397120,2826559353792431//73224125270794240,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,5,1//1,,,1//2,1//1,,,continue,research:research,,280996762234905//57206347867808,34490437827008261//7322412527079424,1477147739059579//7322412527079424,1477147739059579//14644825054158848,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,1,0//1,,,1//1,2//1,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,2,1//4,,,1//1,2//1,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,3,1//2,,,1//1,2//1,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,4,3//4,,,1//1,2//1,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,5,1//1,,,1//1,2//1,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,1,0//1,,,3//2,3//1,,,research:research,continue,,41166458173104988985//3842010443674795399,69926879447418653295//7684020887349590798,12406036898791324675//7684020887349590798,12406036898791324675//15368041774699181596,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,2,1//4,,,3//2,3//1,,,research:research,continue,,41894911262357907385//3842010443674795399,287946736306093606339//30736083549398363192,47212553792769652741//30736083549398363192,47212553792769652741//61472167098796726384,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,3,1//2,,,3//2,3//1,,,research:research,continue,,42645438965966398585//3842010443674795399,148288517247762411749//15368041774699181596,22293238616103182591//15368041774699181596,22293238616103182591//30736083549398363192,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,4,3//4,,,3//2,3//1,,,research:research,continue,,43390750243245145785//3842010443674795399,305114917104304520657//30736083549398363192,42011084841656645623//30736083549398363192,42011084841656645623//61472167098796726384,true,0//1
robustness_surface,q_gap,descendant_payoff_scale,,5,1//1,,,3//2,3//1,,,research:research,continue,,44072556037181411385//3842010443674795399,39065964983723111227//3842010443674795399,5006591053458300158//3842010443674795399,2503295526729150079//3842010443674795399,true,0//1
resource_library,q_gap,library,,low,,0,I,0//1,0//1,,,research:discover,continue,,,,23//96,23//192,true,0//1
resource_library,q_gap,library,,high,,0,I,0//1,0//1,,,continue,research:discover,,,,245//384,245//768,true,0//1
resource_library,q_gap,library,,low,,1,I+A,1//1,1//1,,,research:scale,continue,,,,23//48,23//96,true,0//1
resource_library,q_gap,library,,high,,1,I+A,1//1,1//1,,,research:scale,continue,,,,29//48,29//96,true,0//1
resource_library,q_gap,library,,low,,2,I+B,2//1,2//1,,,research:scale,continue,,,,23//48,23//96,true,0//1
resource_library,q_gap,library,,high,,2,I+B,2//1,2//1,,,research:scale,continue,,,,29//48,29//96,true,0//1
resource_library,q_gap,library,,low,,3,I+A+B,3//1,3//1,,,research:scale,continue,,,,23//48,23//96,true,0//1
resource_library,q_gap,library,,high,,3,I+A+B,3//1,3//1,,,research:scale,continue,,,,29//48,29//96,true,0//1
resource_library,q_gap,library,,low,,4,I+D,4//1,4//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,high,,4,I+D,4//1,4//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,low,,5,I+A+D,5//1,5//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,high,,5,I+A+D,5//1,5//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,low,,6,I+B+D,6//1,6//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,high,,6,I+B+D,6//1,6//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,low,,7,I+A+B+D,7//1,7//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
resource_library,q_gap,library,,high,,7,I+A+B+D,7//1,7//1,,,continue,research:scale,,,,3//16,3//32,true,0//1
registered_parameter_grid,registered_parameter_bracket,descendant_payoff_scale,,4,3//4,,,,,1//2,1//1,continue,,research:research,,,,,false,
registered_parameter_grid,registered_parameter_bracket,descendant_payoff_scale,,5,1//1,,,,,1//2,1//1,continue,,research:research,,,,,false,
