trial_id,batch_id,within_batch_order,principal_cell_id,canonical_index,replicate_id,theorem_regime,boundary_mechanism,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,schedule_key,trial_seed,catalog_seed,project_seed,deletion_seed,trial_seed_draw,arithmetic,theorem_evidence,horizon,discount_factor,source_library_ids,source_size,source_closure_size,source_passive_value,source_research_option_premium,source_total_value,realized_frontier_supplier_fraction,realized_module_overlap,descendant_quality,frontier_only_signed_total_dynamic_loss,innovation_safe_signed_total_dynamic_loss,silent_generative_asset_count,active_asset_count,frontier_closure_J,interaction_sign,frontier_only_compression_ratio,innovation_safe_compression_ratio,four_raw_witnesses,all_compressed_states_have_raw_witnesses,raw_compressed_value_comparisons,raw_compressed_values_agree,rectangle_consistency,project_laws_follow_actual_state,frontier_density_gate,module_overlap_gate,frontier_independent_availability,frontier_independent_cost,frontier_independent_generation,frontier_independent_verification,frontier_independent_completion,frontier_independent_primitives,frontier_independent_menus,poor_to_rich_menu_inclusion,antitone_recursive_descendant_gap,nonnegative_rich_exposure,zero_poor_exposure,common_gap_action_value_identities,minimum_rich_exposure,maximum_poor_exposure,computed_primitive_predicate,primitive_interaction_sign_gate,frontier_only_passive_zero_gate,innovation_safe_exact_zero_gate,all_decompositions_exact,all_exact_outputs_rational,all_hard_gates_pass
12,1,12,C067,67,1,primitive_eligible,none,sparse,high,weak,low,short,low,high,1958171058381267574,8329199882715128910,5328052046020807568,752376687331094262,1725928721387891962,16882278494990419190,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2975//256,953//2048,24753//2048,1//2,1//1,13//3,953//2048,0//1,1,5,-165//1024,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
13,1,13,C009,9,1,primitive_eligible,none,sparse,low,weak,high,short,low,low,2154918849066188125,736289661223484805,3403610234409013950,2098111042250385142,4905373125846544311,1331876702148486509,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,1575//128,0//1,1575//128,1//2,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
14,1,14,C114,114,1,primitive_eligible,none,dense,low,weak,low,long,high,high,2170244346255636480,3374181177311942880,6021550313584662971,9110259663259965689,4992299852772686322,8220650315322514547,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,0//1,4//1,0//1,0//1,0,5,-24941//196608,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
15,1,15,C037,37,1,primitive_eligible,none,sparse,low,strong,low,short,high,low,2215718639724648660,8963626601325602525,3221382660405455013,3619378598339318376,1337732095258754908,4865906557701818941,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,871//256,1923//128,1//2,0//1,13//3,871//256,0//1,1,5,-2055//4096,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
16,1,16,C094,94,1,primitive_eligible,none,dense,low,strong,high,long,low,high,2358047869190110700,3036598480169122800,5542535201437211432,1853231796075445708,2777864647457478190,4717449169448181755,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,14525//768,0//1,14525//768,3//4,0//1,14//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
17,1,17,C056,56,1,primitive_eligible,none,dense,high,strong,low,long,high,low,2511603156092366173,259401466869099779,1647628898531516954,8108058858325921422,5277641608924179291,13011389716865696500,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,17//128,13927//768,3//4,1//1,5//1,17//128,0//1,1,5,-189//1024,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
18,1,18,C065,65,1,primitive_eligible,none,sparse,low,weak,low,short,low,high,2885965392228876883,3811646147980857349,2247650960542003337,1348931710852450724,3088104017297047973,17071819230399107349,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2975//256,4477//4096,52077//4096,1//2,0//1,16//3,4477//4096,0//1,1,5,-2775//16384,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
19,1,19,C010,10,1,primitive_eligible,none,dense,low,weak,high,short,low,low,2911694203224301668,4528788848904976856,6592895312049642059,3602180062694203050,4529015495849714811,1207434312378519661,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
20,1,20,C048,48,1,primitive_eligible,none,dense,high,strong,high,short,high,low,2940290729086804435,6164641493921727511,1961444984253720194,5675293338290549499,7195291328993327028,3078344650509342676,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,7175//384,1117//1024,60751//3072,3//4,1//1,11//3,1117//1024,0//1,1,5,-73173//65536,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
21,1,21,C028,28,1,primitive_eligible,none,dense,high,weak,high,long,low,low,2977163215100043523,9149389865092202183,2349080680958730785,8404672839288084667,232417743232444253,9164335549548984700,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,1//1,10//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
22,1,22,C012,12,1,primitive_eligible,none,dense,high,weak,high,short,low,low,2992894296352361440,5559373839164511257,7294798960674866331,5551403007052551705,5305657239765276986,663496350412804786,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,1//1,13//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
23,1,23,C017,17,1,primitive_eligible,none,sparse,low,weak,low,long,low,low,3033258842742416202,5527696781431923638,6470179226751695389,4906859151112426364,6073735168999123900,9478912354124968869,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,0//1,9275//768,1//2,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
24,1,24,C008,8,1,primitive_eligible,none,dense,high,strong,low,short,low,low,3094383952722786347,4809976411124802580,9923655761225285,2710797303956066452,1157711724990361415,6058029887812024182,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,7483//16384,918449//49152,3//4,1//1,4//1,7483//16384,0//1,1,5,-3089//8192,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
25,1,25,C001,1,1,primitive_eligible,none,sparse,low,weak,low,short,low,low,3311125286989114850,8621962170231847053,521932693366387849,7775374871489289234,3251023567007600306,7179014983374746067,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,1077//4096,151631//12288,1//2,0//1,3//1,1077//4096,0//1,1,5,-499//2048,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
26,1,26,C004,4,1,primitive_eligible,none,dense,high,weak,low,short,low,low,3382541707633179209,6700896650759181964,8655272808633621954,6895343555738574035,5403014592654907560,9513958763308262087,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//128,2097//8192,147697//8192,3//4,1//1,13//3,2097//8192,0//1,1,5,-6827//16384,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
27,1,27,C120,120,1,primitive_eligible,none,dense,high,strong,low,long,high,high,3709445307642336733,6372142848102685342,3130046957544558145,496916860777384996,63974571040518999,13264304104304621416,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,1447//49152,299149//16384,3//4,1//1,11//3,1447//49152,0//1,1,5,-10265//49152,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
28,1,28,C021,21,1,primitive_eligible,none,sparse,low,strong,low,long,low,low,3810039329218097693,4060528705741653288,1546902009435990255,1910593483806166332,5389893363965200727,17950988790157206829,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,0//1,1575//128,1//2,0//1,14//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
29,1,29,C091,91,1,primitive_eligible,none,sparse,high,weak,high,long,low,high,3856770704173196276,6092348615542071361,1018313165067016930,5653783993791580979,8602526448957321835,9426054103208998235,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,1575//128,0//1,1575//128,1//2,1//1,11//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
30,1,30,C097,97,1,primitive_eligible,none,sparse,low,weak,low,short,high,high,3882815109318615011,7307216771767145280,9189614026910025515,4785713898345809181,1414010123496250341,10873943405155108173,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//192,11881//4096,181243//12288,1//2,0//1,11//3,11881//4096,0//1,1,5,-6165//16384,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
31,1,31,C102,102,1,primitive_eligible,none,dense,low,strong,low,short,high,high,3926671871417141016,252916123593208081,7131977821385849928,6460101468450316219,7877554142712987274,9860585115365251671,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,11881//4096,87481//4096,3//4,0//1,5//1,11881//4096,0//1,1,5,-2055//2048,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
32,1,32,C073,73,1,primitive_eligible,none,sparse,low,weak,high,short,low,high,4116081414574734425,1008205912164823304,3973954463899668315,206345954478334528,8540920991735540091,16019722834002120058,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9625//768,0//1,9625//768,1//2,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
33,1,33,C078,78,1,primitive_eligible,none,dense,low,strong,high,short,low,high,4186526550538263922,8940200008680159518,4398462308678019518,8564853797208427,2267309062866518060,7156610259236541843,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,0//1,13825//768,3//4,0//1,13//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
34,1,34,C111,111,1,primitive_eligible,none,sparse,high,strong,high,short,high,high,4212137950799638826,5369993137505038736,6439106496831290,3320462048179982048,6032976810440281892,18106172642663064836,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,9275//768,203//128,10493//768,1//2,1//1,16//3,203//128,0//1,1,5,-40725//65536,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
35,1,35,C020,20,1,primitive_eligible,none,dense,high,weak,low,long,low,low,4231646394313759900,1256927211335662527,8212051826436332088,6266303151395557412,5260512239575630787,14594399972639579750,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,1//1,11//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
36,1,36,C081,81,1,primitive_eligible,none,sparse,low,weak,low,long,low,high,4283830869852748615,2393631440062538954,1759565865555612150,3298224963431045948,7452896611437851220,7436146079025698858,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,0//1,9275//768,1//2,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
37,1,37,C064,64,1,primitive_eligible,none,dense,high,strong,high,long,high,low,4371703867414428603,8420364577908041937,2906545045978631304,1759716519873817775,1480119451899355055,7061392071871987451,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,0//1,13825//768,3//4,1//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
38,1,38,C124,124,1,primitive_eligible,none,dense,high,weak,high,long,high,high,4704216727194585881,615038714049757643,7462812689550090882,8976779315255600680,7938806933188880955,16766645059021394949,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13825//768,0//1,13825//768,3//4,1//1,13//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
39,1,39,C014,14,1,primitive_eligible,none,dense,low,strong,high,short,low,low,4751952114723909940,2401824033828700682,7210632932353923771,5265284849957931559,2012453687982672272,3881289059336839825,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,0//1,875//48,3//4,0//1,3//1,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
40,1,40,C101,101,1,primitive_eligible,none,sparse,low,strong,low,short,high,high,4892645903372945753,4639937259827260999,6559677946376090353,4917612077250794548,7493938256290987375,10281881263668461362,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,11881//4096,62281//4096,1//2,0//1,5//1,11881//4096,0//1,1,5,-6165//16384,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
41,1,41,C090,90,1,primitive_eligible,none,dense,low,weak,high,long,low,high,4922497998045181422,2935288125106720823,1371949145971156087,4912707721027608513,2617563021130068234,1650882620357087669,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13825//768,0//1,13825//768,3//4,0//1,14//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
42,1,42,C071,71,1,primitive_eligible,none,sparse,high,strong,low,short,low,high,5119324976514340020,4806755622672273989,6203818215020296958,867271045854181709,7699677220964880747,12926315596019372469,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2275//192,13997//49152,198799//16384,1//2,1//1,10//3,13997//49152,0//1,1,5,-13145//98304,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
43,1,43,C003,3,1,primitive_eligible,none,sparse,high,weak,low,short,low,low,5127526408142960940,5365600471074840789,132594940381767565,5144649121082454821,3553580891120796981,9627574711836899286,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,2735//4096,156605//12288,1//2,1//1,13//3,2735//4096,0//1,1,5,-3403//16384,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
44,1,44,C045,45,1,primitive_eligible,none,sparse,low,strong,high,short,high,low,5146346793621893184,2241092606233305340,758684037851180767,8461750977763787419,6073804220340466018,4355874988633298701,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,9275//768,10215//16384,624245//49152,1//2,0//1,14//3,10215//16384,0//1,1,5,-39345//65536,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
45,1,45,C104,104,1,primitive_eligible,none,dense,high,strong,low,short,high,high,5331978702852379218,5674755566064149382,5091223298900683322,5798571096367329057,9196795065676460134,17925335064363796644,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,7175//384,11881//4096,265243//12288,3//4,1//1,5//1,11881//4096,0//1,1,5,-14385//16384,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
46,1,46,C007,7,1,primitive_eligible,none,sparse,high,strong,low,short,low,low,5353286560034398883,6858665786574071051,6117098987385844712,783418883151304658,4071478672879777049,14742278709457752837,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2275//192,2735//4096,153805//12288,1//2,1//1,11//3,2735//4096,0//1,1,5,-2721//16384,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
47,1,47,C002,2,1,primitive_eligible,none,dense,low,weak,low,short,low,low,5413212754253163035,5113746311770259721,251442478167623051,6411024942687391457,6729199853995970996,17516808858652056411,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13475//768,2097//8192,437491//24576,3//4,0//1,3//1,2097//8192,0//1,1,5,-10197//32768,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
48,1,48,C025,25,1,primitive_eligible,none,sparse,low,weak,high,long,low,low,5419778331708903765,2429322325608547428,5271105185269658636,541377752684612289,6890842846594737636,500229011432763064,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4375//384,0//1,4375//384,1//2,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
49,1,49,C026,26,1,primitive_eligible,none,dense,low,weak,high,long,low,low,5449134902118879732,2534070460337384691,8033311716995829208,4102159806380701136,8367382118357322624,11280525265892519316,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13825//768,0//1,13825//768,3//4,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
