trial_id,seed,belief_count,strategy_count,module_count,module_overlap,actual_module_overlap,closure_structure,source_closure_size,frontier_density,actual_frontier_density,candidate_quality,actual_candidate_quality,generator_complementarity,research_cost,project_delay,admission_probability,regime_persistence,discount_factor,horizon,deletion_order,source_passive_value,source_research_option_premium,source_total_value,frontier_only_future_value_loss,frontier_only_total_dynamic_loss,active_carrier_count,operationally_redundant_carrier_count,dominated_generatively_valuable_count,dominated_generatively_valuable_fraction,dominated_generatively_valuable_conditional_fraction,frontier_closure_J,interaction_classification,genuine_closure_contrast,high_rich_value,high_poor_value,low_rich_value,low_poor_value,all_decomposition_gates,frontier_passive_gate,safe_value_gate,operational_budget_gate,generative_budget_gate,theorem_evidence,evidence_class
11,716115544,3,6,3,medium,8//15,blocks,3,1//4,2//5,3//4,19//24,2,2//1,2,3//4,1//4,3//4,4,strategy_5;strategy_2;strategy_3;strategy_1;strategy_4,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
12,2064419439,4,4,3,medium,5//9,identity,3,1//2,7//12,5//4,83//64,1,2//1,2,1//4,1//4,3//4,4,strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
13,2186641882,3,4,4,high,1//2,hierarchy,4,3//4,7//9,3//4,35//48,1,0//1,3,1//2,1//4,3//4,4,strategy_3;strategy_2;strategy_1,175//16,0//1,175//16,false,0//1,3,3,0,0//1,0//1,0//1,separable,false,175//16,175//16,727//128,727//128,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
14,3521237139,3,4,4,low,2//9,identity,4,1//4,2//3,5//4,29//24,2,4//1,2,1//4,3//4,3//4,4,strategy_3;strategy_2;strategy_1,1225//192,0//1,1225//192,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,1225//192,1225//192,1225//384,1225//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
15,731700466,4,6,3,low,1//5,identity,3,1//2,11//20,5//4,21//16,2,0//1,2,1//4,1//4,3//4,4,strategy_3;strategy_2;strategy_5;strategy_4;strategy_1,175//16,11097//32768,369497//32768,true,11097//32768,5,4,1,1//5,1//4,-63//128,substitution,true,369497//32768,175//16,206425//32768,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
16,3254190602,4,5,5,high,2//3,identity,5,1//2,5//8,1//1,17//16,1,2//1,1,3//4,3//4,3//4,4,strategy_2;strategy_4;strategy_3;strategy_1,175//16,0//1,175//16,false,0//1,4,3,0,0//1,0//1,0//1,separable,false,175//16,175//16,432621//65536,432621//65536,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
17,3842419052,2,5,3,low,1//6,blocks,3,1//4,1//4,1//1,15//16,2,4//1,2,1//2,3//4,3//4,4,strategy_3;strategy_4;strategy_2;strategy_1,175//16,0//1,175//16,false,0//1,4,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
18,6984113,4,5,4,medium,5//18,blocks,4,1//4,1//4,5//4,39//32,2,0//1,1,3//4,1//2,3//4,4,strategy_4;strategy_2;strategy_3;strategy_1,175//16,190377//131072,1623977//131072,false,0//1,4,2,0,0//1,0//1,0//1,separable,false,1623977//131072,1623977//131072,1301737//131072,1301737//131072,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
19,1957834305,3,4,3,high,1//3,hierarchy,3,1//4,2//3,3//4,37//48,3,0//1,3,1//2,3//4,3//4,4,strategy_1;strategy_3;strategy_2,175//24,0//1,175//24,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//24,175//24,188137//49152,188137//49152,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
20,338461302,4,4,3,high,1//3,hierarchy,3,1//2,7//12,5//4,83//64,3,2//1,2,1//4,1//4,3//4,4,strategy_1;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
21,2691882563,3,4,3,high,5//9,blocks,3,3//4,2//3,3//4,53//72,2,4//1,3,1//4,1//4,3//4,4,strategy_2;strategy_1;strategy_3,1925//192,0//1,1925//192,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,1925//384,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
22,3623430997,4,4,4,high,1//2,identity,4,3//4,7//12,3//4,49//64,2,2//1,3,3//4,1//2,3//4,4,strategy_3;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
23,2913138892,3,4,3,high,5//9,hierarchy,3,1//2,5//9,5//4,187//144,3,4//1,2,1//2,1//4,3//4,4,strategy_2;strategy_3;strategy_1,525//64,0//1,525//64,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,525//64,525//64,525//128,525//128,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
24,4110527377,4,4,5,medium,2//5,blocks,5,1//4,1//2,5//4,233//192,1,4//1,1,3//4,1//2,3//4,4,strategy_2;strategy_1;strategy_3,2625//256,0//1,2625//256,false,0//1,3,2,0,0//1,0//1,-163//32768,substitution,true,2625//256,2625//256,168163//32768,2625//512,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
25,934576993,4,5,4,low,0//1,identity,4,1//2,5//16,5//4,239//192,1,2//1,1,1//4,3//4,3//4,4,strategy_2;strategy_1;strategy_3;strategy_4,2625//256,0//1,2625//256,false,0//1,4,2,0,0//1,0//1,0//1,separable,true,2625//256,2625//256,2625//512,2625//512,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
26,2995753388,2,4,3,low,0//1,blocks,3,3//4,2//3,1//1,17//16,2,2//1,1,1//2,3//4,3//4,4,strategy_2;strategy_1;strategy_3,175//16,0//1,175//16,false,0//1,3,3,0,0//1,0//1,-43//256,substitution,true,175//16,175//16,1443//256,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
27,1040811953,3,4,5,high,11//15,blocks,5,1//4,4//9,3//4,35//48,1,2//1,1,1//2,3//4,3//4,4,strategy_3;strategy_2;strategy_1,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
28,1582475176,2,4,5,medium,2//5,hierarchy,5,1//4,1//3,5//4,19//16,1,2//1,2,3//4,3//4,3//4,4,strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,3,1,0,0//1,0//1,0//1,separable,false,175//16,175//16,45345//8192,45345//8192,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
29,902858604,2,6,3,low,1//5,identity,3,1//2,1//2,3//4,23//32,2,2//1,1,1//2,3//4,3//4,4,strategy_1;strategy_2;strategy_4;strategy_5;strategy_3,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
30,2082738054,3,4,4,high,2//3,hierarchy,4,3//4,5//9,3//4,17//24,3,0//1,1,1//4,1//2,3//4,4,strategy_2;strategy_1;strategy_3,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,51275//8192,51275//8192,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
31,2191727738,3,6,3,high,7//15,identity,3,1//2,8//15,1//1,17//16,2,0//1,3,3//4,1//2,3//4,4,strategy_2;strategy_1;strategy_5;strategy_4;strategy_3,175//16,81//512,5681//512,true,81//512,5,5,0,0//1,0//1,-81//128,substitution,true,5681//512,175//16,3205//512,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
32,2848583339,2,6,5,medium,12//25,hierarchy,5,1//2,2//5,1//1,35//32,3,4//1,2,1//4,1//2,3//4,4,strategy_4;strategy_3;strategy_1;strategy_2;strategy_5,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
33,703085149,3,4,3,medium,5//9,identity,3,1//4,5//9,1//1,19//18,3,0//1,1,3//4,3//4,3//4,4,strategy_1;strategy_3;strategy_2,1925//192,2055//8192,252565//24576,true,2055//8192,3,2,1,1//3,1//2,-22605//8192,substitution,true,252565//24576,1925//192,49295//6144,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
34,636433730,4,6,3,medium,7//15,blocks,3,1//2,7//10,5//4,81//64,1,0//1,1,1//2,1//2,3//4,4,strategy_4;strategy_2;strategy_5;strategy_1;strategy_3,175//16,5373//4096,50173//4096,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,50173//4096,50173//4096,37325//4096,37325//4096,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
35,2215533589,3,5,4,low,0//1,blocks,4,3//4,1//2,5//4,5//4,1,2//1,1,1//4,1//2,3//4,4,strategy_1;strategy_2;strategy_4;strategy_3,175//16,0//1,175//16,false,0//1,4,3,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
36,2948786464,2,4,4,low,2//9,identity,4,3//4,1//1,1//1,15//16,3,2//1,2,1//2,1//2,3//4,4,strategy_3;strategy_2;strategy_1,175//16,0//1,175//16,false,0//1,3,3,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
37,1670660105,3,5,3,low,1//6,blocks,3,3//4,1//2,3//4,37//48,3,0//1,3,1//2,3//4,3//4,4,strategy_4;strategy_1;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,23//4,23//4,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
38,4206331925,3,4,4,medium,2//9,blocks,4,1//2,2//3,1//1,137//144,3,0//1,1,3//4,1//2,3//4,4,strategy_3;strategy_1;strategy_2,1925//192,2055//8192,252565//24576,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,252565//24576,252565//24576,193769//24576,193769//24576,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
39,2592042079,2,6,4,low,1//10,identity,4,1//4,3//10,1//1,1//1,3,2//1,2,3//4,3//4,3//4,4,strategy_1;strategy_2;strategy_3;strategy_4;strategy_5,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
40,3411582179,4,6,5,low,0//1,hierarchy,5,1//2,9//20,5//4,77//64,2,0//1,3,1//4,3//4,3//4,4,strategy_2;strategy_3;strategy_5;strategy_1;strategy_4,175//16,6615//65536,723415//65536,false,0//1,5,5,0,0//1,0//1,0//1,separable,true,723415//65536,723415//65536,378839//65536,378839//65536,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
41,2731506017,4,6,5,medium,49//100,hierarchy,5,1//2,3//5,1//1,61//64,2,4//1,1,3//4,1//2,3//4,4,strategy_4;strategy_5;strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
42,3017349685,3,4,5,low,1//9,identity,5,1//2,5//9,3//4,119//144,3,4//1,3,3//4,3//4,3//4,4,strategy_3;strategy_2;strategy_1,1925//192,0//1,1925//192,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,1925//192,1925//192,1925//384,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
43,1983032433,3,4,3,medium,5//9,identity,3,1//2,1//3,5//4,89//72,1,0//1,2,3//4,1//2,3//4,4,strategy_3;strategy_1;strategy_2,1925//192,819//1024,33257//3072,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,33257//3072,33257//3072,22015//3072,22015//3072,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
44,1062242780,4,4,3,low,0//1,hierarchy,3,1//2,5//12,3//4,137//192,2,2//1,2,1//4,3//4,3//4,4,strategy_2;strategy_3;strategy_1,2625//256,0//1,2625//256,false,0//1,3,1,0,0//1,0//1,0//1,separable,true,2625//256,2625//256,2625//512,2625//512,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
45,2503186183,3,6,4,high,11//20,blocks,4,1//4,4//15,3//4,121//144,1,2//1,2,1//2,1//4,3//4,4,strategy_5;strategy_4;strategy_2;strategy_1;strategy_3,1925//192,0//1,1925//192,false,0//1,5,3,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,1925//384,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
46,851714286,2,6,3,low,3//10,hierarchy,3,1//2,1//2,3//4,23//32,2,2//1,1,1//2,1//2,3//4,4,strategy_4;strategy_5;strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
47,1266709059,3,6,5,medium,49//100,identity,5,1//4,1//3,1//1,79//72,3,4//1,1,3//4,3//4,3//4,4,strategy_1;strategy_3;strategy_5;strategy_4;strategy_2,1925//192,0//1,1925//192,false,0//1,5,4,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,1925//384,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
48,2683060521,3,6,4,medium,1//3,blocks,4,3//4,11//15,1//1,47//48,3,2//1,3,3//4,1//4,3//4,4,strategy_2;strategy_5;strategy_4;strategy_1;strategy_3,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
49,3646401917,4,4,5,high,11//15,identity,5,3//4,11//12,3//4,49//64,2,2//1,2,1//4,1//4,3//4,4,strategy_1;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,3,3,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
50,2704122150,3,5,5,high,2//3,hierarchy,5,3//4,5//6,5//4,61//48,1,4//1,2,1//2,1//2,3//4,4,strategy_2;strategy_3;strategy_1;strategy_4,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
51,3883511343,3,4,3,low,0//1,blocks,3,1//4,4//9,3//4,109//144,1,0//1,2,3//4,1//2,3//4,4,strategy_3;strategy_2;strategy_1,1925//192,0//1,1925//192,false,0//1,3,1,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,17857//3072,17857//3072,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
52,1453222424,3,6,3,high,7//15,hierarchy,3,3//4,7//15,3//4,3//4,2,2//1,2,1//4,3//4,3//4,4,strategy_2;strategy_4;strategy_3;strategy_5;strategy_1,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
53,2518257950,3,6,5,low,0//1,blocks,5,3//4,13//15,1//1,49//48,1,0//1,2,1//2,1//2,3//4,4,strategy_4;strategy_2;strategy_1;strategy_5;strategy_3,175//16,21//128,1421//128,false,0//1,5,5,0,0//1,0//1,-3//1024,substitution,true,1421//128,1421//128,6695//1024,1673//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
54,3692911808,2,6,5,low,0//1,blocks,5,1//2,7//10,3//4,23//32,3,4//1,1,1//4,1//2,3//4,4,strategy_3;strategy_5;strategy_2;strategy_1;strategy_4,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
55,2358015066,2,6,4,high,7//10,identity,4,1//2,3//5,5//4,43//32,2,4//1,3,1//2,1//4,3//4,4,strategy_3;strategy_4;strategy_2;strategy_1;strategy_5,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
56,3057427925,2,5,4,medium,5//18,blocks,4,1//2,5//8,5//4,37//32,1,4//1,3,1//4,3//4,3//4,4,strategy_1;strategy_4;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
57,2232329756,3,5,4,high,7//12,hierarchy,4,1//2,1//2,3//4,35//48,2,0//1,1,1//4,1//2,3//4,4,strategy_4;strategy_3;strategy_2;strategy_1,175//16,0//1,175//16,false,0//1,4,3,0,0//1,0//1,0//1,separable,false,175//16,175//16,51413//8192,51413//8192,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
58,4192832317,2,6,4,medium,4//15,identity,4,3//4,3//5,1//1,1//1,3,2//1,3,1//4,3//4,3//4,4,strategy_1;strategy_3;strategy_4;strategy_2;strategy_5,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
59,3766531371,3,5,5,medium,9//20,hierarchy,5,1//4,1//3,3//4,103//144,2,0//1,3,1//2,1//2,3//4,4,strategy_2;strategy_4;strategy_1;strategy_3,1925//192,0//1,1925//192,false,0//1,4,2,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,7997//1536,7997//1536,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
60,2301443855,2,6,5,low,0//1,hierarchy,5,1//4,3//10,3//4,21//32,1,2//1,3,1//2,3//4,3//4,4,strategy_3;strategy_4;strategy_5;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
61,1205272700,3,5,5,low,1//6,identity,5,1//4,1//3,1//1,145//144,1,0//1,3,3//4,1//4,3//4,4,strategy_2;strategy_1;strategy_3;strategy_4,1925//192,27//256,7781//768,false,0//1,4,2,0,0//1,0//1,0//1,separable,true,7781//768,7781//768,271//48,271//48,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
62,3337531513,4,4,3,medium,5//9,blocks,3,3//4,5//6,5//4,79//64,3,4//1,2,1//2,1//2,3//4,4,strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
63,939823701,4,4,4,low,2//9,identity,4,1//4,5//12,1//1,47//48,3,0//1,3,1//2,1//4,3//4,4,strategy_3;strategy_1;strategy_2,2275//256,27//1024,9127//1024,false,0//1,3,1,0,0//1,0//1,0//1,separable,false,9127//1024,9127//1024,78281//16384,78281//16384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
64,2261721100,4,5,3,low,1//6,blocks,3,3//4,5//8,3//4,3//4,3,0//1,1,3//4,1//4,3//4,4,strategy_2;strategy_4;strategy_3;strategy_1,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,7603223//1048576,7603223//1048576,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
65,3331111903,2,6,4,high,13//20,blocks,4,1//4,2//5,1//1,33//32,1,4//1,2,1//2,3//4,3//4,4,strategy_3;strategy_2;strategy_5;strategy_4;strategy_1,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
66,3718882314,4,4,3,low,0//1,blocks,3,1//2,7//12,1//1,63//64,3,0//1,2,1//4,1//4,3//4,4,strategy_1;strategy_3;strategy_2,175//16,63//1024,11263//1024,true,63//1024,3,2,1,1//3,1//2,-441//1024,substitution,true,11263//1024,175//16,763//128,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
67,3450627036,4,5,3,high,4//9,identity,3,3//4,11//16,1//1,17//16,3,0//1,3,1//2,1//2,3//4,4,strategy_3;strategy_1;strategy_4;strategy_2,175//16,81//1024,11281//1024,true,81//1024,4,4,0,0//1,0//1,-27//64,substitution,true,11281//1024,175//16,6113//1024,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
68,920484149,3,6,5,high,17//25,hierarchy,5,1//2,2//5,5//4,61//48,2,0//1,1,3//4,1//4,3//4,4,strategy_4;strategy_5;strategy_1;strategy_3;strategy_2,175//16,502731//262144,3369931//262144,false,0//1,5,3,0,0//1,0//1,0//1,separable,false,3369931//262144,3369931//262144,2725451//262144,2725451//262144,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
69,1151977325,4,5,5,medium,7//15,blocks,5,3//4,3//4,1//1,61//64,2,2//1,1,3//4,1//4,3//4,4,strategy_4;strategy_2;strategy_3;strategy_1,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,398631//65536,398631//65536,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
70,2595476371,4,6,5,medium,43//100,blocks,5,1//4,2//5,3//4,35//48,3,2//1,1,1//4,1//4,3//4,4,strategy_3;strategy_5;strategy_4;strategy_2;strategy_1,525//64,0//1,525//64,false,0//1,5,4,0,0//1,0//1,0//1,separable,false,525//64,525//64,525//128,525//128,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
71,3289959718,2,6,5,high,16//25,blocks,5,1//4,3//10,3//4,3//4,2,4//1,3,1//2,3//4,3//4,4,strategy_2;strategy_5;strategy_1;strategy_4;strategy_3,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
