trial_id,project_id,candidate_id,requirements,requirement_count,duration,operates_during_research,admission_probability,research_cost
39,project_1,candidate_1,module_1;module_2;module_4,3,2,true,3//4,2//1
39,project_2,candidate_2,module_1;module_2;module_4,3,2,true,3//4,2//1
40,project_1,candidate_1,module_3;module_4,2,3,true,1//4,0//1
40,project_2,candidate_2,module_2;module_3,2,3,true,1//4,0//1
41,project_1,candidate_1,module_1;module_3,2,1,true,3//4,4//1
41,project_2,candidate_2,module_3;module_5,2,1,true,3//4,4//1
42,project_1,candidate_1,module_1;module_2;module_3,3,3,true,3//4,4//1
42,project_2,candidate_2,module_1;module_2;module_4,3,3,true,3//4,4//1
43,project_1,candidate_1,module_3,1,2,true,3//4,0//1
43,project_2,candidate_2,module_2,1,2,true,3//4,0//1
44,project_1,candidate_1,module_1;module_3,2,2,true,1//4,2//1
44,project_2,candidate_2,module_1;module_2,2,2,true,1//4,2//1
45,project_1,candidate_1,module_3,1,2,true,1//2,2//1
45,project_2,candidate_2,module_1,1,2,true,1//2,2//1
46,project_1,candidate_1,module_1;module_2,2,1,true,1//2,2//1
46,project_2,candidate_2,module_1;module_2,2,1,true,1//2,2//1
47,project_1,candidate_1,module_1;module_3;module_5,3,1,true,3//4,4//1
47,project_2,candidate_2,module_1;module_3;module_5,3,1,true,3//4,4//1
48,project_1,candidate_1,module_1;module_3;module_4,3,3,true,3//4,2//1
48,project_2,candidate_2,module_2;module_3;module_4,3,3,true,3//4,2//1
49,project_1,candidate_1,module_1;module_3,2,2,true,1//4,2//1
49,project_2,candidate_2,module_2;module_4,2,2,true,1//4,2//1
50,project_1,candidate_1,module_3,1,2,true,1//2,4//1
50,project_2,candidate_2,module_5,1,2,true,1//2,4//1
51,project_1,candidate_1,module_3,1,2,true,3//4,0//1
51,project_2,candidate_2,module_3,1,2,true,3//4,0//1
52,project_1,candidate_1,module_1;module_2,2,2,true,1//4,2//1
52,project_2,candidate_2,module_1;module_2,2,2,true,1//4,2//1
53,project_1,candidate_1,module_2,1,2,true,1//2,0//1
53,project_2,candidate_2,module_3,1,2,true,1//2,0//1
54,project_1,candidate_1,module_2;module_3;module_5,3,1,true,1//4,4//1
54,project_2,candidate_2,module_3;module_4;module_5,3,1,true,1//4,4//1
55,project_1,candidate_1,module_1;module_2,2,3,true,1//2,4//1
55,project_2,candidate_2,module_1;module_4,2,3,true,1//2,4//1
56,project_1,candidate_1,module_3,1,3,true,1//4,4//1
56,project_2,candidate_2,module_1,1,3,true,1//4,4//1
57,project_1,candidate_1,module_1;module_4,2,1,true,1//4,0//1
57,project_2,candidate_2,module_2;module_3,2,1,true,1//4,0//1
58,project_1,candidate_1,module_1;module_2;module_3,3,3,true,1//4,2//1
58,project_2,candidate_2,module_1;module_3;module_4,3,3,true,1//4,2//1
59,project_1,candidate_1,module_3;module_5,2,3,true,1//2,0//1
59,project_2,candidate_2,module_3;module_4,2,3,true,1//2,0//1
60,project_1,candidate_1,module_3,1,3,true,1//2,2//1
60,project_2,candidate_2,module_3,1,3,true,1//2,2//1
61,project_1,candidate_1,module_2,1,3,true,3//4,0//1
61,project_2,candidate_2,module_1,1,3,true,3//4,0//1
62,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//2,4//1
62,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//2,4//1
63,project_1,candidate_1,module_2;module_3;module_4,3,3,true,1//2,0//1
63,project_2,candidate_2,module_1;module_2;module_4,3,3,true,1//2,0//1
64,project_1,candidate_1,module_1;module_2;module_3,3,1,true,3//4,0//1
64,project_2,candidate_2,module_1;module_2;module_3,3,1,true,3//4,0//1
65,project_1,candidate_1,module_2,1,2,true,1//2,4//1
65,project_2,candidate_2,module_1,1,2,true,1//2,4//1
66,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//4,0//1
66,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//4,0//1
67,project_1,candidate_1,module_1;module_2;module_3,3,3,true,1//2,0//1
67,project_2,candidate_2,module_1;module_2;module_3,3,3,true,1//2,0//1
68,project_1,candidate_1,module_1;module_2,2,1,true,3//4,0//1
68,project_2,candidate_2,module_2;module_4,2,1,true,3//4,0//1
69,project_1,candidate_1,module_2;module_3,2,1,true,3//4,2//1
69,project_2,candidate_2,module_2;module_4,2,1,true,3//4,2//1
70,project_1,candidate_1,module_1;module_2;module_5,3,1,true,1//4,2//1
70,project_2,candidate_2,module_2;module_3;module_5,3,1,true,1//4,2//1
71,project_1,candidate_1,module_3;module_4,2,3,true,1//2,4//1
71,project_2,candidate_2,module_2;module_4,2,3,true,1//2,4//1
72,project_1,candidate_1,module_3;module_4;module_5,3,2,true,3//4,2//1
72,project_2,candidate_2,module_1;module_3;module_5,3,2,true,3//4,2//1
73,project_1,candidate_1,module_3,1,1,true,3//4,4//1
73,project_2,candidate_2,module_4,1,1,true,3//4,4//1
74,project_1,candidate_1,module_3,1,3,true,3//4,4//1
74,project_2,candidate_2,module_2,1,3,true,3//4,4//1
75,project_1,candidate_1,module_2,1,1,true,1//4,4//1
75,project_2,candidate_2,module_1,1,1,true,1//4,4//1
76,project_1,candidate_1,module_2,1,3,true,1//4,2//1
76,project_2,candidate_2,module_4,1,3,true,1//4,2//1
77,project_1,candidate_1,module_1,1,2,true,1//4,4//1
77,project_2,candidate_2,module_4,1,2,true,1//4,4//1
78,project_1,candidate_1,module_1;module_2;module_4,3,1,true,3//4,0//1
78,project_2,candidate_2,module_2;module_4;module_5,3,1,true,3//4,0//1
79,project_1,candidate_1,module_2;module_4;module_5,3,1,true,1//2,0//1
79,project_2,candidate_2,module_1;module_3;module_4,3,1,true,1//2,0//1
80,project_1,candidate_1,module_4,1,1,true,1//4,0//1
80,project_2,candidate_2,module_2,1,1,true,1//4,0//1
81,project_1,candidate_1,module_4,1,1,true,3//4,0//1
81,project_2,candidate_2,module_2,1,1,true,3//4,0//1
82,project_1,candidate_1,module_2,1,2,true,1//2,4//1
82,project_2,candidate_2,module_4,1,2,true,1//2,4//1
83,project_1,candidate_1,module_3;module_4,2,2,true,3//4,2//1
83,project_2,candidate_2,module_2;module_3,2,2,true,3//4,2//1
84,project_1,candidate_1,module_1;module_2,2,2,true,1//4,4//1
84,project_2,candidate_2,module_1;module_4,2,2,true,1//4,4//1
85,project_1,candidate_1,module_2;module_3,2,3,true,1//2,4//1
85,project_2,candidate_2,module_2;module_3,2,3,true,1//2,4//1
86,project_1,candidate_1,module_1;module_2;module_4,3,3,true,1//4,0//1
86,project_2,candidate_2,module_1;module_4;module_5,3,3,true,1//4,0//1
87,project_1,candidate_1,module_2,1,3,true,3//4,2//1
87,project_2,candidate_2,module_1,1,3,true,3//4,2//1
88,project_1,candidate_1,module_3,1,3,true,1//2,4//1
88,project_2,candidate_2,module_1,1,3,true,1//2,4//1
89,project_1,candidate_1,module_2;module_3,2,1,true,1//4,4//1
89,project_2,candidate_2,module_1;module_3,2,1,true,1//4,4//1
90,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//2,2//1
90,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//2,2//1
