audit_id,strategy_id,module_count,source_local_nonshared_module_count,uniform_cardinality_weight,nonshared_modules_weight,validation_computation_weight,documented_complexity_weight
locked_terminal_v1,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
locked_terminal_v1,HYG__momentum_20__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,6//1,3//1
locked_terminal_v1,HYG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,IEF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,IEF__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
locked_terminal_v1,IEF__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
locked_terminal_v1,IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
locked_terminal_v1,IWM__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
locked_terminal_v1,IWM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,IYR__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
locked_terminal_v1,IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,IYR__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,3//1
locked_terminal_v1,KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
locked_terminal_v1,KRE__momentum_20__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,6//1,3//1
locked_terminal_v1,KRE__momentum_20__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,6//1,2//1
locked_terminal_v1,LQD__momentum_60__always__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,17//1,4//1
locked_terminal_v1,LQD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
locked_terminal_v1,QQQ__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
locked_terminal_v1,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
locked_terminal_v1,QQQ__momentum_20__trend_100__h20__half__horizon__notional_cap_1,7,0,1//1,1//1,25//1,4//1
locked_terminal_v1,QQQ__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,QQQ__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
locked_terminal_v1,QQQ__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
locked_terminal_v1,QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
locked_terminal_v1,QQQ__momentum_60__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,2//1
locked_terminal_v1,SHY__momentum_20__always__h20__half__horizon__notional_cap_1,7,0,1//1,1//1,5//1,3//1
locked_terminal_v1,SHY__momentum_20__always__h20__half__horizon__vol_target_10,7,0,1//1,1//1,9//1,4//1
locked_terminal_v1,SHY__momentum_20__trend_100__h20__half__horizon__notional_cap_1,7,0,1//1,1//1,25//1,4//1
locked_terminal_v1,SLV__momentum_20__trend_100__h5__half__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,SLV__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,2//1
locked_terminal_v1,SLV__momentum_20__trend_100__h5__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,3//1
locked_terminal_v1,SPY__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,SPY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,SPY__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
locked_terminal_v1,TLT__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,TLT__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,23//1,5//1
locked_terminal_v1,TLT__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,3//1
locked_terminal_v1,UNG__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,6//1
locked_terminal_v1,UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,5//1
locked_terminal_v1,UNG__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,38//1,6//1
locked_terminal_v1,USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
locked_terminal_v1,USO__momentum_60__always__h5__half__signal_flip__vol_target_10,7,0,1//1,1//1,18//1,5//1
locked_terminal_v1,USO__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
locked_terminal_v1,UUP__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,6//1
locked_terminal_v1,UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
locked_terminal_v1,UUP__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,38//1,6//1
locked_terminal_v1,XLE__mean_reversion_5__always__h20__half__horizon__notional_cap_1,7,0,1//1,1//1,2//1,4//1
locked_terminal_v1,XLE__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
locked_terminal_v1,XLE__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,XLF__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
locked_terminal_v1,XLF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
locked_terminal_v1,XLF__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,AGG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,AGG__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
annual_walk_forward_v2,BIL__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,7,0,1//1,1//1,22//1,5//1
annual_walk_forward_v2,BIL__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,7,0,1//1,1//1,26//1,6//1
annual_walk_forward_v2,BND__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,BND__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,BSV__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
annual_walk_forward_v2,BSV__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,DBA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,DBA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,DBC__momentum_60__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,DBC__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,6//1
annual_walk_forward_v2,DEM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,DEM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,DVY__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,DVY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,EEM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EFA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
annual_walk_forward_v2,EMB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,EPP__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,EPP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,EWA__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
annual_walk_forward_v2,EWA__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,3//1
annual_walk_forward_v2,EWC__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,EWC__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,EWG__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EWG__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,EWH__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,EWH__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,EWJ__mean_reversion_5__always__h20__half__horizon__vol_target_10,7,0,1//1,1//1,6//1,5//1
annual_walk_forward_v2,EWJ__mean_reversion_5__always__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,6//1,4//1
annual_walk_forward_v2,EWM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,EWM__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
annual_walk_forward_v2,EWS__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,EWS__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
annual_walk_forward_v2,EWT__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EWT__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,EWW__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,EWW__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,23//1,5//1
annual_walk_forward_v2,EWY__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EWY__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,23//1,4//1
annual_walk_forward_v2,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,EWZ__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,EZA__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,EZA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,18//1,5//1
annual_walk_forward_v2,FXI__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,FXY__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,3//1
annual_walk_forward_v2,FXY__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,GDX__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,7//1
annual_walk_forward_v2,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,6//1
annual_walk_forward_v2,GLD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,HYG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IAU__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IAU__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,IBB__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
annual_walk_forward_v2,IBB__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,ICF__mean_reversion_5__always__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,6//1,4//1
annual_walk_forward_v2,ICF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IEF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IEF__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
annual_walk_forward_v2,IJH__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IJH__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,IJK__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IJK__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,IJR__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
annual_walk_forward_v2,IJR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,ILF__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,ILF__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,ITB__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,ITB__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,23//1,5//1
annual_walk_forward_v2,IVE__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,IVE__momentum_20__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,6//1,3//1
annual_walk_forward_v2,IVV__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
annual_walk_forward_v2,IVV__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IVW__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IVW__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,IWB__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IWB__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,IWD__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,IWD__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IWF__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,26//1,4//1
annual_walk_forward_v2,IWF__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IWN__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWN__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,IWO__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWO__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IWP__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWP__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IWR__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWR__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IWS__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IWS__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
annual_walk_forward_v2,IWV__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,IWV__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IYF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,IYF__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,IYM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,IYM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,IYR__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,IYT__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,IYT__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
annual_walk_forward_v2,JNK__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,JNK__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
annual_walk_forward_v2,KBE__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
annual_walk_forward_v2,KBE__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
annual_walk_forward_v2,KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,4//1
annual_walk_forward_v2,KRE__momentum_20__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,6//1,2//1
annual_walk_forward_v2,LQD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,MBB__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
annual_walk_forward_v2,MBB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
annual_walk_forward_v2,MDY__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
annual_walk_forward_v2,MDY__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,2//1
annual_walk_forward_v2,MOO__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,34//1,5//1
annual_walk_forward_v2,MOO__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,3//1
annual_walk_forward_v2,PFF__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
annual_walk_forward_v2,PFF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
annual_walk_forward_v2,QQQ__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
annual_walk_forward_v2,QQQ__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
annual_walk_forward_v2,QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
annual_walk_forward_v2,SDY__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
