trial_id,mask,library_ids,cardinality,burden,frontier,closure,frontier_preserved,closure_preserved,exact_safe,operational_value,generative_value,total_productive_value,channel_decomposition_gate
1,28,base_3;closure_carrier;frontier_addition;inactive,4,6//1,9//4;7//4;33//4,bridge;core_b;trigger_a;trigger_b,false,false,false,8575//768,54587//8192,438161//24576,true
1,29,base_1;base_3;closure_carrier;frontier_addition;inactive,5,8//1,23//4;7//4;33//4,bridge;core_b;core_c;trigger_a;trigger_b,false,false,false,3675//256,20101//4096,78901//4096,true
1,30,base_2;base_3;closure_carrier;frontier_addition;inactive,5,8//1,9//4;23//4;33//4,bridge;core_a;core_b;trigger_a;trigger_b,false,false,false,11375//768,38147//8192,478441//24576,true
1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,10//1,23//4;23//4;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,13825//768,11881//4096,256843//12288,true
2,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
2,1,base_1;inactive,2,2//1,15//4;17//4;4//1,core_b,false,false,false,175//16,0//1,175//16,true
2,2,base_2;inactive,2,2//1,7//4;2//1;2//1,core_a,false,false,false,4025//768,0//1,4025//768,true
2,3,base_1;base_2;inactive,3,4//1,15//4;17//4;4//1,core_a;core_b,false,false,false,175//16,0//1,175//16,true
2,4,base_3;inactive,2,2//1,3//4;3//4;3//4,core_c,false,false,false,525//256,0//1,525//256,true
2,5,base_1;base_3;inactive,3,4//1,15//4;17//4;4//1,core_b;core_c,false,false,false,175//16,0//1,175//16,true
2,6,base_2;base_3;inactive,3,4//1,7//4;2//1;2//1,core_a;core_c,false,false,false,4025//768,0//1,4025//768,true
2,7,base_1;base_2;base_3;inactive,4,6//1,15//4;17//4;4//1,core_a;core_b;core_c,false,false,false,175//16,0//1,175//16,true
2,8,closure_carrier;inactive,2,2//1,1//1;3//4;5//4,expansion,false,false,false,175//64,77071//16384,121871//16384,true
2,9,base_1;closure_carrier;inactive,3,4//1,15//4;17//4;4//1,core_b;expansion,false,false,false,175//16,249623//786432,8851223//786432,true
2,10,base_2;closure_carrier;inactive,3,4//1,7//4;2//1;2//1,core_a;expansion,false,false,false,4025//768,6809//2048,52627//6144,true
2,11,base_1;base_2;closure_carrier;inactive,4,6//1,15//4;17//4;4//1,core_a;core_b;expansion,false,false,false,175//16,249623//786432,8851223//786432,true
2,12,base_3;closure_carrier;inactive,3,4//1,1//1;3//4;5//4,core_c;expansion,false,false,false,175//64,77071//16384,121871//16384,true
2,13,base_1;base_3;closure_carrier;inactive,4,6//1,15//4;17//4;4//1,core_b;core_c;expansion,false,false,false,175//16,249623//786432,8851223//786432,true
2,14,base_2;base_3;closure_carrier;inactive,4,6//1,7//4;2//1;2//1,core_a;core_c;expansion,false,false,false,4025//768,6809//2048,52627//6144,true
2,15,base_1;base_2;base_3;closure_carrier;inactive,5,8//1,15//4;17//4;4//1,core_a;core_b;core_c;expansion,false,true,false,175//16,249623//786432,8851223//786432,true
2,16,frontier_addition;inactive,2,1//1,13//4;11//4;21//4,,false,false,false,2625//256,0//1,2625//256,true
2,17,base_1;frontier_addition;inactive,3,3//1,15//4;17//4;21//4,core_b,true,false,false,9275//768,0//1,9275//768,true
2,18,base_2;frontier_addition;inactive,3,3//1,13//4;11//4;21//4,core_a,false,false,false,2625//256,0//1,2625//256,true
2,19,base_1;base_2;frontier_addition;inactive,4,5//1,15//4;17//4;21//4,core_a;core_b,true,false,false,9275//768,0//1,9275//768,true
2,20,base_3;frontier_addition;inactive,3,3//1,13//4;11//4;21//4,core_c,false,false,false,2625//256,0//1,2625//256,true
2,21,base_1;base_3;frontier_addition;inactive,4,5//1,15//4;17//4;21//4,core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
2,22,base_2;base_3;frontier_addition;inactive,4,5//1,13//4;11//4;21//4,core_a;core_c,false,false,false,2625//256,0//1,2625//256,true
2,23,base_1;base_2;base_3;frontier_addition;inactive,5,7//1,15//4;17//4;21//4,core_a;core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
2,24,closure_carrier;frontier_addition;inactive,3,3//1,13//4;11//4;21//4,expansion,false,false,false,2625//256,247699//393216,4279699//393216,true
2,25,base_1;closure_carrier;frontier_addition;inactive,4,5//1,15//4;17//4;21//4,core_b;expansion,true,false,false,9275//768,403//12288,49601//4096,true
2,26,base_2;closure_carrier;frontier_addition;inactive,4,5//1,13//4;11//4;21//4,core_a;expansion,false,false,false,2625//256,247699//393216,4279699//393216,true
2,27,base_1;base_2;closure_carrier;frontier_addition;inactive,5,7//1,15//4;17//4;21//4,core_a;core_b;expansion,true,false,false,9275//768,403//12288,49601//4096,true
2,28,base_3;closure_carrier;frontier_addition;inactive,4,5//1,13//4;11//4;21//4,core_c;expansion,false,false,false,2625//256,247699//393216,4279699//393216,true
2,29,base_1;base_3;closure_carrier;frontier_addition;inactive,5,7//1,15//4;17//4;21//4,core_b;core_c;expansion,true,false,false,9275//768,403//12288,49601//4096,true
2,30,base_2;base_3;closure_carrier;frontier_addition;inactive,5,7//1,13//4;11//4;21//4,core_a;core_c;expansion,false,false,false,2625//256,247699//393216,4279699//393216,true
2,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,9//1,15//4;17//4;21//4,core_a;core_b;core_c;expansion,true,true,true,9275//768,403//12288,49601//4096,true
3,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
3,1,base_1;inactive,2,4//1,4//1;15//4;17//4,core_a;core_b;core_c,false,false,false,175//16,0//1,175//16,true
3,2,base_2;inactive,2,4//1,9//4;7//4;9//4,core_a;core_b;core_c,false,false,false,4375//768,0//1,4375//768,true
3,3,base_1;base_2;inactive,3,8//1,4//1;15//4;17//4,core_a;core_b;core_c,false,false,false,175//16,0//1,175//16,true
3,4,base_3;inactive,2,4//1,5//4;5//4;5//4,core_a;core_b;core_c,false,false,false,875//256,0//1,875//256,true
3,5,base_1;base_3;inactive,3,8//1,4//1;15//4;17//4,core_a;core_b;core_c,false,false,false,175//16,0//1,175//16,true
3,6,base_2;base_3;inactive,3,8//1,9//4;7//4;9//4,core_a;core_b;core_c,false,false,false,4375//768,0//1,4375//768,true
3,7,base_1;base_2;base_3;inactive,4,12//1,4//1;15//4;17//4,core_a;core_b;core_c,false,false,false,175//16,0//1,175//16,true
3,8,closure_carrier;inactive,2,2//1,1//1;5//4;5//4,expansion,false,false,false,1225//384,635//512,6805//1536,true
3,9,base_1;closure_carrier;inactive,3,6//1,4//1;15//4;17//4,core_a;core_b;core_c;expansion,false,true,false,175//16,11//32,361//32,true
3,10,base_2;closure_carrier;inactive,3,6//1,9//4;7//4;9//4,core_a;core_b;core_c;expansion,false,true,false,4375//768,973//1024,20419//3072,true
3,11,base_1;base_2;closure_carrier;inactive,4,10//1,4//1;15//4;17//4,core_a;core_b;core_c;expansion,false,true,false,175//16,11//32,361//32,true
3,12,base_3;closure_carrier;inactive,3,6//1,5//4;5//4;5//4,core_a;core_b;core_c;expansion,false,true,false,875//256,1243//1024,4743//1024,true
3,13,base_1;base_3;closure_carrier;inactive,4,10//1,4//1;15//4;17//4,core_a;core_b;core_c;expansion,false,true,false,175//16,11//32,361//32,true
3,14,base_2;base_3;closure_carrier;inactive,4,10//1,9//4;7//4;9//4,core_a;core_b;core_c;expansion,false,true,false,4375//768,973//1024,20419//3072,true
3,15,base_1;base_2;base_3;closure_carrier;inactive,5,14//1,4//1;15//4;17//4,core_a;core_b;core_c;expansion,false,true,false,175//16,11//32,361//32,true
3,16,frontier_addition;inactive,2,1//1,11//4;3//1;21//4,,false,false,false,1925//192,0//1,1925//192,true
3,17,base_1;frontier_addition;inactive,3,5//1,4//1;15//4;21//4,core_a;core_b;core_c,true,false,false,2275//192,0//1,2275//192,true
3,18,base_2;frontier_addition;inactive,3,5//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
3,19,base_1;base_2;frontier_addition;inactive,4,9//1,4//1;15//4;21//4,core_a;core_b;core_c,true,false,false,2275//192,0//1,2275//192,true
3,20,base_3;frontier_addition;inactive,3,5//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
3,21,base_1;base_3;frontier_addition;inactive,4,9//1,4//1;15//4;21//4,core_a;core_b;core_c,true,false,false,2275//192,0//1,2275//192,true
3,22,base_2;base_3;frontier_addition;inactive,4,9//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
3,23,base_1;base_2;base_3;frontier_addition;inactive,5,13//1,4//1;15//4;21//4,core_a;core_b;core_c,true,false,false,2275//192,0//1,2275//192,true
3,24,closure_carrier;frontier_addition;inactive,3,3//1,11//4;3//1;21//4,expansion,false,false,false,1925//192,115//256,8045//768,true
3,25,base_1;closure_carrier;frontier_addition;inactive,4,7//1,4//1;15//4;21//4,core_a;core_b;core_c;expansion,true,true,true,2275//192,61//256,9283//768,true
3,26,base_2;closure_carrier;frontier_addition;inactive,4,7//1,11//4;3//1;21//4,core_a;core_b;core_c;expansion,false,true,false,1925//192,115//256,8045//768,true
3,27,base_1;base_2;closure_carrier;frontier_addition;inactive,5,11//1,4//1;15//4;21//4,core_a;core_b;core_c;expansion,true,true,true,2275//192,61//256,9283//768,true
3,28,base_3;closure_carrier;frontier_addition;inactive,4,7//1,11//4;3//1;21//4,core_a;core_b;core_c;expansion,false,true,false,1925//192,115//256,8045//768,true
3,29,base_1;base_3;closure_carrier;frontier_addition;inactive,5,11//1,4//1;15//4;21//4,core_a;core_b;core_c;expansion,true,true,true,2275//192,61//256,9283//768,true
3,30,base_2;base_3;closure_carrier;frontier_addition;inactive,5,11//1,11//4;3//1;21//4,core_a;core_b;core_c;expansion,false,true,false,1925//192,115//256,8045//768,true
3,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,15//1,4//1;15//4;21//4,core_a;core_b;core_c;expansion,true,true,true,2275//192,61//256,9283//768,true
4,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
4,1,base_1;inactive,2,4//1,15//4;17//4;15//4,core_a;core_b;core_c,false,false,false,8225//768,0//1,8225//768,true
4,2,base_2;inactive,2,4//1,9//4;7//4;7//4,core_a;core_b;core_c,false,false,false,4025//768,0//1,4025//768,true
4,3,base_1;base_2;inactive,3,8//1,15//4;17//4;15//4,core_a;core_b;core_c,false,false,false,8225//768,0//1,8225//768,true
4,4,base_3;inactive,2,4//1,5//4;5//4;3//4,core_a;core_b;core_c,false,false,false,2275//768,0//1,2275//768,true
4,5,base_1;base_3;inactive,3,8//1,15//4;17//4;15//4,core_a;core_b;core_c,false,false,false,8225//768,0//1,8225//768,true
4,6,base_2;base_3;inactive,3,8//1,9//4;7//4;7//4,core_a;core_b;core_c,false,false,false,4025//768,0//1,4025//768,true
4,7,base_1;base_2;base_3;inactive,4,12//1,15//4;17//4;15//4,core_a;core_b;core_c,false,false,false,8225//768,0//1,8225//768,true
4,8,closure_carrier;inactive,2,3//1,1//1;5//4;3//4,bridge;trigger_a;trigger_b,false,false,false,175//64,73//1024,2873//1024,true
4,9,base_1;closure_carrier;inactive,3,7//1,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,8225//768,0//1,8225//768,true
4,10,base_2;closure_carrier;inactive,3,7//1,9//4;7//4;7//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,4025//768,305//24576,43035//8192,true
4,11,base_1;base_2;closure_carrier;inactive,4,11//1,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,8225//768,0//1,8225//768,true
4,12,base_3;closure_carrier;inactive,3,7//1,5//4;5//4;3//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,2275//768,1555//24576,24785//8192,true
4,13,base_1;base_3;closure_carrier;inactive,4,11//1,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,8225//768,0//1,8225//768,true
4,14,base_2;base_3;closure_carrier;inactive,4,11//1,9//4;7//4;7//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,4025//768,305//24576,43035//8192,true
4,15,base_1;base_2;base_3;closure_carrier;inactive,5,15//1,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,8225//768,0//1,8225//768,true
4,16,frontier_addition;inactive,2,1//1,11//4;3//1;21//4,,false,false,false,1925//192,0//1,1925//192,true
4,17,base_1;frontier_addition;inactive,3,5//1,15//4;17//4;21//4,core_a;core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
4,18,base_2;frontier_addition;inactive,3,5//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
4,19,base_1;base_2;frontier_addition;inactive,4,9//1,15//4;17//4;21//4,core_a;core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
4,20,base_3;frontier_addition;inactive,3,5//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
4,21,base_1;base_3;frontier_addition;inactive,4,9//1,15//4;17//4;21//4,core_a;core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
4,22,base_2;base_3;frontier_addition;inactive,4,9//1,11//4;3//1;21//4,core_a;core_b;core_c,false,false,false,1925//192,0//1,1925//192,true
4,23,base_1;base_2;base_3;frontier_addition;inactive,5,13//1,15//4;17//4;21//4,core_a;core_b;core_c,true,false,false,9275//768,0//1,9275//768,true
4,24,closure_carrier;frontier_addition;inactive,3,4//1,11//4;3//1;21//4,bridge;trigger_a;trigger_b,false,false,false,1925//192,0//1,1925//192,true
4,25,base_1;closure_carrier;frontier_addition;inactive,4,8//1,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,9275//768,0//1,9275//768,true
4,26,base_2;closure_carrier;frontier_addition;inactive,4,8//1,11//4;3//1;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,1925//192,0//1,1925//192,true
4,27,base_1;base_2;closure_carrier;frontier_addition;inactive,5,12//1,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,9275//768,0//1,9275//768,true
4,28,base_3;closure_carrier;frontier_addition;inactive,4,8//1,11//4;3//1;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,1925//192,0//1,1925//192,true
4,29,base_1;base_3;closure_carrier;frontier_addition;inactive,5,12//1,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,9275//768,0//1,9275//768,true
4,30,base_2;base_3;closure_carrier;frontier_addition;inactive,5,12//1,11//4;3//1;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,1925//192,0//1,1925//192,true
4,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,16//1,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,9275//768,0//1,9275//768,true
5,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
5,1,base_1;inactive,2,2//1,6//1;9//4;2//1,core_a,false,false,false,7175//768,0//1,7175//768,true
5,2,base_2;inactive,2,2//1,7//4;23//4;7//4,core_c,false,false,false,6475//768,0//1,6475//768,true
5,3,base_1;base_2;inactive,3,4//1,6//1;23//4;2//1,core_a;core_c,false,false,false,9625//768,0//1,9625//768,true
5,4,base_3;inactive,2,2//1,9//4;7//4;25//4,core_b,false,false,false,7175//768,0//1,7175//768,true
5,5,base_1;base_3;inactive,3,4//1,6//1;9//4;25//4,core_a;core_b,false,false,false,5075//384,0//1,5075//384,true
5,6,base_2;base_3;inactive,3,4//1,9//4;23//4;25//4,core_b;core_c,false,false,false,3325//256,0//1,3325//256,true
5,7,base_1;base_2;base_3;inactive,4,6//1,6//1;23//4;25//4,core_a;core_b;core_c,false,false,false,525//32,0//1,525//32,true
5,8,closure_carrier;inactive,2,3//1,1//1;3//4;3//4,bridge;trigger_a;trigger_b,false,false,false,875//384,733//1024,9199//3072,true
5,9,base_1;closure_carrier;inactive,3,5//1,6//1;9//4;2//1,bridge;core_a;trigger_a;trigger_b,false,false,false,7175//768,11731//196608,616177//65536,true
5,10,base_2;closure_carrier;inactive,3,5//1,7//4;23//4;7//4,bridge;core_c;trigger_a;trigger_b,false,false,false,6475//768,1657//49152,416057//49152,true
5,11,base_1;base_2;closure_carrier;inactive,4,7//1,6//1;23//4;2//1,bridge;core_a;core_c;trigger_a;trigger_b,false,false,false,9625//768,0//1,9625//768,true
5,12,base_3;closure_carrier;inactive,3,5//1,9//4;7//4;25//4,bridge;core_b;trigger_a;trigger_b,false,false,false,7175//768,16915//196608,617905//65536,true
5,13,base_1;base_3;closure_carrier;inactive,4,7//1,6//1;9//4;25//4,bridge;core_a;core_b;trigger_a;trigger_b,false,false,false,5075//384,0//1,5075//384,true
5,14,base_2;base_3;closure_carrier;inactive,4,7//1,9//4;23//4;25//4,bridge;core_b;core_c;trigger_a;trigger_b,false,false,false,3325//256,0//1,3325//256,true
5,15,base_1;base_2;base_3;closure_carrier;inactive,5,9//1,6//1;23//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,525//32,0//1,525//32,true
5,16,frontier_addition;inactive,2,1//1,5//4;8//1;1//1,,false,false,false,7175//768,0//1,7175//768,true
5,17,base_1;frontier_addition;inactive,3,3//1,6//1;8//1;2//1,core_a,false,false,false,175//12,0//1,175//12,true
5,18,base_2;frontier_addition;inactive,3,3//1,7//4;8//1;7//4,core_c,false,false,false,4025//384,0//1,4025//384,true
5,19,base_1;base_2;frontier_addition;inactive,4,5//1,6//1;8//1;2//1,core_a;core_c,false,false,false,175//12,0//1,175//12,true
5,20,base_3;frontier_addition;inactive,3,3//1,9//4;8//1;25//4,core_b,false,false,false,1925//128,0//1,1925//128,true
5,21,base_1;base_3;frontier_addition;inactive,4,5//1,6//1;8//1;25//4,core_a;core_b,true,false,false,4725//256,0//1,4725//256,true
5,22,base_2;base_3;frontier_addition;inactive,4,5//1,9//4;8//1;25//4,core_b;core_c,false,false,false,1925//128,0//1,1925//128,true
5,23,base_1;base_2;base_3;frontier_addition;inactive,5,7//1,6//1;8//1;25//4,core_a;core_b;core_c,true,false,false,4725//256,0//1,4725//256,true
5,24,closure_carrier;frontier_addition;inactive,3,4//1,5//4;8//1;1//1,bridge;trigger_a;trigger_b,false,false,false,7175//768,11245//196608,616015//65536,true
5,25,base_1;closure_carrier;frontier_addition;inactive,4,6//1,6//1;8//1;2//1,bridge;core_a;trigger_a;trigger_b,false,false,false,175//12,0//1,175//12,true
5,26,base_2;closure_carrier;frontier_addition;inactive,4,6//1,7//4;8//1;7//4,bridge;core_c;trigger_a;trigger_b,false,false,false,4025//384,67//196608,2060867//196608,true
5,27,base_1;base_2;closure_carrier;frontier_addition;inactive,5,8//1,6//1;8//1;2//1,bridge;core_a;core_c;trigger_a;trigger_b,false,false,false,175//12,0//1,175//12,true
5,28,base_3;closure_carrier;frontier_addition;inactive,4,6//1,9//4;8//1;25//4,bridge;core_b;trigger_a;trigger_b,false,false,false,1925//128,0//1,1925//128,true
5,29,base_1;base_3;closure_carrier;frontier_addition;inactive,5,8//1,6//1;8//1;25//4,bridge;core_a;core_b;trigger_a;trigger_b,true,false,false,4725//256,0//1,4725//256,true
5,30,base_2;base_3;closure_carrier;frontier_addition;inactive,5,8//1,9//4;8//1;25//4,bridge;core_b;core_c;trigger_a;trigger_b,false,false,false,1925//128,0//1,1925//128,true
5,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,10//1,6//1;8//1;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,true,true,true,4725//256,0//1,4725//256,true
6,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
6,1,base_1;inactive,2,2//1,23//4;2//1;9//4,core_b,false,false,false,875//96,0//1,875//96,true
6,2,base_2;inactive,2,2//1,7//4;23//4;7//4,core_c,false,false,false,6475//768,0//1,6475//768,true
6,3,base_1;base_2;inactive,3,4//1,23//4;23//4;9//4,core_b;core_c,false,false,false,9625//768,0//1,9625//768,true
6,4,base_3;inactive,2,2//1,9//4;2//1;25//4,core_a,false,false,false,1225//128,0//1,1225//128,true
6,5,base_1;base_3;inactive,3,4//1,23//4;2//1;25//4,core_a;core_b,false,false,false,1225//96,0//1,1225//96,true
6,6,base_2;base_3;inactive,3,4//1,9//4;23//4;25//4,core_a;core_c,false,false,false,3325//256,0//1,3325//256,true
6,7,base_1;base_2;base_3;inactive,4,6//1,23//4;23//4;25//4,core_a;core_b;core_c,false,false,false,12425//768,0//1,12425//768,true
6,8,closure_carrier;inactive,2,2//1,1//1;5//4;3//4,expansion,false,false,false,175//64,17873//196608,555473//196608,true
6,9,base_1;closure_carrier;inactive,3,4//1,23//4;2//1;9//4,core_b;expansion,false,false,false,875//96,0//1,875//96,true
6,10,base_2;closure_carrier;inactive,3,4//1,7//4;23//4;7//4,core_c;expansion,false,false,false,6475//768,0//1,6475//768,true
6,11,base_1;base_2;closure_carrier;inactive,4,6//1,23//4;23//4;9//4,core_b;core_c;expansion,false,false,false,9625//768,0//1,9625//768,true
6,12,base_3;closure_carrier;inactive,3,4//1,9//4;2//1;25//4,core_a;expansion,false,false,false,1225//128,0//1,1225//128,true
6,13,base_1;base_3;closure_carrier;inactive,4,6//1,23//4;2//1;25//4,core_a;core_b;expansion,false,false,false,1225//96,0//1,1225//96,true
6,14,base_2;base_3;closure_carrier;inactive,4,6//1,9//4;23//4;25//4,core_a;core_c;expansion,false,false,false,3325//256,0//1,3325//256,true
6,15,base_1;base_2;base_3;closure_carrier;inactive,5,8//1,23//4;23//4;25//4,core_a;core_b;core_c;expansion,false,true,false,12425//768,0//1,12425//768,true
6,16,frontier_addition;inactive,2,1//1,3//4;1//1;8//1,,false,false,false,2275//256,0//1,2275//256,true
6,17,base_1;frontier_addition;inactive,3,3//1,23//4;2//1;8//1,core_b,false,false,false,3675//256,0//1,3675//256,true
6,18,base_2;frontier_addition;inactive,3,3//1,7//4;23//4;8//1,core_c,false,false,false,5425//384,0//1,5425//384,true
6,19,base_1;base_2;frontier_addition;inactive,4,5//1,23//4;23//4;8//1,core_b;core_c,true,false,false,2275//128,0//1,2275//128,true
6,20,base_3;frontier_addition;inactive,3,3//1,9//4;2//1;8//1,core_a,false,false,false,8575//768,0//1,8575//768,true
6,21,base_1;base_3;frontier_addition;inactive,4,5//1,23//4;2//1;8//1,core_a;core_b,false,false,false,3675//256,0//1,3675//256,true
6,22,base_2;base_3;frontier_addition;inactive,4,5//1,9//4;23//4;8//1,core_a;core_c,false,false,false,175//12,0//1,175//12,true
6,23,base_1;base_2;base_3;frontier_addition;inactive,5,7//1,23//4;23//4;8//1,core_a;core_b;core_c,true,false,false,2275//128,0//1,2275//128,true
6,24,closure_carrier;frontier_addition;inactive,3,3//1,1//1;5//4;8//1,expansion,false,false,false,7175//768,0//1,7175//768,true
6,25,base_1;closure_carrier;frontier_addition;inactive,4,5//1,23//4;2//1;8//1,core_b;expansion,false,false,false,3675//256,0//1,3675//256,true
6,26,base_2;closure_carrier;frontier_addition;inactive,4,5//1,7//4;23//4;8//1,core_c;expansion,false,false,false,5425//384,0//1,5425//384,true
