trial_id,interval_id,lower_lambda,upper_lambda,lower_optimal_burdens,upper_optimal_burdens,demand_defined,resource_demand_elasticity,channel_defined,operational_contribution,generative_contribution,productive_value_elasticity,channel_decomposition_gate
7,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-5//26,0//1,-5//26,true
7,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-26//63,0//1,-26//63,true
8,E025_050,1//4,1//2,3//1,2//1,true,-1//3,true,-2//49,0//1,-2//49,true
8,E050_100,1//2,1//1,2//1,2//1,true,0//1,true,0//1,0//1,0//1,true
8,E100_200,1//1,2//1,2//1,1//1,true,-1//2,true,-5//47,0//1,-5//47,true
8,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
9,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
9,E050_100,1//2,1//1,3//1,2//1,true,-1//3,true,-4//55,0//1,-4//55,true
9,E100_200,1//1,2//1,2//1,1//1,true,-1//2,true,-7//51,0//1,-7//51,true
9,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
10,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
10,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
10,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-15//79,0//1,-15//79,true
10,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-3//8,0//1,-3//8,true
11,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
11,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-5//51,0//1,-5//51,true
11,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
11,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
12,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
12,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-3//17,0//1,-3//17,true
12,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
12,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
13,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
13,E050_100,1//2,1//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
13,E100_200,1//1,2//1,3//1,1//1,true,-2//3,true,-5//27,0//1,-5//27,true
13,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
14,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
14,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
14,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-1//5,0//1,-1//5,true
14,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-3//8,0//1,-3//8,true
15,E025_050,1//4,1//2,6//1,4//1,true,-1//3,true,-700//5769,685//10256,-5035//92304,true
15,E050_100,1//2,1//1,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
15,E100_200,1//1,2//1,4//1,1//1,true,-3//4,true,0//1,-3867//12467,-3867//12467,true
15,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
16,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
16,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
16,E100_200,1//1,2//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
16,E200_400,2//1,4//1,5//1,1//1,true,-4//5,true,-44//83,0//1,-44//83,true
17,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
17,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-15//79,0//1,-15//79,true
17,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-13//32,0//1,-13//32,true
17,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
18,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
18,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-19600//156231,-4477//52077,-33031//156231,true
18,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
18,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
19,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
19,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
19,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-3//16,0//1,-3//16,true
19,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-27//65,0//1,-27//65,true
20,E025_050,1//4,1//2,12//1,9//1,true,-1//4,true,0//1,-3351//60751,-3351//60751,true
20,E050_100,1//2,1//1,9//1,4//1,true,-5//9,true,-20//41,149523//459200,-74477//459200,true
20,E100_200,1//1,2//1,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
20,E200_400,2//1,4//1,4//1,1//1,true,-3//4,true,0//1,-49841//128241,-49841//128241,true
21,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
21,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-7//40,0//1,-7//40,true
21,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-25//66,0//1,-25//66,true
21,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
22,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
22,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-7//40,0//1,-7//40,true
22,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-25//66,0//1,-25//66,true
22,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
23,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
23,E050_100,1//2,1//1,3//1,2//1,true,-1//3,true,-4//53,0//1,-4//53,true
23,E100_200,1//1,2//1,2//1,1//1,true,-1//2,true,-5//49,0//1,-5//49,true
23,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
24,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
24,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-3//16,0//1,-3//16,true
24,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-5//13,0//1,-5//13,true
24,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
25,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
25,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-7//53,0//1,-7//53,true
25,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
25,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
26,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
26,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-8//39,0//1,-8//39,true
26,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-11//31,0//1,-11//31,true
26,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
27,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
27,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-3//16,0//1,-3//16,true
27,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-27//65,0//1,-27//65,true
27,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
28,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
28,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-4//27,0//1,-4//27,true
28,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
28,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
29,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
29,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-1//6,0//1,-1//6,true
29,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
29,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
30,E025_050,1//4,1//2,5//1,4//1,true,-1//5,true,-8400//181243,18495//724972,-15105//724972,true
30,E050_100,1//2,1//1,4//1,3//1,true,-1//4,true,-67200//709867,36990//709867,-30210//709867,true
30,E100_200,1//1,2//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
30,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,0//1,-198057//679657,-198057//679657,true
31,E025_050,1//4,1//2,8//1,8//1,true,0//1,true,0//1,0//1,0//1,true
31,E050_100,1//2,1//1,8//1,6//1,true,-1//4,true,-44800//262443,8220//87481,-20140//262443,true
31,E100_200,1//1,2//1,6//1,4//1,true,-1//3,true,-67200//242303,36990//242303,-30210//242303,true
31,E200_400,2//1,4//1,4//1,1//1,true,-3//4,true,0//1,-339//739,-339//739,true
32,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
32,E050_100,1//2,1//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
32,E100_200,1//1,2//1,3//1,1//1,true,-2//3,true,-9//55,0//1,-9//55,true
32,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
33,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
33,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
33,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-14//79,0//1,-14//79,true
33,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-22//65,0//1,-22//65,true
34,E025_050,1//4,1//2,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
34,E050_100,1//2,1//1,4//1,1//1,true,-3//4,true,0//1,-16897//84097,-16897//84097,true
34,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
34,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
35,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
35,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-3//16,0//1,-3//16,true
35,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-2//5,0//1,-2//5,true
35,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
36,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
36,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-8//53,0//1,-8//53,true
36,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
36,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
37,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
37,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-16//79,0//1,-16//79,true
37,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-22//63,0//1,-22//63,true
37,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
38,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
38,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-15//79,0//1,-15//79,true
38,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-3//8,0//1,-3//8,true
38,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
39,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
39,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
39,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-3//16,0//1,-3//16,true
39,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-2//5,0//1,-2//5,true
40,E025_050,1//4,1//2,6//1,5//1,true,-1//6,true,-2800//62281,6165//249124,-5035//249124,true
40,E050_100,1//2,1//1,5//1,4//1,true,-1//5,true,-22400//244089,1370//27121,-10070//244089,true
40,E100_200,1//1,2//1,4//1,1//1,true,-3//4,true,0//1,-66019//234019,-66019//234019,true
40,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
41,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
41,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
41,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-15//79,0//1,-15//79,true
41,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-3//8,0//1,-3//8,true
42,E025_050,1//4,1//2,5//1,1//1,true,-4//5,true,-7//52,0//1,-7//52,true
42,E050_100,1//2,1//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
42,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
42,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
43,E025_050,1//4,1//2,7//1,3//1,true,-4//7,true,-4480//31321,87423//2505680,-270977//2505680,true
43,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,0//1,-72901//744901,-72901//744901,true
43,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
43,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
44,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
44,E050_100,1//2,1//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
44,E100_200,1//1,2//1,3//1,1//1,true,-2//3,true,-9//53,0//1,-9//53,true
44,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
45,E025_050,1//4,1//2,12//1,8//1,true,-1//3,true,-47600//265243,104805//1060972,-85595//1060972,true
45,E050_100,1//2,1//1,8//1,4//1,true,-1//2,true,-268800//975377,147960//975377,-120840//975377,true
45,E100_200,1//1,2//1,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
45,E200_400,2//1,4//1,4//1,1//1,true,-3//4,true,-22400//854537,-395337//854537,-417737//854537,true
46,E025_050,1//4,1//2,5//1,1//1,true,-4//5,true,-7//52,0//1,-7//52,true
46,E050_100,1//2,1//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
46,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
46,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
47,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
47,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
47,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-2//11,0//1,-2//11,true
47,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-8//21,0//1,-8//21,true
48,E025_050,1//4,1//2,3//1,2//1,true,-1//3,true,-1//25,0//1,-1//25,true
48,E050_100,1//2,1//1,2//1,2//1,true,0//1,true,0//1,0//1,0//1,true
48,E100_200,1//1,2//1,2//1,1//1,true,-1//2,true,-1//8,0//1,-1//8,true
48,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
49,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
49,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
49,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-15//79,0//1,-15//79,true
49,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-13//32,0//1,-13//32,true
50,E025_050,1//4,1//2,8//1,5//1,true,-3//8,true,0//1,-6147//129347,-6147//129347,true
50,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
50,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-15//77,0//1,-15//77,true
50,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-12//31,0//1,-12//31,true
51,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
51,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-9//52,0//1,-9//52,true
51,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
51,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
52,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
52,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-5//26,0//1,-5//26,true
52,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
52,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
53,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
53,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-8//41,0//1,-8//41,true
53,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-9//22,0//1,-9//22,true
53,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
54,E025_050,1//4,1//2,11//1,9//1,true,-2//11,true,0//1,-30741//949141,-30741//949141,true
54,E050_100,1//2,1//1,9//1,3//1,true,-2//3,true,-1//2,280533//918400,-178667//918400,true
54,E100_200,1//1,2//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
54,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,0//1,-280533//739733,-280533//739733,true
55,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
55,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
55,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-5//27,0//1,-5//27,true
55,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-4//11,0//1,-4//11,true
56,E025_050,1//4,1//2,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
56,E050_100,1//2,1//1,4//1,1//1,true,-3//4,true,0//1,-4913//25913,-4913//25913,true
56,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
56,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
57,E025_050,1//4,1//2,7//1,7//1,true,0//1,true,0//1,0//1,0//1,true
57,E050_100,1//2,1//1,7//1,5//1,true,-2//7,true,-21000//126739,92475//1013912,-75525//1013912,true
57,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-268800//938387,147960//938387,-120840//938387,true
57,E200_400,2//1,4//1,3//1,2//1,true,-1//3,true,-324800//817547,178785//817547,-146015//817547,true
58,E025_050,1//4,1//2,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
58,E050_100,1//2,1//1,4//1,4//1,true,0//1,true,0//1,0//1,0//1,true
58,E100_200,1//1,2//1,4//1,1//1,true,-3//4,true,0//1,-8257//32257,-8257//32257,true
58,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
59,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
59,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-5//27,0//1,-5//27,true
59,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
59,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
60,E025_050,1//4,1//2,5//1,1//1,true,-4//5,true,-8//53,0//1,-8//53,true
60,E050_100,1//2,1//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
60,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
60,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
61,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
61,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
61,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-14//79,0//1,-14//79,true
61,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-2//5,0//1,-2//5,true
62,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
62,E050_100,1//2,1//1,9//1,4//1,true,-5//9,true,-41//80,321//1024,-1019//5120,true
62,E100_200,1//1,2//1,4//1,1//1,true,-3//4,true,-64//4101,-535//1367,-1669//4101,true
62,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
63,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
63,E050_100,1//2,1//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
63,E100_200,1//1,2//1,3//1,1//1,true,-2//3,true,0//1,-61909//218709,-61909//218709,true
63,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
64,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
64,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
64,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-16//81,0//1,-16//81,true
64,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-27//65,0//1,-27//65,true
65,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
65,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-4//27,0//1,-4//27,true
65,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
65,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
66,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
66,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
66,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-3//16,0//1,-3//16,true
66,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-27//65,0//1,-27//65,true
67,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
67,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
67,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-7//39,0//1,-7//39,true
67,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-13//32,0//1,-13//32,true
68,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
68,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-2//17,0//1,-2//17,true
68,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
68,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
69,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
69,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-5//52,0//1,-5//52,true
69,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
69,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
70,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
70,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-7//51,0//1,-7//51,true
70,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
70,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
71,E025_050,1//4,1//2,11//1,7//1,true,-4//11,true,-21000//125339,92475//1002712,-75525//1002712,true
71,E050_100,1//2,1//1,7//1,3//1,true,-4//7,true,-257600//927187,141795//927187,-115805//927187,true
71,E100_200,1//1,2//1,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
71,E200_400,2//1,4//1,3//1,2//1,true,-1//3,true,-156800//405691,86310//405691,-70490//405691,true
72,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
72,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-2//9,0//1,-2//9,true
72,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
72,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
73,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
73,E050_100,1//2,1//1,9//1,5//1,true,-4//9,true,-7//40,0//1,-7//40,true
73,E100_200,1//1,2//1,5//1,1//1,true,-4//5,true,-14//33,0//1,-14//33,true
73,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
74,E025_050,1//4,1//2,9//1,9//1,true,0//1,true,0//1,0//1,0//1,true
