scenario,belief_index,coordinate,normalized_net_value,research_region,component_count
connected,39,0.31666666666666665,-0.14581847507672088,false,1
connected,40,0.325,-0.12607241808459949,false,1
connected,41,0.3333333333333333,-0.10549762491263083,false,1
connected,42,0.3416666666666667,-0.08409742957846801,false,1
connected,43,0.35,-0.06188000049056743,false,1
connected,44,0.35833333333333334,-0.038858398533189065,false,1
connected,45,0.36666666666666664,-0.015050571600511787,false,1
connected,46,0.375,0.009520708240349866,true,1
connected,47,0.38333333333333336,0.03482795722156404,true,1
connected,48,0.39166666666666666,0.06083913327512245,true,1
connected,49,0.4,0.0875178212887949,true,1
connected,50,0.4083333333333333,0.11482344135722337,true,1
connected,51,0.4166666666666667,0.14271147189157818,true,1
connected,52,0.425,0.17113368058596445,true,1
connected,53,0.43333333333333335,0.20003835766339434,true,1
connected,54,0.44166666666666665,0.22937054740771107,true,1
connected,55,0.45,0.25907227560212137,true,1
connected,56,0.4583333333333333,0.2890827720234211,true,1
connected,57,0.4666666666666667,0.31933868848809627,true,1
connected,58,0.475,0.34977431404128156,true,1
connected,59,0.48333333333333334,0.3803217896793995,true,1
connected,60,0.49166666666666664,0.41091132548610987,true,1
connected,61,0.5,0.44147142324736593,true,1
connected,62,0.5083333333333333,0.4719291075231552,true,1
connected,63,0.5166666666666667,0.5022101678334412,true,1
connected,64,0.525,0.5322394141154126,true,1
connected,65,0.5333333333333333,0.5619409469829838,true,1
connected,66,0.5416666666666666,0.5912384436211079,true,1
connected,67,0.55,0.6200554594252847,true,1
connected,68,0.5583333333333333,0.648315744791915,true,1
connected,69,0.5666666666666667,0.6759435758102948,true,1
connected,70,0.575,0.702864097025712,true,1
connected,71,0.5833333333333334,0.7290036739504611,true,1
connected,72,0.5916666666666667,0.754290252603507,true,1
connected,73,0.6,0.7786537230621711,true,1
connected,74,0.6083333333333333,0.8020262838084268,true,1
connected,75,0.6166666666666667,0.8243428035435899,true,1
connected,76,0.625,0.8455411771223245,true,1
connected,77,0.6333333333333333,0.8655626723143169,true,1
connected,78,0.6416666666666667,0.8843522642345424,true,1
connected,79,0.65,0.9018589544876071,true,1
connected,80,0.6583333333333333,0.9180360723463483,true,1
connected,81,0.6666666666666666,0.9328415556300442,true,1
connected,82,0.675,0.9462382093643049,true,1
connected,83,0.6833333333333333,0.9581939407944056,true,1
connected,84,0.6916666666666667,0.9686819698865332,true,1
connected,85,0.7,0.977681015082852,true,1
connected,86,0.7083333333333334,0.9851754547665547,true,1
connected,87,0.7166666666666667,0.9911554656206204,true,1
connected,88,0.725,0.9956171397945294,true,1
connected,89,0.7333333333333333,0.9985625834733761,true,1
connected,90,0.7416666666666667,1.0,true,1
connected,91,0.75,0.9999437610369382,true,1
connected,92,0.7583333333333333,0.9984144692551314,true,1
connected,93,0.7666666666666667,0.9954390155708976,true,1
connected,94,0.775,0.9910506328912092,true,1
connected,95,0.7833333333333333,0.9852889465575044,true,1
connected,96,0.7916666666666666,0.9782000191320708,true,1
connected,97,0.8,0.9698363838557327,true,1
connected,98,0.8083333333333333,0.9602570571362592,true,1
connected,99,0.8166666666666667,0.949527516055085,true,1
connected,100,0.825,0.9377196225098962,true,1
connected,101,0.8333333333333334,0.9249114717946367,true,1
connected,102,0.8416666666666667,0.911187140822918,true,1
connected,103,0.85,0.896636310537201,true,1
connected,104,0.8583333333333333,0.8813537389688401,true,1
connected,105,0.8666666666666667,0.8654385663931984,true,1
connected,106,0.875,0.8489934422138149,true,1
connected,107,0.8833333333333333,0.8321234743392065,true,1
connected,108,0.8916666666666667,0.8149350151338894,true,1
connected,109,0.9,0.7975343123246004,true,1
connected,110,0.9083333333333333,0.7800260669792858,true,1
connected,111,0.9166666666666666,0.7625119521736536,true,1
connected,112,0.925,0.7450891536689425,true,1
connected,113,0.9333333333333333,0.7278489966889446,true,1
connected,114,0.9416666666666667,0.7108757201543472,true,1
connected,115,0.95,0.6942454516754815,true,1
connected,116,0.9583333333333334,0.6780254240867151,true,1
connected,117,0.9666666666666667,0.6622734587471343,true,1
connected,118,0.975,0.6470377239683281,true,1
connected,119,0.9833333333333333,0.6323567605343168,true,1
connected,120,0.9916666666666667,0.6182597519019145,true,1
connected,121,1.0,0.6047670054490358,true,1
disconnected_lean_c2,1,0.0,1.0,true,2
disconnected_lean_c2,2,0.25,0.09375,true,2
disconnected_lean_c2,3,0.5,-0.16666666666666666,false,2
disconnected_lean_c2,4,0.75,0.09375,true,2
disconnected_lean_c2,5,1.0,1.0,true,2
