strategy_id,ticker,operational,generative,total,currently_dominated,generatively_valuable
EWM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,EWM,0.0,0.0,0.0,true,false
EWS__momentum_60__always__h20__unit__horizon__notional_cap_1,EWS,0.0,0.0,0.0,true,false
EWT__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EWT,0.0,0.0,0.0,true,false
EWW__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,EWW,0.0,0.0,0.0,true,false
EWY__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,EWY,0.0,0.0,0.0,true,false
EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,EWZ,0.0,0.0,0.0,true,false
EZA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EZA,0.0,0.0,0.0,true,false
FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,FXE,0.0,0.0,0.0,true,false
FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,FXI,0.0,0.0,0.0,true,false
FXY__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,FXY,0.0,0.0,0.0,true,false
GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,GDX,0.0,0.0,0.0,true,false
GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,GLD,0.0,0.0,0.0,true,false
HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,HYG,0.0,0.0,0.0,true,false
IAU__momentum_60__trend_100__h20__unit__horizon__vol_target_10,IAU,0.0,0.0,0.0,true,false
IBB__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,IBB,0.045367985128609734,0.0,0.045367985128609734,false,false
ICF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,ICF,0.0,0.0,0.0,true,false
IEF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,IEF,0.0,0.0,0.0,true,false
IJH__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IJH,0.0,0.0,0.0,true,false
IJK__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,IJK,0.0,0.0,0.0,true,false
IJR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,IJR,0.0,0.0,0.0,true,false
ILF__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,ILF,0.0,0.0,0.0,true,false
ITB__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,ITB,0.0,0.0,0.0,true,false
IVE__momentum_20__always__h20__unit__horizon__notional_cap_1,IVE,0.0,0.0,0.0,true,false
IVV__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,IVV,0.0,0.0,0.0,true,false
IVW__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IVW,0.0,0.0,0.0,true,false
IWB__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,IWB,0.0,0.0,0.0,true,false
IWD__momentum_20__always__h20__unit__horizon__notional_cap_1,IWD,0.0,0.0,0.0,true,false
IWF__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,IWF,0.0,0.0,0.0,true,false
IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWM,0.0,0.0,0.0,true,false
IWN__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWN,0.0,0.0,0.0,true,false
IWO__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWO,0.0,0.0,0.0,true,false
IWP__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWP,0.0,0.0,0.0,true,false
IWR__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWR,0.0,0.0,0.0,true,false
IWS__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWS,0.0,0.0,0.0,true,false
IWV__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,IWV,0.0,0.0,0.0,true,false
IYF__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,IYF,0.0,0.0,0.0,true,false
IYM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,IYM,0.0,0.0,0.0,true,false
IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,IYR,0.0,0.0,0.0,true,false
IYT__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IYT,0.0,0.0,0.0,true,false
JNK__momentum_20__always__h20__unit__horizon__notional_cap_1,JNK,0.0,0.0,0.0,true,false
KBE__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,KBE,0.0,0.0,0.0,true,false
KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,KRE,0.0,0.0,0.0,true,false
LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,LQD,0.0,0.0,0.0,true,false
MBB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,MBB,0.0,0.0,0.0,true,false
MDY__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,MDY,0.0,0.0,0.0,true,false
MOO__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,MOO,0.0,0.0,0.0,true,false
PFF__momentum_20__always__h20__unit__horizon__notional_cap_1,PFF,0.0,0.0,0.0,true,false
QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,QQQ,0.0019820467270760256,0.0,0.0019820467270760256,false,false
SDY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,SDY,0.0,0.0,0.0,true,false
SHV__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,SHV,0.0,0.0,0.0,true,false
SHY__momentum_20__always__h20__half__horizon__vol_target_10,SHY,0.0,0.0,0.0,true,false
SLV__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,SLV,0.0,0.0,0.0,true,false
SPY__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,SPY,0.0,0.0,0.0,true,false
TIP__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,TIP,0.0,0.0,0.0,true,false
TLT__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,TLT,0.0,0.0,0.0,true,false
UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,UNG,0.0,0.053428890872498476,0.053428890872498476,true,true
USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,USO,0.0,0.0,0.0,true,false
UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,UUP,0.0,0.0,0.0,true,false
VB__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,VB,0.0,0.0,0.0,true,false
VEA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,VEA,0.0,0.0,0.0,true,false
VEU__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,VEU,0.0,0.0,0.0,true,false
VGK__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,VGK,0.0,0.0,0.0,true,false
VIG__momentum_20__always__h20__unit__horizon__notional_cap_1,VIG,0.0,0.0,0.0,true,false
VNQ__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,VNQ,0.0,0.0,0.0,true,false
VTI__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,VTI,0.0,0.0,0.0,true,false
VTV__momentum_20__always__h20__unit__horizon__notional_cap_1,VTV,0.0,0.0,0.0,true,false
VUG__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,VUG,0.0,0.0,0.0,true,false
VWO__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,VWO,0.0,0.0,0.0,true,false
VYM__momentum_20__always__h20__unit__horizon__notional_cap_1,VYM,0.0,0.0,0.0,true,false
XHB__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,XHB,0.0,0.0,0.0,true,false
XLB__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,XLB,0.0,0.0,0.0,true,false
XLE__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,XLE,0.0,0.0,0.0,true,false
XLF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLF,0.0032297527528500347,0.0,0.0032297527528500347,false,false
XLI__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLI,0.0,0.0,0.0,true,false
XLK__momentum_60__always__h20__unit__horizon__notional_cap_1,XLK,0.005711141035712575,0.0,0.005711141035712575,false,false
XLP__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,XLP,0.0,0.0,0.0,true,false
XLU__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,XLU,0.012221937732430188,0.0,0.012221937732430188,false,false
XLV__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,XLV,0.0,0.0,0.0,true,false
XLY__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,XLY,0.0,0.0,0.0,true,false
XME__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,XME,0.0,0.0,0.0,true,false
XOP__momentum_20__always__h20__unit__horizon__vol_target_10,XOP,0.0,0.0,0.0,true,false
XRT__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,XRT,0.0,0.0,0.0,true,false
