strategy_id,ticker,coverage_potential,current_belief_improvement,average_validation_score,raw_parameter_novelty,locked_net_utility_improvement,coverage_rank,current_rank,average_rank,novelty_rank,locked_rank
DIA__mean_reversion_5__trend_100__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,-0.000209087754050367,0.2857142857142857,-0.06808757575182016,72,26,972,29,325
DIA__mean_reversion_5__trend_100__h5__half__horizon__vol_target_10,DIA,0.0,0.0,-0.002158542091745181,0.2857142857142857,-0.0692208203291435,73,27,1066,30,335
DIA__mean_reversion_5__trend_100__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,1.539792557603086e-5,0.2857142857142857,-0.08393563817235561,74,28,957,31,568
DIA__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,-0.001596266101614802,0.14285714285714285,-0.08468981694349363,75,29,1035,1169,582
DIA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,-0.004971715086153328,0.14285714285714285,-0.04887604360217199,76,30,1210,1170,142
DIA__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,-0.01035289054758048,0.2857142857142857,-0.0671250672642799,77,31,1421,32,311
DIA__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.0038071491562010466,0.2857142857142857,-0.07957119312533144,78,32,1142,33,478
DIA__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,-0.012118854200391726,0.14285714285714285,-0.08948116806531634,79,33,1501,1171,749
DIA__momentum_20__always__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.03218477408459288,0.14285714285714285,-0.042253608968614166,80,34,106,1172,88
DIA__momentum_20__always__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.0319933346535957,0.14285714285714285,-0.04879290734659176,81,35,109,1173,141
DIA__momentum_20__always__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.02075717514951951,0.2857142857142857,-0.06741042869679893,82,36,267,34,318
DIA__momentum_20__always__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.020885959986531057,0.2857142857142857,-0.07323092432057195,83,37,263,35,395
DIA__momentum_20__always__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.043682816138146806,0.14285714285714285,-0.04405486079990258,84,38,32,1174,102
DIA__momentum_20__always__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.03645717754561385,0.14285714285714285,-0.05223628845044992,85,39,68,1175,160
DIA__momentum_20__always__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.031339749549300085,0.2857142857142857,-0.07674195382846535,86,40,122,36,442
DIA__momentum_20__always__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,0.005218349584326949,0.2857142857142857,-0.08447161288191099,87,41,736,37,577
DIA__momentum_20__always__h5__half__horizon__vol_target_10,DIA,0.0,0.0,0.005236987132883056,0.2857142857142857,-0.08922218918323471,88,42,734,38,738
DIA__momentum_20__always__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.015171258206075785,0.2857142857142857,-0.09646023617619712,89,43,404,39,1045
DIA__momentum_20__always__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.015221193818783832,0.2857142857142857,-0.1005074478067812,90,44,403,40,1210
DIA__momentum_20__always__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.004263433313460487,0.14285714285714285,-0.08554276763922876,91,45,781,1176,614
DIA__momentum_20__always__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,0.0031531888426740515,0.2857142857142857,-0.10502037457713717,92,46,815,41,1388
DIA__momentum_20__always__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.02574757654449391,0.14285714285714285,-0.1095043768736072,93,47,181,1177,1545
DIA__momentum_20__always__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.023222214156818948,0.2857142857142857,-0.1151823393034492,94,48,215,42,1710
DIA__momentum_20__trend_100__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.026009627160929027,0.14285714285714285,-0.06757215078105004,95,49,179,1178,319
DIA__momentum_20__trend_100__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.02573271680427941,0.2857142857142857,-0.07035430107372838,96,50,182,43,344
DIA__momentum_20__trend_100__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.011477006668917817,0.2857142857142857,-0.08814504386112973,97,51,522,44,709
DIA__momentum_20__trend_100__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.011722815182505422,0.2857142857142857,-0.09001369390029067,98,52,510,45,774
DIA__momentum_20__trend_100__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.04438489116383622,0.14285714285714285,-0.06949388710699247,99,53,31,1179,341
DIA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.018515746866450328,0.14285714285714285,-0.09155410999807531,100,54,312,1180,828
DIA__momentum_20__trend_100__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.021426202091776005,0.2857142857142857,-0.09905144310424784,101,55,253,46,1156
DIA__momentum_20__trend_100__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,-0.007777746403952914,0.14285714285714285,-0.10730339667684059,102,56,1309,1181,1471
DIA__momentum_20__trend_100__h5__half__horizon__vol_target_10,DIA,0.0,0.0,-0.0072507297167689186,0.2857142857142857,-0.10739133286195653,103,57,1299,47,1475
DIA__momentum_20__trend_100__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.007141127639493866,0.2857142857142857,-0.11013470377685847,104,58,676,48,1561
DIA__momentum_20__trend_100__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.00740516842622339,0.2857142857142857,-0.11107513069149741,105,59,665,49,1591
DIA__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,-0.021036995154762463,0.14285714285714285,-0.12969982968699195,106,60,1751,1182,1992
DIA__momentum_20__trend_100__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,-0.012598172423562079,0.14285714285714285,-0.1277335430596627,107,61,1515,1183,1956
DIA__momentum_20__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.010273477171647937,0.2857142857142857,-0.13465735061488554,108,62,558,50,2045
DIA__momentum_20__trend_100__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.014763374746686578,0.2857142857142857,-0.12878941262616825,109,63,413,51,1977
DIA__momentum_60__always__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.02806050118130561,0.14285714285714285,-0.08699655301191618,110,64,153,1184,673
DIA__momentum_60__always__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.026946603297206453,0.2857142857142857,-0.08564307206167493,111,65,167,52,622
DIA__momentum_60__always__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.026135850085035033,0.2857142857142857,-0.09549810365117323,112,66,178,53,1002
DIA__momentum_60__always__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.024718683053254174,0.2857142857142857,-0.09515088095893456,113,67,201,54,992
DIA__momentum_60__always__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.03725284348394465,0.14285714285714285,-0.08978425207343647,114,68,60,1185,769
DIA__momentum_60__always__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.04511587092837584,0.14285714285714285,-0.10799616155888489,115,69,28,1186,1501
DIA__momentum_60__always__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.040073972839640926,0.14285714285714285,-0.10845209096015175,116,70,43,1187,1518
DIA__momentum_60__always__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,0.02231384496673747,0.2857142857142857,-0.08973368007098977,117,71,231,55,767
DIA__momentum_60__always__h5__half__horizon__vol_target_10,DIA,0.0,0.0,0.02087566195356509,0.2857142857142857,-0.0902787131136562,118,72,264,56,788
DIA__momentum_60__always__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.01269753168727724,0.14285714285714285,-0.10127049215328562,119,73,479,1188,1237
DIA__momentum_60__always__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.01287107511607687,0.14285714285714285,-0.10160342138261887,120,74,475,1189,1251
DIA__momentum_60__always__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.038101583364565775,0.14285714285714285,-0.09574742431287299,121,75,53,1190,1012
DIA__momentum_60__always__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,0.03237677500261859,0.2857142857142857,-0.09755375476182752,122,76,105,57,1093
DIA__momentum_60__always__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.018986444714133216,0.2857142857142857,-0.11793063448625342,123,77,303,58,1776
DIA__momentum_60__always__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.024669416985920786,0.2857142857142857,-0.11864632649099864,124,78,202,59,1786
DIA__momentum_60__trend_100__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.022826692059428718,0.2857142857142857,-0.0972161148854155,125,79,220,60,1078
DIA__momentum_60__trend_100__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.021700212926796473,0.14285714285714285,-0.0956000048847576,126,80,245,1191,1007
DIA__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.00927354242731155,0.14285714285714285,-0.09553831744387589,127,81,599,1192,1005
DIA__momentum_60__trend_100__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.008059825739021058,0.2857142857142857,-0.09560924931556615,128,82,645,61,1008
DIA__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.03620610687046581,0.14285714285714285,-0.11387162461986022,129,83,72,1193,1677
DIA__momentum_60__trend_100__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.03145122178716005,0.14285714285714285,-0.10235864188711849,130,84,119,1194,1284
DIA__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.011548220583650626,0.14285714285714285,-0.1077307401001248,131,85,519,1195,1487
DIA__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.013623361516764607,0.14285714285714285,-0.10907373920852725,132,86,450,1196,1534
DIA__momentum_60__trend_100__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,0.011435359766864784,0.2857142857142857,-0.08587451530428288,133,87,525,62,630
DIA__momentum_60__trend_100__h5__half__horizon__vol_target_10,DIA,0.0,0.0,0.009915053928675649,0.2857142857142857,-0.08701728215742063,134,88,571,63,675
DIA__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.0009153368598668497,0.14285714285714285,-0.09608013820865252,135,89,1002,1197,1024
DIA__momentum_60__trend_100__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,-0.0005278055317025393,0.2857142857142857,-0.09700179091149337,136,90,987,64,1064
DIA__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.016185124282086155,0.14285714285714285,-0.08737838368801686,137,91,375,1198,687
DIA__momentum_60__trend_100__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,0.016414821561510577,0.2857142857142857,-0.09422604239242767,138,92,372,65,953
DIA__momentum_60__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.008092581143759494,0.2857142857142857,-0.10715366703840468,139,93,1325,66,1463
DIA__momentum_60__trend_100__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,0.003385071559868986,0.2857142857142857,-0.11152094740634982,140,94,810,67,1605
EEM__mean_reversion_5__always__h20__half__horizon__notional_cap_1,EEM,0.0,0.0,0.01205548820290011,0.14285714285714285,-0.09898759263398312,141,95,498,1199,1154
EEM__mean_reversion_5__always__h20__half__horizon__vol_target_10,EEM,0.0,0.0,0.001098116642875421,0.2857142857142857,-0.10216668539090894,142,96,906,68,1280
EEM__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,EEM,0.0,0.0,0.00909650928600466,0.14285714285714285,-0.09734588627633292,143,97,606,1200,1085
EEM__mean_reversion_5__always__h20__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.0015080072776070515,0.2857142857142857,-0.09997740844238473,144,98,1032,69,1185
EEM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.0020188144968152355,0.14285714285714285,-0.13900358012923358,145,99,864,1201,2080
EEM__mean_reversion_5__always__h20__unit__horizon__vol_target_10,EEM,0.0,0.0,-0.007231184644260869,0.2857142857142857,-0.11764913935689791,146,100,1298,70,1766
EEM__mean_reversion_5__always__h20__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.014296842129633145,0.14285714285714285,-0.11150145571726205,147,101,1573,1202,1604
EEM__mean_reversion_5__always__h5__half__horizon__notional_cap_1,EEM,0.0,0.0,0.011254960943743324,0.2857142857142857,-0.10708626902698762,148,102,534,71,1456
EEM__mean_reversion_5__always__h5__half__horizon__vol_target_10,EEM,0.0,0.0,-0.000284297499402268,0.42857142857142855,-0.11228760350319147,149,103,974,2,1628
EEM__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,EEM,0.0,0.0,0.0028266270903088116,0.14285714285714285,-0.1254721538312873,150,104,828,1203,1920
EEM__mean_reversion_5__always__h5__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.006739023366354811,0.2857142857142857,-0.11888373581748705,151,105,1278,72,1795
EEM__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.007553974140633083,0.14285714285714285,-0.1454825496122218,152,106,660,1204,2117
EEM__mean_reversion_5__always__h5__unit__horizon__vol_target_10,EEM,0.0,0.0,-0.01052940537120442,0.2857142857142857,-0.12454932660704746,153,107,1427,73,1897
EEM__mean_reversion_5__always__h5__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.018162995363846468,0.14285714285714285,-0.13389100050752523,154,108,1683,1205,2040
EEM__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,EEM,0.0,0.0,0.015464277324779296,0.2857142857142857,-0.11311222369718209,155,109,399,74,1658
EEM__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,EEM,0.0,0.0,0.009866670440332924,0.14285714285714285,-0.10298323057459789,156,110,573,1206,1314
EEM__mean_reversion_5__trend_100__h20__half__signal_flip__notional_cap_1,EEM,0.0,0.0,0.009114824855463145,0.2857142857142857,-0.0939244298047269,157,111,605,75,939
EEM__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,EEM,0.0,0.0,0.005089267699359735,0.14285714285714285,-0.09594962747587446,158,112,744,1207,1020
EEM__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.020566769076541917,0.14285714285714285,-0.15420795811811877,159,113,275,1208,2149
EEM__mean_reversion_5__trend_100__h20__unit__horizon__vol_target_10,EEM,0.0,0.0,0.007062726805505697,0.2857142857142857,-0.11322748137360493,160,114,681,76,1662
EEM__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,0.012022110232663509,0.14285714285714285,-0.10281703692031735,161,115,500,1209,1309
EEM__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.0041412629976572005,0.14285714285714285,-0.10072549414739998,162,116,1161,1210,1219
EEM__mean_reversion_5__trend_100__h5__half__horizon__notional_cap_1,EEM,0.0,0.0,0.014376454823377871,0.2857142857142857,-0.08990669747334679,163,117,427,77,773
EEM__mean_reversion_5__trend_100__h5__half__horizon__vol_target_10,EEM,0.0,0.0,0.007579694379833817,0.2857142857142857,-0.09247703106922386,164,118,659,78,866
EEM__mean_reversion_5__trend_100__h5__half__signal_flip__notional_cap_1,EEM,0.0,0.0,0.00277223365382523,0.2857142857142857,-0.1059810039237203,165,119,834,79,1424
EEM__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.0018187636687278833,0.14285714285714285,-0.10664482032885189,166,120,1050,1211,1446
EEM__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.022809145207660905,0.14285714285714285,-0.09417690250735668,167,121,221,1212,950
EEM__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,EEM,0.0,0.0,-0.0022586947616295484,0.2857142857142857,-0.09750428335673932,168,122,1075,80,1091
EEM__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,0.0007150681606111296,0.14285714285714285,-0.12454747648055187,169,123,922,1213,1896
EEM__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.011910667221738738,0.14285714285714285,-0.11545146085946405,170,124,1488,1214,1718
EEM__momentum_20__always__h20__half__horizon__notional_cap_1,EEM,0.0,0.0,0.0276867847082087,0.14285714285714285,-0.07935508791840878,171,125,160,1215,477
EEM__momentum_20__always__h20__half__horizon__vol_target_10,EEM,0.0,0.0,0.016925837530517705,0.14285714285714285,-0.08587737110597068,172,126,352,1216,632
EEM__momentum_20__always__h20__half__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.008043484246276135,0.2857142857142857,-0.0882356317801064,173,127,1321,81,712
EEM__momentum_20__always__h20__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.007667445755547054,0.2857142857142857,-0.09381765580374693,174,128,1305,82,930
EEM__momentum_20__always__h20__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.038749456797858906,0.14285714285714285,-0.08407241977250077,175,129,48,1217,570
EEM__momentum_20__always__h20__unit__horizon__vol_target_10,EEM,0.0,0.0,0.004676102241596961,0.2857142857142857,-0.10479095984406298,176,130,768,83,1377
EEM__momentum_20__always__h20__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.027100684202910293,0.14285714285714285,-0.09638575579162877,177,131,1900,1218,1037
EEM__momentum_20__always__h20__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.015503445507332562,0.2857142857142857,-0.10799232748449913,178,132,1608,84,1500
EEM__momentum_20__always__h5__half__horizon__notional_cap_1,EEM,0.0,0.0,-0.004807588348774176,0.2857142857142857,-0.10624041213785751,179,133,1200,85,1434
EEM__momentum_20__always__h5__half__horizon__vol_target_10,EEM,0.0,0.0,-0.006961779015498328,0.2857142857142857,-0.10830431909879108,180,134,1288,86,1511
EEM__momentum_20__always__h5__half__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.009030537198072577,0.2857142857142857,-0.09619091193395739,181,135,1370,87,1031
EEM__momentum_20__always__h5__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.008665175364052993,0.2857142857142857,-0.1013657472564819,182,136,1356,88,1241
EEM__momentum_20__always__h5__unit__horizon__notional_cap_1,EEM,0.0,0.0,-0.022350105382378034,0.2857142857142857,-0.13308641617334865,183,137,1789,89,2034
EEM__momentum_20__always__h5__unit__horizon__vol_target_10,EEM,0.0,0.0,-0.012615489300804313,0.2857142857142857,-0.12576860673730217,184,138,1517,90,1925
EEM__momentum_20__always__h5__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.028023093148410824,0.14285714285714285,-0.11092744874407556,185,139,1917,1219,1587
EEM__momentum_20__always__h5__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.016167028207787384,0.2857142857142857,-0.1157234114753033,186,140,1624,91,1723
EEM__momentum_20__trend_100__h20__half__horizon__notional_cap_1,EEM,0.0,0.0,0.029812383133865108,0.14285714285714285,-0.09947254855503693,187,141,133,1220,1174
EEM__momentum_20__trend_100__h20__half__horizon__vol_target_10,EEM,0.0,0.0,0.02240592968714856,0.2857142857142857,-0.1021177582714867,188,142,228,92,1278
EEM__momentum_20__trend_100__h20__half__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.004062883918585016,0.2857142857142857,-0.0929903633702786,189,143,1156,93,895
EEM__momentum_20__trend_100__h20__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.004807321638308217,0.2857142857142857,-0.0950567102537177,190,144,1199,94,986
EEM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.046889274983791446,0.14285714285714285,-0.1205798807609852,191,145,23,1221,1826
EEM__momentum_20__trend_100__h20__unit__horizon__vol_target_10,EEM,0.0,0.0,0.02014185798122304,0.14285714285714285,-0.11830288296722416,192,146,282,1222,1780
EEM__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.01623651182696312,0.14285714285714285,-0.1021971177644004,193,147,1625,1223,1281
EEM__momentum_20__trend_100__h20__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.010279906195912028,0.2857142857142857,-0.10645535029547018,194,148,1414,95,1440
EEM__momentum_20__trend_100__h5__half__horizon__notional_cap_1,EEM,0.0,0.0,-0.024606794961858518,0.14285714285714285,-0.09512855293030026,195,149,1850,1224,991
EEM__momentum_20__trend_100__h5__half__horizon__vol_target_10,EEM,0.0,0.0,-0.026104029016570895,0.2857142857142857,-0.09798210894773633,196,150,1880,96,1107
EEM__momentum_20__trend_100__h5__half__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.01682574669679514,0.2857142857142857,-0.0853407440764974,197,151,1641,97,604
EEM__momentum_20__trend_100__h5__half__signal_flip__vol_target_10,EEM,0.0,0.0,-0.017794849695950864,0.2857142857142857,-0.088648330827923,198,152,1669,98,720
EEM__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,EEM,0.0,0.0,-0.05813342150085209,0.14285714285714285,-0.10649071543215012,199,153,2184,1225,1441
EEM__momentum_20__trend_100__h5__unit__horizon__vol_target_10,EEM,0.0,0.0,-0.03809233485725655,0.14285714285714285,-0.1138549544694045,200,154,2056,1226,1676
EEM__momentum_20__trend_100__h5__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,-0.04081273877446173,0.2857142857142857,-0.08572866920612782,201,155,2079,99,624
EEM__momentum_20__trend_100__h5__unit__signal_flip__vol_target_10,EEM,0.0,0.0,-0.023324642472156445,0.2857142857142857,-0.09809907274757584,202,156,1824,100,1112
EEM__momentum_60__always__h20__half__horizon__notional_cap_1,EEM,0.0,0.0,0.014383372101417507,0.2857142857142857,-0.09047049620728947,203,157,426,101,798
EEM__momentum_60__always__h20__half__horizon__vol_target_10,EEM,0.0,0.0,0.009049414526804554,0.2857142857142857,-0.09027592157845588,204,158,612,102,787
EEM__momentum_60__always__h20__half__signal_flip__notional_cap_1,EEM,0.0,0.0,0.019287448038023545,0.2857142857142857,-0.09333537386514472,205,159,300,103,908
EEM__momentum_60__always__h20__half__signal_flip__vol_target_10,EEM,0.0,0.0,0.01690484012752396,0.2857142857142857,-0.09239904572528991,206,160,353,104,862
EEM__momentum_60__always__h20__unit__horizon__notional_cap_1,EEM,0.0,0.0,0.013949307165606675,0.14285714285714285,-0.10288894640974082,207,161,440,1227,1311
EEM__momentum_60__always__h20__unit__horizon__vol_target_10,EEM,0.0,0.0,0.009594495065602527,0.14285714285714285,-0.10588986197932948,208,162,578,1228,1418
EEM__momentum_60__always__h20__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,0.027667448749868616,0.14285714285714285,-0.10582152222399191,209,163,161,1229,1417
EEM__momentum_60__always__h20__unit__signal_flip__vol_target_10,EEM,0.0,0.0,0.02661382258398508,0.14285714285714285,-0.1009401154918477,210,164,171,1230,1226
