benchmark,source_size,retained_size,removed_count,compression_ratio,retained_ids,epsilon_operational,epsilon_generative,operational_loss,operating_value_loss,generative_loss,value_loss,operational_loss_decimal,operating_value_loss_decimal,generative_loss_decimal,value_loss_decimal,feasible,pareto,decomposition_gate,theorem_evidence
base,6,4,2,1//3,inactive;strategy_1;strategy_4;strategy_5,1//1,1//4,2//1,5035//2048,-171//8192,19969//8192,2.0000000000,2.4584960938,-0.0208740234,2.4376220703,false,false,true,false
base,6,5,1,1//6,inactive;strategy_1;strategy_2;strategy_3;strategy_4,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,5,1,1//6,inactive;strategy_1;strategy_2;strategy_3;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,5,1,1//6,inactive;strategy_1;strategy_3;strategy_4;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,5,1,1//6,inactive;strategy_2;strategy_3;strategy_4;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,5,1,1//6,inactive;strategy_1;strategy_2;strategy_4;strategy_5,1//1,1//4,1//1,5035//4096,-171//16384,19969//16384,1.0000000000,1.2292480469,-0.0104370117,1.2188110352,true,false,true,false
base,6,6,0,0//1,inactive;strategy_1;strategy_2;strategy_3;strategy_4;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,1,7,7//8,inactive,1//1,1//4,11//2,1925//128,0//1,1925//128,5.5000000000,15.0390625000,0.0000000000,15.0390625000,false,true,true,false
expanded,8,2,6,3//4,inactive;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,true,true,false
expanded,8,2,6,3//4,inactive;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,2,6,3//4,inactive;strategy_3,1//1,1//4,3//2,525//128,0//1,525//128,1.5000000000,4.1015625000,0.0000000000,4.1015625000,false,false,true,false
expanded,8,2,6,3//4,inactive;strategy_2,1//1,1//4,5//2,5965//1024,0//1,5965//1024,2.5000000000,5.8251953125,0.0000000000,5.8251953125,false,false,true,false
expanded,8,2,6,3//4,inactive;strategy_1,1//1,1//4,7//2,13435//2048,0//1,13435//2048,3.5000000000,6.5600585938,0.0000000000,6.5600585938,false,false,true,false
expanded,8,2,6,3//4,inactive;strategy_4,1//1,1//4,7//2,31739//4096,0//1,31739//4096,3.5000000000,7.7487792969,0.0000000000,7.7487792969,false,false,true,false
expanded,8,2,6,3//4,inactive;strategy_5,1//1,1//4,9//2,8847//1024,0//1,8847//1024,4.5000000000,8.6396484375,0.0000000000,8.6396484375,false,false,true,false
expanded,8,3,5,5//8,inactive;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,true,true,false
expanded,8,3,5,5//8,inactive;strategy_1;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,true,true,false
expanded,8,3,5,5//8,inactive;strategy_2;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_3;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_1;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_2;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_3;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,3,5,5//8,inactive;strategy_2;strategy_3,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,true,true,false
expanded,8,3,5,5//8,inactive;strategy_3;strategy_4,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,true,true,false
expanded,8,3,5,5//8,inactive;strategy_1;strategy_3,1//1,1//4,3//2,525//128,-9711//32768,124689//32768,1.5000000000,4.1015625000,-0.2963562012,3.8052062988,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_3;strategy_5,1//1,1//4,3//2,525//128,0//1,525//128,1.5000000000,4.1015625000,0.0000000000,4.1015625000,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_1;strategy_2,1//1,1//4,5//2,21835//4096,0//1,21835//4096,2.5000000000,5.3308105469,0.0000000000,5.3308105469,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_2;strategy_4,1//1,1//4,5//2,21835//4096,0//1,21835//4096,2.5000000000,5.3308105469,0.0000000000,5.3308105469,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_2;strategy_5,1//1,1//4,5//2,5965//1024,-14463//32768,176417//32768,2.5000000000,5.8251953125,-0.4413757324,5.3838195801,false,true,true,false
expanded,8,3,5,5//8,inactive;strategy_1;strategy_5,1//1,1//4,7//2,13435//2048,-10395//32768,204565//32768,3.5000000000,6.5600585938,-0.3172302246,6.2428283691,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_4;strategy_5,1//1,1//4,7//2,3541//512,-13671//32768,212953//32768,3.5000000000,6.9160156250,-0.4172058105,6.4988098145,false,false,true,false
expanded,8,3,5,5//8,inactive;strategy_1;strategy_4,1//1,1//4,7//2,13435//2048,0//1,13435//2048,3.5000000000,6.5600585938,0.0000000000,6.5600585938,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_3;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_2;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_3;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_3;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_3;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_3;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_3;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,true,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,true,true,false
expanded,8,4,4,1//2,inactive;strategy_3;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,true,true,false
expanded,8,4,4,1//2,inactive;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,true,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_2;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_3;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_3;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_2;strategy_3,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_3;strategy_4,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_3;strategy_4,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_3;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_3;strategy_4;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_3;strategy_5,1//1,1//4,3//2,525//128,-9711//32768,124689//32768,1.5000000000,4.1015625000,-0.2963562012,3.8052062988,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_2;strategy_5,1//1,1//4,5//2,21835//4096,-10413//32768,164267//32768,2.5000000000,5.3308105469,-0.3177795410,5.0130310059,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_2;strategy_4;strategy_5,1//1,1//4,5//2,21835//4096,-10413//32768,164267//32768,2.5000000000,5.3308105469,-0.3177795410,5.0130310059,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_2;strategy_4,1//1,1//4,5//2,21835//4096,0//1,21835//4096,2.5000000000,5.3308105469,0.0000000000,5.3308105469,false,false,true,false
expanded,8,4,4,1//2,inactive;strategy_1;strategy_4;strategy_5,1//1,1//4,7//2,13435//2048,-10755//32768,204205//32768,3.5000000000,6.5600585938,-0.3282165527,6.2318420410,false,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_3;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_3;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_3;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_3;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_3;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_3;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,0//1,11857//8192,1.0000000000,1.4473876953,0.0000000000,1.4473876953,true,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_3;strategy_4,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_3;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_3;strategy_4;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,5,3,3//8,inactive;strategy_2;strategy_3;strategy_4;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,5,3,3//8,inactive;strategy_1;strategy_2;strategy_4;strategy_5,1//1,1//4,5//2,21835//4096,-10413//32768,164267//32768,2.5000000000,5.3308105469,-0.3177795410,5.0130310059,false,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_3;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_3;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
