strategy_id,ticker,directional_signal,entry_filter,holding_horizon,sizing_rule,exit_rule,risk_constraint,in_initial_library,in_safe_library,in_frontier_only_library,enabled_initial,enabled_safe,enabled_frontier_only,development_gross_utility,development_net_utility,validation_gross_utility,validation_net_utility,locked_gross_utility,locked_net_utility,mean_validation_turnover,coverage_selection_count,current_selection_count,average_selection_count,novelty_selection_count
AGG__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,AGG,mean_reversion_5,trend_100,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.019691710296681857,-0.001510564259142036,0.01869961756883982,0.00146147258191129,-0.015684122011934035,-0.02839468746875494,0.13672496025437203,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,AGG,mean_reversion_5,trend_100,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.023739369496970784,-0.0028015769806561683,0.012335673115783471,-0.008911236143213838,-0.016497438232345462,-0.03233837701541971,0.1685214626391097,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,AGG,mean_reversion_5,trend_100,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.023744929568935907,-0.002796090451295028,0.012335673115783471,-0.008911236143213838,-0.011697376887196626,-0.027401705443017763,0.1685214626391097,0,0,0,0
AGG__momentum_20__always__h20__half__horizon__notional_cap_1,AGG,momentum_20,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.017020043313113953,0.011844159322219586,0.01776883371203231,0.012759120267672395,0.0005982279062597762,-0.0035573109370826894,0.0397456279809221,0,0,0,0
AGG__momentum_20__always__h20__half__horizon__vol_target_10,AGG,momentum_20,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.017020043313113953,0.011844159322219586,0.01776883371203231,0.012759120267672395,0.0006586999638365332,-0.0034966674001491475,0.0397456279809221,0,0,0,0
AGG__momentum_20__always__h20__half__signal_flip__notional_cap_1,AGG,momentum_20,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.010803744007176142,0.0027070074558536144,0.009146903865180987,0.00023302912484040933,0.001136232179585076,-0.006026468532388129,0.07074721780604133,0,0,0,0
AGG__momentum_20__always__h20__half__signal_flip__vol_target_10,AGG,momentum_20,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.010803744007176142,0.0027070074558536144,0.009146903865180987,0.00023302912484040933,0.0011967043338336723,-0.005965827024996218,0.07074721780604133,0,0,0,0
AGG__momentum_20__always__h20__unit__horizon__notional_cap_1,AGG,momentum_20,always,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.03320003550411158,0.022843519408083778,0.03499266076227885,0.024969705236031564,-0.0010062839234510528,-0.009315243748331248,0.0794912559618442,0,0,0,0
AGG__momentum_20__always__h20__unit__horizon__vol_target_10,AGG,momentum_20,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.03323211610384931,0.022869379876847697,0.03499266076227885,0.024969705236031564,0.004107889190687242,-0.004209830057875805,0.0794912559618442,0,0,0,0
AGG__momentum_20__always__h20__unit__signal_flip__notional_cap_1,AGG,momentum_20,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.020939511128042685,0.004740644392951247,0.017868101947210616,4.090187297071653e-5,0.0008724994655576793,-0.013455568883130053,0.14149443561208266,0,0,0,0
AGG__momentum_20__always__h20__unit__signal_flip__vol_target_10,AGG,momentum_20,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.02096695481250003,0.00476718607433707,0.017868101947210616,4.090187297071653e-5,0.001003546689725532,-0.013333728656329992,0.14149443561208266,0,0,0,0
AGG__momentum_20__always__h5__half__horizon__notional_cap_1,AGG,momentum_20,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.012750903074410312,-0.0034421339288522325,0.011063317090336436,-0.00446541188509906,0.006273361054198372,-0.006001556252086749,0.1232114467408585,0,0,0,0
AGG__momentum_20__always__h5__half__horizon__vol_target_10,AGG,momentum_20,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.012750903074410312,-0.0034421339288522325,0.011063317090336436,-0.00446541188509906,0.006333836880275882,-0.005940914687428821,0.1232114467408585,0,0,0,0
AGG__momentum_20__always__h5__half__signal_flip__notional_cap_1,AGG,momentum_20,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.009637938725461075,-0.007974346389654849,0.01314607965504269,-0.0040862062698542,-0.0009279715701420558,-0.014503852937469442,0.13672496025437203,0,0,0,0
AGG__momentum_20__always__h5__half__signal_flip__vol_target_10,AGG,momentum_20,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.009637938725461075,-0.007974346389654849,0.01314607965504269,-0.0040862062698542,-0.0008675009048807522,-0.014443217454986891,0.13672496025437203,0,0,0,5
AGG__momentum_20__always__h5__unit__horizon__notional_cap_1,AGG,momentum_20,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.024840004350621957,-0.007555984722030867,0.02170968489552708,-0.009355946427518556,0.01104294183205532,-0.013517776677663861,0.246422893481717,0,0,0,0
AGG__momentum_20__always__h5__unit__horizon__vol_target_10,AGG,momentum_20,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02488928431338536,-0.00750482051779614,0.02170968489552708,-0.009355946427518556,0.012230790571964571,-0.012239898569093645,0.246422893481717,0,0,0,0
AGG__momentum_20__always__h5__unit__signal_flip__notional_cap_1,AGG,momentum_20,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.018668287352175766,-0.016567608075175357,0.02591338380300087,-0.008561069912484941,-0.0031758354061646944,-0.03033627661474292,0.27344992050874406,0,0,0,0
AGG__momentum_20__always__h5__unit__signal_flip__vol_target_10,AGG,momentum_20,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.018712931556983173,-0.01652043653405212,0.02591338380300087,-0.008561069912484941,-0.0030984498041422915,-0.030169691742853468,0.27344992050874406,0,0,0,0
AGG__momentum_20__trend_100__h20__half__horizon__notional_cap_1,AGG,momentum_20,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.01758480317249638,0.012742142147303171,0.015842796984545545,0.011333632766705357,-0.000995082321114459,-0.004202415339031295,0.03577106518282989,0,0,0,0
AGG__momentum_20__trend_100__h20__half__horizon__vol_target_10,AGG,momentum_20,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.01758480317249638,0.012742142147303171,0.015842796984545545,0.011333632766705357,-0.0009346115362182109,-0.00414177240147733,0.03577106518282989,0,0,0,0
AGG__momentum_20__trend_100__h20__half__signal_flip__notional_cap_1,AGG,momentum_20,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.009995363842419176,0.0023987013730999932,0.008205966429761243,0.0007932710255776119,-0.0005644999332426227,-0.00562517856308751,0.058823529411764705,0,0,0,0
AGG__momentum_20__trend_100__h20__half__signal_flip__vol_target_10,AGG,momentum_20,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.009995363842419176,0.0023987013730999932,0.008205966429761243,0.0007932710255776119,-0.0005040290671958938,-0.005564536855548038,0.058823529411764705,0,0,0,0
AGG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,AGG,momentum_20,trend_100,20,unit,horizon,notional_cap_1,true,false,false,true,true,false,0.03438415308733675,0.024692979185239397,0.031199321483492096,0.02217697303820447,-0.0037824151350146105,-0.01020157232591884,0.07154213036565978,0,0,0,0
AGG__momentum_20__trend_100__h20__unit__horizon__vol_target_10,AGG,momentum_20,trend_100,20,unit,horizon,vol_target_10,true,true,false,true,true,false,0.03441623408363337,0.024718840167015366,0.031199321483492096,0.02217697303820447,0.0013037915981037001,-0.005126587665137906,0.07154213036565978,0,0,0,0
AGG__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,AGG,momentum_20,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.019344324243849232,0.004144429333459915,0.01604423137882231,0.0012169791738524927,-0.0022894496534794943,-0.012416106939154754,0.11764705882352941,0,0,0,0
AGG__momentum_20__trend_100__h20__unit__signal_flip__vol_target_10,AGG,momentum_20,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.019371767414016274,0.004170970821751427,0.01604423137882231,0.0012169791738524927,-0.002186175517258413,-0.01232459970092913,0.11764705882352941,0,0,0,0
AGG__momentum_20__trend_100__h5__half__horizon__notional_cap_1,AGG,momentum_20,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.014821740464150763,-0.0007881400315557943,0.0094248841262643,-0.004101243228372946,0.0033490248507895073,-0.006319272460337182,0.10731319554848967,0,0,0,0
AGG__momentum_20__trend_100__h5__half__horizon__vol_target_10,AGG,momentum_20,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.014821740464150763,-0.0007881400315557943,0.0094248841262643,-0.004101243228372946,0.003409498504869084,-0.006258631224958847,0.10731319554848967,0,0,0,0
AGG__momentum_20__trend_100__h5__half__signal_flip__notional_cap_1,AGG,momentum_20,trend_100,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.00888609811452529,-0.00797501061106422,0.010485332618770314,-0.004242377694294331,-0.00019715896463772653,-0.010364801325797427,0.11685214626391097,0,0,0,0
AGG__momentum_20__trend_100__h5__half__signal_flip__vol_target_10,AGG,momentum_20,trend_100,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.00888609811452529,-0.00797501061106422,0.010485332618770314,-0.004242377694294331,-0.0001366878744172242,-0.01030416300864708,0.11685214626391097,0,0,0,0
AGG__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,AGG,momentum_20,trend_100,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.02901291682349098,-0.002218658139467693,0.01847902776101905,-0.008582556379310534,0.005484541374541032,-0.013857964245164455,0.21462639109697934,0,0,0,0
AGG__momentum_20__trend_100__h5__unit__horizon__vol_target_10,AGG,momentum_20,trend_100,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02903797559957513,-0.0021934642505497897,0.01847902776101905,-0.008582556379310534,0.0066490507397643315,-0.012597576633954229,0.21462639109697934,0,0,0,0
AGG__momentum_20__trend_100__h5__unit__signal_flip__notional_cap_1,AGG,momentum_20,trend_100,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.01719645603426048,-0.016536720589951866,0.020642522843920926,-0.008821577549832085,-0.001453691502430144,-0.021791987497148436,0.23370429252782193,0,0,0,0
AGG__momentum_20__trend_100__h5__unit__signal_flip__vol_target_10,AGG,momentum_20,trend_100,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.017216879312109808,-0.01651084443114597,0.020642522843920926,-0.008821577549832085,-0.001399570280344654,-0.021642865095695334,0.23370429252782193,0,0,0,0
AGG__momentum_60__always__h20__half__horizon__notional_cap_1,AGG,momentum_60,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.014132030717607007,0.008704909741292708,0.011555651934904607,0.006644789687062633,0.006359483240494774,0.002400125825242129,0.038950715421303655,0,0,0,0
AGG__momentum_60__always__h20__half__horizon__vol_target_10,AGG,momentum_60,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.014132030717607007,0.008704909741292708,0.011555651934904607,0.006644789687062633,0.004788483442537754,0.0008287357381001025,0.038950715421303655,0,0,0,0
AGG__momentum_60__always__h20__half__signal_flip__notional_cap_1,AGG,momentum_60,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.013064396750977621,0.006301320095440643,0.009565801130985272,0.0028519773089451354,-0.001640368946138622,-0.007703724974964162,0.05325914149443561,0,0,0,0
AGG__momentum_60__always__h20__half__signal_flip__vol_target_10,AGG,momentum_60,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.013064396750977621,0.006301320095440643,0.009565801130985272,0.0028519773089451354,-0.0025473739907845966,-0.008612418912767698,0.05325914149443561,0,0,0,0
AGG__momentum_60__always__h20__unit__horizon__notional_cap_1,AGG,momentum_60,always,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.027327998367116708,0.01646719658106481,0.02253600996537354,0.012708141260174168,0.010489204822073942,0.0025643347795053315,0.07790143084260731,0,0,0,0
AGG__momentum_60__always__h20__unit__horizon__vol_target_10,AGG,momentum_60,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.027364619661470982,0.016500426517245897,0.02253600996537354,0.012708141260174168,0.005705980063841877,-0.002240828533081925,0.07790143084260731,0,0,0,0
AGG__momentum_60__always__h20__unit__signal_flip__notional_cap_1,AGG,momentum_60,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.025296924752254823,0.0117624989248089,0.01867130627274892,0.0052373146411861474,-0.004754607740039913,-0.016888794971399307,0.10651828298887123,0,0,0,0
AGG__momentum_60__always__h20__unit__signal_flip__vol_target_10,AGG,momentum_60,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.02533354509868144,0.011795726983817036,0.01867130627274892,0.0052373146411861474,-0.005058549223765127,-0.017092492113507694,0.10651828298887123,0,0,0,0
AGG__momentum_60__always__h5__half__horizon__notional_cap_1,AGG,momentum_60,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.012652322330554308,-0.005379784612557879,0.011565762242215843,-0.004115070109513043,0.004605179519722236,-0.007318441491952925,0.12440381558028617,0,0,0,0
AGG__momentum_60__always__h5__half__horizon__vol_target_10,AGG,momentum_60,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.012652322330554308,-0.005379784612557879,0.011565762242215843,-0.004115070109513043,0.0028913731491097697,-0.008975040148756455,0.12440381558028617,0,0,0,5
AGG__momentum_60__always__h5__half__signal_flip__notional_cap_1,AGG,momentum_60,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.013975541819292848,-0.004390101337534401,0.01097469005507593,-0.005608445457783062,-0.0012440985044165178,-0.014169926128472204,0.13155802861685215,0,0,0,0
AGG__momentum_60__always__h5__half__signal_flip__vol_target_10,AGG,momentum_60,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.013975541819292848,-0.004390101337534401,0.01097469005507593,-0.005608445457783062,-0.0019053158729791814,-0.01477422388947633,0.13155802861685215,0,0,0,0
AGG__momentum_60__always__h5__unit__horizon__notional_cap_1,AGG,momentum_60,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.02451577409042897,-0.011564971562814481,0.022704855010199178,-0.008668712870484256,0.007541249080478346,-0.016315397128384458,0.24880763116057233,0,0,0,0
AGG__momentum_60__always__h5__unit__horizon__vol_target_10,AGG,momentum_60,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02456505401275162,-0.011513809599775502,0.022704855010199178,-0.008668712870484256,0.0009113553074099009,-0.022553857998709455,0.24880763116057233,0,0,0,0
AGG__momentum_60__always__h5__unit__signal_flip__notional_cap_1,AGG,momentum_60,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.027210048071873157,-0.009537292767356369,0.021560102032704635,-0.011619816807284593,-0.003869436942944729,-0.029731729951091163,0.2631160572337043,0,0,0,0
AGG__momentum_60__always__h5__unit__signal_flip__vol_target_10,AGG,momentum_60,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.02725932949348868,-0.009486129647632464,0.021560102032704635,-0.011619816807284593,-0.0031104139097930827,-0.028521047464973373,0.2631160572337043,0,0,0,0
AGG__momentum_60__trend_100__h20__half__horizon__notional_cap_1,AGG,momentum_60,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.014599633099182567,0.009256419722757673,0.015568456074451887,0.011058450953706755,0.009295714371103776,0.0056356703962877055,0.03577106518282989,0,0,0,0
AGG__momentum_60__trend_100__h20__half__horizon__vol_target_10,AGG,momentum_60,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.014599633099182567,0.009256419722757673,0.015568456074451887,0.011058450953706755,0.007724660180061479,0.004064220140650335,0.03577106518282989,0,0,0,0
AGG__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,AGG,momentum_60,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.012527142873402468,0.006098349205991043,0.011003700760117235,0.005292767474595648,-0.0025281256590087373,-0.007691406079387526,0.04531001589825119,0,0,0,0
AGG__momentum_60__trend_100__h20__half__signal_flip__vol_target_10,AGG,momentum_60,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.012527142873402468,0.006098349205991043,0.011003700760117235,0.005292767474595648,-0.0031478778829887324,-0.008312163728304853,0.04531001589825119,0,0,0,0
AGG__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,AGG,momentum_60,trend_100,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.028293210542425402,0.017601151738712583,0.030630196316885433,0.02160448425997804,0.016541092778532204,0.009212522602638353,0.07154213036565978,0,0,0,0
AGG__momentum_60__trend_100__h20__unit__horizon__vol_target_10,AGG,momentum_60,trend_100,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02832983221993488,0.017634382084797437,0.030630196316885433,0.02160448425997804,0.011697618395328228,0.004358140471655992,0.07154213036565978,0,0,0,0
AGG__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,AGG,momentum_60,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.024229506592947623,0.011364663049129736,0.02156536901821146,0.010139759882484412,-0.006493758597879614,-0.01683050508066663,0.09062003179650238,0,0,0,0
AGG__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,AGG,momentum_60,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.024266126481551815,0.011397890949829764,0.02156536901821146,0.010139759882484412,-0.005510995839307052,-0.015751252509698558,0.09062003179650238,0,0,0,0
AGG__momentum_60__trend_100__h5__half__horizon__notional_cap_1,AGG,momentum_60,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.012063174557805598,-0.005468186198570055,0.010557146885488753,-0.004223514061463638,0.0058767292994541176,-0.005147639858039119,0.11724960254372019,0,0,0,0
AGG__momentum_60__trend_100__h5__half__horizon__vol_target_10,AGG,momentum_60,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.012063174557805598,-0.005468186198570055,0.010557146885488753,-0.004223514061463638,0.00416289704157306,-0.0068042817192787925,0.11724960254372019,0,0,0,5
