initial_index,initial_coordinate,future_index,future_coordinate,discounted_weight,normalized_share
31,0.25,34,0.275,0.09221905079026388,0.020841505478599642
31,0.25,35,0.2833333333333333,0.0943125687376457,0.021314640534707933
31,0.25,36,0.2916666666666667,0.09575390594171185,0.021640382742826883
31,0.25,37,0.3,0.09653531658816968,0.02181698154892635
31,0.25,38,0.30833333333333335,0.09666749492622341,0.021846853853326496
31,0.25,39,0.31666666666666665,0.09617824778321933,0.021736283999007573
31,0.25,40,0.325,0.09511031685267228,0.02149493160870394
31,0.25,41,0.3333333333333333,0.09351854356746025,0.021135190846246023
31,0.25,42,0.3416666666666667,0.0914666107628989,0.020671454032415156
31,0.25,43,0.35,0.08902361266387535,0.020119336462035835
31,0.25,44,0.35833333333333334,0.08626069770245536,0.019494917680754915
31,0.25,45,0.36666666666666664,0.08324799983779718,0.018814047963342167
31,0.25,46,0.375,0.0800520282784779,0.018091758390936012
31,0.25,47,0.38333333333333336,0.07673362917972625,0.017341800194618135
31,0.25,48,0.39166666666666666,0.07334657295040062,0.016576325486790545
31,0.25,49,0.4,0.06993676383462517,0.01580570862662529
31,0.25,50,0.4083333333333333,0.0665420198592013,0.015038496488179499
31,0.25,51,0.4166666666666667,0.063192334807559,0.014281467666508337
31,0.25,52,0.425,0.05991051142569256,0.013539775582206521
31,0.25,53,0.43333333333333335,0.056713046557933855,0.012817148522093055
31,0.25,54,0.44166666666666665,0.053611152762448586,0.012116120524313384
31,0.25,55,0.45,0.050611814477750386,0.01143827007197159
31,0.25,56,0.4583333333333333,0.04771879673669184,0.010784448062492359
31,0.25,57,0.4666666666666667,0.04493354741947939,0.010154981716802345
31,0.25,58,0.475,0.04225595711914888,0.00954984630892765
31,0.25,59,0.48333333333333334,0.03968496151735843,0.008968801302923008
31,0.25,60,0.49166666666666664,0.03721898817334886,0.008411491327176845
31,0.25,61,0.5,0.03485626204434697,0.007877515222022418
31,0.25,62,0.5083333333333333,0.03259499180742411,0.007366468148477851
31,0.25,63,0.5166666666666667,0.03043346259963757,0.006877962547518093
31,0.25,64,0.525,0.028370060935367786,0.006411633771393121
31,0.25,65,0.5333333333333333,0.026403255252648868,0.0059671356870986455
31,0.25,66,0.5416666666666666,0.024531551738419966,0.005544130692882914
31,0.25,67,0.55,0.022753440626182123,0.0051422775815171615
31,0.25,68,0.5583333333333333,0.021067343708026463,0.0047612196780139815
31,0.25,69,0.5666666666666667,0.01947156981124067,0.0044005747773403926
31,0.25,70,0.575,0.017964281717150768,0.004059927668076075
31,0.25,71,0.5833333333333334,0.01654347554174734,0.0037388254724348997
31,0.25,72,0.5916666666666667,0.015206971927100597,0.003436775655524736
31,0.25,73,0.6,0.013952417404414781,0.0031532463333977414
31,0.25,74,0.6083333333333333,0.0127772938394996,0.0028876684077269103
31,0.25,75,0.6166666666666667,0.011678933806737091,0.0026394390403225833
31,0.25,76,0.625,0.010654539918325184,0.0024079260215414925
31,0.25,77,0.6333333333333333,0.009701206446478174,0.002192472656904068
31,0.25,78,0.6416666666666667,0.008815941931481037,0.001992402876514715
31,0.25,79,0.65,0.007995691810689466,0.0018070263492158199
31,0.25,80,0.6583333333333333,0.007237360399839589,0.0016356434503637476
31,0.25,81,0.6666666666666666,0.006537831794332749,0.0014775499855192017
31,0.25,82,0.675,0.005893989433478783,0.0013320416119662053
31,0.25,83,0.6833333333333333,0.005302734191889864,0.0011984179273671096
31,0.25,84,0.6916666666666667,0.004761000939968614,0.001075986212432907
31,0.25,85,0.7,0.004265773561245617,0.0009640648248415097
31,0.25,86,0.7083333333333334,0.003814098438739061,0.000861986247155028
31,0.25,87,0.7166666666666667,0.0034030964341562647,0.0007690997941193161
31,0.25,88,0.725,0.003029973389029398,0.0006847739859206441
31,0.25,89,0.7333333333333333,0.002692029180048768,0.0006083985946910217
31,0.25,90,0.7416666666666667,0.0023866653644162394,0.0005393863723580703
31,0.25,91,0.75,0.0021113914561173477,0.0004771744690825207
31,0.25,92,0.7583333333333333,0.0018638298807916664,0.0004212255530589167
31,0.25,93,0.7666666666666667,0.0016417196649799546,0.00037102864428546984
31,0.25,94,0.775,0.0014429189242667264,0.00032609967688428023
31,0.25,95,0.7833333333333333,0.001265406223459587,0.00028598180650186674
31,0.25,96,0.7916666666666666,0.0011072808897473851,0.0002502454810829091
31,0.25,97,0.8,0.0009667623661864375,0.00021848829475813495
31,0.25,98,0.8083333333333333,0.0008421886974809458,0.0001903346456306938
31,0.25,99,0.8166666666666667,0.0007320142426357216,0.00016543521883567312
31,0.25,100,0.825,0.0006348067096295731,0.00014346631637628357
31,0.25,101,0.8333333333333334,0.0005492436059054158,0.00012412905493462402
31,0.25,102,0.8416666666666667,0.0004741081954482273,0.0001071484521712994
31,0.25,103,0.85,0.00040828504887052106,9.227242104473779e-5
31,0.25,104,0.8583333333333333,0.0003507552676531879,7.927069048962048e-5
31,0.25,105,0.8666666666666667,0.00030059145792147944,6.793366949025437e-5
31,0.25,106,0.875,0.0002569525232734925,5.807127025980932e-5
31,0.25,107,0.8833333333333333,0.00021907834056029128,4.951170496662584e-5
31,0.25,108,0.8916666666666667,0.0001862843773852942,4.21002692890765e-5
31,0.25,109,0.9,0.00015795630556782574,3.5698125058328625e-5
31,0.25,110,0.9083333333333333,0.00013354466089410166,3.0181093362066983e-5
31,0.25,111,0.9166666666666666,0.00011255959602722195,2.543846870215217e-5
31,0.25,112,0.925,9.456577023478305e-5,2.1371864073060975e-5
31,0.25,113,0.9333333333333333,7.917741632541233e-5,1.789409608954319e-5
31,0.25,114,0.9416666666666667,6.605362155703105e-5,1.492811847188902e-5
31,0.25,115,0.95,5.489385502138871e-5,1.2406011234833852e-5
31,0.25,116,0.9583333333333334,4.543376893894352e-5,1.0268031780201238e-5
31,0.25,117,0.9666666666666667,3.7441295355718e-5,8.46173275039227e-6
31,0.25,118,0.975,3.071305300130193e-5,6.941149978294238e-6
31,0.25,119,0.9833333333333333,2.5071071766696428e-5,5.666062219273394e-6
31,0.25,120,0.9916666666666667,2.0359834731428035e-5,4.601322649302737e-6
31,0.25,121,1.0,1.64436303273589e-5,3.716260453983112e-6
