trial_id,compressed_state_index,frontier,closure,witness_library_ids,witness_valid
1,61,43//4;39//4;53//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;descendant_2;inactive,true
1,62,43//4;39//4;53//4,bridge;core_b;core_c;trigger_a;trigger_b,base_1;base_3;closure_carrier;descendant_2;inactive,true
1,63,43//4;39//4;53//4,bridge;core_a;core_b;trigger_a;trigger_b,base_2;base_3;closure_carrier;descendant_2;inactive,true
1,64,43//4;39//4;53//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;descendant_2;inactive,true
2,1,0//1;0//1;0//1,,inactive,true
2,2,15//4;17//4;4//1,core_b,base_1;inactive,true
2,3,7//4;2//1;2//1,core_a,base_2;inactive,true
2,4,15//4;17//4;4//1,core_a;core_b,base_1;base_2;inactive,true
2,5,3//4;3//4;3//4,core_c,base_3;inactive,true
2,6,15//4;17//4;4//1,core_b;core_c,base_1;base_3;inactive,true
2,7,7//4;2//1;2//1,core_a;core_c,base_2;base_3;inactive,true
2,8,15//4;17//4;4//1,core_a;core_b;core_c,base_1;base_2;base_3;inactive,true
2,9,13//4;11//4;21//4,,frontier_addition;inactive,true
2,10,15//4;17//4;21//4,core_b,base_1;frontier_addition;inactive,true
2,11,13//4;11//4;21//4,core_a,base_2;frontier_addition;inactive,true
2,12,15//4;17//4;21//4,core_a;core_b,base_1;base_2;frontier_addition;inactive,true
2,13,13//4;11//4;21//4,core_c,base_3;frontier_addition;inactive,true
2,14,15//4;17//4;21//4,core_b;core_c,base_1;base_3;frontier_addition;inactive,true
2,15,13//4;11//4;21//4,core_a;core_c,base_2;base_3;frontier_addition;inactive,true
2,16,15//4;17//4;21//4,core_a;core_b;core_c,base_1;base_2;base_3;frontier_addition;inactive,true
2,17,1//1;3//4;5//4,expansion,closure_carrier;inactive,true
2,18,15//4;17//4;4//1,core_b;expansion,base_1;closure_carrier;inactive,true
2,19,7//4;2//1;2//1,core_a;expansion,base_2;closure_carrier;inactive,true
2,20,15//4;17//4;4//1,core_a;core_b;expansion,base_1;base_2;closure_carrier;inactive,true
2,21,1//1;3//4;5//4,core_c;expansion,base_3;closure_carrier;inactive,true
2,22,15//4;17//4;4//1,core_b;core_c;expansion,base_1;base_3;closure_carrier;inactive,true
2,23,7//4;2//1;2//1,core_a;core_c;expansion,base_2;base_3;closure_carrier;inactive,true
2,24,15//4;17//4;4//1,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;inactive,true
2,25,13//4;11//4;21//4,expansion,closure_carrier;frontier_addition;inactive,true
2,26,15//4;17//4;21//4,core_b;expansion,base_1;closure_carrier;frontier_addition;inactive,true
2,27,13//4;11//4;21//4,core_a;expansion,base_2;closure_carrier;frontier_addition;inactive,true
2,28,15//4;17//4;21//4,core_a;core_b;expansion,base_1;base_2;closure_carrier;frontier_addition;inactive,true
2,29,13//4;11//4;21//4,core_c;expansion,base_3;closure_carrier;frontier_addition;inactive,true
2,30,15//4;17//4;21//4,core_b;core_c;expansion,base_1;base_3;closure_carrier;frontier_addition;inactive,true
2,31,13//4;11//4;21//4,core_a;core_c;expansion,base_2;base_3;closure_carrier;frontier_addition;inactive,true
2,32,15//4;17//4;21//4,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true
2,33,23//4;21//4;25//4,,descendant_1;inactive,true
2,34,23//4;21//4;25//4,core_b,base_1;descendant_1;inactive,true
2,35,23//4;21//4;25//4,core_a,base_2;descendant_1;inactive,true
2,36,23//4;21//4;25//4,core_a;core_b,base_1;base_2;descendant_1;inactive,true
2,37,23//4;21//4;25//4,core_c,base_3;descendant_1;inactive,true
2,38,23//4;21//4;25//4,core_b;core_c,base_1;base_3;descendant_1;inactive,true
2,39,23//4;21//4;25//4,core_a;core_c,base_2;base_3;descendant_1;inactive,true
2,40,23//4;21//4;25//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_1;inactive,true
2,41,23//4;21//4;25//4,expansion,closure_carrier;descendant_1;inactive,true
2,42,23//4;21//4;25//4,core_b;expansion,base_1;closure_carrier;descendant_1;inactive,true
2,43,23//4;21//4;25//4,core_a;expansion,base_2;closure_carrier;descendant_1;inactive,true
2,44,23//4;21//4;25//4,core_a;core_b;expansion,base_1;base_2;closure_carrier;descendant_1;inactive,true
2,45,23//4;21//4;25//4,core_c;expansion,base_3;closure_carrier;descendant_1;inactive,true
2,46,23//4;21//4;25//4,core_b;core_c;expansion,base_1;base_3;closure_carrier;descendant_1;inactive,true
2,47,23//4;21//4;25//4,core_a;core_c;expansion,base_2;base_3;closure_carrier;descendant_1;inactive,true
2,48,23//4;21//4;25//4,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;descendant_1;inactive,true
2,49,31//4;25//4;37//4,,descendant_2;inactive,true
2,50,31//4;25//4;37//4,core_b,base_1;descendant_2;inactive,true
2,51,31//4;25//4;37//4,core_a,base_2;descendant_2;inactive,true
2,52,31//4;25//4;37//4,core_a;core_b,base_1;base_2;descendant_2;inactive,true
2,53,31//4;25//4;37//4,core_c,base_3;descendant_2;inactive,true
2,54,31//4;25//4;37//4,core_b;core_c,base_1;base_3;descendant_2;inactive,true
2,55,31//4;25//4;37//4,core_a;core_c,base_2;base_3;descendant_2;inactive,true
2,56,31//4;25//4;37//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_2;inactive,true
2,57,31//4;25//4;37//4,expansion,closure_carrier;descendant_2;inactive,true
2,58,31//4;25//4;37//4,core_b;expansion,base_1;closure_carrier;descendant_2;inactive,true
2,59,31//4;25//4;37//4,core_a;expansion,base_2;closure_carrier;descendant_2;inactive,true
2,60,31//4;25//4;37//4,core_a;core_b;expansion,base_1;base_2;closure_carrier;descendant_2;inactive,true
2,61,31//4;25//4;37//4,core_c;expansion,base_3;closure_carrier;descendant_2;inactive,true
2,62,31//4;25//4;37//4,core_b;core_c;expansion,base_1;base_3;closure_carrier;descendant_2;inactive,true
2,63,31//4;25//4;37//4,core_a;core_c;expansion,base_2;base_3;closure_carrier;descendant_2;inactive,true
2,64,31//4;25//4;37//4,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;descendant_2;inactive,true
3,1,0//1;0//1;0//1,,inactive,true
3,2,4//1;15//4;17//4,core_a;core_b;core_c,base_1;inactive,true
3,3,9//4;7//4;9//4,core_a;core_b;core_c,base_2;inactive,true
3,4,5//4;5//4;5//4,core_a;core_b;core_c,base_3;inactive,true
3,5,11//4;3//1;21//4,,frontier_addition;inactive,true
3,6,4//1;15//4;21//4,core_a;core_b;core_c,base_1;frontier_addition;inactive,true
3,7,11//4;3//1;21//4,core_a;core_b;core_c,base_2;frontier_addition;inactive,true
3,8,1//1;5//4;5//4,expansion,closure_carrier;inactive,true
3,9,4//1;15//4;17//4,core_a;core_b;core_c;expansion,base_1;closure_carrier;inactive,true
3,10,9//4;7//4;9//4,core_a;core_b;core_c;expansion,base_2;closure_carrier;inactive,true
3,11,5//4;5//4;5//4,core_a;core_b;core_c;expansion,base_3;closure_carrier;inactive,true
3,12,11//4;3//1;21//4,expansion,closure_carrier;frontier_addition;inactive,true
3,13,4//1;15//4;21//4,core_a;core_b;core_c;expansion,base_1;closure_carrier;frontier_addition;inactive,true
3,14,11//4;3//1;21//4,core_a;core_b;core_c;expansion,base_2;closure_carrier;frontier_addition;inactive,true
3,15,5//1;27//4;33//4,,descendant_1;inactive,true
3,16,5//1;27//4;33//4,core_a;core_b;core_c,base_1;descendant_1;inactive,true
3,17,5//1;27//4;33//4,expansion,closure_carrier;descendant_1;inactive,true
3,18,5//1;27//4;33//4,core_a;core_b;core_c;expansion,base_1;closure_carrier;descendant_1;inactive,true
3,19,6//1;35//4;41//4,,descendant_2;inactive,true
3,20,6//1;35//4;41//4,core_a;core_b;core_c,base_1;descendant_2;inactive,true
3,21,6//1;35//4;41//4,expansion,closure_carrier;descendant_2;inactive,true
3,22,6//1;35//4;41//4,core_a;core_b;core_c;expansion,base_1;closure_carrier;descendant_2;inactive,true
4,1,0//1;0//1;0//1,,inactive,true
4,2,15//4;17//4;15//4,core_a;core_b;core_c,base_1;inactive,true
4,3,9//4;7//4;7//4,core_a;core_b;core_c,base_2;inactive,true
4,4,5//4;5//4;3//4,core_a;core_b;core_c,base_3;inactive,true
4,5,11//4;3//1;21//4,,frontier_addition;inactive,true
4,6,15//4;17//4;21//4,core_a;core_b;core_c,base_1;frontier_addition;inactive,true
4,7,11//4;3//1;21//4,core_a;core_b;core_c,base_2;frontier_addition;inactive,true
4,8,1//1;5//4;3//4,bridge;trigger_a;trigger_b,closure_carrier;inactive,true
4,9,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;closure_carrier;inactive,true
4,10,9//4;7//4;7//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_2;closure_carrier;inactive,true
4,11,5//4;5//4;3//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_3;closure_carrier;inactive,true
4,12,11//4;3//1;21//4,bridge;trigger_a;trigger_b,closure_carrier;frontier_addition;inactive,true
4,13,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;closure_carrier;frontier_addition;inactive,true
4,14,11//4;3//1;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_2;closure_carrier;frontier_addition;inactive,true
4,15,19//4;25//4;33//4,,descendant_1;inactive,true
4,16,19//4;25//4;33//4,core_a;core_b;core_c,base_1;descendant_1;inactive,true
4,17,19//4;25//4;33//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_1;inactive,true
4,18,19//4;25//4;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;closure_carrier;descendant_1;inactive,true
4,19,31//4;33//4;45//4,,descendant_2;inactive,true
4,20,31//4;33//4;45//4,core_a;core_b;core_c,base_1;descendant_2;inactive,true
4,21,31//4;33//4;45//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_2;inactive,true
4,22,31//4;33//4;45//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;closure_carrier;descendant_2;inactive,true
5,1,0//1;0//1;0//1,,inactive,true
5,2,6//1;9//4;2//1,core_a,base_1;inactive,true
5,3,7//4;23//4;7//4,core_c,base_2;inactive,true
5,4,6//1;23//4;2//1,core_a;core_c,base_1;base_2;inactive,true
5,5,9//4;7//4;25//4,core_b,base_3;inactive,true
5,6,6//1;9//4;25//4,core_a;core_b,base_1;base_3;inactive,true
5,7,9//4;23//4;25//4,core_b;core_c,base_2;base_3;inactive,true
5,8,6//1;23//4;25//4,core_a;core_b;core_c,base_1;base_2;base_3;inactive,true
5,9,5//4;8//1;1//1,,frontier_addition;inactive,true
5,10,6//1;8//1;2//1,core_a,base_1;frontier_addition;inactive,true
5,11,7//4;8//1;7//4,core_c,base_2;frontier_addition;inactive,true
5,12,6//1;8//1;2//1,core_a;core_c,base_1;base_2;frontier_addition;inactive,true
5,13,9//4;8//1;25//4,core_b,base_3;frontier_addition;inactive,true
5,14,6//1;8//1;25//4,core_a;core_b,base_1;base_3;frontier_addition;inactive,true
5,15,9//4;8//1;25//4,core_b;core_c,base_2;base_3;frontier_addition;inactive,true
5,16,6//1;8//1;25//4,core_a;core_b;core_c,base_1;base_2;base_3;frontier_addition;inactive,true
5,17,1//1;3//4;3//4,bridge;trigger_a;trigger_b,closure_carrier;inactive,true
5,18,6//1;9//4;2//1,bridge;core_a;trigger_a;trigger_b,base_1;closure_carrier;inactive,true
5,19,7//4;23//4;7//4,bridge;core_c;trigger_a;trigger_b,base_2;closure_carrier;inactive,true
5,20,6//1;23//4;2//1,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;inactive,true
5,21,9//4;7//4;25//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;inactive,true
5,22,6//1;9//4;25//4,bridge;core_a;core_b;trigger_a;trigger_b,base_1;base_3;closure_carrier;inactive,true
5,23,9//4;23//4;25//4,bridge;core_b;core_c;trigger_a;trigger_b,base_2;base_3;closure_carrier;inactive,true
5,24,6//1;23//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;inactive,true
5,25,5//4;8//1;1//1,bridge;trigger_a;trigger_b,closure_carrier;frontier_addition;inactive,true
5,26,6//1;8//1;2//1,bridge;core_a;trigger_a;trigger_b,base_1;closure_carrier;frontier_addition;inactive,true
5,27,7//4;8//1;7//4,bridge;core_c;trigger_a;trigger_b,base_2;closure_carrier;frontier_addition;inactive,true
5,28,6//1;8//1;2//1,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;frontier_addition;inactive,true
5,29,9//4;8//1;25//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;frontier_addition;inactive,true
5,30,6//1;8//1;25//4,bridge;core_a;core_b;trigger_a;trigger_b,base_1;base_3;closure_carrier;frontier_addition;inactive,true
5,31,9//4;8//1;25//4,bridge;core_b;core_c;trigger_a;trigger_b,base_2;base_3;closure_carrier;frontier_addition;inactive,true
5,32,6//1;8//1;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true
5,33,9//1;11//1;33//4,,descendant_1;inactive,true
5,34,9//1;11//1;33//4,core_a,base_1;descendant_1;inactive,true
5,35,9//1;11//1;33//4,core_c,base_2;descendant_1;inactive,true
5,36,9//1;11//1;33//4,core_a;core_c,base_1;base_2;descendant_1;inactive,true
5,37,9//1;11//1;33//4,core_b,base_3;descendant_1;inactive,true
5,38,9//1;11//1;33//4,core_a;core_b,base_1;base_3;descendant_1;inactive,true
5,39,9//1;11//1;33//4,core_b;core_c,base_2;base_3;descendant_1;inactive,true
5,40,9//1;11//1;33//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_1;inactive,true
5,41,9//1;11//1;33//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_1;inactive,true
5,42,9//1;11//1;33//4,bridge;core_a;trigger_a;trigger_b,base_1;closure_carrier;descendant_1;inactive,true
5,43,9//1;11//1;33//4,bridge;core_c;trigger_a;trigger_b,base_2;closure_carrier;descendant_1;inactive,true
5,44,9//1;11//1;33//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;descendant_1;inactive,true
5,45,9//1;11//1;33//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;descendant_1;inactive,true
5,46,9//1;11//1;33//4,bridge;core_a;core_b;trigger_a;trigger_b,base_1;base_3;closure_carrier;descendant_1;inactive,true
5,47,9//1;11//1;33//4,bridge;core_b;core_c;trigger_a;trigger_b,base_2;base_3;closure_carrier;descendant_1;inactive,true
5,48,9//1;11//1;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;descendant_1;inactive,true
5,49,11//1;14//1;45//4,,descendant_2;inactive,true
5,50,11//1;14//1;45//4,core_a,base_1;descendant_2;inactive,true
5,51,11//1;14//1;45//4,core_c,base_2;descendant_2;inactive,true
5,52,11//1;14//1;45//4,core_a;core_c,base_1;base_2;descendant_2;inactive,true
5,53,11//1;14//1;45//4,core_b,base_3;descendant_2;inactive,true
5,54,11//1;14//1;45//4,core_a;core_b,base_1;base_3;descendant_2;inactive,true
5,55,11//1;14//1;45//4,core_b;core_c,base_2;base_3;descendant_2;inactive,true
5,56,11//1;14//1;45//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_2;inactive,true
5,57,11//1;14//1;45//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_2;inactive,true
5,58,11//1;14//1;45//4,bridge;core_a;trigger_a;trigger_b,base_1;closure_carrier;descendant_2;inactive,true
5,59,11//1;14//1;45//4,bridge;core_c;trigger_a;trigger_b,base_2;closure_carrier;descendant_2;inactive,true
5,60,11//1;14//1;45//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;descendant_2;inactive,true
5,61,11//1;14//1;45//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;descendant_2;inactive,true
5,62,11//1;14//1;45//4,bridge;core_a;core_b;trigger_a;trigger_b,base_1;base_3;closure_carrier;descendant_2;inactive,true
5,63,11//1;14//1;45//4,bridge;core_b;core_c;trigger_a;trigger_b,base_2;base_3;closure_carrier;descendant_2;inactive,true
5,64,11//1;14//1;45//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;descendant_2;inactive,true
6,1,0//1;0//1;0//1,,inactive,true
6,2,23//4;2//1;9//4,core_b,base_1;inactive,true
6,3,7//4;23//4;7//4,core_c,base_2;inactive,true
6,4,23//4;23//4;9//4,core_b;core_c,base_1;base_2;inactive,true
6,5,9//4;2//1;25//4,core_a,base_3;inactive,true
6,6,23//4;2//1;25//4,core_a;core_b,base_1;base_3;inactive,true
6,7,9//4;23//4;25//4,core_a;core_c,base_2;base_3;inactive,true
6,8,23//4;23//4;25//4,core_a;core_b;core_c,base_1;base_2;base_3;inactive,true
6,9,3//4;1//1;8//1,,frontier_addition;inactive,true
6,10,23//4;2//1;8//1,core_b,base_1;frontier_addition;inactive,true
6,11,7//4;23//4;8//1,core_c,base_2;frontier_addition;inactive,true
6,12,23//4;23//4;8//1,core_b;core_c,base_1;base_2;frontier_addition;inactive,true
6,13,9//4;2//1;8//1,core_a,base_3;frontier_addition;inactive,true
6,14,23//4;2//1;8//1,core_a;core_b,base_1;base_3;frontier_addition;inactive,true
6,15,9//4;23//4;8//1,core_a;core_c,base_2;base_3;frontier_addition;inactive,true
6,16,23//4;23//4;8//1,core_a;core_b;core_c,base_1;base_2;base_3;frontier_addition;inactive,true
6,17,1//1;5//4;3//4,expansion,closure_carrier;inactive,true
6,18,23//4;2//1;9//4,core_b;expansion,base_1;closure_carrier;inactive,true
6,19,7//4;23//4;7//4,core_c;expansion,base_2;closure_carrier;inactive,true
6,20,23//4;23//4;9//4,core_b;core_c;expansion,base_1;base_2;closure_carrier;inactive,true
6,21,9//4;2//1;25//4,core_a;expansion,base_3;closure_carrier;inactive,true
6,22,23//4;2//1;25//4,core_a;core_b;expansion,base_1;base_3;closure_carrier;inactive,true
6,23,9//4;23//4;25//4,core_a;core_c;expansion,base_2;base_3;closure_carrier;inactive,true
6,24,23//4;23//4;25//4,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;inactive,true
6,25,1//1;5//4;8//1,expansion,closure_carrier;frontier_addition;inactive,true
6,26,23//4;2//1;8//1,core_b;expansion,base_1;closure_carrier;frontier_addition;inactive,true
6,27,7//4;23//4;8//1,core_c;expansion,base_2;closure_carrier;frontier_addition;inactive,true
6,28,23//4;23//4;8//1,core_b;core_c;expansion,base_1;base_2;closure_carrier;frontier_addition;inactive,true
6,29,9//4;2//1;8//1,core_a;expansion,base_3;closure_carrier;frontier_addition;inactive,true
6,30,23//4;2//1;8//1,core_a;core_b;expansion,base_1;base_3;closure_carrier;frontier_addition;inactive,true
6,31,9//4;23//4;8//1,core_a;core_c;expansion,base_2;base_3;closure_carrier;frontier_addition;inactive,true
6,32,23//4;23//4;8//1,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true
6,33,27//4;27//4;9//1,,descendant_1;inactive,true
6,34,27//4;27//4;9//1,core_b,base_1;descendant_1;inactive,true
6,35,27//4;27//4;9//1,core_c,base_2;descendant_1;inactive,true
6,36,27//4;27//4;9//1,core_b;core_c,base_1;base_2;descendant_1;inactive,true
6,37,27//4;27//4;9//1,core_a,base_3;descendant_1;inactive,true
6,38,27//4;27//4;9//1,core_a;core_b,base_1;base_3;descendant_1;inactive,true
6,39,27//4;27//4;9//1,core_a;core_c,base_2;base_3;descendant_1;inactive,true
6,40,27//4;27//4;9//1,core_a;core_b;core_c,base_1;base_2;base_3;descendant_1;inactive,true
6,41,27//4;27//4;9//1,expansion,closure_carrier;descendant_1;inactive,true
6,42,27//4;27//4;9//1,core_b;expansion,base_1;closure_carrier;descendant_1;inactive,true
6,43,27//4;27//4;9//1,core_c;expansion,base_2;closure_carrier;descendant_1;inactive,true
6,44,27//4;27//4;9//1,core_b;core_c;expansion,base_1;base_2;closure_carrier;descendant_1;inactive,true
6,45,27//4;27//4;9//1,core_a;expansion,base_3;closure_carrier;descendant_1;inactive,true
6,46,27//4;27//4;9//1,core_a;core_b;expansion,base_1;base_3;closure_carrier;descendant_1;inactive,true
6,47,27//4;27//4;9//1,core_a;core_c;expansion,base_2;base_3;closure_carrier;descendant_1;inactive,true
6,48,27//4;27//4;9//1,core_a;core_b;core_c;expansion,base_1;base_2;base_3;closure_carrier;descendant_1;inactive,true
6,49,31//4;39//4;10//1,,descendant_2;inactive,true
6,50,31//4;39//4;10//1,core_b,base_1;descendant_2;inactive,true
6,51,31//4;39//4;10//1,core_c,base_2;descendant_2;inactive,true
6,52,31//4;39//4;10//1,core_b;core_c,base_1;base_2;descendant_2;inactive,true
6,53,31//4;39//4;10//1,core_a,base_3;descendant_2;inactive,true
6,54,31//4;39//4;10//1,core_a;core_b,base_1;base_3;descendant_2;inactive,true
6,55,31//4;39//4;10//1,core_a;core_c,base_2;base_3;descendant_2;inactive,true
6,56,31//4;39//4;10//1,core_a;core_b;core_c,base_1;base_2;base_3;descendant_2;inactive,true
6,57,31//4;39//4;10//1,expansion,closure_carrier;descendant_2;inactive,true
6,58,31//4;39//4;10//1,core_b;expansion,base_1;closure_carrier;descendant_2;inactive,true
6,59,31//4;39//4;10//1,core_c;expansion,base_2;closure_carrier;descendant_2;inactive,true
6,60,31//4;39//4;10//1,core_b;core_c;expansion,base_1;base_2;closure_carrier;descendant_2;inactive,true
6,61,31//4;39//4;10//1,core_a;expansion,base_3;closure_carrier;descendant_2;inactive,true
