strategy_id,ticker,directional_signal,entry_filter,holding_horizon,sizing_rule,exit_rule,risk_constraint,in_initial_library,in_safe_library,in_frontier_only_library,enabled_initial,enabled_safe,enabled_frontier_only,development_gross_utility,development_net_utility,validation_gross_utility,validation_net_utility,locked_gross_utility,locked_net_utility,mean_validation_turnover
DIA__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,DIA,mean_reversion_5,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.050950187657678045,0.03609906152092635,0.012307891155342638,-0.0029126196574678002,0.04273001109281232,0.02779613702435497,0.12082670906200318
DIA__mean_reversion_5__always__h5__half__signal_flip__vol_target_10,DIA,mean_reversion_5,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.04461272272645888,0.030557160082333536,0.01059483157294453,-0.004295324493284777,0.0402708167509909,0.025963164619681674,0.11819376495819987
DIA__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,DIA,mean_reversion_5,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.07914573428384936,0.053550909193614576,0.013931450622402891,-0.012072379774279355,0.06153954920437743,0.035556233304756504,0.2066772655007949
DIA__mean_reversion_5__always__h5__unit__horizon__vol_target_10,DIA,mean_reversion_5,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.05556244901337689,0.035193532590653526,0.007251132070071834,-0.01472766118609828,0.057157741636701745,0.036931521728301005,0.17449157806335808
DIA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,DIA,mean_reversion_5,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.09216424996846022,0.06246570568635414,0.017704521696092664,-0.01272919087152426,0.06753113499128144,0.03764301550600534,0.24165341812400637
DIA__mean_reversion_5__always__h5__unit__signal_flip__vol_target_10,DIA,mean_reversion_5,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.05116917998513307,0.02786484175147794,0.002961399622753132,-0.022250810897038856,0.05427072859475484,0.03145532862928986,0.20001839514328898
DIA__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,DIA,mean_reversion_5,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.023854883862613557,0.019973868252779838,0.019407035976047492,0.015348659628220122,0.027922371082678282,0.02396690559407266,0.0321939586645469
DIA__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,DIA,mean_reversion_5,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.02357368118792257,0.019662193262375244,0.01866747980893408,0.014602893714473958,0.026449916529372324,0.02249355883992149,0.03223860869081887
DIA__mean_reversion_5__trend_100__h20__half__signal_flip__notional_cap_1,DIA,mean_reversion_5,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.01997468987356108,0.010370433591379992,0.009167181364038256,-0.0005440187450374144,0.030952966931321123,0.02233557666772887,0.07710651828298887
DIA__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,DIA,mean_reversion_5,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.018032154764208583,0.008596181463072665,0.008097177734349589,-0.0015774155000299927,0.029285118688059844,0.02081754530254773,0.07680885255125794
DIA__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,DIA,mean_reversion_5,trend_100,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.03814110366237451,0.030377306123701892,0.03122148253694083,0.02310085472909718,0.045829745062033064,0.03792044272605255,0.0643879173290938
DIA__mean_reversion_5__trend_100__h20__unit__horizon__vol_target_10,DIA,mean_reversion_5,trend_100,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.026586258997921556,0.018925151634042636,0.034467510604129475,0.026258366992218757,0.02459618122003412,0.01706266028462851,0.06514562934192686
DIA__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,mean_reversion_5,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.033160770090270526,0.013935797941678624,0.013204480623085173,-0.006209477205904293,0.05563505055517334,0.03839283449285523,0.15421303656597773
DIA__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,DIA,mean_reversion_5,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.020848664171436947,0.004003717300699833,0.008418035802321602,-0.009328844880470259,0.03677152050528403,0.022397130302061467,0.14093970968059027
DIA__mean_reversion_5__trend_100__h5__half__horizon__notional_cap_1,DIA,mean_reversion_5,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.014679171656474126,0.005585024037454465,0.009406003585073756,-0.000209087754050367,0.03365950105584453,0.024792165194556764,0.07631160572337042
DIA__mean_reversion_5__trend_100__h5__half__horizon__vol_target_10,DIA,mean_reversion_5,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.014488136261780282,0.005509115471842384,0.007431873259601577,-0.002158542091745181,0.03244266371678182,0.023658920617233414,0.07611288232457365
DIA__mean_reversion_5__trend_100__h5__half__signal_flip__notional_cap_1,DIA,mean_reversion_5,trend_100,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.014433712435503194,0.0034974251714622686,0.011331846275058685,1.539792557603086e-5,0.019366425713814767,0.008944102774021318,0.08982511923688394
DIA__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,DIA,mean_reversion_5,trend_100,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.014538600371635626,0.0037964851853837848,0.009667518068213785,-0.001596266101614802,0.01846272041821406,0.008189924002883287,0.08940058675781982
DIA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,DIA,mean_reversion_5,trend_100,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.023996260135829953,0.005810398136572512,0.014258125628053805,-0.004971715086153328,0.0617449008847455,0.04400369734420494,0.15262321144674085
DIA__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,DIA,mean_reversion_5,trend_100,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.018050826893153685,0.0019093762721742458,0.007306347645423184,-0.01035289054758048,0.04084452015594147,0.02575467368209702,0.14017323955333663
DIA__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,mean_reversion_5,trend_100,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.02428326828505884,0.0024003708845243017,0.018822714194034803,-0.0038071491562010466,0.03416477121773914,0.01330854782104549,0.17965023847376788
DIA__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,DIA,mean_reversion_5,trend_100,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.015748289831328963,-0.003206828216831664,0.008376243865338216,-0.012118854200391726,0.02078847277409198,0.0033985728810605837,0.16268627326764687
DIA__momentum_20__always__h20__half__horizon__notional_cap_1,DIA,momentum_20,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.052688727118292145,0.047726164220206486,0.037440531474480426,0.03218477408459288,0.0557801537368777,0.05062613197776276,0.0417329093799682
DIA__momentum_20__always__h20__half__horizon__vol_target_10,DIA,momentum_20,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.05153651224276365,0.04655855006694515,0.03728390463845728,0.0319933346535957,0.04925666500490601,0.044086833599785165,0.04200374671167316
DIA__momentum_20__always__h20__half__signal_flip__notional_cap_1,DIA,momentum_20,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.035668836588115725,0.02828157778139313,0.02937372918779864,0.02075717514951951,0.03311973082751453,0.02546931224957799,0.06836248012718601
DIA__momentum_20__always__h20__half__signal_flip__vol_target_10,DIA,momentum_20,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.03547992324783083,0.028279605769387428,0.029443415787622374,0.020885959986531057,0.027091498899396462,0.01964881662580498,0.06789220114316746
DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,DIA,momentum_20,always,20,unit,horizon,notional_cap_1,true,true,false,true,true,false,0.09369873893674444,0.0837782886689051,0.06504305117614137,0.05453671478034321,0.0968025100190529,0.08650279818132131,0.0834658187599364
DIA__momentum_20__always__h20__unit__horizon__vol_target_10,DIA,momentum_20,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.07313414212197535,0.06376462849660249,0.05407358464160106,0.043682816138146806,0.05837074488336831,0.04882488014647434,0.08257546395924227
DIA__momentum_20__always__h20__unit__signal_flip__notional_cap_1,DIA,momentum_20,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.06272959800809172,0.04795009920504244,0.053696048706679475,0.03645717754561385,0.055920802483348825,0.040643452495927004,0.13672496025437203
DIA__momentum_20__always__h20__unit__signal_flip__vol_target_10,DIA,momentum_20,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.04709346582836296,0.03440716567736922,0.04653380275203238,0.031339749549300085,0.028761074916683227,0.016137787117911563,0.12054177871671004
DIA__momentum_20__always__h5__half__horizon__notional_cap_1,DIA,momentum_20,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.01965600376521657,0.0034746065153120065,0.021298142088836527,0.005218349584326949,0.023879724607617933,0.008408128064465932,0.12758346581875993
DIA__momentum_20__always__h5__half__horizon__vol_target_10,DIA,momentum_20,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.020475492471337037,0.004699740419747311,0.02129800818531899,0.005236987132883056,0.01871094917206219,0.0036575517631422102,0.1274294504085568
DIA__momentum_20__always__h5__half__signal_flip__notional_cap_1,DIA,momentum_20,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.01996296931964269,0.0028191849358191255,0.032506739094793735,0.015171258206075785,0.013191768270620918,-0.0035804952298201893,0.13751987281399047
DIA__momentum_20__always__h5__half__signal_flip__vol_target_10,DIA,momentum_20,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.021394860342865925,0.004737834764362105,0.032463482279497746,0.015221193818783832,0.008614346993286953,-0.007627706860404271,0.13677937354711334
DIA__momentum_20__always__h5__unit__horizon__notional_cap_1,DIA,momentum_20,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.030213313074111223,-0.0021361169851096366,0.03643156994517127,0.004263433313460487,0.038274233883571734,0.007336973307148168,0.25516693163751986
DIA__momentum_20__always__h5__unit__horizon__vol_target_10,DIA,momentum_20,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.026716802038922283,-0.00022308067502209428,0.03219772292616163,0.0031531888426740515,0.012812431650144604,-0.01214063363076024,0.23043988901212728
DIA__momentum_20__always__h5__unit__signal_flip__notional_cap_1,DIA,momentum_20,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.032511424298438216,-0.0017683489984454143,0.060434492150240084,0.02574757654449391,0.01691115893303968,-0.01662463592723028,0.27503974562798095
DIA__momentum_20__always__h5__unit__signal_flip__vol_target_10,DIA,momentum_20,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.029383425144750765,0.001017312554330972,0.05423144239691138,0.023222214156818948,0.004363296064104998,-0.022302598357072274,0.24587721911056729
DIA__momentum_20__trend_100__h20__half__horizon__notional_cap_1,DIA,momentum_20,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.04820353912821547,0.043439354213564305,0.03106900939505545,0.026009627160929027,0.029862521763454004,0.025307590165326885,0.04014308426073132
DIA__momentum_20__trend_100__h20__half__horizon__vol_target_10,DIA,momentum_20,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.04826244856069218,0.04348616257088765,0.030817838108792316,0.02573271680427941,0.027108095278195923,0.022525439872648545,0.04034528067788828
DIA__momentum_20__trend_100__h20__half__signal_flip__notional_cap_1,DIA,momentum_20,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.04070230231282475,0.0342279722997015,0.018995398330618973,0.011477006668917817,0.011490111478482277,0.004734697085247189,0.05961844197138315
DIA__momentum_20__trend_100__h20__half__signal_flip__vol_target_10,DIA,momentum_20,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.039449784595823725,0.0329913958291911,0.019205370335016198,0.011722815182505422,0.009560522116943046,0.002866047046086258,0.059333877098965156
DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,DIA,momentum_20,trend_100,20,unit,horizon,notional_cap_1,true,false,false,true,true,false,0.08686484525458346,0.07732068837743575,0.05379716635605669,0.04367569465325532,0.04797623649737714,0.03887097751345371,0.08028616852146264
DIA__momentum_20__trend_100__h20__unit__horizon__vol_target_10,DIA,momentum_20,trend_100,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.06961252321957184,0.06028399417908235,0.05453360718724744,0.04438489116383622,0.032089770589974725,0.023385853839384456,0.08056275731801164
DIA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,momentum_20,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.07423054170162995,0.061266996483574046,0.033565466136466396,0.018515746866450328,0.014825825882132257,0.0013256309483016156,0.1192368839427663
DIA__momentum_20__trend_100__h20__unit__signal_flip__vol_target_10,DIA,momentum_20,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.05247615883656656,0.0406003668214232,0.035112527669621425,0.021426202091776005,0.005508779340919239,-0.006171702157870909,0.10851579258334113
DIA__momentum_20__trend_100__h5__half__horizon__notional_cap_1,DIA,momentum_20,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.02271687520994745,0.007781497753740306,0.006900742605356493,-0.007777746403952914,-0.0003482617583605305,-0.014423655730463664,0.11645468998410174
DIA__momentum_20__trend_100__h5__half__horizon__vol_target_10,DIA,momentum_20,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.02300836344540836,0.008285022026444837,0.007430353846679992,-0.0072507297167689186,-0.0006325724499565873,-0.014511591915579606,0.11647236000250966
DIA__momentum_20__trend_100__h5__half__signal_flip__notional_cap_1,DIA,momentum_20,trend_100,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.03000978310707711,0.014275465172119951,0.023077986561482414,0.007141127639493866,-0.002081708047707983,-0.017254962830481536,0.12639109697933226
DIA__momentum_20__trend_100__h5__half__signal_flip__vol_target_10,DIA,momentum_20,trend_100,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.029751804469764,0.014245130399287442,0.02330397941541035,0.00740516842622339,-0.0032626131721878357,-0.018195389745120492,0.12608874758829502
DIA__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,DIA,momentum_20,trend_100,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.03812540282654475,0.008256740683835419,0.008330379006481502,-0.021036995154762463,-0.008663186938053064,-0.036820088740615015,0.2329093799682035
DIA__momentum_20__trend_100__h5__unit__horizon__vol_target_10,DIA,momentum_20,trend_100,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02972748754731771,0.003991208368466337,0.014580464874897144,-0.012598172423562079,-0.011345553578965804,-0.03485380211328578,0.21561351678148197
DIA__momentum_20__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,momentum_20,trend_100,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.053852250309103,0.022373256714969758,0.042170356420810365,0.010273477171647937,-0.011432762238527305,-0.041777609668508624,0.2527821939586645
DIA__momentum_20__trend_100__h5__unit__signal_flip__vol_target_10,DIA,momentum_20,trend_100,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.03687585822228428,0.009869027362970031,0.0440861510419997,0.014763374746686578,-0.010817651983246142,-0.035909671679791325,0.23242315632332747
DIA__momentum_60__always__h20__half__horizon__notional_cap_1,DIA,momentum_60,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.04390679728343564,0.03869324245241185,0.033161569832856924,0.02806050118130561,0.010887258146129463,0.005883187934460749,0.04054054054054054
DIA__momentum_60__always__h20__half__horizon__vol_target_10,DIA,momentum_60,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.04564517325085123,0.04040615530163732,0.032087187697093476,0.026946603297206453,0.01232665543078447,0.007236668884701993,0.0408452495065008
DIA__momentum_60__always__h20__half__signal_flip__notional_cap_1,DIA,momentum_60,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.031067490293674553,0.02434863189147582,0.032743998574896585,0.026135850085035033,0.003993849835820121,-0.0026183627047963107,0.05246422893481717
DIA__momentum_60__always__h20__half__signal_flip__vol_target_10,DIA,momentum_60,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.033701185580861756,0.027054492004512445,0.031319721251353815,0.024718683053254174,0.004333404252046132,-0.002271140012557642,0.05240498587130821
DIA__momentum_60__always__h20__unit__horizon__notional_cap_1,DIA,momentum_60,always,20,unit,horizon,notional_cap_1,true,false,false,true,true,false,0.07667012688208676,0.06624637113415054,0.0569978023838925,0.04680974399390347,0.00839863830788835,-0.0016017442875941278,0.08108108108108109
DIA__momentum_60__always__h20__unit__horizon__vol_target_10,DIA,momentum_60,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.05995897686070807,0.049828674956013994,0.047480125272352375,0.03725284348394465,0.012610475061236673,0.0030954888729404495,0.08130314389671131
DIA__momentum_60__always__h20__unit__signal_flip__notional_cap_1,DIA,momentum_60,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.05291757971774431,0.03947658319504209,0.058327479196248096,0.04511587092837584,-0.0018885561416161732,-0.015116420612507961,0.10492845786963434
DIA__momentum_60__always__h20__unit__signal_flip__vol_target_10,DIA,momentum_60,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.04109531405437098,0.02902508465950613,0.052297937629060536,0.040073972839640926,-0.0038882993946087662,-0.015572350013774824,0.09709207042296862
DIA__momentum_60__always__h5__half__horizon__notional_cap_1,DIA,momentum_60,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.03070759853726311,0.013730955657704687,0.03903792281465307,0.02231384496673747,0.019074316186435125,0.003146060875387156,0.1327503974562798
DIA__momentum_60__always__h5__half__horizon__vol_target_10,DIA,momentum_60,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.03280505875684944,0.01604429856915445,0.03752268556506953,0.02087566195356509,0.01837108934850625,0.0026010278327207245,0.13214091565933225
DIA__momentum_60__always__h5__half__signal_flip__notional_cap_1,DIA,momentum_60,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.030322992824761346,0.012588771011445857,0.03002545680693531,0.01269753168727724,0.008490288274822556,-0.008390751206908702,0.13751987281399047
DIA__momentum_60__always__h5__half__signal_flip__vol_target_10,DIA,momentum_60,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.03237940184762398,0.01492178236215522,0.030087913994845384,0.01287107511607687,0.007971284144856417,-0.00872368043624194,0.1366228962970885
DIA__momentum_60__always__h5__unit__horizon__notional_cap_1,DIA,momentum_60,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.05228341136759548,0.018338429253335314,0.07154479459724564,0.038101583364565775,0.028994781438904046,-0.0028676833664960707,0.2655007949125596
DIA__momentum_60__always__h5__unit__horizon__vol_target_10,DIA,momentum_60,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.04277130449064252,0.013824981053292239,0.06276415178297239,0.03237677500261859,0.021837632225649585,-0.004674013815450601,0.2413210124772764
DIA__momentum_60__always__h5__unit__signal_flip__notional_cap_1,DIA,momentum_60,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.052294204411628145,0.016820893317306622,0.053643137243639866,0.018986444714133216,0.00871968728053022,-0.025050893539876495,0.27503974562798095
DIA__momentum_60__always__h5__unit__signal_flip__vol_target_10,DIA,momentum_60,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.04413165617156553,0.014118363483987716,0.055764900277205584,0.024669416985920786,0.002138732432125085,-0.025766585544621717,0.24675338360451549
DIA__momentum_60__trend_100__h20__half__horizon__notional_cap_1,DIA,momentum_60,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.04194075162468948,0.03697493783055231,0.027932461891428974,0.022826692059428718,0.0004737315562090335,-0.00433637393903857,0.04054054054054054
DIA__momentum_60__trend_100__h20__half__horizon__vol_target_10,DIA,momentum_60,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.042934023378749055,0.03793374599665977,0.02685488780086794,0.021700212926796473,0.0021460568049189487,-0.0027202639383806745,0.04092636196538023
DIA__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,DIA,momentum_60,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.02435971945216425,0.018468573881286206,0.015591371903006962,0.00927354242731155,0.0034558105967408582,-0.002658576497498972,0.050079491255961846
DIA__momentum_60__trend_100__h20__half__signal_flip__vol_target_10,DIA,momentum_60,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.02675685726986493,0.020861052911551783,0.014392664038505639,0.008059825739021058,0.0033974355058386573,-0.0027295083691892307,0.05019864796249198
DIA__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,DIA,momentum_60,trend_100,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.07449196543915512,0.06455851158710976,0.046412969982250626,0.03620610687046581,-0.01136672401363757,-0.0209918836734833,0.08108108108108109
DIA__momentum_60__trend_100__h20__unit__horizon__vol_target_10,DIA,momentum_60,trend_100,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.05382079078642178,0.044031158725333135,0.04156583576592765,0.03145122178716005,-0.000208124084798424,-0.009478900940741565,0.08037552104725963
DIA__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,momentum_60,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.04014041953051109,0.028341400160906197,0.02419950668992988,0.011548220583650626,-0.002612846643243256,-0.014850999153747877,0.10015898251192369
DIA__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,DIA,momentum_60,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.027547644032651267,0.01658939360568631,0.025439232818386642,0.013623361516764607,-0.005116370575578541,-0.016193998262150323,0.09366597024421382
DIA__momentum_60__trend_100__h5__half__horizon__notional_cap_1,DIA,momentum_60,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.024091411205863788,0.008027493993324438,0.02796873089340767,0.011435359766864784,0.022337665333992406,0.007005225642094049,0.13116057233704292
DIA__momentum_60__trend_100__h5__half__horizon__vol_target_10,DIA,momentum_60,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.023516755330207854,0.007605322459954381,0.026367661143477994,0.009915053928675649,0.021044575309520305,0.005862458788956289,0.13052646990358285
DIA__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,DIA,momentum_60,trend_100,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.025719278000158115,0.009237730770456837,0.01602134677844036,-0.0009153368598668497,0.012783177555365025,-0.003200397262275597,0.1343402225755167
DIA__momentum_60__trend_100__h5__half__signal_flip__vol_target_10,DIA,momentum_60,trend_100,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.02593772757493356,0.009620949841679403,0.016326052780638856,-0.0005278055317025393,0.011702969054599121,-0.004122049965116444,0.13367353080586417
DIA__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,DIA,momentum_60,trend_100,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.040552818333388786,0.008422977297800961,0.04926614455932285,0.016185124282086155,0.03618246737730481,0.005501357258360068,0.26232114467408585
DIA__momentum_60__trend_100__h5__unit__horizon__vol_target_10,DIA,momentum_60,trend_100,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.02352718501459472,-0.004162588985671529,0.046513373660027654,0.016414821561510577,0.024360146947780444,-0.0013463014460507444,0.2388000854443348
DIA__momentum_60__trend_100__h5__unit__signal_flip__notional_cap_1,DIA,momentum_60,trend_100,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.04395216895427482,0.010986244936131987,0.025800417320439112,-0.008092581143759494,0.017709657757231042,-0.01427392609202776,0.2686804451510334
DIA__momentum_60__trend_100__h5__unit__signal_flip__vol_target_10,DIA,momentum_60,trend_100,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.02672819120372727,-0.0016460869878716618,0.03401627853649711,0.003385071559868986,0.008004296934210538,-0.0186412064599729,0.24285407522221247
EEM__mean_reversion_5__always__h20__half__horizon__notional_cap_1,EEM,mean_reversion_5,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.018120510398723113,0.012943038732430807,0.017205189741574797,0.01205548820290011,-0.000847308714382787,-0.0061078516876061865,0.040937996820349765
