parameter,parameter_value,frontier_level,frontier_density,closure_richness,module_overlap,research_cost,research_duration,admission_probability,candidate_survival,discount_factor,belief_kernel_persistence,signal_precision_proxy,candidate_profile_quality,generator_frontier_dependence,total_value,passive_value,research_option_premium,operational_innovation,generative_innovation,research_frequency,optimal_action,research_cutoff,cutoff_kind,pruning_loss,compression_ratio,descendant_quality,frontier_closure_cross_difference,bellman_residual,value_error_bound,iterations,converged,gate_passed,sparse_mode,raw_source_of_truth,flags
closure_richness,0.2,1,0.5,0.2,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
closure_richness,0.4,1,0.5,0.4,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
closure_richness,0.6,1,0.5,0.6,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78125001445,3.78124999966,1.47907277537e-08,6.21875000034,-1.48803200872e-08,0.341463414634,continue,0.325,lower,1.47907277537e-08,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
closure_richness,0.8,1,0.5,0.8,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.31078682342,3.78124999966,0.529536823757,6.21875000034,-0.529536823847,0.80487804878,research,0.8,lower,0.529536823757,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
closure_richness,1,1,0.5,1,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.93317430597,3.78124999966,1.15192430631,6.21875000034,-1.1519243064,1,research,0,full,1.15192430631,0.25,1.2484375,-0.1039896875,1.79189996175e-11,8.95949980873e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,0,1,0.5,0.75,0,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.80576576501,3.78124999966,0.0245157653495,6.21875000034,-0.0245157654391,0.512195121951,research,0.5,lower,0.0245157653495,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,0.2,1,0.5,0.75,0.2,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.06789527031,3.78124999966,0.286645270647,6.21875000034,-0.286645270737,0.658536585366,research,0.65,lower,0.286645270647,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,0.4,1,0.5,0.75,0.4,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.31078682342,3.78124999966,0.529536823757,6.21875000034,-0.529536823847,0.80487804878,research,0.8,lower,0.529536823757,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,0.6,1,0.5,0.75,0.6,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.53457025763,3.78124999966,0.753320257965,6.21875000034,-0.753320258054,0.90243902439,research,0.9,lower,0.753320257965,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,0.8,1,0.5,0.75,0.8,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.74141506948,3.78124999966,0.960165069814,6.21875000034,-0.960165069904,1,research,0,full,0.960165069814,0.25,1.2484375,-0.1039896875,1.79198877959e-11,8.95994389793e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
module_overlap,1,1,0.5,0.75,1,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.93317430597,3.78124999966,1.15192430631,6.21875000034,-1.1519243064,1,research,0,full,1.15192430631,0.25,1.2484375,0,1.79189996175e-11,8.95949980873e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,0,1,0.5,0.75,0.25,0,1,0.75,0.9,0.8,0.75,0.5,2,0,8.04443629573,3.78124999966,4.26318629607,6.21875000034,-4.26318629616,1,research,0,full,4.26318629607,0.25,1.2484375,-0.185029953736,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,0.75,1,0.5,0.75,0.25,0.75,1,0.75,0.9,0.8,0.75,0.5,2,0,6.87026799827,3.78124999966,3.08901799861,6.21875000034,-3.0890179987,1,research,0,full,3.08901799861,0.25,1.2484375,-0.200914894815,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,1.5,1,0.5,0.75,0.25,1.5,1,0.75,0.9,0.8,0.75,0.5,2,0,5.69609970082,3.78124999966,1.91484970115,6.21875000034,-1.91484970124,1,research,0,full,1.91484970115,0.25,1.2484375,-0.739568010938,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,2.25,1,0.5,0.75,0.25,2.25,1,0.75,0.9,0.8,0.75,0.5,2,0,4.52193140336,3.78124999966,0.740681403698,6.21875000034,-0.740681403787,0.926829268293,research,0.925,lower,0.740681403698,0.25,1.2484375,-0.36321075,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,3,1,0.5,0.75,0.25,3,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999963,3.78124999966,-3.35331762358e-11,6.21875000034,-5.60591573162e-11,0.243902439024,continue,0.225,lower,-3.35331762358e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,3.75,1,0.5,0.75,0.25,3.75,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_cost,4.5,1,0.5,0.75,0.25,4.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_duration,1,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.13054197089,3.78124999966,0.349291971233,6.21875000034,-0.349291971322,0.707317073171,research,0.7,lower,0.349291971233,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_duration,2,1,0.5,0.75,0.25,2.5,2,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.246875,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_duration,3,1,0.5,0.75,0.25,2.5,3,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.37578862034e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2453125,0,1.7067236513e-11,8.53361825648e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_duration,4,1,0.5,0.75,0.25,2.5,4,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999961,3.78124999966,-5.19042586689e-11,6.21875000034,-3.9116265782e-11,0,continue,,empty,-5.19042586689e-11,0.25,1.24375,0,1.82041048902e-11,9.10205244509e-11,113,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
research_duration,5,1,0.5,0.75,0.25,2.5,5,0.75,0.9,0.8,0.75,0.5,2,0,3.7812499996,3.78124999966,-6.47935038955e-11,6.21875000034,-3.12896375476e-11,0,continue,,empty,-6.47935038955e-11,0.25,1.2421875,0,1.92166282886e-11,9.60831414432e-11,112,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,0,1,0.5,0.75,0.25,2.5,1,0,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,0.2,1,0.5,0.75,0.25,2.5,1,0.2,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,0.4,1,0.5,0.75,0.25,2.5,1,0.4,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,0.6,1,0.5,0.75,0.25,2.5,1,0.6,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15769640938e-11,6.21875000034,-4.80153694582e-11,0.146341463415,continue,0.125,lower,-4.15769640938e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,0.8,1,0.5,0.75,0.25,2.5,1,0.8,0.9,0.8,0.75,0.5,2,0,4.38739007754,3.78124999966,0.606140077878,6.21875000034,-0.606140077968,0.829268292683,research,0.825,lower,0.606140077878,0.25,1.2484375,-0.277589,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
admission_probability,1,1,0.5,0.75,0.25,2.5,1,1,0.9,0.8,0.75,0.5,2,0,5.22347509018,3.78124999966,1.44222509052,6.21875000034,-1.44222509061,1,research,0,full,1.44222509052,0.25,1.2484375,-0.956375854594,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,0,1,0.5,0.75,0.25,2.5,1,0.75,0,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,0.2,1,0.5,0.75,0.25,2.5,1,0.75,0.2,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,0.4,1,0.5,0.75,0.25,2.5,1,0.75,0.4,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,0.6,1,0.5,0.75,0.25,2.5,1,0.75,0.6,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,0.8,1,0.5,0.75,0.25,2.5,1,0.75,0.8,0.8,0.75,0.5,2,0,3.78125945788,3.78124999966,9.45821914389e-06,6.21875000034,-9.45830873622e-06,0.414634146341,continue,0.4,lower,9.45821914389e-06,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
candidate_survival,1,1,0.5,0.75,0.25,2.5,1,0.75,1,0.8,0.75,0.5,2,0,4.54648760322,3.78124999966,0.765237603555,6.21875000034,-0.765237603644,0.926829268293,research,0.925,lower,0.765237603555,0.25,1.2484375,-0.401203125,1.79189996175e-11,8.95949980873e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.5,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.5,0.75,0.5,2,0,1.50312499998,1.503125,-2.35107489033e-11,2.496875,-3.46969120102e-11,0,continue,,empty,-2.35107489033e-11,0.25,1.2484375,0,2.91038304567e-11,5.82076609135e-11,36,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.58,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.58,0.75,0.5,2,0,1.79085175734,1.79085175737,-2.57263099712e-11,2.97105300454,-3.67144092905e-11,0,continue,,empty,-2.57263099712e-11,0.25,1.2484375,0,2.62252441985e-11,6.24410576154e-11,46,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.66,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.66,0.75,0.5,2,0,2.21480320065,2.21480320069,-3.70610209188e-11,3.66754974048,-5.04734032347e-11,0,continue,,empty,-3.70610209188e-11,0.25,1.2484375,0,2.97619706657e-11,8.75352078404e-11,60,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.74,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.74,0.75,0.5,2,0,2.90171967452,2.90171967455,-3.52771145629e-11,4.79058801775,-4.44324577131e-11,0,continue,,empty,-3.52771145629e-11,0.25,1.2484375,0,2.07247552453e-11,7.97105970972e-11,84,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.82,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.82,0.75,0.5,2,0,5.15753066966,4.20621141802,0.951319251636,6.90489969309,-0.951319251721,1,research,0,full,0.951319251636,0.25,1.2484375,-0.27560887757,1.52429180389e-11,8.46828779939e-11,129,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
discount_factor,0.9,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.9,0.75,0.5,2,0,13.6843502338,7.64062216749,6.0437280663,12.3593778325,-6.0437280664,1,research,0,full,6.0437280663,0.25,1.2484375,-1.08311585087,9.97957272375e-12,9.97957272375e-11,247,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,0,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0,0.5,2,0,4.13469784866,3.87489393241,0.259803916256,6.12510606759,-0.259803916345,0.658536585366,research,0.65,lower,0.259803916256,0.25,1.24375,-0.08763275,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,0.2,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.2,0.5,2,0,4.13358659263,3.84997700557,0.283609587055,6.15002299443,-0.283609587145,0.658536585366,research,0.65,lower,0.283609587055,0.25,1.245,-0.0919946,1.79198877959e-11,8.95994389793e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,0.4,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.4,0.5,2,0,4.1324788849,3.8249975536,0.307481331296,6.1750024464,-0.307481331385,0.682926829268,research,0.675,lower,0.307481331296,0.25,1.24625,-0.09635645,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,0.6,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.6,0.5,2,0,4.13137204831,3.7999999404,0.331372107916,6.2000000596,-0.331372108005,0.682926829268,research,0.675,lower,0.331372107916,0.25,1.2475,-0.1007183,1.79198877959e-11,8.95994389793e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,0.8,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.8,0.5,2,0,4.13026527923,3.77499999998,0.355265279249,6.22500000002,-0.355265279339,0.707317073171,research,0.7,lower,0.355265279249,0.25,1.24875,-0.10508015,1.79198877959e-11,8.95994389793e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
belief_kernel_persistence,1,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,1,0.5,2,0,4.12915851263,3.75,0.379158512631,6.25,-0.37915851272,0.707317073171,research,0.7,lower,0.379158512631,0.25,1.25,-0.109442,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
signal_precision_proxy,0,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0,2,0,4.12915851263,3.75,0.379158512631,6.25,-0.37915851272,0.707317073171,research,0.7,lower,0.379158512631,0.25,1.25,-0.109442,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
signal_precision_proxy,0.2,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.2,2,0,4.12971189593,3.7625,0.367211895934,6.2375,-0.367211896023,0.707317073171,research,0.7,lower,0.367211895934,0.25,1.249375,-0.107261075,1.79198877959e-11,8.95994389793e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
