belief_index,coordinate,frontier,candidate,certified_gap
108,0.8916666666666667,0.6815284115540262,0.9592546803355732,0.27772626878154694
109,0.9,0.6845410196624969,0.9394758151931958,0.25493479553069887
110,0.9083333333333333,0.6875409206822355,0.9202589916008429,0.2327180709186074
111,0.9166666666666666,0.6905291427061513,0.9016725663089198,0.2111434236027685
112,0.925,0.6935067218313543,0.8837761431061816,0.19026942127482727
113,0.9333333333333333,0.6964747014490655,0.8666205962490076,0.17014589479994202
114,0.9416666666666667,0.6994341315295289,0.8502481935430781,0.1508140620135492
115,0.95,0.7023860679024139,0.8346928106800098,0.1323067427775959
116,0.9583333333333334,0.7053315715332031,0.8199802275258447,0.11464865599264151
117,0.9666666666666667,0.7082717077960592,0.8061284963873263,0.09785678859126712
118,0.975,0.7112075457436706,0.7931483718430502,0.08194082609937958
119,0.9833333333333333,0.7141401573745767,0.7810437915121258,0.06690363413754907
120,0.9916666666666667,0.7170706168984724,0.7698123971305872,0.05274178023211484
121,1.0,0.72,0.7594460854991817,0.039446085499181716
