trial_id,breakpoint_index,lambda,strictly_positive,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,optimizer_count,pairwise_candidates_checked,enumeration_certificate
20,5,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,277,complete-enumeration:32
21,1,0//1,false,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,4,145,complete-enumeration:32
21,2,1225//1536,true,16975//1536,18;19,base_2;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,5//1;9//1,2,145,complete-enumeration:32
21,3,4375//3072,true,24325//3072,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;5//1,2,145,complete-enumeration:32
21,4,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,145,complete-enumeration:32
22,1,0//1,false,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,4,266,complete-enumeration:32
22,2,1225//1536,true,16975//1536,18;19,base_2;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,5//1;9//1,2,266,complete-enumeration:32
22,3,4375//3072,true,24325//3072,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;5//1,2,266,complete-enumeration:32
22,4,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,266,complete-enumeration:32
23,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,72,complete-enumeration:32
23,2,175//192,true,7175//768,1;17,base_1;inactive|base_1;frontier_addition;inactive,2//1;3//1,2,72,complete-enumeration:32
23,3,875//768,true,2275//256,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,72,complete-enumeration:32
23,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,72,complete-enumeration:32
24,1,0//1,false,918449//49152,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,328,complete-enumeration:32
24,2,7483//49152,true,828653//49152,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1,2,328,complete-enumeration:32
24,3,875//1024,true,32375//3072,18;22,base_2;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,328,complete-enumeration:32
24,4,4375//3072,true,7875//1024,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;5//1,2,328,complete-enumeration:32
24,5,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,328,complete-enumeration:32
25,1,0//1,false,151631//12288,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,151,complete-enumeration:32
25,2,1077//8192,true,287107//24576,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;5//1,2,151,complete-enumeration:32
25,3,1225//1536,true,14875//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,151,complete-enumeration:32
25,4,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,151,complete-enumeration:32
26,1,0//1,false,147697//8192,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,11//1;15//1,2,302,complete-enumeration:32
26,2,2097//16384,true,272327//16384,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1,2,302,complete-enumeration:32
26,3,175//192,true,1225//128,18;20;22,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,3,302,complete-enumeration:32
26,4,1925//1536,true,4025//512,16;18;20,frontier_addition;inactive|base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,3,302,complete-enumeration:32
26,5,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,302,complete-enumeration:32
27,1,0//1,false,299149//16384,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,271,complete-enumeration:32
27,2,1447//147456,true,891659//49152,19;27,base_1;base_2;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive,9//1;12//1,2,271,complete-enumeration:32
27,3,875//1024,true,32375//3072,17;19,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,5//1;9//1,2,271,complete-enumeration:32
27,4,1575//1024,true,21875//3072,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,271,complete-enumeration:32
27,5,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,271,complete-enumeration:32
28,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,86,complete-enumeration:32
28,2,175//192,true,1225//128,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,86,complete-enumeration:32
28,3,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,86,complete-enumeration:32
29,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,8,92,complete-enumeration:32
29,2,525//1024,true,9975//1024,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,92,complete-enumeration:32
29,3,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,92,complete-enumeration:32
30,1,0//1,false,181243//12288,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,139,complete-enumeration:32
30,2,5035//16384,true,649447//49152,9;25,base_1;closure_carrier;inactive|base_1;closure_carrier;frontier_addition;inactive,4//1;5//1,2,139,complete-enumeration:32
30,3,5035//8192,true,589027//49152,9;24,base_1;closure_carrier;inactive|closure_carrier;frontier_addition;inactive,3//1;4//1,2,139,complete-enumeration:32
30,4,66019//32768,true,765143//98304,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;3//1,2,139,complete-enumeration:32
30,5,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,139,complete-enumeration:32
31,1,0//1,false,87481//4096,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,324,complete-enumeration:32
31,2,5035//6144,true,181883//12288,28;29,base_3;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1,2,324,complete-enumeration:32
31,3,5035//4096,true,151673//12288,24;28,closure_carrier;frontier_addition;inactive|base_3;closure_carrier;frontier_addition;inactive,4//1;6//1,2,324,complete-enumeration:32
31,4,10031//4096,true,91721//12288,20;24,base_3;frontier_addition;inactive|closure_carrier;frontier_addition;inactive,3//1;4//1,2,324,complete-enumeration:32
31,5,175//64,true,5075//768,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,324,complete-enumeration:32
31,6,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,324,complete-enumeration:32
32,1,0//1,false,9625//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,74,complete-enumeration:32
32,2,525//512,true,14525//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,74,complete-enumeration:32
32,3,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,74,complete-enumeration:32
33,1,0//1,false,13825//768,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,229,complete-enumeration:32
33,2,1225//768,true,1925//192,17;19,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,3//1;5//1,2,229,complete-enumeration:32
33,3,1925//768,true,175//24,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,229,complete-enumeration:32
33,4,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,229,complete-enumeration:32
34,1,0//1,false,10493//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;12//1;16//1,4,136,complete-enumeration:32
34,2,81649//393216,true,589903//49152,24;25,closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,4//1;8//1,2,136,complete-enumeration:32
34,3,84485//98304,true,923515//98304,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,136,complete-enumeration:32
34,4,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,136,complete-enumeration:32
35,1,0//1,false,875//48,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,4,231,complete-enumeration:32
35,2,875//1024,true,32375//3072,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,231,complete-enumeration:32
35,3,2275//1536,true,11375//1536,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,231,complete-enumeration:32
35,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,231,complete-enumeration:32
36,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,67,complete-enumeration:32
36,2,175//192,true,7175//768,1;16;17,base_1;inactive|frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;2//1;3//1,3,67,complete-enumeration:32
36,3,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,67,complete-enumeration:32
